rank,score
1,1.0
2,0.99997
3,0.99996
4,0.9999
5,0.99987
6,0.99985
7,0.99977
8,0.99975
9,0.99927
10,0.99927
11,0.99901
12,0.99882
13,0.99857
14,0.9964
15,0.89875
16,0.84855
17,0.82652
18,0.823
19,0.80568
20,0.78992
21,0.72619
22,0.72172
23,0.68507
24,0.67725
25,0.67206
26,0.67205
27,0.67205
28,0.67205
29,0.67205
30,0.67205
31,0.67205
32,0.67205
33,0.67205
34,0.67205
35,0.67205
36,0.67205
37,0.67205
38,0.67205
39,0.67205
40,0.67205
41,0.67205
42,0.63608
43,0.62832
44,0.61429
45,0.61429
46,0.61429
47,0.61429
48,0.61429
49,0.61429
50,0.61429
51,0.61325
52,0.61325
53,0.54289
54,0.53895
55,0.52339
56,0.51977
57,0.51711
58,0.51696
59,0.49834
60,0.49834
61,0.49786
62,0.49786
63,0.49783
64,0.49744
65,0.48877
66,0.48877
67,0.48877
68,0.48622
69,0.48622
70,0.48622
71,0.48622
72,0.48622
73,0.47949
74,0.47892
75,0.47892
76,0.47757
77,0.47715
78,0.47644
79,0.47471
80,0.47179
81,0.43794
82,0.40844
83,0.40403
84,0.38866
85,0.38292
86,0.36914
87,0.36914
88,0.36914
89,0.3687
90,0.3678
91,0.36161
92,0.35245
93,0.35245
94,0.35245
95,0.35245
96,0.35083
97,0.34781
98,0.33264
99,0.32342
100,0.30081
101,0.27562
102,0.26156
103,0.2569
104,0.25612
105,0.25182
106,0.24317
107,0.24199
108,0.24169
109,0.24127
110,0.24033
111,0.21552
112,0.21378
113,0.20218
114,0.1979
115,0.1915
116,0.16615
117,0.16534
118,0.14339
119,0.13058
120,0.11173
121,0.10915
122,0.10111
123,0.06318
124,0.05612
125,0.05034
126,0.05009
127,0.05008
128,0.04894
129,0.04889
130,0.04841
131,0.04814
132,0.04637
133,0.04291
134,0.02502
135,0.01956
136,0.01542
137,0.0153
138,0.00493
139,0.00436
140,0.00436
141,0.00436
142,0.00436
