rank,score
1,0.9232
2,0.922
3,0.9213
4,0.917
5,0.9158
6,0.91
7,0.9092
8,0.9084
9,0.9075
10,0.9068
11,0.9048
12,0.9006
13,0.899
14,0.8953
15,0.8934
16,0.891
17,0.891
18,0.8894
19,0.8889
20,0.8889
21,0.8871
22,0.8868
23,0.8858
24,0.8829
25,0.8825
26,0.8781
27,0.8767
28,0.8737
29,0.8724
30,0.8722
31,0.8704
32,0.8702
33,0.8698
34,0.8674
35,0.8663
36,0.8656
37,0.8646
38,0.8637
39,0.8633
40,0.8628
41,0.8626
42,0.8624
43,0.8618
44,0.8617
45,0.8614
46,0.8614
47,0.8602
48,0.8599
49,0.8599
50,0.8598
51,0.8598
52,0.8595
53,0.8595
54,0.8592
55,0.859
56,0.8588
57,0.8586
58,0.8583
59,0.8582
60,0.8581
61,0.8581
62,0.8581
63,0.8576
64,0.8575
65,0.8575
66,0.8574
67,0.8574
68,0.8571
69,0.857
70,0.8567
71,0.8565
72,0.8563
73,0.8561
74,0.856
75,0.856
76,0.8559
77,0.8559
78,0.8559
79,0.8556
80,0.8556
81,0.8555
82,0.8551
83,0.855
84,0.8549
85,0.8548
86,0.8547
87,0.8546
88,0.8546
89,0.8546
90,0.8544
91,0.8542
92,0.8541
93,0.854
94,0.8539
95,0.8539
96,0.8539
97,0.8538
98,0.8537
99,0.8537
100,0.8536
101,0.8536
102,0.8534
103,0.8532
104,0.8531
105,0.8531
106,0.853
107,0.853
108,0.8529
109,0.8529
110,0.8527
111,0.8527
112,0.8525
113,0.8524
114,0.8524
115,0.8524
116,0.8522
117,0.8522
118,0.8519
119,0.8518
120,0.8518
121,0.8516
122,0.8511
123,0.8511
124,0.8511
125,0.851
126,0.851
127,0.8509
128,0.8508
129,0.8506
130,0.8505
131,0.8505
132,0.8505
133,0.8504
134,0.8502
135,0.8501
136,0.85
137,0.8499
138,0.8499
139,0.8498
140,0.8498
141,0.8496
142,0.8495
143,0.8492
144,0.8491
145,0.8491
146,0.849
147,0.849
148,0.849
149,0.849
150,0.849
151,0.8488
152,0.8487
153,0.8486
154,0.8486
155,0.8485
156,0.8485
157,0.8485
158,0.8485
159,0.8484
160,0.8484
161,0.8484
162,0.8484
163,0.8483
164,0.8483
165,0.8483
166,0.8483
167,0.8483
168,0.8483
169,0.8483
170,0.8483
171,0.8483
172,0.8483
173,0.8483
174,0.8483
175,0.8483
176,0.8483
177,0.8483
178,0.8483
179,0.8483
180,0.8483
181,0.8483
182,0.8483
183,0.8483
184,0.8483
185,0.8483
186,0.8483
187,0.8483
188,0.8483
189,0.8483
190,0.8483
191,0.8483
192,0.8483
193,0.8483
194,0.8483
195,0.8483
196,0.8482
197,0.8482
198,0.8482
199,0.8482
200,0.8482
201,0.8482
202,0.8482
203,0.8482
204,0.8482
205,0.8482
206,0.8482
207,0.8482
208,0.8482
209,0.8482
210,0.8482
211,0.8482
212,0.8482
213,0.8482
214,0.8482
215,0.8482
216,0.8482
217,0.8482
218,0.8482
219,0.8482
220,0.8482
221,0.8482
