rank,score
1,0.26719
2,0.26669
3,0.26654
4,0.26634
5,0.26392
6,0.26381
7,0.25956
8,0.25942
9,0.25885
10,0.25781
11,0.2574
12,0.25684
13,0.25631
14,0.25594
15,0.25536
16,0.25517
17,0.25501
18,0.25472
19,0.2545
20,0.2543
21,0.25423
22,0.25364
23,0.25298
24,0.25246
25,0.25234
26,0.25225
27,0.25214
28,0.25199
29,0.25185
30,0.25157
31,0.25134
32,0.25113
33,0.25072
34,0.25042
35,0.25037
36,0.25017
37,0.25009
38,0.24995
39,0.24982
40,0.24978
41,0.24976
42,0.24955
43,0.24925
44,0.24923
45,0.24871
46,0.24825
47,0.2482
48,0.2481
49,0.24763
50,0.24738
51,0.24736
52,0.24729
53,0.24706
54,0.24696
55,0.24662
56,0.24662
57,0.24629
58,0.24612
59,0.24601
60,0.24595
61,0.24592
62,0.24561
63,0.24551
64,0.24549
65,0.24543
66,0.24531
67,0.24526
68,0.24525
69,0.24515
70,0.24513
71,0.24513
72,0.24513
73,0.24512
74,0.24504
75,0.24504
76,0.24496
77,0.24437
78,0.24427
79,0.24419
80,0.24381
81,0.2438
82,0.24354
83,0.24353
84,0.24349
85,0.2433
86,0.24319
87,0.24313
88,0.24309
89,0.24302
90,0.243
91,0.24293
92,0.24288
93,0.24275
94,0.24179
95,0.24121
96,0.24102
97,0.241
98,0.24078
99,0.24071
100,0.24067
101,0.24051
102,0.2405
103,0.24044
104,0.2404
105,0.24012
106,0.2399
107,0.23987
108,0.23975
109,0.23969
110,0.23959
111,0.23959
112,0.23954
113,0.23947
114,0.23916
115,0.23912
116,0.23897
117,0.2388
118,0.23879
119,0.23874
120,0.23869
121,0.23838
122,0.23834
123,0.23833
124,0.23821
125,0.23771
126,0.23766
127,0.23745
128,0.23743
129,0.23709
130,0.23705
131,0.23703
132,0.23684
133,0.23682
134,0.23682
135,0.23681
136,0.23666
137,0.23665
138,0.23664
139,0.23659
140,0.23649
141,0.23646
142,0.23631
143,0.23628
144,0.23628
145,0.2362
146,0.23617
147,0.23592
148,0.23591
149,0.23587
150,0.23587
151,0.23575
152,0.23557
153,0.23556
154,0.23555
155,0.23548
156,0.23545
157,0.23544
158,0.23534
159,0.23451
160,0.23442
161,0.23429
162,0.23428
163,0.23359
164,0.23358
165,0.23357
166,0.23298
167,0.23298
168,0.23298
169,0.23293
170,0.23291
171,0.2329
172,0.23286
173,0.23285
174,0.23282
175,0.2328
176,0.23279
177,0.23278
178,0.23278
179,0.23278
180,0.23275
181,0.23274
182,0.23271
183,0.23268
184,0.23266
185,0.23266
186,0.23259
187,0.23246
188,0.2322
189,0.23207
190,0.23195
191,0.23182
192,0.23169
193,0.2316
194,0.2316
195,0.23146
196,0.23137
197,0.23128
198,0.23092
199,0.2309
200,0.2308
201,0.23079
202,0.23069
203,0.23069
204,0.23061
205,0.23019
206,0.23016
207,0.23009
208,0.23
209,0.22998
210,0.22986
211,0.22979
212,0.22969
213,0.22953
214,0.22953
215,0.22947
216,0.22944
217,0.22931
218,0.22925
219,0.22902
220,0.22902
221,0.22901
222,0.22899
223,0.22883
224,0.22883
225,0.22883
226,0.22882
227,0.22869
228,0.22854
229,0.22852
230,0.2285
231,0.22846
232,0.22842
233,0.22842
234,0.22806
235,0.22804
236,0.228
237,0.228
238,0.22789
239,0.2278
240,0.22748
241,0.22746
242,0.22734
243,0.22727
244,0.22712
245,0.22706
246,0.22706
247,0.227
248,0.2269
249,0.2268
250,0.22653
251,0.22653
252,0.2263
253,0.22623
254,0.2262
255,0.22612
256,0.2261
257,0.22596
258,0.22575
259,0.22564
260,0.2256
261,0.22554
262,0.22535
263,0.22527
264,0.22485
265,0.22455
266,0.22385
267,0.22374
268,0.22369
269,0.22368
270,0.22359
271,0.22343
272,0.22333
273,0.2233
274,0.22317
275,0.22284
276,0.22258
277,0.2223
278,0.22212
279,0.22207
280,0.22206
281,0.22181
282,0.22163
283,0.22156
284,0.22153
285,0.22126
286,0.22125
287,0.22114
288,0.2211
289,0.22106
290,0.22102
291,0.22101
292,0.22086
293,0.22067
294,0.22031
295,0.2203
296,0.21975
297,0.21953
298,0.21724
299,0.21711
300,0.21624
301,0.21494
302,0.2148
303,0.214
304,0.2138
305,0.2133
306,0.21297
307,0.21288
308,0.2127
309,0.21224
310,0.21201
311,0.21129
312,0.21102
313,0.20955
314,0.20951
315,0.2093
316,0.20847
317,0.20797
318,0.20668
319,0.20634
320,0.20585
321,0.20405
322,0.20321
323,0.20318
324,0.20305
325,0.20044
326,0.19915
327,0.19907
328,0.19902
329,0.19821
330,0.19757
331,0.19731
332,0.19694
333,0.19683
334,0.19527
335,0.19507
336,0.19502
337,0.19467
338,0.19465
339,0.19442
340,0.19209
341,0.19144
342,0.18928
343,0.18882
344,0.18599
345,0.18456
346,0.18413
347,0.18384
348,0.18327
349,0.18327
350,0.18327
351,0.17807
352,0.17799
353,0.17799
354,0.17715
355,0.17633
356,0.17612
357,0.17612
358,0.17364
359,0.17338
360,0.17321
361,0.17261
362,0.1701
363,0.16997
364,0.16894
365,0.16845
366,0.16836
367,0.16828
368,0.16675
369,0.16642
370,0.1663
371,0.16539
372,0.16318
373,0.16258
374,0.16134
375,0.16062
376,0.1594
377,0.1589
378,0.15888
379,0.15832
380,0.15732
381,0.15558
382,0.15523
383,0.15505
384,0.15371
385,0.15341
386,0.1533
387,0.15305
388,0.15213
389,0.15195
390,0.15139
391,0.15079
392,0.15038
393,0.15038
394,0.14867
395,0.14688
396,0.14621
397,0.14534
398,0.14525
399,0.14479
400,0.14413
401,0.1439
402,0.14284
403,0.14278
404,0.14277
405,0.14171
406,0.14153
407,0.1414
408,0.14114
409,0.14043
410,0.13924
411,0.13904
412,0.13867
413,0.13836
414,0.13823
415,0.13763
416,0.13742
417,0.13691
418,0.13682
419,0.13622
420,0.13566
421,0.13552
422,0.135
423,0.13462
424,0.1344
425,0.13434
426,0.13414
427,0.13123
428,0.13098
429,0.13098
430,0.13088
431,0.13069
432,0.13058
433,0.13007
434,0.1289
435,0.12797
436,0.12657
437,0.12632
438,0.12632
439,0.12632
440,0.12632
441,0.12632
442,0.12585
443,0.1253
444,0.12501
445,0.12418
446,0.12412
447,0.12202
448,0.12175
449,0.12164
450,0.12106
451,0.1202
452,0.11861
453,0.11819
454,0.1179
455,0.1179
456,0.11771
457,0.11754
458,0.11748
459,0.11677
460,0.11634
461,0.1151
462,0.11492
463,0.11243
464,0.11026
465,0.10896
466,0.1076
467,0.10748
468,0.10663
469,0.10599
470,0.10599
471,0.10589
472,0.10501
473,0.10385
474,0.10375
475,0.1032
476,0.1031
477,0.1031
478,0.10298
479,0.10296
480,0.10296
481,0.10296
482,0.10296
483,0.10296
484,0.10296
485,0.10282
486,0.10228
487,0.10211
488,0.10206
489,0.10178
490,0.10156
491,0.10059
492,0.10058
493,0.10003
494,0.09986
495,0.09955
496,0.0983
497,0.09805
498,0.09666
499,0.09621
500,0.09436
501,0.09238
502,0.0921
503,0.09186
504,0.09113
505,0.09093
506,0.0897
507,0.08835
508,0.08462
509,0.08441
510,0.08391
511,0.08271
512,0.08039
513,0.07898
514,0.07838
515,0.07835
516,0.07789
517,0.07716
518,0.07652
519,0.07614
520,0.07442
521,0.07264
522,0.06324
523,0.0627
524,0.06192
525,0.05662
526,0.05545
527,0.05445
528,0.05235
529,0.04958
530,0.04788
531,0.0466
532,0.04654
533,0.04455
534,0.03934
535,0.03796
536,0.03788
537,0.03733
538,0.03711
539,0.03028
540,0.02726
541,0.02357
542,0.02357
543,0.02357
544,0.02357
545,0.02357
546,0.02357
547,0.02357
548,0.02357
549,0.02357
550,0.02357
551,0.02357
552,0.02357
553,0.02357
554,0.02357
555,0.02202
556,0.01523
557,0.015
558,0.01315
559,0.01043
560,0.00568
561,0.00539
562,0.00131
563,-0.00024
564,-0.00435
565,-0.00689
566,-0.0084
567,-0.01543
568,-0.02357
569,-0.03945
570,-0.07032
