rank,score
1,0.27038
2,0.26929
3,0.26905
4,0.26884
5,0.2646
6,0.26428
7,0.26176
8,0.26033
9,0.25987
10,0.25888
11,0.25812
12,0.25714
13,0.25676
14,0.25675
15,0.25639
16,0.25632
17,0.25593
18,0.25581
19,0.25514
20,0.25465
21,0.25462
22,0.25399
23,0.25367
24,0.25358
25,0.25351
26,0.25348
27,0.25333
28,0.25333
29,0.25317
30,0.25295
31,0.25281
32,0.25276
33,0.25235
34,0.25195
35,0.25139
36,0.25129
37,0.25124
38,0.25116
39,0.25032
40,0.25021
41,0.2502
42,0.25009
43,0.25004
44,0.24991
45,0.24962
46,0.24955
47,0.24939
48,0.24935
49,0.24922
50,0.24889
51,0.24854
52,0.24837
53,0.24835
54,0.24818
55,0.24818
56,0.24787
57,0.24767
58,0.24716
59,0.24689
60,0.24688
61,0.24668
62,0.24665
63,0.24663
64,0.24647
65,0.24639
66,0.24626
67,0.2462
68,0.24595
69,0.24589
70,0.24575
71,0.24558
72,0.24557
73,0.24536
74,0.24521
75,0.2452
76,0.24517
77,0.24517
78,0.24481
79,0.24471
80,0.24468
81,0.24465
82,0.24464
83,0.24437
84,0.24429
85,0.24422
86,0.24414
87,0.24358
88,0.24312
89,0.24286
90,0.24271
91,0.24246
92,0.24239
93,0.24231
94,0.24221
95,0.2422
96,0.2421
97,0.24194
98,0.24182
99,0.24166
100,0.24149
101,0.24149
102,0.24137
103,0.24129
104,0.24118
105,0.24089
106,0.24065
107,0.24059
108,0.24057
109,0.24053
110,0.24044
111,0.24038
112,0.24037
113,0.2401
114,0.24006
115,0.24003
116,0.2397
117,0.23959
118,0.23928
119,0.23922
120,0.2392
121,0.23908
122,0.23905
123,0.23898
124,0.23888
125,0.2388
126,0.2388
127,0.23867
128,0.2385
129,0.2384
130,0.2384
131,0.2384
132,0.2382
133,0.23797
134,0.23797
135,0.23797
136,0.23794
137,0.23794
138,0.23793
139,0.23793
140,0.23792
141,0.23791
142,0.2379
143,0.23788
144,0.23787
145,0.23785
146,0.23785
147,0.23781
148,0.23777
149,0.23776
150,0.23773
151,0.23772
152,0.23766
153,0.23749
154,0.23746
155,0.23738
156,0.23737
157,0.23734
158,0.23729
159,0.23728
160,0.23728
161,0.23717
162,0.23711
163,0.23683
164,0.2366
165,0.23648
166,0.23647
167,0.23647
168,0.23645
169,0.23632
170,0.23624
171,0.23624
172,0.23616
173,0.23607
174,0.23603
175,0.236
176,0.23581
177,0.23573
178,0.23572
179,0.23555
180,0.23538
181,0.23523
182,0.23512
183,0.23498
184,0.23498
185,0.23496
186,0.23489
187,0.23479
188,0.23466
189,0.23463
190,0.23436
191,0.2343
192,0.23384
193,0.23362
194,0.23362
195,0.23352
196,0.23348
197,0.23333
198,0.23312
199,0.23297
200,0.2329
201,0.23276
202,0.23274
203,0.23264
204,0.23259
205,0.23258
206,0.23258
207,0.23253
208,0.23239
209,0.2322
210,0.23216
211,0.23212
212,0.23204
213,0.23198
214,0.23187
215,0.23183
216,0.23178
217,0.23168
218,0.23156
219,0.23152
220,0.23152
221,0.23146
222,0.23139
223,0.23137
224,0.23136
225,0.23129
226,0.23128
227,0.23123
228,0.23121
229,0.23089
230,0.2307
231,0.23031
232,0.23
233,0.22997
234,0.22971
235,0.22971
236,0.22959
237,0.22955
238,0.22943
239,0.22923
240,0.22923
241,0.22923
242,0.22871
243,0.22838
244,0.22838
245,0.22833
246,0.22778
247,0.22775
248,0.22771
249,0.22747
250,0.22746
251,0.22741
252,0.22729
253,0.22726
254,0.22695
255,0.22693
256,0.22693
257,0.22678
258,0.22634
259,0.22611
260,0.22584
261,0.22579
262,0.22572
263,0.22564
264,0.22547
265,0.22488
266,0.22438
267,0.22436
268,0.22417
269,0.22393
270,0.22369
271,0.2234
272,0.22336
273,0.2233
274,0.22305
275,0.22285
276,0.22273
277,0.22257
278,0.22255
279,0.22237
280,0.22213
281,0.22209
282,0.22206
283,0.22186
284,0.22159
285,0.22153
286,0.2215
287,0.22131
288,0.22109
289,0.22108
290,0.2207
291,0.22052
292,0.22031
293,0.2199
294,0.21897
295,0.21844
296,0.21827
297,0.21825
298,0.2181
