rank,score
1,0.86955
2,0.86929
3,0.86928
4,0.86919
5,0.86913
6,0.86909
7,0.86903
8,0.86898
9,0.86894
10,0.86891
11,0.86889
12,0.86889
13,0.86888
14,0.86886
15,0.86886
16,0.86885
17,0.86883
18,0.86882
19,0.86881
20,0.8688
21,0.86879
22,0.86879
23,0.86875
24,0.86875
25,0.86873
26,0.86867
27,0.86867
28,0.86866
29,0.86861
30,0.86854
31,0.86854
32,0.86848
33,0.86847
34,0.86847
35,0.86843
36,0.86843
37,0.86842
38,0.86837
39,0.86837
40,0.86836
41,0.86833
42,0.86832
43,0.86826
44,0.86818
45,0.86817
46,0.86817
47,0.86815
48,0.86812
49,0.86811
50,0.86809
51,0.86808
52,0.86807
53,0.86806
54,0.86806
55,0.86805
56,0.86805
57,0.86804
58,0.86803
59,0.86793
60,0.86792
61,0.86791
62,0.86789
63,0.86782
64,0.86781
65,0.8678
66,0.86775
67,0.8677
68,0.86769
69,0.86765
70,0.86764
71,0.86761
72,0.86761
73,0.86761
74,0.8676
75,0.86759
76,0.86758
77,0.86756
78,0.86755
79,0.86755
80,0.86753
81,0.86749
82,0.86748
83,0.86745
84,0.86744
85,0.86744
86,0.86742
87,0.86741
88,0.86738
89,0.86737
90,0.86737
91,0.86737
92,0.86734
93,0.86733
94,0.86732
95,0.8673
96,0.8673
97,0.86728
98,0.86726
99,0.86723
100,0.86723
101,0.86721
102,0.86719
103,0.86719
104,0.86718
105,0.86717
106,0.86717
107,0.86717
108,0.86714
109,0.86714
110,0.86712
111,0.86711
112,0.8671
113,0.86708
114,0.86707
115,0.86707
116,0.86705
117,0.86699
118,0.86698
119,0.86696
120,0.86693
121,0.86686
122,0.86685
123,0.86684
124,0.86682
125,0.86681
126,0.86681
127,0.86677
128,0.86677
129,0.86675
130,0.86675
131,0.86673
132,0.86672
133,0.86671
134,0.86668
135,0.86668
136,0.86667
137,0.86664
138,0.86663
139,0.86662
140,0.8666
141,0.8666
142,0.86659
143,0.86653
144,0.86652
145,0.86649
146,0.86649
147,0.86649
148,0.86647
149,0.86646
150,0.86641
151,0.8664
152,0.86639
153,0.86639
154,0.86638
155,0.86636
156,0.86633
157,0.86629
158,0.86629
159,0.86629
160,0.86629
161,0.86625
162,0.86624
163,0.86622
164,0.8662
165,0.8662
166,0.86616
167,0.86615
168,0.86613
169,0.8661
170,0.86609
171,0.86609
172,0.86609
173,0.86609
174,0.86609
175,0.86608
176,0.86608
177,0.86607
178,0.86602
179,0.86594
180,0.86592
181,0.8659
182,0.86587
183,0.86584
184,0.86584
185,0.86583
186,0.86576
187,0.86572
188,0.86572
189,0.86571
190,0.8657
191,0.86569
192,0.86567
193,0.86566
194,0.86565
195,0.86562
196,0.86562
197,0.86562
198,0.8656
199,0.8656
200,0.86558
201,0.86556
202,0.86556
203,0.86554
204,0.86553
205,0.86552
206,0.8655
207,0.8655
208,0.86549
209,0.86549
210,0.86549
211,0.86545
212,0.86544
213,0.86543
214,0.86542
215,0.8654
216,0.86539
217,0.86539
218,0.86539
219,0.86535
220,0.86533
221,0.86533
222,0.86532
223,0.86531
224,0.8653
225,0.86527
226,0.86526
227,0.86525
228,0.86523
229,0.86523
230,0.86522
231,0.86521
232,0.86521
233,0.86518
234,0.86515
235,0.86514
236,0.86514
237,0.86514
238,0.8651
239,0.86509
240,0.86508
241,0.86504
242,0.86504
243,0.86502
244,0.86502
245,0.86502
246,0.86501
247,0.86499
248,0.86499
249,0.86498
250,0.86496
251,0.86496
252,0.86495
253,0.86494
254,0.86493
255,0.86493
256,0.86492
257,0.86492
258,0.86492
259,0.86492
260,0.86491
261,0.8649
262,0.86489
263,0.86489
264,0.86488
265,0.86488
266,0.86486
267,0.86486
268,0.86486
269,0.86485
270,0.86485
271,0.86482
272,0.86481
273,0.86481
274,0.86479
275,0.86478
276,0.86478
277,0.86477
278,0.86477
279,0.86476
280,0.86475
281,0.86474
282,0.86474
283,0.86473
284,0.86473
285,0.86473
286,0.86472
287,0.86471
288,0.86471
289,0.86469
290,0.86468
291,0.86468
292,0.86466
293,0.86464
294,0.86464
295,0.86464
296,0.86463
297,0.86462
298,0.86461
299,0.86459
300,0.86459
301,0.86458
302,0.86458
303,0.86458
304,0.86457
305,0.86453
306,0.86453
307,0.86451
308,0.8645
309,0.8645
310,0.8645
311,0.8645
312,0.86449
313,0.86448
314,0.86448
315,0.86448
316,0.86447
317,0.86447
318,0.86446
319,0.86446
320,0.86445
321,0.86444
322,0.86444
323,0.86443
324,0.86443
325,0.86442
326,0.86442
327,0.86441
328,0.86441
329,0.86441
330,0.86441
331,0.8644
332,0.8644
333,0.8644
334,0.86438
335,0.86438
336,0.86438
337,0.86435
338,0.86434
339,0.86434
340,0.86434
341,0.86433
342,0.86433
343,0.86432
344,0.86432
345,0.86432
346,0.86431
347,0.86431
348,0.86428
349,0.86427
350,0.86427
351,0.86427
352,0.86425
353,0.86425
354,0.86425
355,0.86425
356,0.86425
357,0.86424
358,0.86424
359,0.86424
360,0.86424
361,0.86424
362,0.86424
363,0.86424
