rank,score
1,0.8639
2,0.8637
3,0.86364
4,0.86357
5,0.86349
6,0.86335
7,0.86332
8,0.86329
9,0.86318
10,0.86304
11,0.86295
12,0.8629
13,0.86287
14,0.86284
15,0.86282
16,0.86281
17,0.8628
18,0.86278
19,0.86277
20,0.86276
21,0.86276
22,0.86275
23,0.86274
24,0.86274
25,0.86274
26,0.86273
27,0.86264
28,0.86259
29,0.86257
30,0.86256
31,0.86254
32,0.86253
33,0.86252
34,0.86251
35,0.86243
36,0.86238
37,0.86238
38,0.86235
39,0.86233
40,0.8623
41,0.8623
42,0.86228
43,0.86227
44,0.86224
45,0.86223
46,0.86222
47,0.86222
48,0.86221
49,0.86218
50,0.86215
51,0.86214
52,0.86213
53,0.86212
54,0.86211
55,0.86209
56,0.86206
57,0.86204
58,0.86203
59,0.86203
60,0.86202
61,0.86199
62,0.86199
63,0.86198
64,0.86195
65,0.86194
66,0.86193
67,0.86192
68,0.86191
69,0.86191
70,0.86187
71,0.86187
72,0.86186
73,0.86186
74,0.86185
75,0.86183
76,0.86182
77,0.86181
78,0.86178
79,0.86176
80,0.86167
81,0.86167
82,0.86164
83,0.86163
84,0.8616
85,0.8616
86,0.86158
87,0.86156
88,0.86152
89,0.86145
90,0.86145
91,0.86144
92,0.86143
93,0.86141
94,0.86141
95,0.8614
96,0.8614
97,0.8614
98,0.86139
99,0.86139
100,0.86139
101,0.86138
102,0.86138
103,0.86136
104,0.86136
105,0.86135
106,0.86132
107,0.86131
108,0.86131
109,0.86131
110,0.86126
111,0.86125
112,0.86124
113,0.86124
114,0.86122
115,0.86119
116,0.86119
117,0.86119
118,0.86119
119,0.86119
120,0.86116
121,0.86114
122,0.86113
123,0.86108
124,0.86107
125,0.86101
126,0.86098
127,0.86098
128,0.86098
129,0.86097
130,0.86096
131,0.86095
132,0.86092
133,0.86092
134,0.8609
135,0.86089
136,0.86089
137,0.86088
138,0.86086
139,0.86085
140,0.86085
141,0.86083
142,0.86082
143,0.86082
144,0.86079
145,0.86079
146,0.86076
147,0.86075
148,0.86074
149,0.86073
150,0.8607
151,0.86069
152,0.86068
153,0.86068
154,0.86067
155,0.86063
156,0.86058
157,0.86058
158,0.86056
159,0.86056
160,0.86055
161,0.86055
162,0.86055
163,0.86053
164,0.8605
165,0.86049
166,0.86048
167,0.86046
168,0.86044
169,0.86042
170,0.86039
171,0.86039
172,0.86038
173,0.86036
174,0.86035
175,0.86033
176,0.86031
177,0.86031
178,0.86031
179,0.86031
180,0.86029
181,0.86026
182,0.86022
183,0.86022
184,0.86022
185,0.8602
186,0.8602
187,0.86018
188,0.86017
189,0.86016
190,0.86016
191,0.86014
192,0.86013
193,0.86013
194,0.86013
195,0.86012
196,0.86011
197,0.8601
198,0.8601
199,0.86009
200,0.86009
201,0.86008
202,0.86008
203,0.86005
204,0.86004
205,0.86003
206,0.86003
207,0.86003
208,0.86
209,0.86
210,0.85999
211,0.85998
212,0.85997
213,0.85997
214,0.85997
215,0.85997
216,0.85996
217,0.85996
218,0.85995
219,0.85992
220,0.85992
221,0.85992
222,0.85992
223,0.85991
224,0.85991
225,0.85989
226,0.85988
227,0.85987
228,0.85986
229,0.85986
230,0.85986
231,0.85982
232,0.85981
233,0.8598
234,0.8598
235,0.85978
236,0.85977
237,0.85975
238,0.85974
239,0.85974
240,0.85973
241,0.85972
242,0.85971
243,0.85971
244,0.8597
245,0.85968
246,0.85966
247,0.85964
248,0.85962
249,0.85962
250,0.85961
251,0.85959
252,0.85959
253,0.85958
254,0.85956
255,0.85955
256,0.85955
257,0.85955
258,0.85954
259,0.85953
260,0.85953
261,0.85952
262,0.85951
263,0.8595
264,0.85949
265,0.85949
266,0.85947
267,0.85947
268,0.85945
269,0.85944
270,0.85944
271,0.85943
272,0.85943
273,0.85941
274,0.85941
275,0.8594
276,0.85939
277,0.85939
278,0.85938
279,0.85938
280,0.85938
281,0.85937
282,0.85934
283,0.85933
284,0.85931
285,0.85931
286,0.85931
287,0.85929
288,0.85929
289,0.85928
290,0.85927
291,0.85926
292,0.85926
293,0.85925
294,0.85925
295,0.85925
296,0.85925
297,0.85925
298,0.85925
299,0.85925
300,0.85925
301,0.85925
302,0.85925
303,0.85925
304,0.85925
305,0.85925
306,0.85925
307,0.85925
308,0.85925
309,0.85925
310,0.85925
311,0.85925
312,0.85925
313,0.85925
314,0.85925
315,0.85925
316,0.85925
317,0.85925
318,0.85925
319,0.85925
320,0.85925
321,0.85925
322,0.85925
323,0.85925
324,0.85925
325,0.85925
326,0.85925
327,0.85925
328,0.85925
329,0.85925
330,0.85925
331,0.85925
332,0.85925
333,0.85925
334,0.85925
335,0.85925
336,0.85925
337,0.85925
338,0.85925
339,0.85925
340,0.85925
341,0.85925
342,0.85925
343,0.85925
344,0.85925
345,0.85925
346,0.85925
347,0.85925
348,0.85925
349,0.85925
350,0.85925
351,0.85925
352,0.85925
353,0.85925
354,0.85924
355,0.85924
356,0.85923
357,0.85923
358,0.85923
359,0.85923
360,0.85922
361,0.85919
362,0.85919
363,0.85917
364,0.85917
365,0.85915
366,0.85913
367,0.85913
368,0.85911
369,0.8591
370,0.85908
371,0.85907
372,0.85905
373,0.85901
374,0.85899
375,0.85899
376,0.85897
377,0.85896
378,0.85896
379,0.85894
380,0.85893
381,0.85891
382,0.8589
383,0.85884
384,0.85884
385,0.85883
386,0.85881
387,0.85878
388,0.85877
389,0.85877
390,0.85876
391,0.85875
392,0.85871
393,0.85871
394,0.85868
395,0.85868
396,0.85863
397,0.85863
398,0.85863
399,0.85861
400,0.85861
401,0.85859
402,0.85859
403,0.85859
404,0.85857
405,0.85857
406,0.85856
407,0.85856
408,0.85855
409,0.85855
410,0.85854
411,0.85853
412,0.85853
413,0.85853
414,0.85852
415,0.85849
416,0.85847
417,0.85847
418,0.85847
419,0.85842
420,0.85842
421,0.85841
422,0.85836
423,0.85831
424,0.85828
425,0.85824
426,0.85822
427,0.85815
428,0.85811
429,0.8581
430,0.8581
431,0.85804
432,0.85804
433,0.85804
434,0.85796
435,0.85796
436,0.85794
437,0.85792
438,0.85792
439,0.8579
440,0.85789
441,0.85788
442,0.85787
443,0.85785
444,0.85784
445,0.85776
446,0.85775
447,0.8577
448,0.85768
449,0.85757
450,0.85757
451,0.85756
452,0.85755
453,0.85752
454,0.85752
455,0.85744
456,0.85742
457,0.85737
458,0.85733
459,0.8573
460,0.85729
461,0.85725
462,0.85723
463,0.85723
464,0.85707
465,0.85706
466,0.85702
467,0.85698
468,0.85697
469,0.85697
470,0.85695
471,0.85693
472,0.85693
473,0.8569
474,0.85682
475,0.8568
476,0.8568
477,0.85678
478,0.85678
479,0.85675
480,0.85675
481,0.8567
482,0.8567
483,0.8565
484,0.85644
485,0.85644
486,0.85639
487,0.85639
488,0.85636
489,0.85636
490,0.85633
491,0.85628
492,0.85626
493,0.85622
494,0.85621
495,0.85617
496,0.85617
497,0.85614
498,0.8561
499,0.85607
500,0.85606
501,0.85597
502,0.85596
503,0.85589
504,0.85585
505,0.85584
506,0.85581
507,0.85581
508,0.85574
509,0.85571
510,0.85563
511,0.85558
512,0.85552
513,0.85546
514,0.85543
515,0.85535
516,0.85533
517,0.85518
518,0.85517
519,0.85515
520,0.85507
521,0.85506
522,0.85504
523,0.85502
524,0.85502
525,0.85501
526,0.85499
527,0.8549
528,0.85488
529,0.85482
530,0.85481
531,0.85476
532,0.85475
533,0.85472
534,0.8547
535,0.85469
536,0.85469
537,0.85459
538,0.85458
539,0.85456
540,0.85442
541,0.8544
542,0.85433
543,0.85431
544,0.85431
545,0.85419
546,0.85418
547,0.85403
548,0.854
549,0.85399
550,0.85382
551,0.85382
552,0.85371
553,0.85365
554,0.85356
555,0.85356
556,0.85339
557,0.85327
558,0.85321
559,0.85305
560,0.85305
561,0.85301
562,0.85298
563,0.85298
564,0.85294
565,0.85279
566,0.85276
567,0.85268
568,0.85267
569,0.85266
570,0.85263
571,0.85259
572,0.85257
573,0.85247
574,0.85239
575,0.85238
576,0.85236
577,0.85236
578,0.8523
579,0.85222
580,0.85218
581,0.85215
582,0.85214
583,0.85211
584,0.85211
585,0.85208
586,0.85202
587,0.85197
588,0.85196
589,0.85188
590,0.85179
591,0.85165
592,0.85156
593,0.85156
594,0.85148
595,0.85143
596,0.85135
597,0.85121
598,0.85115
599,0.85103
600,0.85092
601,0.85088
602,0.85084
603,0.85065
604,0.85063
605,0.85055
606,0.85053
607,0.85044
608,0.85027
609,0.85025
610,0.85022
611,0.85017
612,0.84996
613,0.84991
614,0.84991
615,0.84985
616,0.84985
617,0.84985
618,0.84973
619,0.84959
620,0.84953
621,0.84926
622,0.84922
623,0.84914
624,0.84911
625,0.849
626,0.849
627,0.84889
628,0.84846
629,0.84837
630,0.84833
631,0.84806
632,0.84806
633,0.8478
634,0.8476
635,0.84757
636,0.8473
637,0.84728
638,0.84714
639,0.84712
640,0.84698
641,0.84694
642,0.84663
643,0.84638
644,0.8462
645,0.84603
646,0.84577
647,0.84568
648,0.84565
649,0.84512
650,0.8451
651,0.84494
652,0.84493
653,0.84482
654,0.84473
655,0.84465
656,0.84465
657,0.84459
658,0.84459
659,0.84457
660,0.84431
661,0.84317
662,0.84279
663,0.84258
664,0.84253
665,0.8422
666,0.84199
667,0.84183
668,0.84176
669,0.84151
670,0.84129
671,0.84126
672,0.84124
673,0.8411
674,0.84092
675,0.8407
676,0.84031
677,0.83966
678,0.83815
679,0.83796
680,0.83678
681,0.83669
682,0.83666
683,0.83626
684,0.83623
685,0.8362
686,0.8359
687,0.83555
688,0.83515
689,0.83508
690,0.83492
691,0.83456
692,0.83417
693,0.83416
694,0.83338
695,0.83256
696,0.83231
697,0.83166
698,0.83006
699,0.82981
700,0.82981
701,0.82974
702,0.82946
703,0.82856
704,0.82765
705,0.82738
706,0.82716
707,0.82686
708,0.82636
709,0.8259
710,0.8259
711,0.82545
712,0.82474
713,0.82474
714,0.82456
715,0.82391
716,0.82389
717,0.8235
718,0.8234
719,0.82323
720,0.82268
721,0.82225
722,0.82204
723,0.82145
724,0.82134
725,0.82134
726,0.81989
727,0.81947
728,0.81874
729,0.81837
730,0.81777
731,0.81765
732,0.81764
733,0.81735
734,0.81728
735,0.81697
736,0.81697
737,0.81637
738,0.81578
739,0.81565
740,0.81562
741,0.81488
742,0.81415
743,0.81404
744,0.81359
745,0.81314
746,0.81291
747,0.81275
748,0.81106
749,0.81037
750,0.81021
751,0.80964
752,0.80949
753,0.80949
754,0.80877
755,0.80865
756,0.80733
757,0.80711
758,0.80467
