rank,score
1,0.62703
2,0.62449
3,0.62422
4,0.62259
5,0.62133
6,0.6156
7,0.61548
8,0.6154
9,0.61438
10,0.61364
11,0.61178
12,0.61174
13,0.61172
14,0.61137
15,0.61036
16,0.61028
17,0.60994
18,0.60965
19,0.60956
20,0.60919
21,0.60884
22,0.60878
23,0.60821
24,0.608
25,0.60783
26,0.60773
27,0.60761
28,0.60757
29,0.60752
30,0.60735
31,0.60733
32,0.60732
33,0.60629
34,0.60624
35,0.60617
36,0.60597
37,0.60586
38,0.60583
39,0.60574
40,0.60558
41,0.60548
42,0.60531
43,0.60527
44,0.60501
45,0.605
46,0.60472
47,0.60469
48,0.6046
49,0.60454
50,0.60441
51,0.60438
52,0.60431
53,0.6043
54,0.60429
55,0.60402
56,0.60375
57,0.60368
58,0.60365
59,0.60362
60,0.60343
61,0.60339
62,0.60338
63,0.60321
64,0.60319
65,0.60318
66,0.60313
67,0.60278
68,0.60277
69,0.60275
70,0.60243
71,0.60223
72,0.60219
73,0.60185
74,0.60169
75,0.60153
76,0.60122
77,0.60116
78,0.60108
79,0.60107
80,0.60096
81,0.60095
82,0.60073
83,0.60071
84,0.6007
85,0.60046
86,0.60028
87,0.60019
88,0.6001
89,0.60008
90,0.60006
91,0.60006
92,0.60001
93,0.59996
94,0.59995
95,0.59979
96,0.59977
97,0.59976
98,0.59969
99,0.59961
100,0.5996
101,0.59949
102,0.59947
103,0.59943
104,0.5994
105,0.59936
106,0.59927
107,0.59924
108,0.5992
109,0.5992
110,0.59914
111,0.59913
112,0.59898
113,0.59897
114,0.59897
115,0.59893
116,0.5989
117,0.59882
118,0.59877
119,0.59871
120,0.59868
121,0.59852
122,0.59823
123,0.59811
124,0.59811
125,0.59811
126,0.59809
127,0.59801
128,0.59797
129,0.59793
130,0.59786
131,0.59783
132,0.59776
133,0.59775
134,0.5976
135,0.59757
136,0.59753
137,0.59747
138,0.5974
139,0.59738
140,0.59737
141,0.59735
142,0.59735
143,0.59733
144,0.5972
145,0.59719
146,0.59719
147,0.59716
148,0.59715
149,0.59715
150,0.59713
151,0.59711
152,0.59707
153,0.59705
154,0.59703
155,0.59699
156,0.59699
157,0.59696
158,0.59696
159,0.59694
160,0.5969
161,0.59689
162,0.59682
163,0.59682
164,0.5968
165,0.59677
166,0.59671
167,0.5967
168,0.59668
169,0.59665
