rank,score
1,0.63413
2,0.63096
3,0.63009
4,0.62927
5,0.62927
6,0.6267
7,0.62462
8,0.62162
9,0.62127
10,0.61957
11,0.61871
12,0.6179
13,0.61741
14,0.61739
15,0.61723
16,0.61711
17,0.61642
18,0.61603
19,0.616
20,0.61556
21,0.61478
22,0.61474
23,0.61472
24,0.61466
25,0.61464
26,0.61422
27,0.61396
28,0.61387
29,0.61345
30,0.61344
31,0.61331
32,0.61323
33,0.61308
34,0.61303
35,0.61302
36,0.61294
37,0.61255
38,0.61254
39,0.61237
40,0.61227
41,0.61195
42,0.61186
43,0.61176
44,0.61166
45,0.61142
46,0.61133
47,0.61106
48,0.61092
49,0.61079
50,0.6107
51,0.61066
52,0.61035
53,0.61031
54,0.61022
55,0.61021
56,0.61007
57,0.60998
58,0.60995
59,0.60989
60,0.60984
61,0.60972
62,0.60968
63,0.60961
64,0.6096
65,0.60946
66,0.60937
67,0.6093
68,0.6091
69,0.60907
70,0.609
71,0.60878
72,0.60875
73,0.60872
74,0.60871
75,0.6087
76,0.60868
77,0.60865
78,0.60842
79,0.60841
80,0.60839
81,0.60825
82,0.6082
83,0.60805
84,0.60793
85,0.60788
86,0.60787
87,0.60786
88,0.60778
89,0.60777
90,0.60764
91,0.60756
92,0.60747
93,0.60746
94,0.60742
95,0.60736
96,0.60727
97,0.60717
98,0.60717
99,0.60713
100,0.60702
101,0.60697
102,0.60692
103,0.60677
104,0.60658
105,0.60658
106,0.60657
107,0.60654
108,0.6064
109,0.60628
110,0.60626
111,0.60622
112,0.60608
113,0.60604
114,0.606
115,0.60594
116,0.60592
117,0.60583
118,0.60577
119,0.60569
120,0.60564
121,0.60554
122,0.60548
123,0.60539
124,0.60533
125,0.60518
126,0.60517
127,0.60517
128,0.60505
129,0.60496
130,0.60493
131,0.60491
132,0.60486
133,0.60477
134,0.60477
135,0.60475
136,0.60471
137,0.6047
138,0.60467
139,0.60464
140,0.60464
141,0.60464
142,0.60462
143,0.60448
144,0.60444
145,0.60443
146,0.60443
147,0.6044
148,0.60435
