rank,score
1,0.46892
2,0.46916
3,0.47016
4,0.47239
5,0.47637
6,0.47731
7,0.48045
8,0.48064
9,0.48078
10,0.48267
11,0.4842
12,0.48502
13,0.4853
14,0.48563
15,0.48666
16,0.48785
17,0.48811
18,0.48847
19,0.48875
20,0.4888
21,0.48887
22,0.48905
23,0.4891
24,0.4893
25,0.4897
26,0.49013
27,0.49043
28,0.49056
29,0.49062
30,0.49066
31,0.491
32,0.49114
33,0.49148
34,0.4916
35,0.49161
36,0.4918
37,0.49183
38,0.49195
39,0.49231
40,0.49238
41,0.49251
42,0.49295
43,0.49297
44,0.49308
45,0.49355
46,0.4936
47,0.49368
48,0.49397
49,0.494
50,0.49401
51,0.49405
52,0.4945
53,0.49455
54,0.49458
55,0.49498
56,0.49515
57,0.49529
58,0.49537
59,0.49544
60,0.49553
61,0.49556
62,0.49558
63,0.49565
64,0.49566
65,0.49574
66,0.49575
67,0.49583
68,0.49598
69,0.49616
70,0.4963
71,0.49632
72,0.49634
73,0.49662
74,0.49669
75,0.49672
76,0.49694
77,0.49714
78,0.49719
79,0.4972
80,0.49721
81,0.49722
82,0.49734
83,0.49742
84,0.49752
85,0.49757
86,0.49801
87,0.49821
88,0.49825
89,0.49828
90,0.4985
91,0.49865
92,0.49877
93,0.49891
94,0.49894
95,0.49898
96,0.49917
97,0.49924
98,0.4993
99,0.49966
100,0.49967
101,0.49978
102,0.49981
103,0.49982
104,0.49996
105,0.49999
106,0.50003
107,0.50013
108,0.50017
109,0.50018
110,0.50022
111,0.50025
112,0.50032
113,0.50072
114,0.50076
115,0.50081
116,0.50082
117,0.50088
118,0.50091
119,0.50094
120,0.50095
121,0.50095
122,0.50098
123,0.50101
124,0.50102
125,0.50107
126,0.50119
127,0.50157
128,0.50165
129,0.50171
130,0.50176
131,0.50177
132,0.50185
133,0.5019
134,0.50192
135,0.50192
136,0.50196
137,0.50203
138,0.50228
139,0.50229
140,0.50234
141,0.50244
142,0.50244
143,0.50252
144,0.50259
145,0.5027
146,0.50271
147,0.50273
148,0.5029
149,0.5032
150,0.50325
151,0.50343
152,0.50345
153,0.50351
154,0.50351
155,0.50351
156,0.50352
157,0.50366
158,0.50375
159,0.50399
160,0.50405
161,0.50405
162,0.50408
163,0.50409
164,0.50409
165,0.50411
166,0.5042
167,0.50424
168,0.50427
169,0.5043
170,0.50436
171,0.5046
172,0.50465
173,0.50471
174,0.5049
175,0.5049
176,0.50496
177,0.50497
178,0.50504
179,0.50504
180,0.50511
181,0.50511
182,0.50512
183,0.50515
184,0.50518
185,0.50523
186,0.50523
187,0.50523
188,0.50527
189,0.50527
190,0.50529
191,0.50529
192,0.50531
193,0.50532
194,0.50534
195,0.50536
196,0.50538
197,0.50549
198,0.50552
199,0.50553
200,0.50555
201,0.50556
202,0.50556
203,0.50556
204,0.50556
205,0.50556
206,0.50556
207,0.50556
208,0.50556
209,0.50556
210,0.50556
211,0.50556
212,0.50556
213,0.50557
214,0.50557
215,0.50557
216,0.50557
217,0.50558
218,0.50558
219,0.50558
220,0.50558
221,0.50558
222,0.50558
223,0.50558
224,0.50558
225,0.50558
226,0.50558
227,0.50558
228,0.50558
229,0.50558
230,0.50558
231,0.50558
232,0.50558
233,0.50558
234,0.50558
235,0.50558
236,0.50558
237,0.50558
238,0.50558
239,0.50558
240,0.50558
241,0.50558
242,0.50558
243,0.50558
244,0.50558
245,0.50558
246,0.50558
247,0.50558
248,0.50558
249,0.50558
250,0.50558
251,0.50558
252,0.50558
253,0.50558
254,0.50558
255,0.50558
256,0.50558
257,0.50558
258,0.50558
259,0.50558
260,0.50558
261,0.50558
262,0.50558
263,0.50558
264,0.50558
265,0.50558
266,0.50558
267,0.50558
268,0.50558
269,0.50558
270,0.50558
271,0.50558
272,0.50558
273,0.50558
274,0.50558
275,0.50558
276,0.50558
277,0.50558
278,0.50558
279,0.50558
280,0.50558
281,0.50558
282,0.50558
283,0.50558
284,0.50558
285,0.50558
286,0.50558
287,0.50558
288,0.50558
289,0.50558
290,0.50558
291,0.50558
292,0.50558
293,0.50558
294,0.50558
295,0.50558
296,0.50558
297,0.50558
298,0.50558
299,0.50558
300,0.50558
301,0.50558
302,0.50558
303,0.50558
304,0.5056
305,0.50561
306,0.50561
307,0.50566
308,0.50584
309,0.50587
310,0.50588
311,0.50589
312,0.50592
313,0.50592
314,0.50594
315,0.50594
316,0.50594
317,0.50594
318,0.50595
319,0.50595
320,0.50595
321,0.50595
322,0.50595
323,0.50595
324,0.50595
325,0.50595
326,0.50595
327,0.50595
328,0.50596
329,0.50607
330,0.50612
331,0.50614
332,0.50618
333,0.50621
334,0.50622
335,0.50625
336,0.50629
337,0.50633
338,0.50634
339,0.50636
340,0.50641
341,0.5065
342,0.50651
343,0.5066
344,0.5066
345,0.50679
346,0.5068
347,0.50684
348,0.50686
349,0.50689
350,0.50704
351,0.50705
352,0.50706
353,0.50722
354,0.50722
355,0.50728
356,0.50732
357,0.50735
358,0.50741
359,0.50743
360,0.50747
361,0.50747
362,0.50755
363,0.50758
364,0.50765
365,0.50768
366,0.50769
367,0.5077
368,0.50778
369,0.50782
370,0.50788
371,0.50791
372,0.50791
373,0.50791
374,0.508
375,0.50808
376,0.50811
377,0.50812
378,0.50813
379,0.50813
380,0.50813
381,0.50813
382,0.50813
383,0.50813
384,0.50813
385,0.50813
386,0.50813
387,0.50813
388,0.50813
389,0.50814
390,0.50814
391,0.50814
392,0.50814
393,0.50814
394,0.50814
395,0.50814
396,0.50814
397,0.50814
398,0.50814
399,0.50814
400,0.50814
401,0.50814
402,0.50814
403,0.50814
404,0.50814
405,0.50814
406,0.50814
407,0.50815
408,0.50815
409,0.50815
410,0.50816
411,0.50818
412,0.5082
413,0.50834
414,0.50851
415,0.50852
416,0.50855
417,0.50856
418,0.5086
419,0.50866
420,0.50868
421,0.5087
422,0.5088
423,0.50892
424,0.50899
425,0.50906
426,0.50919
427,0.5092
428,0.50926
429,0.50928
430,0.50933
431,0.50944
432,0.50963
433,0.50971
434,0.50975
435,0.50977
436,0.50982
437,0.50983
438,0.50987
439,0.5099
440,0.5099
441,0.51014
442,0.51016
443,0.51034
444,0.51053
445,0.51062
446,0.51062
447,0.51077
448,0.51087
449,0.51096
450,0.51116
451,0.51144
452,0.51147
453,0.51148
454,0.51176
455,0.51186
456,0.51207
457,0.51208
458,0.51209
459,0.5121
460,0.51213
461,0.51213
462,0.51213
463,0.51213
464,0.51215
465,0.51215
466,0.51215
467,0.51215
468,0.51215
469,0.51225
470,0.51229
471,0.51235
472,0.51238
473,0.51244
474,0.51253
475,0.51258
476,0.51263
477,0.51265
478,0.51267
479,0.51267
480,0.51267
481,0.51269
482,0.51271
483,0.51283
484,0.51287
485,0.51294
486,0.51296
487,0.51299
488,0.51299
489,0.51299
490,0.51299
491,0.51299
492,0.513
493,0.513
494,0.513
495,0.513
496,0.513
497,0.513
498,0.513
499,0.513
500,0.513
501,0.51313
502,0.51331
503,0.51335
504,0.51335
505,0.5134
506,0.51345
507,0.5136
508,0.51372
509,0.5138
510,0.51389
511,0.51399
512,0.514
513,0.51405
514,0.51416
515,0.51423
516,0.51435
517,0.51441
518,0.51443
519,0.51465
520,0.51487
521,0.51494
522,0.51499
523,0.51499
524,0.51503
525,0.51509
526,0.51519
527,0.51529
528,0.51535
529,0.5154
530,0.51548
531,0.51553
532,0.51567
533,0.51569
534,0.51595
535,0.51609
536,0.51609
537,0.51614
538,0.51616
539,0.5164
540,0.51644
541,0.51647
542,0.51654
543,0.51659
544,0.51667
545,0.51676
546,0.51685
547,0.51685
548,0.51688
549,0.51711
550,0.51711
551,0.51731
552,0.51737
553,0.51742
554,0.51745
555,0.51757
556,0.51777
557,0.51792
558,0.51819
559,0.51832
560,0.51866
561,0.51874
562,0.51946
563,0.51964
564,0.52016
565,0.52031
566,0.52034
567,0.52039
568,0.52047
569,0.52064
570,0.5207
571,0.52109
572,0.52126
573,0.52133
574,0.52161
575,0.52175
576,0.52241
577,0.52244
578,0.52271
579,0.52285
580,0.52297
581,0.52352
582,0.52352
583,0.52392
584,0.52392
585,0.52417
586,0.52434
587,0.52448
588,0.52483
589,0.52489
590,0.52506
591,0.52523
592,0.52555
593,0.52564
594,0.52565
595,0.52594
596,0.52595
597,0.52625
598,0.52645
599,0.5265
600,0.52665
601,0.52667
602,0.52675
603,0.52681
604,0.52702
605,0.5271
606,0.52718
607,0.52722
608,0.52738
609,0.52744
610,0.5282
611,0.52848
612,0.52867
613,0.52871
614,0.52907
615,0.52912
616,0.52922
617,0.5294
618,0.52943
619,0.52944
620,0.5295
621,0.52966
622,0.53066
623,0.53078
624,0.53088
625,0.53092
626,0.5313
627,0.5313
628,0.53145
629,0.53161
630,0.53171
631,0.53206
632,0.53214
633,0.53219
634,0.53223
635,0.53223
636,0.53261
637,0.53272
638,0.53277
639,0.53287
640,0.53303
641,0.53315
642,0.53318
643,0.5336
644,0.53368
645,0.53373
646,0.53441
647,0.53462
648,0.53507
649,0.53539
650,0.53587
651,0.53594
652,0.53608
653,0.53616
654,0.53635
655,0.53638
656,0.53657
657,0.5367
658,0.53671
659,0.53698
660,0.53702
661,0.53769
662,0.5379
663,0.53791
664,0.53821
665,0.5383
666,0.53884
667,0.53889
668,0.53924
669,0.53933
670,0.5395
671,0.53972
672,0.54004
673,0.5401
674,0.54018
675,0.54022
676,0.54034
677,0.54037
678,0.54044
679,0.54051
680,0.54092
681,0.54101
682,0.54105
683,0.54106
684,0.54108
685,0.5414
686,0.5417
687,0.54177
688,0.54214
689,0.54231
690,0.54262
691,0.54315
692,0.54352
693,0.54361
694,0.54366
695,0.54382
696,0.54388
697,0.54463
698,0.54463
699,0.54478
700,0.54489
701,0.546
702,0.54606
703,0.54655
704,0.54658
705,0.54692
706,0.54721
707,0.54729
708,0.54731
709,0.5478
710,0.54792
711,0.54793
712,0.54803
713,0.54825
714,0.54835
715,0.5485
716,0.54852
717,0.54876
718,0.5489
719,0.54969
720,0.55007
721,0.55021
722,0.55032
723,0.55057
724,0.55076
725,0.55097
726,0.55129
727,0.55137
728,0.55141
729,0.55147
730,0.55206
731,0.55218
732,0.55285
733,0.55312
734,0.55332
735,0.55342
736,0.55345
737,0.55381
738,0.55467
739,0.55483
740,0.55489
741,0.55513
742,0.55515
743,0.55541
744,0.55557
745,0.55566
746,0.55578
747,0.55581
748,0.55588
749,0.55611
750,0.55616
751,0.55625
752,0.55643
753,0.5565
754,0.55674
755,0.5571
756,0.55755
757,0.55827
758,0.55846
759,0.55863
760,0.55893
761,0.55895
762,0.55926
763,0.55953
764,0.55994
765,0.56022
766,0.56028
767,0.5605
768,0.56051
769,0.56069
770,0.56076
771,0.56088
772,0.56114
773,0.5612
774,0.56136
775,0.56153
776,0.56161
777,0.56198
778,0.56198
779,0.56211
780,0.56224
781,0.56264
782,0.56274
783,0.56315
784,0.56321
785,0.56363
786,0.5638
787,0.56381
788,0.56391
789,0.56431
790,0.56474
791,0.56539
792,0.56551
793,0.56563
794,0.5657
795,0.5664
796,0.56679
797,0.56694
798,0.56746
799,0.56752
800,0.56831
801,0.56873
802,0.56947
803,0.57048
804,0.57062
805,0.57074
806,0.57088
807,0.57107
808,0.5714
809,0.57148
810,0.57183
811,0.57197
812,0.57339
