rank,score
1,0.36771
2,0.36936
3,0.37073
4,0.37088
5,0.37213
6,0.37227
7,0.3772
8,0.37807
9,0.37922
10,0.38021
11,0.38178
12,0.382
13,0.38332
14,0.38345
15,0.38451
16,0.3846
17,0.38516
18,0.38584
19,0.38595
20,0.38605
21,0.38615
22,0.38622
23,0.38626
24,0.38664
25,0.38688
26,0.38763
27,0.38888
28,0.38891
29,0.38894
30,0.3891
31,0.38929
32,0.38952
33,0.39016
34,0.39091
35,0.39174
36,0.39199
37,0.39206
38,0.39212
39,0.39236
40,0.39276
41,0.39286
42,0.39291
43,0.39316
44,0.39352
45,0.39418
46,0.39421
47,0.39453
48,0.39458
49,0.39494
50,0.39505
51,0.39519
52,0.39545
53,0.39567
54,0.3961
55,0.39625
56,0.39638
57,0.39655
58,0.39703
59,0.39721
60,0.39736
61,0.3975
62,0.39751
63,0.39758
64,0.39768
65,0.39788
66,0.3981
67,0.39824
68,0.39826
69,0.39826
70,0.39861
71,0.39878
72,0.39952
73,0.39962
74,0.39967
75,0.39995
76,0.40001
77,0.40001
78,0.40003
79,0.40012
80,0.40025
81,0.40037
82,0.40041
83,0.40041
84,0.40045
85,0.40058
86,0.40061
87,0.40072
88,0.401
89,0.40104
90,0.40141
91,0.402
92,0.40214
93,0.40215
94,0.40237
95,0.40238
96,0.40239
97,0.40254
98,0.40263
99,0.40265
100,0.40267
101,0.40272
102,0.40272
103,0.40278
104,0.40299
105,0.40313
106,0.40317
107,0.4032
108,0.40321
109,0.40329
110,0.40341
111,0.40349
112,0.4036
113,0.40364
114,0.40389
115,0.40391
116,0.40392
117,0.40398
118,0.40421
119,0.40436
120,0.40447
121,0.40481
122,0.40483
123,0.40494
124,0.40501
125,0.40506
126,0.40514
127,0.40516
128,0.40534
129,0.40534
130,0.40538
131,0.40548
132,0.40553
133,0.4056
134,0.40565
135,0.40575
136,0.40583
137,0.40586
138,0.40587
139,0.40595
140,0.40607
141,0.4062
142,0.4063
143,0.40634
144,0.40645
145,0.40656
