rank,score
1,0.88697
2,0.88682
3,0.8867
4,0.88658
5,0.88656
6,0.88655
7,0.88652
8,0.88651
9,0.8865
10,0.88648
11,0.88646
12,0.88644
13,0.88643
14,0.88636
15,0.88635
16,0.88634
17,0.88634
18,0.88632
19,0.88626
20,0.88626
21,0.88625
22,0.88624
23,0.88624
24,0.88623
25,0.88622
26,0.88619
27,0.88618
28,0.88618
29,0.88617
30,0.88616
31,0.88612
32,0.88611
33,0.88611
34,0.88609
35,0.88609
36,0.88609
37,0.88607
38,0.88607
39,0.88606
40,0.88606
41,0.88604
42,0.88603
43,0.886
44,0.886
45,0.88598
46,0.88598
47,0.88597
48,0.88596
49,0.88595
50,0.88594
51,0.88594
52,0.88593
53,0.88592
54,0.8859
55,0.88589
56,0.88589
57,0.88589
58,0.88587
59,0.88587
60,0.88587
61,0.88586
62,0.88585
63,0.88585
64,0.88585
65,0.88585
66,0.88584
67,0.88584
68,0.88582
69,0.88582
70,0.8858
71,0.88578
72,0.88576
73,0.88575
74,0.88574
75,0.88573
76,0.88572
77,0.88571
78,0.8857
79,0.8857
80,0.8857
81,0.88569
82,0.88569
83,0.88569
84,0.88569
85,0.88566
86,0.88566
87,0.88565
88,0.88565
89,0.88565
90,0.88564
91,0.88563
92,0.88563
93,0.88563
94,0.88562
95,0.88559
96,0.88558
97,0.88558
98,0.88556
99,0.88555
100,0.88555
101,0.88554
102,0.88553
103,0.88552
104,0.88551
105,0.88549
106,0.88548
107,0.88547
108,0.88545
109,0.88545
110,0.88544
111,0.88542
112,0.8854
113,0.8854
114,0.88539
115,0.88538
116,0.88538
117,0.88538
118,0.88537
119,0.88537
120,0.88537
121,0.88536
122,0.88533
123,0.88532
124,0.8853
125,0.88528
126,0.88528
127,0.88527
128,0.88526
129,0.88526
130,0.88525
131,0.88524
132,0.88524
133,0.88519
134,0.88518
135,0.88517
136,0.88516
137,0.88514
138,0.88514
139,0.88514
140,0.8851
141,0.8851
142,0.88509
143,0.88508
144,0.88505
145,0.88503
146,0.88502
147,0.885
148,0.88499
149,0.88499
150,0.88496
151,0.88494
152,0.88491
153,0.8849
154,0.88488
155,0.88488
156,0.88487
157,0.88486
158,0.88485
159,0.88483
160,0.88483
161,0.88483
162,0.88482
163,0.88478
164,0.88475
165,0.88473
166,0.88466
167,0.88466
168,0.88466
169,0.88464
170,0.88462
171,0.88462
172,0.88459
173,0.88459
174,0.88457
175,0.88457
176,0.88457
177,0.88455
178,0.88454
179,0.88453
180,0.88452
181,0.8845
182,0.88448
183,0.88447
184,0.8844
185,0.8844
186,0.88438
187,0.88438
188,0.88436
189,0.88432
190,0.88428
191,0.88427
192,0.88424
193,0.88417
194,0.88415
195,0.88414
196,0.88411
197,0.88408
198,0.88407
199,0.88404
200,0.88401
201,0.884
202,0.884
203,0.88399
204,0.88399
205,0.88399
206,0.88395
207,0.88393
208,0.88392
209,0.8839
210,0.88389
211,0.88389
212,0.88385
213,0.88384
214,0.8838
215,0.8838
216,0.88378
217,0.88367
218,0.88365
219,0.88365
220,0.88362
221,0.88355
222,0.88355
223,0.88351
224,0.8835
225,0.88348
226,0.88347
227,0.88347
228,0.88344
229,0.88343
230,0.88342
231,0.88341
232,0.88326
233,0.88322
234,0.88321
235,0.8832
236,0.88319
237,0.88318
238,0.88311
239,0.88308
240,0.88307
241,0.88306
242,0.88303
243,0.88301
244,0.88299
245,0.88298
246,0.88298
247,0.88289
248,0.88289
249,0.88286
250,0.88285
251,0.88277
252,0.88273
253,0.88263
254,0.88262
255,0.88262
256,0.8826
257,0.88259
258,0.88249
259,0.88248
260,0.88245
261,0.88237
262,0.88236
263,0.88232
264,0.88228
265,0.88228
266,0.88227
267,0.88227
268,0.88225
269,0.88223
270,0.88222
271,0.88217
272,0.88212
273,0.88207
274,0.88204
275,0.88203
276,0.88202
277,0.88193
278,0.88191
279,0.88187
280,0.88183
281,0.88181
282,0.8818
283,0.88179
284,0.88179
285,0.88179
286,0.88172
287,0.88163
288,0.88157
289,0.88143
290,0.88141
291,0.88128
292,0.88124
293,0.88123
294,0.88119
295,0.88116
296,0.88115
297,0.88113
298,0.88113
299,0.88107
300,0.88105
301,0.881
302,0.88093
303,0.88088
304,0.88081
305,0.88074
306,0.88061
307,0.88026
308,0.8802
309,0.88019
310,0.88001
311,0.87997
312,0.87992
313,0.87975
314,0.87939
315,0.87932
316,0.87931
317,0.87917
318,0.87907
319,0.87887
320,0.87865
321,0.87863
322,0.87858
323,0.87853
324,0.87846
325,0.87819
326,0.87812
327,0.87809
328,0.87803
329,0.87763
330,0.87753
331,0.87718
332,0.87704
333,0.87689
334,0.87685
335,0.87665
336,0.87653
337,0.87636
338,0.8763
339,0.87626
340,0.87616
341,0.87563
342,0.87549
343,0.87539
344,0.87531
345,0.87521
346,0.8752
347,0.87519
348,0.8751
349,0.87477
350,0.87476
351,0.8745
352,0.87403
353,0.87377
354,0.87355
355,0.87319
356,0.87307
357,0.87297
358,0.87164
359,0.87137
360,0.8711
361,0.87092
362,0.87087
363,0.87067
364,0.87067
365,0.87062
366,0.87061
367,0.87061
368,0.8706
369,0.87059
370,0.87058
371,0.87057
372,0.87057
373,0.87056
374,0.87055
375,0.87051
376,0.87051
377,0.87049
378,0.87049
379,0.87049
380,0.87048
381,0.87047
382,0.87046
383,0.87045
384,0.87045
385,0.87044
386,0.87044
387,0.87038
388,0.87037
389,0.87037
390,0.87036
391,0.87035
392,0.87035
393,0.87034
394,0.87032
395,0.87032
396,0.8703
397,0.8703
398,0.8703
399,0.87029
400,0.87028
401,0.87027
402,0.87027
403,0.87027
404,0.87026
405,0.87025
406,0.87025
407,0.87025
408,0.87025
409,0.87024
410,0.87024
411,0.87022
412,0.87022
413,0.87021
414,0.87021
415,0.87019
416,0.87019
417,0.87019
418,0.87018
419,0.87018
420,0.87018
421,0.87018
422,0.87018
423,0.87018
424,0.87018
425,0.87018
426,0.87018
427,0.87018
428,0.87018
429,0.87018
430,0.87018
431,0.87018
432,0.87018
433,0.87018
434,0.87018
435,0.87018
436,0.87018
437,0.87018
438,0.87018
439,0.87018
440,0.87018
441,0.87018
442,0.87018
443,0.87018
444,0.87018
445,0.87018
446,0.87018
447,0.87018
448,0.87018
449,0.87018
450,0.87018
451,0.87018
452,0.87018
453,0.87017
454,0.87017
455,0.87017
456,0.87017
457,0.87017
458,0.87016
459,0.87016
460,0.87016
461,0.87016
462,0.87015
463,0.87015
464,0.87015
465,0.87014
466,0.87014
467,0.87013
468,0.87012
469,0.87012
470,0.87012
471,0.87012
472,0.87012
473,0.87012
474,0.87012
475,0.87012
476,0.87012
477,0.87012
478,0.87012
479,0.87012
480,0.87011
481,0.87009
482,0.87009
483,0.87009
484,0.87008
485,0.87008
486,0.87008
487,0.87008
488,0.87008
489,0.87008
490,0.87007
491,0.87007
492,0.87007
493,0.87007
494,0.87007
495,0.87007
496,0.87006
497,0.87006
498,0.87005
499,0.87005
500,0.87005
501,0.87005
502,0.87005
503,0.87004
504,0.87004
505,0.87003
506,0.87003
507,0.87003
508,0.87002
509,0.87002
510,0.87002
511,0.87002
512,0.87002
513,0.87002
514,0.87001
515,0.87001
516,0.87001
517,0.87001
518,0.87001
519,0.87
520,0.87
521,0.86999
522,0.86999
523,0.86999
524,0.86998
525,0.86998
526,0.86997
527,0.86997
528,0.86997
529,0.86997
530,0.86997
531,0.86997
532,0.86997
533,0.86996
534,0.86996
535,0.86995
536,0.86995
537,0.86995
538,0.86994
539,0.86994
540,0.86994
541,0.86994
542,0.86993
