rank,score
1,0.88209
2,0.88208
3,0.88191
4,0.88188
5,0.88188
6,0.88183
7,0.88181
8,0.88176
9,0.88176
10,0.88174
11,0.88169
12,0.88166
13,0.88161
14,0.88157
15,0.88155
16,0.88154
17,0.88154
18,0.88151
19,0.88149
20,0.88146
21,0.88145
22,0.88144
23,0.88143
24,0.88142
25,0.88142
26,0.88138
27,0.88138
28,0.88137
29,0.88132
30,0.88132
31,0.88131
32,0.8813
33,0.88127
34,0.88126
35,0.88123
36,0.88122
37,0.88121
38,0.8812
39,0.8812
40,0.88119
41,0.88118
42,0.88118
43,0.88118
44,0.88118
45,0.88117
46,0.88115
47,0.88115
48,0.88114
49,0.88113
50,0.88112
51,0.88112
52,0.88109
53,0.88109
54,0.88108
55,0.88108
56,0.88107
57,0.88106
58,0.88105
59,0.88105
60,0.88104
61,0.88102
62,0.88101
63,0.88101
64,0.881
65,0.88098
66,0.88098
67,0.88094
68,0.88093
69,0.88093
70,0.88092
71,0.88092
72,0.88091
73,0.8809
74,0.8809
75,0.8809
76,0.88087
77,0.88087
78,0.88086
79,0.88086
80,0.88085
81,0.88085
82,0.88085
83,0.88084
84,0.88084
85,0.88084
86,0.88083
87,0.88082
88,0.88082
89,0.88081
90,0.8808
91,0.88078
92,0.88078
93,0.88077
94,0.88075
95,0.88074
96,0.88074
97,0.88074
98,0.88073
99,0.88071
100,0.8807
101,0.88069
102,0.88069
103,0.88069
104,0.88068
105,0.88066
106,0.88065
107,0.88064
108,0.88064
109,0.88064
110,0.88064
111,0.88063
112,0.88062
113,0.88062
114,0.88061
115,0.88059
116,0.88056
117,0.88055
118,0.88054
119,0.88054
120,0.88052
121,0.8805
122,0.88048
123,0.88048
124,0.88047
125,0.88046
126,0.88044
127,0.88043
128,0.88039
129,0.88038
130,0.88037
131,0.88036
132,0.88035
133,0.88034
134,0.88034
135,0.88032
136,0.88032
137,0.88032
138,0.8803
139,0.88028
140,0.88027
141,0.88026
142,0.88024
143,0.88023
144,0.88023
145,0.88022
146,0.88022
147,0.8802
148,0.8802
149,0.88017
150,0.88017
151,0.88016
152,0.88012
153,0.88012
154,0.88012
155,0.88012
156,0.88008
157,0.88007
158,0.88007
159,0.88004
160,0.88004
161,0.88001
162,0.87999
163,0.87996
164,0.87996
165,0.87993
166,0.8799
167,0.8799
168,0.87988
169,0.87985
170,0.87984
171,0.87982
172,0.87982
173,0.87981
174,0.8798
175,0.87979
176,0.87976
177,0.87975
178,0.87972
179,0.87971
180,0.8797
181,0.87967
182,0.87966
183,0.87964
184,0.87964
185,0.87961
186,0.87958
187,0.87953
188,0.87952
189,0.8795
190,0.8795
191,0.8795
192,0.87945
193,0.87943
194,0.87943
195,0.8794
196,0.87937
197,0.87933
198,0.87931
199,0.87931
200,0.87928
201,0.87927
202,0.87924
203,0.87923
204,0.87921
205,0.8792
206,0.8792
207,0.87917
208,0.87917
209,0.87917
210,0.87916
211,0.87913
212,0.87911
213,0.8791
214,0.87907
215,0.87903
216,0.87899
217,0.87899
218,0.87896
219,0.87895
220,0.87894
221,0.87888
222,0.87887
223,0.87877
224,0.87873
225,0.87873
226,0.87872
227,0.87867
228,0.87866
229,0.87865
230,0.87864
231,0.87859
232,0.87857
233,0.87856
234,0.87854
235,0.87854
236,0.8785
237,0.87849
238,0.87841
239,0.87838
240,0.87833
241,0.87832
242,0.87823
243,0.87822
244,0.87818
245,0.87816
246,0.87813
247,0.87812
248,0.8781
249,0.8781
250,0.87809
251,0.87802
252,0.87797
253,0.87795
254,0.87794
255,0.87794
256,0.87793
257,0.87791
258,0.8779
259,0.8779
260,0.87788
261,0.87787
262,0.87786
263,0.87783
264,0.87781
265,0.87778
266,0.87777
267,0.87777
268,0.87771
269,0.87771
270,0.87768
271,0.87768
272,0.87768
273,0.87761
274,0.87759
275,0.87747
276,0.87745
277,0.87736
278,0.87736
279,0.87734
280,0.87723
281,0.87721
282,0.87714
283,0.87708
284,0.87704
285,0.87701
286,0.87697
287,0.87694
288,0.87693
289,0.87691
290,0.87682
291,0.87672
292,0.87668
293,0.87662
294,0.87661
295,0.8766
296,0.87657
297,0.87639
298,0.87631
299,0.87617
300,0.87607
301,0.876
302,0.87597
303,0.87596
304,0.87589
305,0.87586
306,0.87575
307,0.87567
308,0.87563
309,0.87555
310,0.87531
311,0.87517
312,0.8751
313,0.87477
314,0.87464
315,0.87441
316,0.87431
317,0.87426
318,0.87425
319,0.87409
320,0.87387
321,0.87379
322,0.87376
323,0.87343
324,0.87338
325,0.87332
326,0.87322
327,0.87321
328,0.8731
329,0.87304
330,0.87281
331,0.87275
332,0.87256
333,0.87248
334,0.87217
335,0.87215
336,0.87213
337,0.87211
338,0.87205
339,0.87196
340,0.87152
341,0.87143
342,0.87138
343,0.87112
344,0.8711
345,0.87097
346,0.87083
347,0.87075
348,0.87025
349,0.87023
350,0.87018
351,0.86972
352,0.86933
353,0.86889
354,0.86877
355,0.86846
356,0.86846
357,0.86756
358,0.86737
359,0.86683
360,0.86672
361,0.86669
362,0.86664
363,0.86662
364,0.86661
365,0.86659
366,0.86652
367,0.86652
368,0.8665
369,0.8665
370,0.86647
371,0.86645
372,0.86644
373,0.86643
374,0.86643
375,0.86642
376,0.86642
377,0.86642
378,0.86641
379,0.86641
380,0.86641
381,0.86641
382,0.86641
383,0.86641
384,0.86641
385,0.86641
386,0.86641
387,0.86641
388,0.86641
389,0.86641
390,0.86641
391,0.86641
392,0.86641
393,0.86641
394,0.86641
395,0.86641
396,0.86641
397,0.86641
398,0.86641
399,0.86641
400,0.86641
401,0.86641
402,0.86641
403,0.86641
404,0.86641
405,0.86641
406,0.86641
407,0.86641
408,0.86641
409,0.86641
410,0.86641
411,0.86641
412,0.86641
413,0.86641
414,0.86641
415,0.86641
416,0.86641
417,0.86641
418,0.86641
419,0.86641
420,0.86641
421,0.86641
422,0.86641
423,0.86641
424,0.86641
425,0.86641
426,0.86641
427,0.86641
428,0.86641
429,0.86641
430,0.86641
431,0.86641
432,0.86641
433,0.86641
434,0.86641
435,0.86641
436,0.86641
437,0.86641
438,0.86641
439,0.86641
440,0.86641
441,0.86641
442,0.86641
443,0.86641
444,0.86641
445,0.86641
446,0.86641
447,0.86641
448,0.86641
449,0.86641
450,0.86641
451,0.86641
452,0.86641
453,0.86641
454,0.86641
455,0.86641
456,0.86641
457,0.86641
458,0.86641
459,0.86641
460,0.86641
461,0.86641
462,0.86641
463,0.86641
464,0.86641
465,0.86641
466,0.86641
467,0.86641
468,0.86641
469,0.86641
470,0.86641
471,0.86641
472,0.86641
473,0.86641
474,0.86641
475,0.86641
476,0.86641
477,0.86641
478,0.86641
479,0.86641
480,0.86641
481,0.86641
482,0.86641
483,0.86641
484,0.86641
485,0.86641
486,0.86641
487,0.86641
488,0.86641
489,0.86641
490,0.86641
491,0.86641
492,0.86641
493,0.86641
494,0.86641
495,0.86641
496,0.86641
497,0.86641
498,0.86641
499,0.86641
500,0.86641
501,0.86641
502,0.86641
503,0.86641
504,0.86641
505,0.86641
506,0.86641
507,0.86641
508,0.86641
509,0.86641
510,0.86641
511,0.86641
512,0.86641
513,0.86641
514,0.86641
515,0.86641
516,0.86641
517,0.86641
518,0.86641
519,0.86641
520,0.86641
521,0.86641
522,0.86641
523,0.86641
524,0.86641
525,0.86641
526,0.86641
527,0.86641
528,0.86641
529,0.86641
530,0.86641
531,0.86641
532,0.86641
533,0.86641
534,0.86641
535,0.86641
536,0.86641
537,0.86641
538,0.86641
539,0.8664
540,0.86639
541,0.86639
542,0.86636
543,0.86636
544,0.86634
545,0.86631
546,0.8663
547,0.86628
548,0.86627
549,0.86627
550,0.86623
551,0.86621
552,0.8662
553,0.8662
554,0.8662
555,0.8662
556,0.86619
557,0.86619
558,0.86617
559,0.86617
560,0.86617
561,0.86615
562,0.86615
563,0.86615
564,0.86613
565,0.86612
566,0.86612
567,0.86611
568,0.8661
569,0.86609
570,0.86607
571,0.86604
572,0.86604
573,0.86604
574,0.86602
575,0.86601
576,0.86601
577,0.866
578,0.866
579,0.866
580,0.86599
581,0.86599
582,0.86598
583,0.86597
584,0.86597
585,0.86596
586,0.86595
587,0.86595
588,0.86595
589,0.86594
590,0.86594
591,0.86593
592,0.86592
593,0.86592
594,0.86592
595,0.86592
596,0.86592
597,0.86591
598,0.86591
599,0.86591
600,0.86591
601,0.8659
602,0.8659
603,0.86589
604,0.86589
605,0.86587
606,0.86586
607,0.86586
608,0.86586
609,0.86586
610,0.86585
611,0.86585
612,0.86585
613,0.86585
614,0.86584
615,0.86584
616,0.86584
617,0.86584
618,0.86583
619,0.86583
620,0.86582
621,0.86582
622,0.86581
623,0.86581
624,0.8658
625,0.8658
626,0.86578
627,0.86578
628,0.86578
629,0.86578
630,0.86577
631,0.86577
632,0.86577
633,0.86577
634,0.86576
635,0.86576
636,0.86575
637,0.86575
638,0.86574
639,0.86574
640,0.86573
641,0.86572
642,0.86572
643,0.86571
644,0.86571
645,0.86571
646,0.8657
647,0.8657
648,0.8657
649,0.86568
650,0.86567
651,0.86565
652,0.86564
653,0.86564
654,0.86564
655,0.86563
656,0.86563
657,0.86562
658,0.86562
659,0.86562
660,0.86562
661,0.86562
662,0.86562
663,0.86562
664,0.86562
665,0.86561
666,0.8656
667,0.8656
668,0.86559
669,0.86559
670,0.86559
671,0.86559
672,0.86559
673,0.86558
674,0.86558
675,0.86558
676,0.86558
677,0.86558
678,0.86558
679,0.86558
680,0.86558
681,0.86558
682,0.86558
683,0.86558
684,0.86558
685,0.86558
686,0.86558
687,0.86558
688,0.86558
689,0.86558
690,0.86558
691,0.86558
692,0.86558
693,0.86558
694,0.86558
695,0.86558
696,0.86558
697,0.86558
698,0.86558
699,0.86558
700,0.86558
701,0.86557
702,0.86557
703,0.86557
704,0.86556
705,0.86555
706,0.86555
707,0.86555
708,0.86555
709,0.86555
710,0.86555
711,0.86555
712,0.86555
713,0.86555
714,0.86555
715,0.86555
716,0.86555
717,0.86555
718,0.86555
719,0.86555
720,0.86555
721,0.86555
722,0.86555
723,0.86555
724,0.86555
725,0.86555
726,0.86555
727,0.86555
728,0.86555
729,0.86555
730,0.86555
731,0.86555
732,0.86555
733,0.86555
734,0.86555
735,0.86555
736,0.86555
737,0.86555
738,0.86555
739,0.86555
740,0.86555
741,0.86555
742,0.86555
743,0.86555
744,0.86555
745,0.86555
746,0.86555
747,0.86555
748,0.86555
749,0.86555
750,0.86555
751,0.86555
752,0.86555
753,0.86555
754,0.86555
755,0.86555
756,0.86555
757,0.86555
758,0.86555
759,0.86555
760,0.86555
761,0.86555
762,0.86555
763,0.86555
764,0.86554
765,0.86554
766,0.86554
767,0.86553
768,0.86553
769,0.86553
770,0.86553
771,0.86552
772,0.86552
773,0.86551
774,0.8655
775,0.86549
776,0.86549
777,0.86548
778,0.86547
779,0.86547
780,0.86546
781,0.86545
782,0.86545
783,0.86545
784,0.86544
785,0.86542
786,0.86542
787,0.86541
788,0.86541
789,0.86541
790,0.86541
791,0.8654
792,0.8654
793,0.8654
794,0.8654
795,0.86539
796,0.86536
797,0.86534
798,0.86533
799,0.86533
800,0.86532
801,0.86532
802,0.86532
803,0.86531
804,0.8653
805,0.86529
806,0.86529
807,0.86529
808,0.86528
809,0.86527
810,0.86527
811,0.86527
812,0.86527
813,0.86527
814,0.86526
815,0.86526
816,0.86525
817,0.86525
818,0.86525
819,0.86525
820,0.86525
821,0.86525
822,0.86525
823,0.86525
824,0.86525
825,0.86525
826,0.86525
827,0.86525
828,0.86525
829,0.86525
830,0.86525
831,0.86525
832,0.86525
833,0.86525
834,0.86525
835,0.86525
836,0.86525
837,0.86525
838,0.86525
839,0.86525
840,0.86525
841,0.86525
842,0.86524
843,0.86524
844,0.86522
845,0.86522
846,0.86522
847,0.86521
848,0.86521
849,0.86521
850,0.86521
851,0.8652
852,0.86518
853,0.86517
854,0.86517
855,0.86517
856,0.86517
857,0.86517
858,0.86516
859,0.86515
860,0.86514
861,0.86513
862,0.86513
863,0.86513
864,0.86511
865,0.8651
866,0.8651
867,0.86509
868,0.86509
869,0.86508
870,0.86508
871,0.86508
872,0.86508
873,0.86508
874,0.86508
875,0.86508
876,0.86508
877,0.86508
878,0.86507
879,0.86507
880,0.86507
881,0.86507
882,0.86507
883,0.86507
884,0.86504
885,0.86502
886,0.865
887,0.86499
888,0.86498
889,0.86497
890,0.86495
891,0.86493
892,0.86493
893,0.86493
894,0.86493
895,0.8649
896,0.86489
897,0.86489
898,0.86489
899,0.86489
900,0.86488
901,0.86488
902,0.86488
903,0.86486
904,0.86483
905,0.86477
906,0.86476
907,0.86474
908,0.86474
909,0.86471
910,0.86471
911,0.86468
912,0.86462
913,0.86462
914,0.8646
915,0.86458
916,0.86458
917,0.86455
918,0.86454
919,0.86454
920,0.86454
921,0.86454
922,0.86454
923,0.86454
924,0.86454
925,0.86454
926,0.86454
927,0.86454
928,0.86454
929,0.86452
930,0.86449
931,0.86449
932,0.86449
933,0.86445
934,0.86445
935,0.86444
936,0.86442
937,0.86438
938,0.86438
939,0.86436
940,0.86436
941,0.86435
942,0.86434
943,0.86426
944,0.86424
945,0.86419
946,0.86418
947,0.86418
948,0.86418
949,0.86418
950,0.86415
951,0.86414
952,0.86412
953,0.86406
954,0.86403
955,0.86402
956,0.86401
957,0.864
958,0.86399
959,0.86398
960,0.86395
961,0.86394
962,0.86393
963,0.86393
964,0.86393
965,0.86393
966,0.86393
967,0.86393
968,0.86393
969,0.86393
970,0.86393
971,0.86393
972,0.86393
973,0.86391
974,0.8639
975,0.86388
976,0.86387
977,0.86385
978,0.86382
979,0.8638
980,0.86377
981,0.86377
982,0.86375
983,0.86375
984,0.86371
985,0.86366
986,0.86359
987,0.86357
988,0.86356
989,0.86355
990,0.86355
991,0.86347
992,0.8634
993,0.86339
994,0.86329
995,0.86326
996,0.86322
997,0.86314
998,0.86314
999,0.86314
1000,0.86307
1001,0.86298
1002,0.86297
1003,0.8629
1004,0.86279
1005,0.86276
1006,0.86276
1007,0.86261
1008,0.86258
1009,0.86256
1010,0.86241
1011,0.86213
1012,0.86201
1013,0.86199
1014,0.86198
1015,0.86181
1016,0.86175
1017,0.86159
1018,0.86129
1019,0.86078
1020,0.86076
1021,0.86068
1022,0.86054
1023,0.86051
1024,0.86047
1025,0.86046
1026,0.85987
1027,0.85975
1028,0.85971
1029,0.8584
1030,0.85804
1031,0.85759
1032,0.85752
1033,0.85718
1034,0.8568
1035,0.85679
1036,0.85659
1037,0.85649
1038,0.85646
1039,0.85641
1040,0.85625
1041,0.85616
1042,0.85597
1043,0.85532
1044,0.85525
1045,0.8549
1046,0.85372
1047,0.85371
1048,0.85367
1049,0.85366
1050,0.85363
1051,0.85361
1052,0.85361
1053,0.85359
1054,0.85359
1055,0.85359
1056,0.85359
1057,0.85359
1058,0.85359
1059,0.85359
1060,0.85359
1061,0.85359
1062,0.85359
1063,0.85359
1064,0.85359
1065,0.85359
1066,0.85359
1067,0.85359
1068,0.85359
1069,0.85359
1070,0.85359
1071,0.85359
1072,0.85359
1073,0.85359
