rank,score
1,0.85448
2,0.85433
3,0.85428
4,0.85411
5,0.8535
6,0.85252
7,0.85225
8,0.85199
9,0.85184
10,0.85178
11,0.85156
12,0.85066
13,0.85039
14,0.85009
15,0.84998
16,0.84996
17,0.84957
18,0.84941
19,0.8492
20,0.84894
21,0.84869
22,0.84831
23,0.8483
24,0.84818
25,0.84818
26,0.84802
27,0.84797
28,0.84797
29,0.84796
30,0.84787
31,0.84787
32,0.84787
33,0.84785
34,0.84774
35,0.84762
36,0.8475
37,0.84742
38,0.84739
39,0.84732
40,0.84724
41,0.84723
42,0.84722
43,0.84721
44,0.8471
45,0.84708
46,0.84705
47,0.84704
48,0.84697
49,0.84685
50,0.84679
51,0.84673
52,0.84668
53,0.84663
54,0.84646
55,0.84642
56,0.84626
57,0.8462
58,0.84618
59,0.84615
60,0.84613
61,0.8461
62,0.84599
63,0.8459
64,0.84574
65,0.84569
66,0.84569
67,0.84563
68,0.84563
69,0.84562
70,0.84556
71,0.84555
72,0.84552
73,0.84546
74,0.84543
75,0.84537
76,0.84537
77,0.84523
78,0.84512
79,0.84502
80,0.84498
81,0.84488
82,0.84487
83,0.84486
84,0.84481
85,0.84481
86,0.84477
87,0.84476
88,0.84475
89,0.84461
90,0.84458
91,0.84453
92,0.8445
93,0.84442
94,0.84439
95,0.84434
96,0.84428
97,0.84423
98,0.84418
99,0.84417
100,0.84416
101,0.84405
102,0.84402
103,0.84399
104,0.84396
105,0.84378
106,0.84366
107,0.84364
108,0.84358
109,0.84351
110,0.84349
111,0.84325
112,0.84321
113,0.84313
114,0.8431
115,0.84306
116,0.84292
117,0.84265
118,0.84263
119,0.84263
120,0.84256
121,0.84252
122,0.8423
123,0.84221
124,0.84206
125,0.8418
126,0.84175
127,0.8415
128,0.84143
129,0.84122
130,0.84113
131,0.84104
132,0.84103
133,0.84101
134,0.84088
135,0.84088
136,0.8407
137,0.84068
138,0.84067
139,0.84064
140,0.84062
141,0.84055
142,0.84053
143,0.8405
144,0.84043
145,0.84028
146,0.84003
147,0.83972
148,0.83963
149,0.83959
150,0.83955
151,0.83953
152,0.83953
153,0.83949
154,0.83941
155,0.83935
156,0.83932
157,0.83922
158,0.83914
159,0.83903
160,0.839
161,0.839
162,0.83894
163,0.83893
164,0.83877
165,0.8386
166,0.83858
167,0.83851
168,0.83847
169,0.83832
170,0.838
171,0.83796
172,0.83789
173,0.83784
174,0.83783
175,0.83781
176,0.83755
177,0.83731
178,0.83728
179,0.83716
180,0.83713
181,0.83698
182,0.83688
183,0.83684
184,0.83661
185,0.83646
186,0.83641
187,0.83634
188,0.8363
189,0.83624
190,0.8362
191,0.83614
192,0.83608
193,0.83597
194,0.83573
195,0.83567
196,0.83566
197,0.8356
198,0.83552
199,0.8355
200,0.83533
201,0.83527
202,0.83526
203,0.83519
204,0.83518
205,0.83514
206,0.83502
207,0.83489
208,0.83486
209,0.83481
210,0.83471
211,0.8347
212,0.83466
213,0.83458
214,0.83457
215,0.83454
216,0.83454
217,0.83433
218,0.83432
219,0.83431
220,0.8343
221,0.83413
222,0.83411
223,0.83402
224,0.83386
225,0.83384
226,0.83383
227,0.8338
228,0.83366
229,0.83366
230,0.83365
231,0.83351
232,0.8335
233,0.83344
234,0.83344
235,0.83344
236,0.83344
237,0.83344
238,0.83344
239,0.83344
240,0.83344
241,0.83344
242,0.83344
243,0.83344
244,0.83344
245,0.83344
246,0.83344
247,0.83344
248,0.83344
249,0.83344
250,0.83344
251,0.83344
252,0.83344
253,0.83344
254,0.83344
255,0.83344
256,0.83344
257,0.83344
258,0.83344
259,0.83344
260,0.83344
261,0.83344
262,0.83344
263,0.83344
264,0.83344
265,0.83344
266,0.83344
267,0.83344
268,0.83344
269,0.83344
270,0.83344
271,0.83344
272,0.83344
273,0.83344
274,0.83344
275,0.83344
276,0.83344
277,0.83344
278,0.83344
279,0.83344
280,0.83344
281,0.83344
282,0.83344
283,0.83344
284,0.83344
285,0.83344
286,0.83344
287,0.83344
288,0.83344
289,0.83344
290,0.83344
291,0.83344
292,0.83344
293,0.83344
294,0.83344
295,0.83344
296,0.83344
297,0.83344
298,0.83344
299,0.83344
300,0.83344
301,0.83344
302,0.83344
303,0.83344
304,0.83344
305,0.83344
306,0.83344
307,0.83344
308,0.83344
309,0.83344
310,0.83344
311,0.83344
312,0.83344
313,0.83344
314,0.83344
315,0.83344
316,0.83344
317,0.83344
318,0.83344
319,0.83344
320,0.83344
321,0.83344
322,0.83344
323,0.83344
324,0.83344
325,0.83344
326,0.83344
327,0.83344
328,0.83344
329,0.83344
330,0.83344
331,0.83344
332,0.83344
333,0.83344
334,0.83344
335,0.83344
336,0.83344
337,0.83344
338,0.83344
339,0.83344
340,0.83344
341,0.83344
342,0.83344
343,0.83344
344,0.83344
345,0.83344
346,0.83344
347,0.83344
348,0.83344
