rank,score
1,0.76444
2,0.7574
3,0.75698
4,0.75514
5,0.75421
6,0.75377
7,0.75375
8,0.75372
9,0.7526
10,0.75248
11,0.75236
12,0.75097
13,0.7509
14,0.75054
15,0.74946
16,0.7482
17,0.74816
18,0.74796
19,0.74723
20,0.74659
21,0.74542
22,0.74514
23,0.74506
24,0.74492
25,0.74449
26,0.74357
27,0.74293
28,0.74274
29,0.74228
30,0.74215
31,0.74168
32,0.74164
33,0.74161
34,0.74142
35,0.74139
36,0.74093
37,0.74056
38,0.73964
39,0.73899
40,0.73897
41,0.73868
42,0.73863
43,0.73853
44,0.73816
45,0.73799
46,0.73786
47,0.73786
48,0.73774
49,0.73769
50,0.73768
51,0.73756
52,0.73699
53,0.73638
54,0.73628
55,0.73624
56,0.73602
57,0.73586
58,0.7358
59,0.73572
60,0.7355
61,0.73549
62,0.7353
63,0.7352
64,0.73492
65,0.73458
66,0.73453
67,0.73451
68,0.73439
69,0.73418
70,0.73399
71,0.73394
72,0.73372
73,0.73349
74,0.73335
75,0.73324
76,0.73291
77,0.73252
78,0.73197
79,0.73141
80,0.73134
81,0.73119
82,0.73107
83,0.73083
84,0.73081
85,0.73074
86,0.73068
87,0.73066
88,0.7306
89,0.7305
90,0.73047
91,0.73038
92,0.73028
93,0.73014
94,0.72988
95,0.72982
96,0.72957
97,0.72956
98,0.7293
99,0.72925
100,0.72925
101,0.72891
102,0.72884
103,0.72877
104,0.7287
105,0.72864
106,0.72814
107,0.72774
108,0.72772
109,0.72764
110,0.72749
111,0.72741
112,0.72733
113,0.72724
114,0.72689
115,0.72684
116,0.7267
117,0.72668
118,0.72667
119,0.72645
120,0.72629
121,0.72619
122,0.72607
123,0.72596
124,0.72578
125,0.72548
126,0.72478
127,0.72459
128,0.72452
129,0.72372
130,0.72368
131,0.72334
132,0.72334
133,0.72332
134,0.72307
135,0.72296
136,0.72293
137,0.7228
138,0.72271
139,0.7227
140,0.72262
141,0.72246
142,0.72237
143,0.72217
144,0.72187
145,0.72172
146,0.72144
147,0.72129
148,0.72128
149,0.7211
150,0.72097
151,0.72058
152,0.72015
153,0.72007
154,0.72006
155,0.71958
156,0.71957
157,0.71957
158,0.71947
159,0.71938
160,0.71936
161,0.71885
162,0.71878
163,0.71877
164,0.71866
165,0.71781
166,0.71779
167,0.71778
168,0.71762
169,0.7175
170,0.71713
171,0.71709
172,0.71707
173,0.71704
174,0.71668
175,0.71604
176,0.71585
177,0.71574
178,0.71571
179,0.71552
180,0.71525
181,0.71489
182,0.71487
183,0.7144
184,0.71389
185,0.71381
186,0.71307
187,0.71262
188,0.71256
189,0.71238
190,0.71207
191,0.71187
192,0.71174
193,0.7117
194,0.71166
195,0.71162
196,0.71122
197,0.7111
198,0.71083
199,0.71083
200,0.71044
201,0.71001
202,0.70951
203,0.7095
204,0.70919
205,0.70903
206,0.70873
207,0.7086
208,0.70823
209,0.70818
210,0.70787
211,0.70763
212,0.70759
213,0.70742
214,0.70671
215,0.70644
216,0.70638
217,0.70619
218,0.70619
219,0.70601
220,0.70559
221,0.70558
222,0.70554
223,0.70525
224,0.70417
225,0.70416
226,0.70393
227,0.70388
228,0.70382
229,0.70373
230,0.70342
231,0.70341
232,0.70335
233,0.70308
234,0.70306
235,0.70287
236,0.70275
237,0.70257
238,0.70243
239,0.70242
240,0.70226
241,0.70219
242,0.70212
243,0.70194
244,0.70191
245,0.70182
246,0.70156
247,0.70148
248,0.70128
249,0.70111
250,0.70111
251,0.70103
252,0.70097
253,0.70097
254,0.70096
255,0.70094
256,0.70077
257,0.70077
258,0.70056
259,0.70046
260,0.70032
261,0.70025
262,0.70025
263,0.70024
264,0.7001
265,0.70003
266,0.69998
267,0.69998
268,0.69998
269,0.69998
270,0.69998
271,0.69998
272,0.69998
273,0.69998
274,0.69998
275,0.69998
276,0.69998
277,0.69998
278,0.69998
279,0.69998
280,0.69998
281,0.69998
282,0.69998
283,0.69998
284,0.69998
285,0.69998
286,0.69998
287,0.69998
288,0.69998
289,0.69998
290,0.69998
291,0.69998
292,0.69998
293,0.69998
294,0.69998
295,0.69998
296,0.69998
297,0.69998
298,0.69998
299,0.69998
300,0.69998
301,0.69998
302,0.69998
303,0.69998
304,0.69998
305,0.69998
306,0.69998
307,0.69998
308,0.69998
309,0.69998
310,0.69998
311,0.69998
312,0.69998
313,0.69998
314,0.69998
315,0.69998
316,0.69998
317,0.69998
