rank,score
1,0.936
2,0.932
3,0.931
4,0.93
5,0.929
6,0.929
7,0.929
8,0.929
9,0.928
10,0.928
11,0.928
12,0.928
13,0.927
14,0.927
15,0.927
16,0.927
17,0.926
18,0.926
19,0.926
20,0.926
21,0.926
22,0.925
23,0.925
24,0.925
25,0.925
26,0.924
27,0.924
28,0.924
29,0.924
30,0.924
31,0.924
32,0.924
33,0.924
34,0.923
35,0.923
36,0.923
37,0.923
38,0.923
39,0.923
40,0.923
41,0.923
42,0.923
43,0.922
44,0.922
45,0.922
46,0.922
47,0.922
48,0.922
49,0.922
50,0.922
51,0.922
52,0.922
53,0.922
54,0.921
55,0.921
56,0.921
57,0.921
58,0.921
59,0.921
60,0.921
61,0.921
62,0.921
63,0.921
64,0.921
65,0.92
66,0.92
67,0.92
68,0.92
69,0.92
70,0.92
71,0.92
72,0.92
73,0.92
74,0.919
75,0.919
76,0.919
77,0.919
78,0.919
79,0.919
80,0.919
81,0.918
82,0.918
83,0.918
84,0.918
85,0.918
86,0.918
87,0.918
88,0.918
89,0.918
90,0.918
91,0.918
92,0.918
93,0.917
94,0.917
95,0.916
96,0.916
97,0.916
98,0.916
99,0.916
100,0.916
101,0.915
102,0.915
103,0.915
104,0.915
105,0.915
106,0.915
107,0.915
108,0.915
109,0.915
110,0.915
111,0.914
112,0.914
113,0.914
114,0.914
115,0.914
116,0.914
117,0.914
118,0.914
119,0.913
120,0.913
121,0.913
122,0.913
123,0.913
124,0.913
125,0.913
126,0.913
127,0.912
128,0.912
129,0.912
130,0.912
131,0.912
132,0.912
133,0.912
134,0.912
135,0.912
136,0.912
137,0.912
138,0.912
139,0.912
140,0.912
141,0.912
142,0.912
143,0.912
144,0.911
145,0.911
146,0.911
147,0.911
148,0.911
149,0.911
150,0.911
151,0.911
152,0.911
153,0.911
154,0.911
155,0.911
156,0.911
157,0.911
158,0.911
159,0.911
160,0.911
161,0.91
162,0.91
163,0.91
164,0.91
165,0.91
166,0.91
167,0.91
168,0.91
169,0.91
170,0.91
171,0.91
172,0.91
173,0.91
174,0.91
175,0.91
176,0.91
177,0.91
178,0.91
179,0.909
180,0.909
181,0.909
182,0.909
183,0.909
184,0.909
185,0.909
186,0.909
187,0.909
188,0.909
189,0.909
190,0.909
191,0.908
192,0.908
193,0.908
194,0.908
195,0.908
196,0.908
197,0.908
198,0.908
199,0.908
200,0.908
201,0.908
202,0.908
203,0.907
204,0.907
205,0.907
206,0.907
207,0.907
208,0.907
209,0.907
210,0.907
211,0.907
212,0.907
213,0.907
214,0.907
