rank,score
1,0.948
2,0.946
3,0.945
4,0.945
5,0.944
6,0.944
7,0.943
8,0.943
9,0.943
10,0.943
11,0.943
12,0.942
13,0.942
14,0.941
15,0.941
16,0.941
17,0.941
18,0.941
19,0.94
20,0.94
21,0.94
22,0.94
23,0.94
24,0.94
25,0.94
26,0.939
27,0.939
28,0.939
29,0.939
30,0.939
31,0.939
32,0.939
33,0.939
34,0.938
35,0.938
36,0.938
37,0.937
38,0.937
39,0.937
40,0.937
41,0.937
42,0.937
43,0.936
44,0.936
45,0.936
46,0.936
47,0.936
48,0.936
49,0.936
50,0.936
51,0.936
52,0.936
53,0.935
54,0.935
55,0.935
56,0.935
57,0.935
58,0.935
59,0.935
60,0.935
61,0.935
62,0.935
63,0.934
64,0.934
65,0.934
66,0.934
67,0.934
68,0.934
69,0.934
70,0.934
71,0.934
72,0.933
73,0.933
74,0.933
75,0.933
76,0.933
77,0.933
78,0.933
79,0.933
80,0.932
81,0.932
82,0.932
83,0.932
84,0.932
85,0.932
86,0.932
87,0.932
88,0.932
89,0.932
90,0.932
91,0.932
92,0.931
93,0.931
94,0.931
95,0.931
96,0.931
97,0.931
98,0.931
99,0.93
100,0.93
101,0.93
102,0.93
103,0.93
104,0.93
105,0.93
106,0.93
107,0.93
108,0.929
109,0.929
110,0.929
111,0.929
112,0.929
113,0.929
114,0.929
115,0.929
116,0.929
117,0.929
118,0.929
119,0.929
120,0.928
121,0.928
122,0.928
123,0.928
124,0.928
125,0.928
126,0.928
127,0.928
128,0.928
129,0.928
130,0.928
131,0.928
132,0.927
133,0.927
134,0.927
135,0.927
136,0.927
137,0.927
138,0.927
139,0.927
140,0.927
141,0.927
142,0.927
143,0.927
144,0.927
145,0.926
146,0.926
147,0.926
148,0.926
149,0.926
150,0.926
151,0.926
152,0.926
153,0.926
154,0.926
155,0.926
156,0.926
157,0.926
158,0.926
159,0.926
160,0.926
161,0.926
162,0.926
163,0.926
164,0.925
165,0.925
166,0.925
167,0.925
168,0.925
169,0.925
170,0.925
171,0.925
172,0.925
173,0.925
174,0.925
175,0.925
176,0.925
177,0.925
178,0.925
179,0.925
180,0.925
181,0.925
182,0.925
183,0.924
184,0.924
185,0.924
186,0.924
187,0.924
188,0.924
189,0.924
190,0.924
191,0.924
192,0.924
193,0.924
194,0.924
195,0.924
196,0.924
197,0.924
198,0.924
199,0.924
200,0.924
201,0.924
202,0.924
203,0.924
204,0.924
205,0.924
206,0.924
207,0.924
208,0.924
209,0.924
210,0.924
211,0.923
212,0.923
213,0.923
214,0.923
215,0.923
216,0.923
217,0.923
218,0.923
219,0.923
220,0.923
221,0.923
222,0.923
223,0.923
224,0.923
225,0.923
226,0.923
227,0.923
228,0.923
229,0.923
230,0.923
231,0.923
232,0.923
233,0.923
234,0.923
235,0.923
236,0.923
237,0.923
238,0.923
239,0.923
240,0.922
241,0.922
242,0.922
243,0.922
244,0.922
245,0.922
246,0.922
247,0.922
248,0.922
249,0.922
250,0.922
251,0.922
252,0.922
253,0.922
254,0.922
255,0.922
256,0.922
257,0.922
258,0.922
259,0.922
260,0.922
261,0.922
262,0.922
263,0.922
264,0.922
265,0.922
266,0.922
267,0.922
268,0.922
269,0.922
270,0.922
271,0.922
272,0.922
273,0.922
274,0.922
275,0.922
276,0.922
277,0.922
278,0.922
279,0.922
280,0.922
281,0.922
282,0.922
283,0.922
284,0.922
285,0.922
286,0.922
287,0.922
288,0.922
289,0.922
290,0.922
291,0.922
292,0.922
293,0.922
294,0.922
295,0.922
296,0.922
297,0.922
298,0.922
299,0.922
300,0.922
301,0.922
302,0.922
303,0.922
304,0.922
305,0.922
306,0.922
307,0.922
308,0.922
309,0.922
310,0.922
311,0.922
312,0.922
313,0.922
314,0.922
315,0.922
316,0.922
317,0.922
318,0.922
319,0.922
320,0.922
321,0.922
322,0.922
323,0.922
324,0.922
325,0.922
326,0.922
327,0.922
328,0.922
329,0.922
330,0.922
331,0.922
332,0.922
333,0.922
334,0.922
335,0.922
336,0.922
337,0.922
338,0.922
339,0.922
340,0.922
341,0.922
342,0.922
343,0.922
344,0.922
345,0.922
346,0.922
347,0.922
348,0.922
349,0.922
350,0.922
351,0.922
352,0.922
353,0.922
354,0.922
355,0.922
356,0.922
357,0.922
358,0.922
359,0.922
360,0.922
361,0.922
362,0.922
363,0.922
364,0.922
365,0.922
366,0.922
367,0.922
368,0.922
369,0.922
370,0.922
371,0.922
372,0.922
373,0.922
374,0.922
375,0.922
376,0.922
377,0.922
378,0.922
379,0.922
380,0.922
381,0.922
382,0.922
383,0.922
384,0.922
385,0.922
386,0.922
387,0.922
388,0.922
389,0.922
390,0.922
391,0.922
392,0.922
393,0.922
394,0.922
395,0.922
396,0.922
397,0.922
398,0.922
399,0.922
400,0.922
401,0.922
402,0.922
403,0.922
404,0.922
405,0.922
406,0.922
407,0.922
408,0.922
409,0.922
410,0.922
411,0.922
412,0.922
413,0.922
414,0.922
415,0.922
416,0.922
417,0.922
418,0.922
419,0.922
420,0.922
421,0.922
422,0.922
423,0.922
424,0.922
425,0.922
426,0.922
427,0.922
428,0.922
429,0.922
430,0.922
431,0.922
432,0.922
433,0.922
434,0.922
435,0.922
436,0.922
437,0.922
438,0.922
439,0.922
440,0.922
441,0.922
442,0.922
443,0.922
444,0.922
445,0.922
446,0.922
447,0.922
448,0.922
449,0.922
450,0.922
451,0.922
452,0.922
453,0.922
454,0.922
455,0.922
456,0.922
457,0.922
458,0.922
459,0.922
460,0.922
461,0.922
462,0.922
463,0.922
464,0.922
465,0.922
466,0.922
467,0.922
468,0.922
469,0.922
470,0.922
471,0.922
472,0.922
473,0.922
474,0.922
475,0.922
476,0.922
477,0.922
478,0.922
479,0.922
480,0.922
481,0.922
482,0.922
483,0.922
484,0.922
485,0.922
486,0.922
487,0.921
488,0.921
489,0.921
490,0.921
491,0.921
492,0.921
493,0.921
494,0.921
495,0.921
496,0.921
497,0.921
498,0.921
499,0.921
500,0.921
501,0.921
502,0.921
503,0.921
504,0.921
505,0.921
506,0.921
507,0.921
508,0.921
509,0.921
510,0.921
511,0.921
512,0.921
513,0.921
514,0.921
515,0.921
516,0.921
517,0.921
518,0.921
519,0.921
520,0.921
521,0.921
522,0.921
523,0.921
524,0.921
525,0.921
526,0.921
527,0.921
528,0.921
529,0.921
530,0.921
531,0.921
532,0.921
533,0.921
534,0.921
535,0.921
536,0.921
537,0.921
538,0.921
539,0.921
540,0.921
541,0.921
542,0.921
543,0.921
544,0.921
545,0.921
546,0.921
547,0.921
548,0.921
549,0.921
550,0.921
551,0.921
552,0.921
553,0.921
554,0.921
555,0.921
556,0.921
557,0.921
558,0.921
559,0.921
560,0.921
561,0.921
562,0.921
563,0.921
564,0.921
565,0.921
566,0.921
567,0.921
568,0.921
569,0.921
570,0.921
571,0.921
572,0.921
573,0.921
574,0.921
575,0.921
576,0.921
577,0.921
578,0.921
579,0.921
580,0.921
581,0.921
582,0.921
583,0.921
584,0.921
585,0.921
586,0.921
587,0.921
588,0.921
589,0.921
590,0.921
591,0.921
592,0.921
