rank,score
1,1109.70772
2,1110.01363
3,1110.04733
4,1110.24415
5,1110.30015
6,1110.51398
7,1110.61167
8,1110.65356
9,1110.69308
10,1110.69996
11,1111.00918
12,1111.09527
13,1111.24205
14,1111.24364
15,1111.26135
16,1111.3868
17,1111.41846
18,1111.50784
19,1111.52353
20,1111.55191
21,1111.79176
22,1111.80767
23,1111.81387
24,1111.84671
25,1112.00646
26,1112.11189
27,1112.1252
28,1112.13405
29,1112.2575
30,1112.26303
31,1112.34516
32,1112.35557
33,1112.37834
34,1112.42162
35,1112.47445
36,1112.47677
37,1112.49159
38,1112.49726
39,1112.50415
40,1112.51042
41,1112.53459
42,1112.55258
43,1112.60531
44,1112.65047
45,1112.70165
46,1112.73936
47,1112.74324
48,1112.82417
49,1112.8268
50,1112.83357
51,1112.842
52,1112.87689
53,1112.87737
54,1112.89412
55,1112.89583
56,1112.89653
57,1112.90387
58,1112.95626
59,1112.98348
60,1112.98722
61,1113.00031
62,1113.008
63,1113.01169
64,1113.01704
65,1113.02474
66,1113.02848
67,1113.04993
68,1113.05416
69,1113.08078
70,1113.08585
71,1113.10048
72,1113.10484
73,1113.11804
74,1113.13141
75,1113.14129
76,1113.14469
77,1113.15131
78,1113.15633
79,1113.16776
80,1113.1934
81,1113.20017
82,1113.20033
83,1113.24066
84,1113.24893
85,1113.2499
86,1113.26051
87,1113.28223
88,1113.29259
89,1113.3072
90,1113.30965
91,1113.32015
92,1113.34646
93,1113.36283
94,1113.3844
95,1113.39962
96,1113.41531
97,1113.41709
98,1113.42478
99,1113.47048
100,1113.47635
101,1113.48979
102,1113.49985
103,1113.51945
104,1113.53762
105,1113.53764
106,1113.53768
107,1113.55608
108,1113.55706
109,1113.57339
110,1113.57353
111,1113.61335
112,1113.62425
113,1113.62841
114,1113.62895
115,1113.63023
116,1113.64699
117,1113.65229
118,1113.65865
119,1113.67372
120,1113.67825
121,1113.68451
122,1113.69601
123,1113.70067
124,1113.74211
125,1113.74491
126,1113.76672
127,1113.77176
128,1113.7746
129,1113.7911
130,1113.79116
131,1113.81895
132,1113.82583
133,1113.84257
134,1113.85033
135,1113.85148
136,1113.86917
137,1113.86946
138,1113.86957
139,1113.87397
140,1113.87597
141,1113.88165
142,1113.88456
143,1113.88511
144,1113.90135
145,1113.91479
146,1113.9153
147,1113.91948
148,1113.94936
149,1113.95533
150,1113.96707
151,1113.97877
152,1113.98716
153,1113.99758
154,1114.00425
155,1114.04139
156,1114.05685
157,1114.10023
158,1114.10342
159,1114.12699
160,1114.12879
161,1114.14149
162,1114.17603
163,1114.17823
164,1114.19415
165,1114.20842
166,1114.2183
167,1114.23354
168,1114.23461
169,1114.24514
170,1114.25239
171,1114.25367
172,1114.26143
173,1114.26668
174,1114.26817
175,1114.27152
176,1114.30659
177,1114.3157
178,1114.31896
179,1114.31951
180,1114.34907
181,1114.36313
182,1114.3819
183,1114.38951
184,1114.39356
185,1114.39555
186,1114.39812
187,1114.39941
188,1114.41779
189,1114.4226
190,1114.44293
191,1114.45737
192,1114.46168
193,1114.48415
194,1114.4874
195,1114.48941
196,1114.49956
197,1114.52586
198,1114.52697
199,1114.53207
200,1114.53546
201,1114.546
202,1114.55691
203,1114.561
204,1114.56269
205,1114.56751
206,1114.56953
207,1114.57995
208,1114.58736
209,1114.59198
210,1114.59335
211,1114.59549
212,1114.60346
213,1114.62118
214,1114.63095
215,1114.63571
216,1114.63841
217,1114.64703
218,1114.65271
219,1114.66109
220,1114.6814
221,1114.70911
222,1114.70925
223,1114.71407
224,1114.73304
225,1114.74938
226,1114.7503
227,1114.77178
228,1114.78239
229,1114.78806
230,1114.80361
231,1114.80391
232,1114.805
233,1114.8056
234,1114.81212
235,1114.8323
236,1114.83854
237,1114.8561
238,1114.87167
239,1114.87368
240,1114.874
241,1114.90177
242,1114.9021
243,1114.91055
244,1114.91175
245,1114.91556
246,1114.92778
247,1114.94009
248,1114.95759
249,1114.96519
250,1114.96546
251,1114.98996
252,1115.00552
253,1115.01731
254,1115.01741
255,1115.03441
256,1115.03868
257,1115.04596
258,1115.06682
259,1115.07456
260,1115.11222
261,1115.12393
262,1115.12434
263,1115.1693
264,1115.20839
265,1115.20839
266,1115.22426
267,1115.24828
268,1115.28659
269,1115.28843
270,1115.29194
271,1115.30576
272,1115.31232
273,1115.31802
274,1115.31907
275,1115.33133
276,1115.34548
277,1115.34897
278,1115.35805
279,1115.36212
280,1115.36824
281,1115.37026
282,1115.37035
283,1115.37234
284,1115.39067
285,1115.40109
286,1115.4295
287,1115.44004
288,1115.45547
289,1115.46948
290,1115.46982
291,1115.49126
292,1115.49559
293,1115.49565
294,1115.4967
295,1115.49792
296,1115.49838
297,1115.50359
298,1115.50362
299,1115.51879
300,1115.52
301,1115.52409
302,1115.52433
303,1115.53651
304,1115.53862
305,1115.5586
306,1115.56306
307,1115.56552
308,1115.58458
309,1115.60204
310,1115.60638
311,1115.6296
312,1115.64078
313,1115.64911
314,1115.67458
315,1115.69908
316,1115.69939
317,1115.71021
318,1115.71593
319,1115.71627
320,1115.72203
321,1115.72574
322,1115.73762
323,1115.75014
324,1115.75458
325,1115.759
326,1115.77356
327,1115.81342
328,1115.81588
329,1115.85531
330,1115.89866
331,1115.93728
332,1115.97488
333,1116.06716
334,1116.06721
335,1116.09078
336,1116.09349
337,1116.09429
338,1116.11338
339,1116.12425
340,1116.12523
341,1116.14427
342,1116.15527
343,1116.1737
344,1116.19472
345,1116.20287
346,1116.20849
347,1116.20991
348,1116.21692
349,1116.22273
350,1116.2229
351,1116.24965
352,1116.26946
353,1116.29347
354,1116.30692
355,1116.32555
356,1116.33498
357,1116.38484
358,1116.38925
359,1116.39787
360,1116.40053
361,1116.42158
362,1116.42271
363,1116.42438
364,1116.43007
365,1116.4319
366,1116.43613
367,1116.44894
368,1116.45583
369,1116.47721
370,1116.59034
371,1116.61589
372,1116.68149
373,1116.73503
374,1116.96835
375,1116.97034
376,1116.97934
377,1116.99649
378,1117.03801
379,1117.05069
380,1117.05923
381,1117.07243
382,1117.18428
383,1117.19783
384,1117.21949
385,1117.23355
386,1117.24234
387,1117.24495
388,1117.25643
389,1117.30525
390,1117.32769
391,1117.39519
392,1117.41128
393,1117.41577
394,1117.44834
395,1117.45406
396,1117.45983
397,1117.46758
398,1117.48044
399,1117.51073
400,1117.53018
401,1117.60986
402,1117.61356
403,1117.64411
404,1117.69353
405,1117.71036
406,1117.78388
407,1117.79354
408,1117.79778
409,1117.80001
410,1117.86372
411,1117.86788
412,1117.87743
413,1117.95197
414,1117.95261
415,1117.98289
416,1117.98581
417,1117.98956
418,1118.06298
419,1118.08523
420,1118.11511
421,1118.19541
422,1118.2156
423,1118.217
424,1118.24142
425,1118.28394
426,1118.30977
427,1118.31196
428,1118.32765
429,1118.40323
430,1118.42734
431,1118.44394
432,1118.45149
433,1118.469
434,1118.52878
435,1118.53693
436,1118.55798
437,1118.58952
438,1118.60214
439,1118.61448
440,1118.62818
441,1118.64479
442,1118.65523
443,1118.68536
444,1118.69174
445,1118.69409
446,1118.70592
447,1118.73025
448,1118.74678
449,1118.75329
450,1118.8114
451,1118.81639
452,1118.82849
453,1118.83592
454,1118.83879
455,1118.92682
456,1118.95394
457,1119.02511
458,1119.02992
459,1119.09219
460,1119.16907
461,1119.16907
462,1119.19116
463,1119.21563
464,1119.22753
465,1119.24067
466,1119.286
467,1119.28695
468,1119.30336
469,1119.33312
470,1119.3451
471,1119.35265
472,1119.35351
473,1119.37223
474,1119.40776
475,1119.41743
476,1119.43373
477,1119.45809
478,1119.46548
479,1119.46797
480,1119.4753
481,1119.4938
482,1119.50044
483,1119.57551
484,1119.61232
485,1119.62613
486,1119.63712
487,1119.68902
488,1119.6984
489,1119.72698
490,1119.7391
491,1119.75964
492,1119.82106
493,1119.83424
494,1119.83663
495,1119.84664
496,1119.84948
497,1119.91
498,1119.9443
499,1119.96382
500,1119.98191
501,1119.99637
502,1120.02674
503,1120.02773
504,1120.0391
505,1120.04948
506,1120.07034
507,1120.07172
508,1120.07172
509,1120.07172
510,1120.07172
511,1120.07172
512,1120.07172
513,1120.07172
514,1120.07172
515,1120.07172
516,1120.07172
517,1120.07172
518,1120.07172
519,1120.09031
520,1120.10017
521,1120.10017
522,1120.10017
523,1120.10017
524,1120.10017
525,1120.10017
526,1120.10017
527,1120.10017
528,1120.10017
529,1120.10017
530,1120.10017
531,1120.10017
532,1120.10017
533,1120.10017
534,1120.10017
535,1120.10017
536,1120.10017
537,1120.10017
538,1120.10214
539,1120.15361
540,1120.17355
541,1120.24204
542,1120.25245
543,1120.25332
544,1120.27167
545,1120.27343
546,1120.31079
547,1120.31345
548,1120.31665
549,1120.31926
550,1120.33094
551,1120.33738
552,1120.3609
553,1120.4405
554,1120.44285
