rank,score
1,1096.92532
2,1097.52251
3,1097.66343
4,1097.67454
5,1097.78711
6,1097.85951
7,1097.93078
8,1098.03999
9,1098.0706
10,1098.23397
11,1098.25432
12,1098.42563
13,1098.49505
14,1098.5453
15,1098.59358
16,1098.98119
17,1099.01869
18,1099.19344
19,1099.25155
20,1099.32488
21,1099.43191
22,1099.43342
23,1099.47998
24,1099.48159
25,1099.54433
26,1099.54815
27,1099.55913
28,1099.57454
29,1099.59305
30,1099.80687
31,1099.91393
32,1099.95127
33,1099.95832
34,1100.05314
35,1100.08359
36,1100.11145
37,1100.16787
38,1100.16848
39,1100.20037
40,1100.23357
41,1100.2381
42,1100.24915
43,1100.25319
44,1100.26926
45,1100.29214
46,1100.29644
47,1100.3106
48,1100.3533
49,1100.35342
50,1100.39865
51,1100.41459
52,1100.44122
53,1100.46969
54,1100.47793
55,1100.47812
56,1100.51016
57,1100.53612
58,1100.5519
59,1100.56077
60,1100.56091
61,1100.56208
62,1100.57199
63,1100.57728
64,1100.62413
65,1100.68826
66,1100.70372
67,1100.71452
68,1100.74028
69,1100.77313
70,1100.86786
71,1100.86946
72,1100.87838
73,1100.88124
74,1100.8872
75,1100.88846
76,1100.89075
77,1100.92626
78,1100.92808
79,1100.97577
80,1101.0074
81,1101.0233
82,1101.04786
83,1101.05232
84,1101.05262
85,1101.07194
86,1101.0743
87,1101.09791
88,1101.10137
89,1101.11002
90,1101.11657
91,1101.11726
92,1101.13486
93,1101.13502
94,1101.1438
95,1101.1691
96,1101.16973
97,1101.17138
98,1101.19748
99,1101.20584
100,1101.21368
101,1101.21939
102,1101.22358
103,1101.24891
104,1101.26013
105,1101.26284
106,1101.27675
107,1101.27798
108,1101.28354
109,1101.29834
110,1101.31137
111,1101.32231
112,1101.32852
113,1101.33446
114,1101.35297
115,1101.3668
116,1101.38443
117,1101.39048
118,1101.40927
119,1101.421
120,1101.43157
121,1101.44264
122,1101.45501
123,1101.45811
124,1101.46039
125,1101.47297
126,1101.47642
127,1101.48026
128,1101.49329
129,1101.49626
130,1101.49927
131,1101.51018
132,1101.51802
133,1101.52542
134,1101.54881
135,1101.55219
136,1101.55903
137,1101.56054
138,1101.56564
139,1101.56808
140,1101.57372
141,1101.58824
142,1101.60741
143,1101.62742
144,1101.62795
145,1101.63412
146,1101.63837
147,1101.64092
148,1101.75894
149,1101.77354
150,1101.77529
151,1101.7772
152,1101.79366
153,1101.79984
154,1101.803
155,1101.82006
156,1101.8222
157,1101.82523
158,1101.85589
159,1101.86438
160,1101.86461
161,1101.87475
162,1101.88161
163,1101.89836
164,1101.90787
165,1101.92547
166,1101.92679
167,1101.92707
168,1101.93122
169,1101.94804
170,1101.95164
171,1101.95708
172,1101.97477
173,1101.98255
174,1101.98883
175,1101.99766
176,1101.99871
177,1102.00415
178,1102.01213
179,1102.02136
180,1102.04844
181,1102.06954
182,1102.08293
183,1102.08321
184,1102.08805
185,1102.09274
186,1102.09466
187,1102.12289
188,1102.15127
189,1102.15869
190,1102.18491
191,1102.21249
192,1102.22935
193,1102.23834
194,1102.23899
195,1102.24293
196,1102.25346
197,1102.25798
198,1102.26773
199,1102.27075
200,1102.29239
201,1102.29344
202,1102.3048
203,1102.3278
204,1102.34398
205,1102.37473
206,1102.3774
207,1102.38267
208,1102.39517
209,1102.41107
210,1102.41765
211,1102.41882
212,1102.41964
213,1102.42146
214,1102.42307
215,1102.42977
216,1102.44054
217,1102.44881
218,1102.45839
219,1102.47566
220,1102.48303
221,1102.48684
222,1102.49624
223,1102.50637
224,1102.5166
225,1102.52163
226,1102.54727
227,1102.55678
228,1102.56072
229,1102.57449
230,1102.5752
231,1102.579
232,1102.6016
233,1102.60817
234,1102.61339
235,1102.61629
236,1102.6178
237,1102.62347
238,1102.62379
239,1102.63109
240,1102.63664
241,1102.63763
242,1102.63763
243,1102.63912
244,1102.64834
245,1102.65621
246,1102.69666
247,1102.69783
248,1102.70719
249,1102.71455
250,1102.71564
251,1102.72181
252,1102.72933
253,1102.73482
254,1102.73688
255,1102.75692
256,1102.75784
257,1102.76645
258,1102.76971
259,1102.77459
260,1102.77459
261,1102.78218
262,1102.78578
263,1102.78591
264,1102.79016
265,1102.79411
266,1102.8036
267,1102.80538
268,1102.80731
269,1102.81016
270,1102.82052
271,1102.84744
272,1102.8556
273,1102.86289
274,1102.8943
275,1102.90245
276,1102.90286
277,1102.91683
278,1102.91852
279,1102.94631
280,1102.95102
281,1102.97097
282,1102.98107
283,1102.98524
284,1102.98796
285,1102.99321
286,1102.99425
287,1103.04579
288,1103.05546
289,1103.06776
290,1103.08548
291,1103.11277
292,1103.1164
293,1103.11674
294,1103.14116
295,1103.15936
296,1103.15948
297,1103.1833
298,1103.19498
299,1103.20328
300,1103.22855
301,1103.23315
302,1103.23599
303,1103.23707
304,1103.24663
305,1103.25244
306,1103.27352
307,1103.2777
308,1103.2901
309,1103.31607
310,1103.3178
311,1103.33034
312,1103.33385
313,1103.33596
314,1103.34568
315,1103.34727
316,1103.35415
317,1103.36919
318,1103.38768
319,1103.41623
320,1103.4285
321,1103.42967
322,1103.46303
323,1103.48942
324,1103.51624
325,1103.52523
326,1103.54177
327,1103.56611
328,1103.57352
329,1103.57984
330,1103.61914
331,1103.62704
332,1103.6368
333,1103.67137
334,1103.69045
335,1103.73692
336,1103.74005
337,1103.74202
338,1103.75814
339,1103.78717
340,1103.8148
341,1103.83092
342,1103.8339
343,1103.84241
344,1103.85781
345,1103.86446
346,1103.87286
347,1103.87335
348,1103.87488
349,1103.89554
350,1103.89945
351,1103.90802
352,1103.91935
353,1103.93913
