rank,score
1,0.9236
2,0.92272
3,0.92255
4,0.92189
5,0.92153
6,0.92106
7,0.92104
8,0.92012
9,0.91961
10,0.91942
11,0.91941
12,0.91888
13,0.91881
14,0.91777
15,0.91726
16,0.9172
17,0.91701
18,0.91672
19,0.91611
20,0.9158
21,0.91568
22,0.91562
23,0.91553
24,0.91548
25,0.91537
26,0.91532
27,0.91532
28,0.91522
29,0.91508
30,0.91502
31,0.91489
32,0.91439
33,0.91434
34,0.91433
35,0.91428
36,0.91426
37,0.91414
38,0.91392
39,0.91384
40,0.91377
41,0.91374
42,0.91367
43,0.91346
44,0.91338
45,0.91335
46,0.91334
47,0.91333
48,0.91323
49,0.91318
50,0.91312
51,0.91311
52,0.91311
53,0.9131
54,0.9129
55,0.91274
56,0.91265
57,0.91259
58,0.91258
59,0.91254
60,0.91226
61,0.91207
62,0.91202
63,0.91177
64,0.91155
65,0.91146
66,0.91145
67,0.9112
68,0.91118
69,0.91108
70,0.91106
71,0.91102
72,0.91055
73,0.91031
74,0.91002
75,0.90972
76,0.90958
77,0.90952
78,0.90949
79,0.90934
80,0.90852
81,0.90848
82,0.90847
83,0.90694
84,0.90684
85,0.90679
86,0.90676
87,0.90651
88,0.90651
89,0.90649
90,0.90647
91,0.90625
92,0.9059
93,0.90554
94,0.90537
95,0.90537
96,0.90531
97,0.90496
98,0.90495
99,0.90486
100,0.90464
101,0.90462
102,0.90439
103,0.90424
104,0.90422
105,0.9042
106,0.90388
107,0.9038
108,0.9038
109,0.90378
110,0.90377
111,0.90362
112,0.90356
113,0.90354
114,0.90329
115,0.90313
116,0.90294
117,0.90294
118,0.90285
119,0.90281
120,0.9028
121,0.90279
122,0.90273
123,0.90268
124,0.9025
125,0.90249
126,0.90248
127,0.90207
128,0.90206
129,0.90204
130,0.90198
131,0.90192
132,0.90182
133,0.90176
134,0.90171
135,0.90171
136,0.9017
137,0.90156
138,0.90155
139,0.90142
140,0.90125
141,0.90117
142,0.90116
143,0.90116
144,0.901
145,0.90095
146,0.90094
147,0.90069
148,0.90069
149,0.90066
150,0.90064
151,0.90064
152,0.90051
153,0.9005
154,0.90049
155,0.9004
156,0.90035
157,0.90034
158,0.90033
159,0.90032
160,0.90026
161,0.90021
162,0.90019
163,0.90014
164,0.90013
165,0.9001
166,0.90007
167,0.90005
168,0.90005
169,0.90002
170,0.89999
171,0.89998
172,0.89997
173,0.89996
174,0.89996
175,0.89996
176,0.89992
177,0.8999
178,0.8999
179,0.89989
180,0.89989
181,0.89988
182,0.89986
183,0.89986
184,0.89981
185,0.89978
186,0.89977
187,0.89977
188,0.89975
189,0.89973
190,0.89972
191,0.89971
192,0.8997
193,0.89968
194,0.89967
195,0.89964
196,0.89964
197,0.89962
198,0.8996
199,0.8996
200,0.89957
201,0.89957
202,0.89957
203,0.89956
204,0.89955
205,0.89955
206,0.89954
207,0.89954
208,0.89954
209,0.89954
210,0.89954
211,0.89952
212,0.89951
213,0.89951
214,0.8995
215,0.89949
216,0.89948
217,0.89948
218,0.89947
219,0.89947
220,0.89947
221,0.89947
222,0.89947
223,0.89947
224,0.89947
225,0.89946
226,0.89946
227,0.89946
228,0.89946
229,0.89946
230,0.89944
231,0.89943
232,0.89943
233,0.89942
234,0.8994
235,0.8994
236,0.8994
237,0.89939
238,0.89939
239,0.89939
240,0.89939
241,0.89939
242,0.89939
243,0.89939
244,0.89939
245,0.89939
246,0.89938
247,0.89937
248,0.89935
249,0.89934
250,0.89932
251,0.89932
252,0.89932
253,0.89932
254,0.89931
255,0.8993
256,0.8993
257,0.8993
258,0.89929
259,0.89929
260,0.89929
261,0.89929
262,0.89928
263,0.89927
264,0.89926
265,0.89926
266,0.89925
267,0.89925
268,0.89924
269,0.89917
270,0.89913
271,0.89912
272,0.8991
273,0.89904
274,0.89902
275,0.89902
276,0.89901
277,0.899
278,0.89899
279,0.89898
280,0.89891
281,0.89888
282,0.89887
283,0.89884
284,0.89875
285,0.89875
286,0.89872
287,0.89872
288,0.89871
289,0.89864
290,0.89861
291,0.89861
292,0.89856
293,0.89856
294,0.89852
295,0.89852
296,0.89851
297,0.89851
298,0.89851
299,0.89851
300,0.89851
301,0.89851
302,0.89851
303,0.89851
304,0.89851
305,0.89851
306,0.89851
307,0.89851
308,0.89851
309,0.89851
310,0.89851
311,0.89851
312,0.89851
313,0.89851
314,0.89851
315,0.89851
316,0.89851
317,0.89851
318,0.89851
319,0.89851
320,0.89851
321,0.89851
322,0.89851
323,0.89851
324,0.89851
325,0.89851
326,0.89851
327,0.89851
328,0.89851
329,0.89851
330,0.89851
