rank,score
1,0.92964
2,0.92787
3,0.92726
4,0.92678
5,0.92661
6,0.92604
7,0.9259
8,0.92579
9,0.92545
10,0.92382
11,0.92296
12,0.92289
13,0.92282
14,0.92268
15,0.92216
16,0.92164
17,0.92158
18,0.92147
19,0.92128
20,0.92059
21,0.92043
22,0.92031
23,0.92031
24,0.92021
25,0.92008
26,0.91994
27,0.91993
28,0.91991
29,0.91978
30,0.91978
31,0.91934
32,0.91927
33,0.91917
34,0.91909
35,0.91884
36,0.91879
37,0.9187
38,0.91865
39,0.91862
40,0.91822
41,0.918
42,0.91788
43,0.91756
44,0.91744
45,0.91733
46,0.91728
47,0.91728
48,0.91716
49,0.91713
50,0.91709
51,0.91707
52,0.91692
53,0.91685
54,0.91679
55,0.91665
56,0.9166
57,0.91643
58,0.91636
59,0.91631
60,0.91617
61,0.91615
62,0.91612
63,0.91606
64,0.91575
65,0.91566
66,0.91528
67,0.91526
68,0.91517
69,0.91517
70,0.9149
71,0.91483
72,0.91448
73,0.91447
74,0.91439
75,0.91409
76,0.914
77,0.91364
78,0.91349
79,0.9132
80,0.9129
81,0.91276
82,0.91265
83,0.91243
84,0.91227
85,0.91221
86,0.91214
87,0.9121
88,0.91206
89,0.91205
90,0.912
91,0.91195
92,0.91189
93,0.91178
94,0.91164
95,0.91152
96,0.91142
97,0.91142
98,0.91129
99,0.91118
100,0.91105
101,0.91086
102,0.91086
103,0.91084
104,0.9108
105,0.91076
106,0.91074
107,0.91064
108,0.91053
109,0.91029
110,0.91022
111,0.91013
112,0.90997
113,0.90985
114,0.90984
115,0.90976
116,0.90969
117,0.90956
118,0.9095
119,0.90945
120,0.90942
121,0.90941
122,0.90936
123,0.90932
124,0.90924
125,0.90924
126,0.90918
127,0.90913
128,0.90911
129,0.90897
130,0.90889
131,0.90887
132,0.90868
133,0.9086
134,0.90857
135,0.90854
136,0.90853
137,0.90852
138,0.90847
139,0.90846
140,0.90836
141,0.90835
142,0.90831
143,0.90825
144,0.90809
145,0.90807
146,0.90803
147,0.90801
148,0.90801
149,0.908
150,0.90799
151,0.90799
152,0.90799
153,0.90798
154,0.90797
155,0.90797
156,0.90794
157,0.90793
158,0.90793
159,0.90792
160,0.90791
161,0.9079
162,0.90782
163,0.90777
164,0.90771
165,0.9077
166,0.9076
167,0.90759
168,0.90758
169,0.90757
170,0.90755
171,0.90754
172,0.9075
173,0.90749
174,0.90749
175,0.90745
176,0.90741
177,0.90736
178,0.90735
179,0.90733
180,0.90725
181,0.90724
182,0.90723
183,0.90723
184,0.90718
185,0.90716
186,0.90715
187,0.90715
188,0.90712
189,0.90712
190,0.90707
191,0.907
192,0.907
193,0.907
194,0.90696
195,0.90693
196,0.90692
197,0.90691
198,0.90684
199,0.90683
200,0.90683
201,0.90683
202,0.90674
203,0.90673
204,0.9067
205,0.90669
206,0.90669
207,0.90668
208,0.90664
209,0.90655
210,0.90653
211,0.90651
212,0.90649
213,0.90647
214,0.90646
215,0.90641
216,0.9064
217,0.90639
218,0.90638
219,0.90638
220,0.90635
221,0.90632
222,0.90631
223,0.90631
224,0.9063
225,0.90629
226,0.90627
227,0.90626
228,0.90625
229,0.90624
230,0.90624
231,0.90624
232,0.90624
233,0.90622
234,0.90621
235,0.90619
236,0.90619
237,0.90618
238,0.90618
239,0.90618
240,0.90616
241,0.90615
242,0.90615
243,0.90612
244,0.90612
245,0.90612
246,0.90612
247,0.90612
248,0.90612
249,0.90612
250,0.90612
251,0.90612
252,0.90612
253,0.90612
254,0.90611
255,0.90611
256,0.90611
257,0.90611
258,0.9061
259,0.90608
260,0.90596
261,0.90595
262,0.90595
263,0.90595
264,0.90588
265,0.90579
266,0.90575
267,0.90575
268,0.90573
269,0.90571
270,0.9057
271,0.90567
272,0.90566
273,0.90565
274,0.90561
275,0.90561
276,0.90561
277,0.90561
278,0.90561
279,0.90558
280,0.90555
281,0.90555
282,0.90554
283,0.90553
284,0.90548
285,0.90546
286,0.90544
287,0.90534
288,0.90527
289,0.90526
290,0.90526
291,0.90521
292,0.90521
293,0.90516
294,0.90516
295,0.90514
296,0.90512
297,0.90501
298,0.905
299,0.90499
300,0.90489
301,0.90485
302,0.90477
303,0.90472
304,0.90472
305,0.90468
306,0.90467
307,0.90462
308,0.90461
309,0.90457
310,0.90457
311,0.90456
312,0.90453
313,0.90452
314,0.90452
315,0.90452
316,0.90449
317,0.90438
318,0.90431
319,0.9043
320,0.90429
321,0.90428
322,0.90426
323,0.90425
324,0.90417
325,0.90416
326,0.90415
327,0.90412
328,0.9041
329,0.90408
330,0.90408
331,0.90408
332,0.90408
333,0.90408
334,0.90404
335,0.90404
336,0.90404
337,0.90404
338,0.90404
339,0.90404
340,0.90404
341,0.90404
342,0.90404
343,0.90404
344,0.90404
345,0.90404
346,0.90404
347,0.90404
348,0.90404
349,0.90404
350,0.90404
351,0.90404
352,0.90404
353,0.90404
354,0.90404
355,0.90404
356,0.90404
357,0.90404
358,0.90404
359,0.90404
360,0.90404
361,0.90404
362,0.90404
363,0.90404
364,0.90404
365,0.90404
366,0.90404
367,0.90404
368,0.90404
369,0.90404
370,0.90404
371,0.90404
372,0.90404
373,0.90404
374,0.90404
375,0.90404
376,0.90404
377,0.90404
378,0.90404
379,0.90404
380,0.90404
381,0.90404
382,0.90404
383,0.90404
384,0.90404
385,0.90404
386,0.90404
387,0.90404
388,0.90404
389,0.90404
390,0.90404
391,0.90404
392,0.90404
393,0.90404
394,0.90404
395,0.90404
396,0.90404
397,0.90404
398,0.90404
399,0.90404
400,0.90399
401,0.90399
402,0.90393
403,0.90392
404,0.90392
405,0.90388
406,0.9038
407,0.90373
408,0.9036
409,0.9036
410,0.90353
411,0.9035
412,0.90331
413,0.90329
414,0.90326
415,0.90326
416,0.90323
417,0.9031
418,0.90303
419,0.90302
420,0.903
421,0.90285
422,0.90259
423,0.90258
424,0.90254
425,0.90252
426,0.90252
427,0.90239
428,0.90239
429,0.90228
430,0.90227
431,0.90223
432,0.90212
433,0.90211
434,0.90205
435,0.90197
436,0.90196
437,0.90184
438,0.90173
439,0.90169
440,0.90163
441,0.90151
442,0.90113
443,0.90096
444,0.90094
445,0.90063
446,0.90062
447,0.90031
448,0.90005
449,0.9
450,0.89991
451,0.89989
452,0.89969
453,0.8996
454,0.89952
455,0.89944
456,0.89934
457,0.89928
458,0.89913
459,0.89912
460,0.89904
461,0.89886
462,0.89883
463,0.89867
464,0.89845
465,0.89836
466,0.89816
467,0.89801
468,0.89774
469,0.89764
470,0.89759
471,0.89752
472,0.89738
473,0.89734
474,0.8973
475,0.89721
476,0.89712
477,0.89691
478,0.89687
479,0.89687
480,0.89676
481,0.89675
482,0.89671
483,0.89661
484,0.8966
485,0.89633
486,0.89628
487,0.89621
488,0.89599
489,0.89578
490,0.89569
491,0.89562
492,0.89547
493,0.89533
494,0.89519
495,0.89502
496,0.89498
497,0.89482
498,0.89478
499,0.89456
500,0.89456
501,0.89436
502,0.89428
503,0.89417
504,0.89412
505,0.89407
506,0.89392
507,0.8939
508,0.89387
509,0.89375
510,0.89371
511,0.89336
512,0.89335
513,0.89319
514,0.89298
515,0.89285
516,0.89281
517,0.89271
518,0.89265
519,0.89251
520,0.89249
521,0.89246
522,0.89246
523,0.89239
524,0.89238
525,0.89226
526,0.89218
527,0.89218
528,0.89196
529,0.89165
530,0.89137
531,0.89127
532,0.89127
533,0.89127
534,0.89125
535,0.89077
536,0.89044
537,0.89018
538,0.89018
539,0.89017
540,0.88996
541,0.88993
542,0.88992
543,0.88986
544,0.88942
545,0.88871
546,0.88845
547,0.88845
548,0.88845
549,0.88824
550,0.88821
551,0.88809
552,0.88808
553,0.88808
554,0.88801
555,0.88782
556,0.88775
557,0.88771
558,0.88757
559,0.88743
560,0.88737
561,0.88733
562,0.88712
563,0.88707
564,0.88671
565,0.88667
566,0.88658
567,0.88648
568,0.88644
569,0.88629
570,0.88624
571,0.88616
572,0.88612
573,0.8861
574,0.88596
575,0.88573
576,0.88554
577,0.88552
578,0.88552
579,0.88521
580,0.88515
581,0.88515
582,0.88515
583,0.88515
584,0.88515
585,0.88515
586,0.88515
587,0.88515
588,0.88515
589,0.88515
590,0.88515
591,0.88515
592,0.88515
593,0.88515
594,0.88515
595,0.88515
596,0.88515
597,0.88515
598,0.88515
599,0.88515
600,0.88515
601,0.88515
602,0.88515
603,0.88515
604,0.88515
605,0.88515
606,0.88515
607,0.88515
608,0.88515
609,0.88515
610,0.88515
611,0.88515
612,0.88515
613,0.88515
614,0.88515
615,0.88515
616,0.88515
617,0.88515
618,0.88515
619,0.88515
620,0.88515
621,0.88515
622,0.88515
623,0.88515
624,0.88515
625,0.88515
626,0.88515
627,0.88515
628,0.88515
629,0.88515
630,0.88515
631,0.88515
632,0.88515
633,0.88515
634,0.88515
635,0.88515
636,0.88515
637,0.88515
638,0.88515
639,0.88514
640,0.88514
641,0.88514
642,0.88514
643,0.88514
644,0.88514
645,0.88514
646,0.88514
647,0.88514
648,0.88508
649,0.88503
650,0.88503
651,0.88503
652,0.88503
653,0.88503
654,0.88503
655,0.88495
656,0.88476
657,0.88467
658,0.88464
659,0.88462
660,0.8846
661,0.88453
662,0.88448
663,0.88448
664,0.88438
665,0.88435
666,0.88429
667,0.88415
668,0.88384
669,0.88377
670,0.88375
671,0.88371
672,0.88368
673,0.88365
674,0.88362
675,0.88362
676,0.88341
677,0.88323
678,0.88318
679,0.88318
680,0.88312
681,0.88296
682,0.8829
683,0.88254
684,0.88254
685,0.88254
686,0.88254
687,0.88254
688,0.88243
689,0.88236
690,0.88225
691,0.88214
692,0.88211
693,0.88202
694,0.88173
695,0.88171
696,0.8817
697,0.88157
698,0.88136
699,0.88128
700,0.88125
701,0.88123
702,0.88108
703,0.88108
704,0.88104
705,0.88098
706,0.88092
707,0.88082
708,0.88069
709,0.88058
710,0.8805
711,0.88039
712,0.88035
713,0.88017
714,0.88014
715,0.88013
716,0.88008
717,0.87996
718,0.87988
719,0.87983
720,0.87982
721,0.87981
722,0.87977
723,0.87964
724,0.87964
725,0.87964
726,0.87955
727,0.87954
728,0.87938
729,0.87935
730,0.87933
731,0.87932
732,0.8793
733,0.8793
734,0.87929
735,0.87912
736,0.8791
737,0.8791
738,0.87909
739,0.87906
740,0.87883
741,0.87875
742,0.87866
743,0.87847
744,0.87832
745,0.87827
746,0.8782
747,0.87814
748,0.8781
749,0.87808
750,0.87807
751,0.87804
752,0.87803
753,0.87801
754,0.87792
755,0.87789
756,0.87786
757,0.87779
758,0.87778
759,0.87776
760,0.87765
761,0.87752
762,0.87734
763,0.8773
764,0.87721
765,0.87705
766,0.87703
767,0.877
768,0.87696
769,0.87696
770,0.87689
771,0.87688
772,0.87683
773,0.87683
774,0.87683
775,0.87681
776,0.87676
777,0.87676
778,0.87657
779,0.8764
780,0.8764
781,0.8764
782,0.8764
783,0.8764
784,0.8764
785,0.8764
786,0.8764
787,0.8764
788,0.8764
789,0.8764
790,0.8764
791,0.87638
792,0.87632
793,0.87621
794,0.87619
795,0.87618
796,0.87589
797,0.87586
798,0.87577
799,0.87566
800,0.87555
801,0.87548
802,0.87521
803,0.87518
804,0.87498
805,0.87486
806,0.8748
807,0.8746
808,0.87458
809,0.87444
810,0.87421
811,0.8742
812,0.87399
813,0.8739
814,0.87388
815,0.87378
816,0.87377
817,0.87352
818,0.87347
819,0.87334
820,0.8729
821,0.87282
822,0.87282
823,0.87277
824,0.87251
825,0.87232
826,0.87206
827,0.87172
828,0.87154
829,0.8715
830,0.87118
831,0.87105
832,0.87101
833,0.87069
834,0.87033
835,0.8701
836,0.86991
837,0.86988
838,0.86982
839,0.8696
840,0.86954
841,0.86954
842,0.86918
843,0.86875
844,0.86856
845,0.86827
846,0.86823
847,0.86789
848,0.86788
849,0.8678
850,0.86751
851,0.86743
852,0.86709
853,0.86693
854,0.86691
855,0.86659
856,0.86652
857,0.86641
858,0.86626
859,0.86545
860,0.86544
861,0.86515
862,0.86502
863,0.86484
864,0.86475
865,0.86439
866,0.8641
867,0.86283
868,0.86279
869,0.86264
870,0.86226
871,0.86225
872,0.86154
873,0.86153
874,0.86142
875,0.86127
876,0.86116
877,0.86111
878,0.86094
879,0.86031
880,0.8603
881,0.86017
882,0.8597
883,0.85911
884,0.85881
885,0.85871
886,0.85864
887,0.8585
888,0.85768
889,0.85743
890,0.85714
891,0.85706
892,0.85673
893,0.85597
894,0.85592
895,0.85583
896,0.85489
897,0.85473
898,0.85471
899,0.85399
900,0.85381
901,0.85371
902,0.85348
903,0.85293
904,0.85291
905,0.85289
906,0.8526
907,0.85243
908,0.85236
909,0.8521
910,0.85137
911,0.85127
912,0.85115
913,0.85099
914,0.85072
915,0.85005
916,0.84987
917,0.849
918,0.8483
919,0.84821
920,0.84802
921,0.84743
922,0.84698
923,0.84678
924,0.84664
925,0.84651
926,0.84573
927,0.84568
928,0.84518
929,0.84477
930,0.84461
931,0.84441
932,0.84435
933,0.84405
