rank,score
1,0.936129
2,0.93431
3,0.93372
4,0.933693
5,0.933646
6,0.933495
7,0.933155
8,0.932106
9,0.931033
10,0.930927
11,0.930744
12,0.930685
13,0.930563
14,0.93053
15,0.930508
16,0.930493
17,0.930451
18,0.930395
19,0.929524
20,0.929354
21,0.929163
22,0.929032
23,0.928643
24,0.92851
25,0.928007
26,0.92785
27,0.927797
28,0.927768
29,0.927738
30,0.927641
31,0.927577
32,0.927393
33,0.927121
34,0.926919
35,0.926879
36,0.926816
37,0.926763
38,0.926687
39,0.926647
40,0.92661
41,0.926586
42,0.926576
43,0.926463
44,0.92639
45,0.926383
46,0.926355
47,0.925886
48,0.92587
49,0.925775
50,0.925762
51,0.925756
52,0.925624
53,0.925487
54,0.925466
55,0.925421
56,0.925283
57,0.925245
58,0.925172
59,0.925067
60,0.924906
61,0.924819
62,0.924678
63,0.924511
64,0.924357
65,0.924114
66,0.924088
67,0.924084
68,0.924011
69,0.923963
70,0.923953
71,0.923778
72,0.923768
73,0.923745
74,0.923564
75,0.923517
76,0.923436
77,0.923414
78,0.923205
79,0.92318
80,0.923166
81,0.92311
82,0.922902
83,0.922837
84,0.922773
85,0.922764
86,0.922709
87,0.922689
88,0.922666
89,0.92259
90,0.922536
91,0.922504
92,0.922331
93,0.922314
94,0.922258
95,0.922249
96,0.922206
97,0.922165
98,0.922128
99,0.922086
100,0.922081
101,0.92204
102,0.921784
103,0.921772
104,0.921693
105,0.921612
106,0.921525
107,0.921506
108,0.9214
109,0.921346
110,0.921309
111,0.921213
112,0.921178
113,0.921104
114,0.921084
115,0.921078
116,0.92101
117,0.920985
118,0.920984
119,0.920982
120,0.920974
121,0.920934
122,0.920858
123,0.920746
124,0.920659
125,0.920613
126,0.920581
127,0.920577
128,0.92057
129,0.920568
130,0.920536
131,0.920536
132,0.920533
133,0.920528
134,0.920511
135,0.920504
136,0.920462
137,0.92044
138,0.920264
139,0.920107
140,0.920081
141,0.920068
142,0.919955
143,0.919928
144,0.919838
145,0.919801
146,0.919654
147,0.919623
148,0.919563
149,0.919559
150,0.919494
151,0.919477
152,0.91935
153,0.919301
154,0.919285
155,0.919262
156,0.919242
157,0.919226
158,0.919218
159,0.919188
160,0.919144
161,0.919126
162,0.919108
163,0.919073
164,0.919068
165,0.919054
166,0.918999
167,0.918914
168,0.918861
169,0.918841
170,0.918759
171,0.91871
172,0.918697
173,0.918687
174,0.918672
175,0.918637
176,0.918614
177,0.918612
178,0.91859
179,0.918581
180,0.918274
181,0.918262
182,0.918167
183,0.918155
184,0.918072
185,0.918062
186,0.917956
187,0.91793
188,0.917918
189,0.917916
190,0.917869
191,0.917829
192,0.91779
193,0.917737
194,0.917704
195,0.917616
196,0.917606
197,0.917573
198,0.917529
199,0.917526
200,0.917502
201,0.917454
202,0.917408
203,0.917366
204,0.917364
205,0.917301
206,0.917246
207,0.917214
208,0.917167
209,0.917097
210,0.916894
211,0.916828
212,0.916805
213,0.916701
214,0.916699
215,0.916613
216,0.916597
217,0.916522
218,0.916512
219,0.916506
220,0.916455
221,0.916438
222,0.916413
223,0.916411
224,0.916349
225,0.916324
226,0.916308
227,0.91629
228,0.916289
229,0.916253
230,0.916195
231,0.916137
232,0.916122
233,0.916083
234,0.916065
235,0.916064
236,0.916038
237,0.91603
238,0.916023
239,0.915968
240,0.915958
241,0.915867
242,0.915855
243,0.915825
244,0.915807
245,0.915761
246,0.915752
247,0.915705
248,0.915672
249,0.915583
250,0.915566
251,0.915566
252,0.915561
253,0.915544
254,0.91551
255,0.915504
256,0.915471
257,0.915467
258,0.915429
259,0.915379
260,0.91537
261,0.915366
262,0.915343
263,0.91533
264,0.915314
265,0.915302
266,0.915297
267,0.915246
268,0.915237
269,0.915178
270,0.915155
271,0.915072
272,0.914991
273,0.914969
274,0.914966
275,0.914963
276,0.914895
277,0.914889
278,0.914864
279,0.914864
280,0.914836
281,0.914819
282,0.914784
283,0.914768
284,0.91476
285,0.914744
286,0.914726
287,0.914629
288,0.914591
289,0.914583
290,0.914551
291,0.914534
292,0.914492
293,0.914434
294,0.914414
295,0.914402
296,0.914369
297,0.914332
298,0.914283
299,0.914238
300,0.914238
301,0.914236
302,0.914182
303,0.914177
304,0.914175
305,0.914168
306,0.914163
307,0.914152
308,0.914123
309,0.914085
310,0.914024
311,0.914017
312,0.913984
313,0.913975
314,0.913971
315,0.913964
316,0.91395
317,0.913915
318,0.913872
319,0.91375
320,0.913624
321,0.913551
322,0.913542
323,0.91352
324,0.913478
325,0.91346
326,0.913454
327,0.913405
328,0.913396
329,0.913357
330,0.913351
331,0.913326
332,0.913192
333,0.913167
334,0.913153
335,0.913119
336,0.913073
337,0.91306
338,0.913003
339,0.913002
340,0.912992
341,0.912968
342,0.912963
343,0.912925
344,0.912911
345,0.912897
346,0.912889
347,0.912855
348,0.912843
349,0.912826
350,0.912826
351,0.912826
352,0.912826
353,0.912826
354,0.912826
355,0.912826
356,0.912826
357,0.912826
358,0.912826
359,0.912826
360,0.912826
361,0.912826
362,0.912826
363,0.912826
364,0.912826
365,0.912826
366,0.912826
367,0.912826
368,0.912826
369,0.912826
370,0.912826
371,0.912826
372,0.912826
373,0.912826
374,0.912826
375,0.912826
376,0.912826
377,0.912826
378,0.912826
379,0.912826
380,0.912826
381,0.912826
382,0.912826
383,0.912826
384,0.912826
385,0.912826
386,0.912826
387,0.912826
388,0.912826
389,0.912826
390,0.912826
391,0.912826
392,0.912826
393,0.912826
394,0.912826
395,0.912826
396,0.912826
397,0.912826
398,0.912826
399,0.912826
400,0.912826
401,0.912826
402,0.912826
403,0.912826
404,0.912826
405,0.912826
406,0.912826
407,0.912825
408,0.912814
409,0.912797
410,0.912774
411,0.912774
412,0.912774
413,0.912774
414,0.912774
415,0.912774
416,0.912774
417,0.912774
418,0.912774
419,0.912774
420,0.912774
421,0.912774
422,0.912774
423,0.912774
424,0.912774
425,0.912774
426,0.912774
427,0.912774
428,0.912774
429,0.912774
430,0.912774
431,0.912774
432,0.912774
433,0.912774
434,0.912774
435,0.912774
436,0.912774
437,0.912774
438,0.912774
439,0.912774
440,0.912774
441,0.912774
442,0.912774
443,0.912774
444,0.912774
445,0.912774
446,0.912774
447,0.912774
448,0.912774
449,0.912774
450,0.912774
451,0.912774
452,0.912774
453,0.912774
454,0.912774
455,0.912774
456,0.912774
457,0.912764
458,0.912721
459,0.91266
460,0.91266
461,0.912644
462,0.912614
463,0.912607
464,0.912601
465,0.912597
466,0.912542
467,0.912511
468,0.912498
469,0.912479
470,0.912472
471,0.912468
472,0.912447
473,0.912427
474,0.912413
475,0.912413
476,0.912397
477,0.912374
478,0.912356
479,0.912311
480,0.912305
481,0.912239
482,0.91221
483,0.9122
484,0.912179
485,0.91213
486,0.912128
487,0.9121
488,0.912082
489,0.912056
490,0.912043
491,0.911994
492,0.911938
493,0.911935
494,0.911927
495,0.911913
496,0.911881
497,0.911855
498,0.911844
499,0.911844
500,0.911801
501,0.911772
502,0.911727
503,0.911709
504,0.911709
505,0.911704
506,0.9117
507,0.911699
508,0.911665
509,0.911651
510,0.911629
511,0.9116
512,0.911568
513,0.911564
514,0.911548
515,0.911522
516,0.911506
517,0.911506
518,0.911505
519,0.911475
520,0.911474
521,0.91147
522,0.91146
523,0.911427
524,0.911413
525,0.911409
526,0.911409
527,0.911409
528,0.911409
529,0.911409
530,0.911409
531,0.911409
532,0.911409
533,0.911409
534,0.911409
535,0.911409
536,0.911409
537,0.911409
538,0.911409
539,0.911409
540,0.911409
541,0.911409
542,0.911409
543,0.911409
544,0.911409
545,0.911409
546,0.911409
547,0.911409
548,0.911409
549,0.911409
550,0.911409
551,0.911409
552,0.911409
553,0.911409
554,0.911409
555,0.911409
556,0.911409
