rank,score
1,0.856139
2,0.855232
3,0.850749
4,0.850352
5,0.85022
6,0.848651
7,0.847631
8,0.846889
9,0.846308
10,0.84516
11,0.844839
12,0.843942
13,0.843423
14,0.843195
15,0.843067
16,0.842129
17,0.841936
18,0.84128
19,0.840931
20,0.840789
21,0.840656
22,0.840567
23,0.840398
24,0.840224
25,0.838559
26,0.838454
27,0.838383
28,0.838287
29,0.836413
30,0.836001
31,0.835458
32,0.835292
33,0.834468
34,0.834383
35,0.833723
36,0.832986
37,0.832679
38,0.832661
39,0.832634
40,0.832375
41,0.831903
42,0.831653
43,0.831649
44,0.831523
45,0.831182
46,0.830986
47,0.830646
48,0.83043
49,0.830205
50,0.830154
51,0.83015
52,0.829939
53,0.829375
54,0.829218
55,0.829079
56,0.829001
57,0.82871
58,0.828371
59,0.82769
60,0.827448
61,0.827366
62,0.826025
63,0.826025
64,0.825771
65,0.825749
66,0.825514
67,0.824991
68,0.824831
69,0.824762
70,0.824628
71,0.824607
72,0.824572
73,0.824328
74,0.824303
75,0.82428
76,0.824243
77,0.824114
78,0.824111
79,0.824107
80,0.824081
81,0.823973
82,0.823794
83,0.823731
84,0.823685
85,0.823378
86,0.82322
87,0.823145
88,0.822879
89,0.822719
90,0.822643
91,0.822543
92,0.822459
93,0.82239
94,0.822085
95,0.821867
96,0.821852
97,0.821521
98,0.82148
99,0.821261
100,0.821139
101,0.821092
102,0.820937
103,0.820599
104,0.820513
105,0.820437
106,0.820331
107,0.820246
108,0.820205
109,0.820131
110,0.820105
111,0.819899
112,0.819758
113,0.81972
114,0.81963
115,0.819505
116,0.819431
117,0.819419
118,0.819255
119,0.819187
120,0.819156
121,0.818729
122,0.818689
123,0.818502
124,0.818463
125,0.818446
126,0.818034
127,0.817994
128,0.817988
129,0.817966
130,0.817901
131,0.81753
132,0.817485
133,0.817468
134,0.817373
135,0.81736
136,0.817275
137,0.817231
138,0.816683
139,0.816567
140,0.816509
141,0.816502
142,0.816427
143,0.816383
144,0.816181
145,0.816076
146,0.816063
147,0.815873
148,0.815863
149,0.815853
150,0.815566
151,0.815499
152,0.815416
153,0.815142
154,0.815053
155,0.81502
156,0.814988
157,0.814893
158,0.81477
159,0.814655
160,0.814596
161,0.814452
162,0.814379
163,0.814172
164,0.814087
165,0.814071
166,0.813577
167,0.8135
168,0.813381
169,0.813014
170,0.812917
171,0.812879
172,0.812869
173,0.812772
174,0.812727
175,0.812722
176,0.812606
177,0.812482
178,0.812383
179,0.812032
180,0.811736
181,0.811523
182,0.811329
183,0.811197
184,0.811054
185,0.810988
186,0.810916
187,0.810804
188,0.810597
189,0.810504
190,0.810497
191,0.810487
192,0.810377
193,0.810333
194,0.810216
195,0.810197
196,0.810185
197,0.81009
198,0.810025
199,0.809981
200,0.809907
201,0.80965
202,0.809634
203,0.809633
204,0.809577
205,0.809364
206,0.80917
207,0.809102
208,0.808997
209,0.808956
210,0.808829
211,0.808825
212,0.808813
213,0.808802
214,0.808751
215,0.80864
216,0.808511
217,0.808447
218,0.808386
219,0.808335
220,0.808304
221,0.808276
222,0.8082
223,0.808148
224,0.808126
225,0.808033
226,0.80797
227,0.807943
228,0.807809
229,0.80776
230,0.807695
231,0.807616
232,0.807573
233,0.807472
234,0.807397
235,0.807367
236,0.807355
237,0.807345
238,0.806974
239,0.806769
240,0.806692
241,0.806655
242,0.806639
243,0.806638
244,0.806553
245,0.806462
246,0.80639
247,0.806351
248,0.80634
249,0.806217
250,0.806025
251,0.806024
252,0.806024
253,0.806007
254,0.805987
255,0.805838
256,0.805767
257,0.80573
258,0.805729
259,0.805672
260,0.805651
261,0.805546
262,0.805541
263,0.805393
264,0.805379
265,0.805367
266,0.805249
267,0.805229
268,0.805212
269,0.805148
270,0.805111
271,0.805109
272,0.804914
273,0.804911
274,0.804905
275,0.80484
276,0.804838
277,0.80482
278,0.804754
279,0.804524
280,0.804512
281,0.804481
282,0.804422
283,0.804418
284,0.804382
285,0.804358
286,0.804323
287,0.804293
288,0.804261
289,0.804189
290,0.804116
291,0.804088
292,0.804006
293,0.804005
294,0.803976
295,0.803948
296,0.803924
297,0.803757
298,0.803438
299,0.803383
300,0.803364
301,0.803345
302,0.80333
303,0.803291
304,0.803127
305,0.803109
306,0.803015
307,0.802998
308,0.802836
309,0.802742
310,0.802657
311,0.802619
312,0.802617
313,0.802593
314,0.802559
315,0.802511
316,0.802466
317,0.802452
318,0.802289
319,0.802278
320,0.802183
321,0.802174
322,0.802167
323,0.802142
324,0.802141
325,0.802079
326,0.80198
327,0.801976
328,0.801967
329,0.801863
330,0.801834
331,0.801785
332,0.801777
333,0.801621
334,0.801435
335,0.801358
336,0.801325
337,0.801233
338,0.801233
339,0.801226
340,0.80118
341,0.801178
342,0.80117
343,0.801156
344,0.801104
345,0.800873
346,0.80086
347,0.80084
348,0.800767
349,0.800731
350,0.800709
351,0.800629
352,0.800547
353,0.8005
354,0.800415
355,0.800396
356,0.800373
357,0.800329
358,0.8003
359,0.80025
360,0.800225
361,0.800166
362,0.800121
363,0.800111
364,0.800101
365,0.800098
366,0.800014
367,0.800014
368,0.799998
369,0.799966
370,0.799964
371,0.799932
372,0.799913
373,0.799908
374,0.799873
375,0.799862
376,0.799861
377,0.799793
378,0.799765
379,0.799697
380,0.799688
381,0.799648
382,0.79964
383,0.799574
384,0.799554
385,0.799552
386,0.799433
387,0.799366
388,0.799268
389,0.799124
390,0.799106
391,0.799062
392,0.799057
393,0.799019
394,0.798997
395,0.79898
396,0.79894
397,0.798939
398,0.798834
399,0.798813
400,0.79878
401,0.798727
402,0.79871
403,0.79871
404,0.798655
405,0.798623
406,0.798623
407,0.798623
408,0.798612
409,0.798596
410,0.798547
411,0.798398
412,0.798391
413,0.798378
414,0.798342
415,0.798312
416,0.798305
417,0.798305
418,0.798305
419,0.798305
420,0.798305
421,0.798305
422,0.798305
423,0.798305
424,0.798305
425,0.798305
426,0.798305
427,0.798305
428,0.798305
429,0.798305
430,0.798305
431,0.798305
432,0.798305
433,0.798305
434,0.798305
435,0.798305
436,0.798305
437,0.798305
438,0.798305
439,0.798305
440,0.798305
441,0.798305
442,0.798305
443,0.798305
444,0.798305
445,0.798305
446,0.798305
447,0.798305
448,0.798305
449,0.798305
450,0.798305
451,0.798305
452,0.798305
453,0.798305
454,0.798305
455,0.798305
456,0.798305
457,0.798305
458,0.798305
459,0.798305
460,0.798305
461,0.798305
462,0.798305
463,0.798305
464,0.798305
465,0.798305
466,0.798305
467,0.798305
468,0.798305
469,0.798305
470,0.798305
471,0.798305
472,0.798305
473,0.798305
474,0.798305
475,0.798305
476,0.798305
477,0.798305
478,0.798305
479,0.798305
480,0.798305
481,0.798305
482,0.798305
483,0.798305
484,0.798305
485,0.798305
486,0.798305
487,0.798305
488,0.798305
489,0.798305
490,0.798305
491,0.798305
492,0.798305
493,0.798305
494,0.798305
495,0.798305
496,0.798305
497,0.798305
498,0.798305
499,0.798305
500,0.798305
501,0.798305
502,0.798305
503,0.798305
504,0.798305
505,0.798305
506,0.798305
507,0.798305
508,0.798305
509,0.798305
510,0.798305
511,0.798305
512,0.798305
513,0.798305
514,0.798305
515,0.798305
516,0.798305
517,0.798305
518,0.798305
519,0.798305
520,0.798305
521,0.798305
522,0.798305
523,0.798305
524,0.798305
525,0.798305
526,0.798305
527,0.798305
528,0.798305
529,0.798305
530,0.798305
531,0.798305
532,0.798305
533,0.798305
534,0.798305
535,0.798305
536,0.798305
537,0.798305
538,0.798305
539,0.798305
540,0.798305
541,0.798305
542,0.798305
543,0.798305
544,0.798305
545,0.798305
546,0.798305
547,0.798305
548,0.798305
549,0.798305
550,0.798305
551,0.798305
552,0.798305
553,0.798305
554,0.798305
555,0.798305
556,0.798305
557,0.798305
558,0.798305
559,0.798305
560,0.798305
561,0.798305
562,0.798305
563,0.798305
564,0.798305
565,0.798305
566,0.798305
567,0.798305
568,0.798305
