rank,score
1,0.42239
2,0.42331
3,0.42363
4,0.42401
5,0.42444
6,0.42446
7,0.42455
8,0.42459
9,0.4246
10,0.42482
11,0.42493
12,0.42505
13,0.42508
14,0.42513
15,0.42515
16,0.42517
17,0.42517
18,0.42518
19,0.42524
20,0.42529
21,0.4253
22,0.42531
23,0.42531
24,0.42532
25,0.4254
26,0.42542
27,0.42544
28,0.42545
29,0.42549
30,0.4255
31,0.42555
32,0.42556
33,0.42559
34,0.42559
35,0.4256
36,0.4256
37,0.42561
38,0.42561
39,0.42561
40,0.42562
41,0.42563
42,0.42564
43,0.42564
44,0.42565
45,0.42567
46,0.42567
47,0.42567
48,0.42567
49,0.42567
50,0.42567
51,0.42567
52,0.42567
53,0.42567
54,0.42567
55,0.42568
56,0.42568
57,0.42568
58,0.42568
59,0.42569
60,0.4257
61,0.4257
62,0.4257
63,0.42571
64,0.42571
65,0.42573
66,0.42573
67,0.42573
68,0.42573
69,0.42573
70,0.42574
71,0.42574
72,0.42575
73,0.42576
74,0.42576
75,0.42577
76,0.42577
77,0.42578
78,0.42579
79,0.42579
80,0.4258
81,0.4258
82,0.42582
83,0.42583
84,0.42583
85,0.42583
86,0.42584
87,0.42584
88,0.42584
89,0.42585
90,0.42585
91,0.42585
92,0.42585
93,0.42585
94,0.42587
95,0.42587
96,0.42587
97,0.42587
98,0.42587
99,0.42588
100,0.42589
101,0.42591
102,0.42591
103,0.42593
104,0.42593
105,0.42594
106,0.42594
107,0.42594
108,0.42594
109,0.42594
110,0.42596
111,0.42596
112,0.42596
113,0.42596
114,0.42596
115,0.42596
116,0.42596
117,0.42596
118,0.42596
119,0.42596
120,0.42596
121,0.42596
122,0.42596
123,0.42596
124,0.42596
125,0.42596
126,0.42596
127,0.42596
128,0.42596
129,0.42596
130,0.42596
131,0.42596
132,0.42596
133,0.42596
134,0.42596
135,0.42596
136,0.42596
137,0.42596
138,0.42596
139,0.42596
140,0.42596
141,0.42596
142,0.42596
143,0.42596
144,0.42596
145,0.42596
146,0.42596
147,0.42596
148,0.42596
149,0.42596
150,0.42596
151,0.42596
152,0.42596
153,0.42596
154,0.42596
155,0.42596
156,0.42596
157,0.42596
158,0.42596
159,0.42596
160,0.42596
161,0.42596
162,0.42596
163,0.42596
164,0.42596
165,0.42596
166,0.42596
167,0.42596
168,0.42596
169,0.42596
170,0.42596
171,0.42596
172,0.42596
173,0.42596
174,0.42596
175,0.42596
176,0.42596
177,0.42596
178,0.42596
179,0.42596
180,0.42596
181,0.42596
182,0.42596
183,0.42596
184,0.42596
185,0.42596
186,0.42596
187,0.42596
188,0.42596
189,0.42596
190,0.42596
191,0.42596
192,0.42596
193,0.42597
194,0.42597
195,0.42598
196,0.42598
197,0.42599
198,0.42599
199,0.426
200,0.42604
201,0.42604
202,0.42604
203,0.42604
204,0.42605
205,0.42605
206,0.42605
207,0.42607
208,0.42608
209,0.42609
210,0.42611
211,0.42611
212,0.42612
213,0.42613
214,0.42613
215,0.42613
216,0.42615
217,0.42615
218,0.42618
219,0.42618
220,0.42621
221,0.42623
222,0.42628
223,0.42632
224,0.42632
225,0.42632
226,0.42633
227,0.42635
228,0.42635
229,0.4264
230,0.42644
231,0.42644
232,0.42645
233,0.42646
234,0.42646
235,0.42648
236,0.42651
237,0.42652
238,0.42653
239,0.42653
240,0.42656
241,0.42663
242,0.42668
243,0.42668
244,0.42672
245,0.42673
246,0.42674
247,0.42676
248,0.42678
249,0.42679
250,0.42688
251,0.42691
252,0.42694
253,0.42697
254,0.42697
255,0.42698
256,0.42699
257,0.42702
258,0.42703
259,0.42704
260,0.42704
261,0.42704
262,0.42705
263,0.4271
264,0.4271
265,0.42712
266,0.42721
267,0.42722
268,0.42729
269,0.42733
270,0.42733
271,0.42734
272,0.42734
273,0.42738
274,0.42738
275,0.42738
276,0.42738
277,0.42738
278,0.42738
279,0.42738
280,0.42738
281,0.42739
282,0.42741
283,0.42742
284,0.42742
285,0.42742
286,0.42744
287,0.42746
288,0.4275
289,0.42751
290,0.42752
291,0.42758
292,0.42761
293,0.42762
294,0.42762
295,0.42768
296,0.42769
297,0.42771
298,0.42771
299,0.42774
300,0.42776
301,0.42777
302,0.42781
303,0.42784
304,0.42785
305,0.42786
306,0.42795
307,0.42796
308,0.42807
309,0.42811
310,0.42812
311,0.42817
312,0.42819
313,0.42821
314,0.42824
315,0.42847
316,0.42847
317,0.42847
318,0.42847
319,0.42847
320,0.42849
321,0.42856
322,0.42868
323,0.4287
324,0.42877
325,0.4288
326,0.42881
327,0.42882
328,0.42893
329,0.42906
330,0.42915
331,0.42922
332,0.42925
333,0.42934
334,0.42942
335,0.42961
336,0.42985
337,0.42987
338,0.42988
339,0.42994
340,0.42994
341,0.42999
342,0.43012
343,0.43019
344,0.43025
345,0.4306
346,0.43145
347,0.43169
348,0.43173
349,0.43177
350,0.43183
351,0.43185
352,0.43188
353,0.43198
354,0.43209
355,0.43209
356,0.43209
357,0.43226
358,0.43233
359,0.43258
360,0.43285
361,0.43295
362,0.43304
363,0.43317
364,0.43321
365,0.43346
366,0.43346
367,0.43363
368,0.43375
369,0.43394
370,0.43397
371,0.43415
372,0.43427
373,0.43447
374,0.43454
375,0.43551
376,0.43623
377,0.44013
378,0.44014
379,0.44032
380,0.44068
381,0.44275
382,0.4475
383,0.44824
384,0.45489
385,0.46996
386,0.47242
387,0.47452
388,0.47934
389,0.47965
390,0.49938
391,0.50416
392,0.525
393,0.53667
394,0.56933
395,0.57269
396,0.57708
397,0.57822
398,0.58861
399,0.62252
400,0.63178
401,0.63444
402,0.6419
403,0.66271
404,0.67347
405,0.67964
406,0.70854
407,0.79385
408,0.98677
409,1.02105
410,1.04381
411,1.07594
412,1.31491
413,1.31491
414,1.31491
415,1.31491
416,1.31491
417,1.31491
418,1.31491
419,1.31491
420,1.31491
421,1.33952
422,1.3484
423,1.88501
424,2.93217
