rank,score
1,0.40368
2,0.40388
3,0.40819
4,0.4086
5,0.41078
6,0.41085
7,0.4122
8,0.41225
9,0.41261
10,0.41264
11,0.41265
12,0.41288
13,0.41383
14,0.41418
15,0.41418
16,0.41432
17,0.41444
18,0.41457
19,0.41464
20,0.41481
21,0.41484
22,0.41485
23,0.41495
24,0.41499
25,0.41509
26,0.41514
27,0.41515
28,0.41516
29,0.41542
30,0.41546
31,0.41566
32,0.41571
33,0.4158
34,0.41583
35,0.41586
36,0.41591
37,0.41594
38,0.41595
39,0.41596
40,0.41596
41,0.41596
42,0.41596
43,0.41596
44,0.41596
45,0.41596
46,0.41597
47,0.41597
48,0.41597
49,0.41597
50,0.41598
51,0.41598
52,0.41601
53,0.41603
54,0.41607
55,0.41611
56,0.41611
57,0.41613
58,0.41613
59,0.41613
60,0.41613
61,0.41616
62,0.41625
63,0.41637
64,0.41642
65,0.41642
66,0.41643
67,0.41645
68,0.41649
69,0.41656
70,0.41661
71,0.41666
72,0.41666
73,0.41666
74,0.41668
75,0.41671
76,0.41678
77,0.41683
78,0.41683
79,0.41683
80,0.41687
81,0.41691
82,0.417
83,0.41702
84,0.41704
85,0.41705
86,0.41706
87,0.41708
88,0.4171
89,0.41713
90,0.41713
91,0.41717
92,0.4172
93,0.41723
94,0.41725
95,0.41732
96,0.41732
97,0.41734
98,0.41738
99,0.41739
100,0.41741
101,0.41743
102,0.41746
103,0.41746
104,0.41749
105,0.41749
106,0.41749
107,0.41749
108,0.41749
109,0.41749
110,0.41749
111,0.41749
112,0.41749
113,0.41749
114,0.41749
115,0.41749
116,0.41749
117,0.41749
118,0.41749
119,0.41749
120,0.41749
121,0.41749
122,0.41749
123,0.41749
124,0.41749
125,0.41749
126,0.41749
127,0.41749
128,0.41749
129,0.41749
130,0.41749
131,0.4175
132,0.4175
133,0.4175
134,0.41756
135,0.41766
136,0.41771
137,0.41772
138,0.41782
139,0.41782
140,0.41782
141,0.41783
142,0.41783
143,0.41785
144,0.41785
145,0.41788
146,0.41788
147,0.41789
148,0.41789
149,0.41789
150,0.41789
151,0.41793
152,0.41793
153,0.41794
154,0.41794
155,0.41796
156,0.41796
157,0.41796
158,0.418
159,0.41802
160,0.41811
161,0.41811
162,0.4182
163,0.41823
164,0.41824
165,0.41828
166,0.41829
167,0.41832
168,0.41832
169,0.4184
170,0.41842
171,0.41842
172,0.41848
173,0.41855
174,0.41855
175,0.41857
176,0.41868
177,0.4187
178,0.41871
179,0.41874
180,0.41876
181,0.41876
182,0.4188
183,0.4188
184,0.41892
185,0.41898
186,0.419
187,0.41904
188,0.41911
189,0.41914
190,0.41915
191,0.4192
192,0.41921
193,0.41922
194,0.41923
195,0.41923
196,0.41927
197,0.4193
198,0.41931
199,0.41934
200,0.41934
201,0.41936
202,0.41938
203,0.41938
204,0.4194
205,0.41946
206,0.41946
207,0.41947
208,0.41947
209,0.41948
210,0.41948
211,0.41952
212,0.41956
213,0.41956
214,0.4196
215,0.41961
216,0.41962
217,0.41963
218,0.41964
219,0.41964
220,0.41966
