rank,score
1,0.9762
2,0.9689
3,0.9645
4,0.962
5,0.9584
6,0.9557
7,0.9553
8,0.9552
9,0.9538
10,0.9536
11,0.9534
12,0.9507
13,0.95
14,0.9491
15,0.9485
16,0.9482
17,0.9457
18,0.9452
19,0.9448
20,0.9448
21,0.9442
22,0.9438
23,0.9438
24,0.9435
25,0.9428
26,0.9427
27,0.9424
28,0.9423
29,0.9415
30,0.9415
31,0.9412
32,0.941
33,0.9408
34,0.9405
35,0.9405
36,0.9403
37,0.9402
38,0.9402
39,0.9402
40,0.9401
41,0.94
42,0.94
43,0.9399
44,0.9395
45,0.9395
46,0.9394
47,0.9393
48,0.9393
49,0.9389
50,0.9388
51,0.9388
52,0.9387
53,0.9386
54,0.9386
55,0.9385
56,0.9383
57,0.9382
58,0.9381
59,0.938
60,0.9379
61,0.9378
62,0.9378
63,0.9375
64,0.9374
65,0.9374
66,0.9373
67,0.9372
68,0.9372
69,0.9371
70,0.9371
71,0.937
72,0.9365
73,0.9362
74,0.9362
75,0.9361
76,0.936
77,0.936
78,0.936
79,0.9359
80,0.9359
81,0.9359
82,0.9358
83,0.9357
84,0.9357
85,0.9357
86,0.9357
87,0.9355
88,0.9354
89,0.9354
90,0.9353
91,0.9353
92,0.9352
93,0.9351
94,0.9351
95,0.9351
96,0.9351
97,0.935
98,0.935
99,0.935
100,0.9348
101,0.9348
102,0.9348
103,0.9347
104,0.9347
105,0.9346
106,0.9346
107,0.9344
108,0.9344
109,0.9344
110,0.9344
111,0.9344
112,0.9343
113,0.9341
114,0.9341
115,0.9341
116,0.934
117,0.934
118,0.934
119,0.934
120,0.934
121,0.934
122,0.934
123,0.934
124,0.934
125,0.934
126,0.934
127,0.934
128,0.934
129,0.934
130,0.934
131,0.934
132,0.934
133,0.934
134,0.934
135,0.934
136,0.934
137,0.934
138,0.934
139,0.934
140,0.934
141,0.934
142,0.9339
143,0.9339
144,0.9339
145,0.9338
146,0.9337
147,0.9337
148,0.9337
149,0.9335
150,0.9334
151,0.9334
152,0.9334
153,0.9333
154,0.9333
155,0.9333
156,0.9332
157,0.9331
158,0.9331
159,0.9331
160,0.933
161,0.933
162,0.933
163,0.933
164,0.9328
165,0.9327
166,0.9325
167,0.9325
168,0.9325
169,0.9324
170,0.9324
171,0.9324
172,0.9323
173,0.9323
174,0.9323
175,0.9322
176,0.9321
177,0.9321
178,0.932
179,0.932
180,0.9319
181,0.9319
182,0.9319
183,0.9318
184,0.9316
185,0.9316
186,0.9316
187,0.9316
188,0.9315
189,0.9315
190,0.9315
191,0.9314
192,0.9314
193,0.9314
194,0.9314
195,0.9314
196,0.9313
197,0.9313
198,0.9312
199,0.9312
200,0.9311
201,0.9311
202,0.9311
203,0.931
204,0.9308
205,0.9306
206,0.9306
207,0.9306
208,0.9306
209,0.9305
210,0.9305
211,0.9305
212,0.9305
213,0.9304
214,0.9303
215,0.9303
216,0.9303
