rank,score
1,0.9955
2,0.9952
3,0.9945
4,0.9942
5,0.9937
6,0.9936
7,0.9935
8,0.9931
9,0.9925
10,0.9923
11,0.9919
12,0.9918
13,0.9916
14,0.9913
15,0.9912
16,0.991
17,0.991
18,0.9909
19,0.9909
20,0.9908
21,0.9907
22,0.9906
23,0.9906
24,0.9905
25,0.9904
26,0.9903
27,0.9903
28,0.9903
29,0.9903
30,0.9902
31,0.9901
32,0.99
33,0.99
34,0.9899
35,0.9898
36,0.9898
37,0.9898
38,0.9898
39,0.9898
40,0.9898
41,0.9898
42,0.9897
43,0.9896
44,0.9896
45,0.9894
46,0.9891
47,0.9888
48,0.9887
49,0.9887
50,0.9886
51,0.9886
52,0.9885
53,0.9885
54,0.9885
55,0.9884
56,0.9884
57,0.9882
58,0.9881
59,0.988
60,0.988
61,0.9879
62,0.9878
63,0.9878
64,0.9877
65,0.9877
66,0.9877
67,0.9876
68,0.9876
69,0.9876
70,0.9876
71,0.9876
72,0.9875
73,0.9874
74,0.9873
75,0.9873
76,0.9872
77,0.9871
78,0.9871
79,0.9871
80,0.987
81,0.987
82,0.987
83,0.9869
84,0.9869
85,0.9868
86,0.9868
87,0.9867
88,0.9867
89,0.9867
90,0.9867
91,0.9867
92,0.9867
93,0.9867
94,0.9865
95,0.9864
96,0.9863
97,0.9861
98,0.986
99,0.9859
100,0.9859
101,0.9858
102,0.9858
103,0.9857
104,0.9855
105,0.9852
106,0.9852
107,0.9852
108,0.9851
109,0.9851
110,0.9849
111,0.9849
112,0.9847
113,0.9847
114,0.9847
115,0.9846
116,0.9846
117,0.9845
118,0.9845
119,0.9845
120,0.9844
121,0.9844
122,0.9844
123,0.9843
124,0.9843
125,0.9843
126,0.9843
127,0.9842
128,0.9842
129,0.9842
130,0.9841
131,0.9839
132,0.9837
133,0.9837
134,0.9837
135,0.9837
136,0.9837
137,0.9836
138,0.9836
139,0.9835
140,0.9834
141,0.9834
142,0.9834
143,0.9834
144,0.9834
145,0.9834
146,0.9833
147,0.9833
148,0.9833
149,0.9831
150,0.9831
151,0.983
152,0.983
153,0.9828
154,0.9827
155,0.9824
156,0.9824
157,0.9824
158,0.9824
159,0.9823
160,0.9821
161,0.982
162,0.982
163,0.982
164,0.982
165,0.9819
166,0.9819
167,0.9819
168,0.9819
169,0.9819
170,0.9818
171,0.9818
172,0.9818
173,0.9817
174,0.9813
175,0.981
176,0.981
177,0.981
178,0.981
179,0.9809
180,0.9809
181,0.9808
182,0.9808
183,0.9806
184,0.9806
185,0.9804
186,0.9804
187,0.9804
188,0.9803
189,0.9801
190,0.98
191,0.9798
192,0.9797
193,0.9797
194,0.9796
195,0.9796
196,0.9796
197,0.9795
198,0.9795
199,0.9795
200,0.9794
201,0.9793
202,0.9792
203,0.9791
204,0.9791
205,0.9791
206,0.9791
207,0.9791
208,0.9791
209,0.979
210,0.9789
211,0.9789
212,0.9788
213,0.9788
214,0.9787
215,0.9786
216,0.9785
217,0.9785
218,0.9785
219,0.9784
220,0.9783
221,0.9783
222,0.9782
223,0.9782
224,0.9781
225,0.978
226,0.9779
227,0.9779
228,0.9778
229,0.9778
230,0.9778
231,0.9777
232,0.9777
233,0.9777
234,0.9777
235,0.9776
236,0.9776
237,0.9776
238,0.9776
239,0.9775
240,0.9775
241,0.9773
242,0.9773
243,0.9772
244,0.9772
245,0.9772
246,0.9772
247,0.9772
248,0.9772
249,0.9771
250,0.9771
251,0.9771
252,0.977
253,0.9769
254,0.9769
255,0.9768
256,0.9766
257,0.9766
258,0.9765
259,0.9765
260,0.9764
261,0.9763
262,0.9763
263,0.9762
264,0.9762
265,0.9762
266,0.9762
267,0.9762
268,0.9762
269,0.9761
270,0.9761
271,0.9761
272,0.976
273,0.976
274,0.9759
275,0.9758
276,0.9758
277,0.9758
278,0.9757
279,0.9757
280,0.9757
281,0.9756
282,0.9755
283,0.9755
284,0.9755
285,0.9755
286,0.9755
287,0.9755
288,0.9754
289,0.9752
290,0.9752
291,0.9752
292,0.9752
293,0.9752
294,0.9752
295,0.9751
296,0.9749
297,0.9749
298,0.9749
299,0.9749
300,0.9749
301,0.9749
302,0.9748
303,0.9748
304,0.9747
305,0.9746
306,0.9746
307,0.9745
308,0.9745
309,0.9745
310,0.9745
311,0.9745
312,0.9744
313,0.9744
314,0.9743
315,0.9743
316,0.9741
317,0.974
318,0.974
319,0.9739
320,0.9739
321,0.9739
322,0.9738
323,0.9737
324,0.9736
325,0.9736
326,0.9736
327,0.9736
328,0.9735
329,0.9735
330,0.9735
331,0.9735
332,0.9735
333,0.9735
334,0.9735
335,0.9735
336,0.9735
337,0.9735
338,0.9735
339,0.9735
340,0.9735
341,0.9735
342,0.9735
343,0.9735
344,0.9735
345,0.9735
346,0.9735
347,0.9735
348,0.9735
349,0.9735
350,0.9735
351,0.9735
352,0.9735
353,0.9735
354,0.9735
355,0.9735
356,0.9735
357,0.9735
358,0.9735
359,0.9735
360,0.9735
361,0.9735
362,0.9735
363,0.9735
364,0.9735
365,0.9735
366,0.9735
367,0.9735
368,0.9735
369,0.9735
370,0.9735
371,0.9735
372,0.9735
373,0.9735
374,0.9735
375,0.9735
376,0.9735
377,0.9735
378,0.9735
379,0.9735
380,0.9735
381,0.9735
382,0.9735
383,0.9735
384,0.9735
385,0.9735
386,0.9735
387,0.9735
388,0.9735
389,0.9735
390,0.9735
391,0.9735
392,0.9735
393,0.9735
