rank,score
1,60.346281
2,60.380153
3,61.309937
4,61.321328
5,61.436384
6,61.513409
7,61.523202
8,61.529319
9,61.579344
10,61.659323
11,61.677277
12,61.700101
13,61.702968
14,61.705621
15,61.752453
16,61.777276
17,61.781056
18,61.78943
19,61.793528
20,61.859217
21,61.863885
22,61.935001
23,62.138706
24,62.15951
25,62.308623
26,62.366769
27,62.376278
28,62.379876
29,62.389793
30,62.439762
31,62.443446
32,62.447626
33,62.447705
34,62.447924
35,62.456806
36,62.456806
37,62.456806
38,62.456806
39,62.456806
40,62.456806
41,62.456806
42,62.456806
43,62.456806
44,62.456806
45,62.456806
46,62.456806
47,62.456806
48,62.456806
49,62.456806
50,62.456806
51,62.456806
52,62.456806
53,62.456823
54,62.456823
55,62.456836
56,62.456849
57,62.456852
58,62.456886
59,62.456886
60,62.457028
61,62.457029
62,62.457041
63,62.457042
64,62.457047
65,62.457054
66,62.45707
67,62.457072
68,62.457076
69,62.45708
70,62.457084
71,62.457088
72,62.45715
73,62.460515
74,62.46067
75,62.46067
76,62.46067
77,62.46067
78,62.46067
79,62.46067
80,62.46067
81,62.46067
82,62.46067
83,62.46067
84,62.46067
85,62.46067
86,62.486807
87,62.545732
88,62.582445
89,62.620333
90,62.622417
91,62.628283
92,62.717268
93,62.740988
94,62.79368
95,62.881421
96,62.988827
97,63.084239
98,63.33145
99,63.387556
100,63.430717
101,63.430717
102,63.434616
103,63.473559
104,63.515852
105,63.545303
106,63.617799
107,63.634616
108,63.639131
109,63.639131
110,63.65069
111,63.65165
112,63.65165
113,63.65165
114,63.65165
115,63.65165
116,63.659611
117,63.659611
118,63.659611
119,63.659612
120,63.659612
121,63.676364
122,63.676516
123,63.700026
124,63.7001
125,63.700408
126,63.796883
127,63.800709
128,63.81213
129,63.849396
130,63.849396
131,63.849396
132,63.849396
133,63.849396
134,63.849396
135,63.849396
136,63.849396
137,63.863384
138,63.885696
139,63.924124
140,63.9439
141,63.95455
142,64.014607
143,64.038153
144,64.189633
145,64.211096
146,64.211096
147,64.211096
148,64.255907
149,64.309313
150,64.314989
151,64.317615
152,64.334748
153,64.351653
154,64.388064
155,64.553951
156,64.628967
157,64.638064
158,64.656467
159,64.69469
160,64.758134
161,64.838802
162,64.872837
163,64.927316
164,64.954068
165,64.958636
166,64.987933
167,65.006231
168,65.025974
169,65.031423
170,65.062774
171,65.259897
172,65.277271
173,65.330877
174,65.330877
175,65.343067
176,65.367375
177,65.376211
178,65.416178
179,65.416178
180,65.416178
181,65.416178
182,65.416178
183,65.416178
184,65.417149
185,65.562472
186,65.650458
187,65.7578
188,65.816253
189,65.829792
190,66.044733
191,66.120087
192,66.121262
193,66.147473
194,66.147473
195,66.213949
196,66.234378
197,66.261571
198,66.261571
199,66.261571
200,66.261571
201,66.261571
202,66.302228
203,66.341866
204,66.341866
205,66.341866
206,66.390651
207,66.487329
208,66.492648
209,66.638582
210,66.740108
211,66.820872
212,66.955025
213,66.969597
214,67.104767
215,67.202278
216,67.247518
217,67.337574
218,67.644999
219,67.69017
220,67.703618
221,68.179965
222,68.294912
223,68.33678
224,68.34677
225,68.490793
226,68.532564
227,68.542434
228,68.581826
229,68.589996
230,68.668404
231,68.699226
232,68.699427
233,68.758434
234,68.791553
235,68.847299
236,68.876053
237,68.91709
238,69.062529
239,69.083691
240,69.092679
241,69.143397
242,69.205401
243,69.224571
244,69.24635
245,69.287704
246,69.287704
247,69.334437
248,69.534849
249,69.698875
250,69.881254
251,69.918814
252,70.127886
253,70.130512
254,70.304409
255,70.32094
256,70.344405
257,70.372505
258,70.419415
259,70.452974
260,70.457282
261,70.586783
262,70.670755
263,70.672979
264,70.745541
265,70.889863
266,70.892793
267,70.955637
268,70.983777
269,71.028517
270,71.086631
271,71.123749
272,71.322109
273,71.485518
274,71.624588
275,71.772565
276,72.163293
277,72.183006
278,72.235607
279,72.238017
280,72.27358
281,72.290094
282,72.7798
283,72.808738
284,72.867987
285,73.452395
286,73.787719
287,73.891387
288,73.906943
289,73.959524
290,74.078863
291,74.138148
292,74.160568
293,74.37875
294,74.442612
295,74.631664
296,74.754457
297,74.763358
298,74.945163
299,75.117644
300,75.239468
301,75.450909
302,75.466283
303,75.569671
304,75.627132
305,75.886845
306,75.913097
307,76.00291
308,76.131058
309,76.131058
310,76.186589
311,76.266128
312,76.276187
313,76.276187
314,76.276187
315,76.276187
316,76.276187
317,76.276187
318,76.276187
319,76.276331
320,76.308003
321,76.427844
322,76.585351
323,76.617068
324,76.650777
325,76.8348
326,77.033417
327,77.044941
328,77.044941
329,77.044941
330,77.185372
331,77.21013
332,77.272053
333,77.370012
