rank,score
1,60.335574
2,62.516124
3,62.710686
4,62.768246
5,62.876181
6,62.895475
7,62.950943
8,62.955886
9,63.010157
10,63.046241
11,63.114354
12,63.119433
13,63.122303
14,63.122303
15,63.166732
16,63.295903
17,63.299814
18,63.347776
19,63.366982
20,63.406661
21,63.535108
22,63.639502
23,63.63958
24,63.639585
25,63.646215
26,63.646301
27,63.648573
28,63.648795
29,63.648795
30,63.648837
31,63.648844
32,63.648849
33,63.64885
34,63.648858
35,63.648877
36,63.648878
37,63.648879
38,63.648879
39,63.648879
40,63.648879
41,63.648879
42,63.648879
43,63.648879
44,63.648879
45,63.648879
46,63.648879
47,63.648879
48,63.648879
49,63.648879
50,63.648879
51,63.648879
52,63.648879
53,63.648879
54,63.648879
55,63.648883
56,63.648885
57,63.648889
58,63.648899
59,63.648901
60,63.648905
61,63.648909
62,63.648912
63,63.648914
64,63.64905
65,63.64905
66,63.743343
67,63.810631
68,63.82596
69,63.826074
70,63.878633
71,63.943777
72,63.985125
73,63.985284
74,63.985284
75,63.985284
76,63.985284
77,63.985284
78,63.985284
79,63.985284
80,63.985284
81,63.985284
82,63.985284
83,63.985284
84,63.985284
85,63.985284
86,64.131658
87,64.238382
88,64.310791
89,64.348784
90,64.448809
91,64.517558
92,64.660888
93,64.757313
94,64.758119
95,64.80055
96,64.943954
97,64.974735
98,65.12568
99,65.15436
100,65.20658
101,65.41691
102,65.480734
103,65.656538
104,65.768859
105,66.114889
106,66.121271
107,66.125864
108,66.256589
109,66.316755
110,66.316755
111,66.316755
112,66.316755
113,66.331945
114,66.447639
115,66.449896
116,66.449896
117,66.454884
118,66.543986
119,66.576086
120,66.584052
121,66.617911
122,66.672178
123,66.690669
124,66.711066
125,66.730192
126,66.730192
127,66.734241
128,66.734241
129,66.734241
130,66.734241
131,66.734241
132,66.74244
133,66.74244
134,66.74244
135,66.742449
136,66.74245
137,66.745504
138,66.749049
139,66.792349
140,66.792854
141,66.797195
142,66.80637
143,66.809612
144,66.809612
145,66.828351
146,66.83335
147,66.871882
148,66.925294
149,66.948995
150,66.956106
151,66.968886
152,66.99466
153,67.000123
154,67.041052
155,67.041373
156,67.06581
157,67.08899
158,67.111197
159,67.111197
160,67.111197
161,67.111197
162,67.111197
163,67.111197
164,67.111197
165,67.136971
166,67.154823
167,67.157835
168,67.190307
169,67.205995
170,67.219416
171,67.460924
172,67.507388
173,67.626477
174,67.687361
175,67.698132
176,67.724765
177,67.902812
178,67.953158
179,67.99136
180,68.015341
181,68.109389
182,68.137401
183,68.169053
184,68.197388
185,68.205916
186,68.205916
187,68.205916
188,68.205916
189,68.205916
190,68.205916
191,68.216135
192,68.288804
193,68.367927
194,68.404681
195,68.429345
196,68.441474
197,68.562005
198,68.635758
199,68.644778
200,68.644778
201,68.644778
202,68.644778
203,68.644778
204,68.664376
205,68.771343
206,68.820214
207,68.842725
208,68.981001
209,69.054793
210,69.100197
211,69.163944
212,69.182467
213,69.205554
214,69.26309
215,69.26309
216,69.26309
217,69.301178
218,69.301249
219,69.353886
220,69.40326
221,69.418822
222,69.422926
223,69.456572
224,69.515997
225,69.521044
226,69.610063
227,69.662394
228,69.83321
229,70.170595
230,70.202484
231,70.355871
232,70.369939
233,70.433276
234,70.44104
235,70.453491
236,70.560055
237,70.729725
238,70.74172
239,70.812968
240,71.025264
241,71.033382
242,71.36531
243,71.461692
244,71.461692
245,71.640834
246,71.712671
247,71.763028
248,71.772288
249,72.008854
250,72.039169
251,72.155384
252,72.270286
253,72.385939
254,72.438917
255,72.46885
256,72.525492
257,73.084933
258,73.144219
259,73.15756
260,73.258012
261,73.258834
262,73.333813
263,73.346087
