rank,score
1,0.33756
2,0.34821
3,0.34834
4,0.34928
5,0.34928
6,0.3493
7,0.3557
8,0.35595
9,0.35704
10,0.35783
11,0.35867
12,0.35901
13,0.36064
14,0.36084
15,0.36248
16,0.36367
17,0.3638
18,0.36386
19,0.36445
20,0.36507
21,0.36511
22,0.36513
23,0.36515
24,0.36544
25,0.36546
26,0.36558
27,0.36607
28,0.36609
29,0.36674
30,0.36682
31,0.36682
32,0.36718
33,0.36723
34,0.36754
35,0.36771
36,0.36771
37,0.36777
38,0.36782
39,0.36811
40,0.36823
41,0.36841
42,0.36849
43,0.36852
44,0.36871
45,0.36885
46,0.36898
47,0.36909
48,0.36915
49,0.36945
50,0.36967
51,0.3698
52,0.36995
53,0.36998
54,0.36998
55,0.36999
56,0.37011
57,0.3704
58,0.37066
59,0.37085
60,0.37086
61,0.37089
62,0.37091
63,0.37096
64,0.37098
65,0.37099
66,0.37106
67,0.37106
68,0.37106
69,0.37106
70,0.37106
71,0.37106
72,0.37106
73,0.37106
74,0.37106
75,0.37107
76,0.37107
77,0.37107
78,0.37107
79,0.37107
80,0.37107
81,0.37107
82,0.37107
83,0.37123
84,0.37127
85,0.37127
86,0.37127
87,0.37135
88,0.37203
89,0.37219
90,0.37281
91,0.37365
92,0.37465
93,0.37514
94,0.37536
95,0.37575
96,0.37584
97,0.37639
98,0.37673
99,0.37744
100,0.37748
101,0.37793
102,0.37845
103,0.3785
104,0.37935
105,0.37948
106,0.37976
107,0.37976
108,0.3799
109,0.3799
110,0.37992
111,0.38024
112,0.38045
113,0.38055
114,0.3808
115,0.38089
116,0.38091
117,0.38103
118,0.38151
119,0.38158
120,0.38171
121,0.38187
122,0.38187
123,0.382
124,0.38222
125,0.38271
126,0.3832
127,0.38329
128,0.38334
129,0.38349
130,0.38362
131,0.38392
132,0.38441
133,0.38454
134,0.38479
135,0.3852
136,0.38523
137,0.38536
138,0.38578
139,0.38578
140,0.38584
141,0.38595
142,0.38614
143,0.38626
144,0.38672
145,0.38683
146,0.38695
147,0.38695
148,0.38696
149,0.38699
150,0.38708
151,0.38745
152,0.38771
153,0.38812
154,0.38859
155,0.38942
156,0.38972
157,0.38972
158,0.38973
159,0.38992
160,0.39002
161,0.39002
162,0.3901
163,0.39025
164,0.39047
165,0.39053
166,0.39079
167,0.3909
168,0.39115
169,0.39128
170,0.39141
171,0.39152
172,0.39157
173,0.3916
174,0.39171
175,0.39173
176,0.39217
177,0.39239
178,0.39242
179,0.39327
180,0.3942
181,0.39429
182,0.39433
183,0.3944
184,0.39466
185,0.39513
186,0.39517
187,0.39525
188,0.39526
189,0.39532
190,0.3956
191,0.39563
192,0.39565
193,0.39573
194,0.39594
195,0.39618
196,0.3966
197,0.39668
198,0.39669
199,0.39681
200,0.39691
201,0.39715
202,0.39729
203,0.3973
204,0.3974
205,0.39744
206,0.3975
207,0.39756
208,0.39789
209,0.39789
210,0.3979
211,0.39799
212,0.39801
213,0.39816
214,0.39817
215,0.39823
216,0.39865
217,0.39875
218,0.39907
219,0.39939
220,0.39943
221,0.39946
222,0.39951
223,0.39954
224,0.39965
225,0.39974
226,0.4001
227,0.40015
228,0.40031
229,0.40034
230,0.40034
231,0.40034
232,0.40035
233,0.40074
234,0.40078
235,0.40086
236,0.40098
237,0.40098
238,0.40098
239,0.40103
240,0.40105
241,0.40106
242,0.40111
243,0.40136
244,0.40163
245,0.40164
246,0.40181
247,0.40185
248,0.40237
249,0.40248
250,0.40259
251,0.4027
252,0.40279
253,0.4031
254,0.40334
255,0.40339
256,0.40355
257,0.40396
258,0.40398
259,0.40421
260,0.40435
261,0.40458
262,0.40487
263,0.40499
264,0.40501
265,0.4052
266,0.40533
267,0.40567
268,0.40568
269,0.40575
270,0.40579
271,0.40585
272,0.40587
273,0.40594
274,0.40606
275,0.40608
276,0.40632
277,0.40633
278,0.40657
279,0.40663
280,0.40671
281,0.40677
282,0.40679
283,0.40685
284,0.40685
285,0.40687
286,0.40696
287,0.40714
288,0.40715
289,0.40715
290,0.40715
291,0.40718
292,0.40729
293,0.4073
294,0.40733
295,0.40733
296,0.40734
297,0.40735
298,0.40736
299,0.40744
300,0.40745
301,0.40754
302,0.40755
303,0.40759
304,0.40759
305,0.40764
306,0.40767
307,0.40781
308,0.40795
309,0.40799
310,0.40801
311,0.40815
312,0.40826
313,0.40826
314,0.40826
315,0.40826
316,0.40826
317,0.40826
318,0.40826
319,0.40826
320,0.40826
321,0.40826
322,0.40826
323,0.40835
324,0.40856
325,0.40869
326,0.40883
327,0.4089
328,0.40896
329,0.4091
330,0.40925
331,0.40947
332,0.40951
333,0.40954
334,0.40958
335,0.40969
336,0.41004
337,0.41018
338,0.41019
339,0.41028
340,0.41029
341,0.4104
342,0.41043
343,0.41045
344,0.41056
345,0.41057
346,0.41066
347,0.41075
348,0.41085
349,0.41085
350,0.41089
351,0.41092
352,0.41107
353,0.41112
354,0.41118
355,0.41118
356,0.41125
357,0.41129
358,0.4114
359,0.41149
360,0.4115
361,0.41163
362,0.41184
363,0.41222
364,0.41233
365,0.41237
366,0.41261
367,0.41263
368,0.41284
369,0.41306
370,0.41317
371,0.41323
372,0.4134
373,0.41361
374,0.41364
375,0.41369
376,0.41389
377,0.41392
378,0.41406
379,0.41416
380,0.41426
381,0.41461
382,0.41492
383,0.41494
384,0.41508
385,0.41531
386,0.41539
387,0.41548
388,0.41548
389,0.41548
390,0.41564
391,0.41571
392,0.41575
393,0.4159
394,0.41596
395,0.41614
396,0.41614
397,0.41642
398,0.4165
399,0.41685
400,0.41685
401,0.41685
402,0.41686
403,0.41688
404,0.41689
405,0.4169
406,0.41695
407,0.41698
408,0.41701
409,0.41703
410,0.41705
411,0.41705
412,0.41715
413,0.41718
414,0.41728
415,0.4173
416,0.41749
417,0.41754
418,0.41761
419,0.41787
420,0.41793
421,0.41796
422,0.41798
423,0.41811
424,0.41816
425,0.41818
426,0.41819
427,0.41836
428,0.41869
429,0.4188
430,0.41901
431,0.41901
432,0.41907
433,0.41907
434,0.41907
435,0.4191
436,0.41922
437,0.41937
438,0.4195
439,0.41962
440,0.41965
441,0.41965
442,0.41968
443,0.41969
444,0.41971
445,0.41971
446,0.41981
447,0.41984
448,0.42
449,0.42026
450,0.42031
451,0.42046
452,0.42046
453,0.42058
454,0.4206
455,0.42068
456,0.42078
457,0.42085
458,0.42088
459,0.42112
460,0.42118
461,0.42123
462,0.42125
463,0.42133
464,0.42138
465,0.42159
466,0.4216
467,0.4216
468,0.4216
469,0.42165
470,0.42167
471,0.42172
472,0.42181
473,0.4219
474,0.4219
475,0.42191
476,0.422
477,0.422
478,0.422
479,0.422
480,0.42207
481,0.4221
482,0.42242
483,0.42245
484,0.42246
485,0.42258
486,0.42267
487,0.42283
488,0.42292
489,0.42313
490,0.42313
491,0.42351
492,0.42356
493,0.42359
494,0.42362
495,0.42379
496,0.42379
497,0.4238
498,0.42387
499,0.42394
500,0.42409
501,0.4241
502,0.42434
503,0.42443
504,0.42444
505,0.42445
506,0.42454
507,0.42462
508,0.42466
509,0.42469
510,0.42472
511,0.42472
512,0.42482
513,0.42489
514,0.42491
515,0.42495
516,0.42497
517,0.42502
518,0.42504
519,0.42537
520,0.42537
521,0.42576
522,0.42598
523,0.42599
524,0.4261
525,0.42623
526,0.42624
527,0.42634
528,0.42634
529,0.42648
530,0.4265
531,0.42652
532,0.42662
533,0.42663
534,0.42705
535,0.42734
536,0.42781
537,0.42835
538,0.42844
539,0.42864
540,0.42867
541,0.42867
542,0.42869
543,0.42875
544,0.42875
545,0.42894
546,0.42895
547,0.42928
548,0.42931
549,0.42942
550,0.42943
551,0.42976
552,0.42978
553,0.42981
554,0.42982
555,0.42985
556,0.42986
557,0.42999
558,0.43003
559,0.43013
560,0.43017
561,0.43018
562,0.43032
563,0.43033
564,0.43044
565,0.43045
566,0.43046
567,0.43046
568,0.43046
569,0.43049
570,0.43054
571,0.43057
572,0.43069
573,0.4307
574,0.43076
575,0.43076
576,0.43076
577,0.43088
578,0.43089
579,0.43089
580,0.4309
581,0.43106
582,0.43106
583,0.43106
584,0.43106
585,0.43106
586,0.43107
587,0.43107
588,0.43114
589,0.43116
590,0.43127
591,0.43128
592,0.43133
593,0.43136
594,0.43136
595,0.43137
596,0.43149
597,0.4315
598,0.43162
599,0.43165
600,0.43172
601,0.43175
602,0.43177
603,0.43178
604,0.43179
605,0.43186
606,0.43193
607,0.43195
608,0.43201
609,0.43203
610,0.43208
611,0.43211
612,0.43213
613,0.43214
614,0.43215
615,0.43216
616,0.4322
617,0.43223
618,0.43225
619,0.43226
620,0.43231
621,0.43237
622,0.43238
623,0.43244
624,0.43245
625,0.43249
626,0.43251
627,0.43251
628,0.43253
629,0.43254
630,0.43257
631,0.43269
632,0.43274
633,0.43282
634,0.43282
635,0.43282
636,0.43282
637,0.43282
638,0.43284
639,0.43288
640,0.43292
641,0.43292
642,0.43295
643,0.43299
644,0.43304
645,0.43304
646,0.43304
647,0.43304
648,0.43304
649,0.43304
650,0.43304
651,0.43304
652,0.43304
653,0.43304
654,0.43304
655,0.43304
