rank,score
1,3.83875
2,3.97286
3,4.06445
4,4.44437
5,4.6371
6,4.81782
7,4.98653
8,5.37017
9,5.39957
10,5.40149
11,5.40232
12,5.41003
13,5.43312
14,5.48097
15,5.49413
16,5.53815
17,5.54372
18,5.54812
19,5.54829
20,5.55023
21,5.55054
22,5.5513
23,5.55139
24,5.55152
25,5.55152
26,5.55154
27,5.55159
28,5.55165
29,5.55197
30,5.55199
31,5.55199
32,5.55202
33,5.55208
34,5.55208
35,5.55209
36,5.55209
37,5.5521
38,5.55211
39,5.55211
40,5.55211
41,5.55211
42,5.55211
43,5.55211
44,5.55211
45,5.55211
46,5.55211
47,5.55211
48,5.55211
49,5.55211
50,5.55211
51,5.55211
52,5.55211
53,5.55211
54,5.55211
55,5.55211
56,5.55211
57,5.55211
58,5.55211
59,5.55211
60,5.55211
61,5.55211
62,5.55211
63,5.55211
64,5.55211
65,5.55211
66,5.55211
67,5.55211
68,5.55211
69,5.55224
70,5.55227
71,5.55353
72,5.55986
73,5.6264
74,5.63077
75,5.67401
76,5.74379
77,6.42927
78,6.48152
79,7.10103
80,7.27763
81,7.40603
82,7.91082
83,8.62358
84,9.41771
85,9.45971
86,9.54331
87,36.45632
