rank,score
1,0.37355
2,0.37363
3,0.37406
4,0.37496
5,0.37501
6,0.3754
7,0.37587
8,0.37596
9,0.37616
10,0.3764
11,0.37654
12,0.37691
13,0.37703
14,0.37711
15,0.37743
16,0.37748
17,0.3775
18,0.37787
19,0.3782
20,0.37838
21,0.37838
22,0.37877
23,0.37877
24,0.37883
25,0.37886
26,0.37897
27,0.37909
28,0.37955
29,0.37956
30,0.37962
31,0.37963
32,0.37988
33,0.38013
34,0.38043
35,0.38079
36,0.38089
37,0.38095
38,0.38109
39,0.38134
40,0.38144
41,0.38153
42,0.38161
43,0.38162
44,0.38184
45,0.382
46,0.38205
47,0.38211
48,0.38221
49,0.38223
50,0.38229
51,0.38239
52,0.38242
53,0.38248
54,0.3827
55,0.38272
56,0.38278
57,0.38329
58,0.38359
59,0.38361
60,0.38395
61,0.38407
62,0.38407
63,0.38436
64,0.38444
65,0.38445
66,0.38449
67,0.3846
68,0.38476
69,0.38477
70,0.38484
71,0.38488
72,0.38492
73,0.38515
74,0.38546
75,0.38559
76,0.3856
77,0.38608
78,0.38615
79,0.38624
80,0.38634
81,0.38661
82,0.3868
83,0.38689
84,0.38693
85,0.38716
86,0.38731
87,0.38735
88,0.3874
89,0.38791
90,0.38802
91,0.38812
92,0.38813
93,0.38827
94,0.38828
95,0.38829
96,0.38832
97,0.38846
98,0.38884
99,0.38931
100,0.38958
101,0.38964
102,0.39005
103,0.39046
104,0.39055
105,0.3906
106,0.39081
107,0.39092
108,0.3911
109,0.39125
110,0.39131
111,0.39132
112,0.39134
113,0.39138
114,0.39168
115,0.39179
116,0.39237
117,0.39244
118,0.39252
119,0.39257
120,0.39266
121,0.39271
122,0.39272
123,0.3928
124,0.39315
125,0.39323
126,0.39326
127,0.39334
128,0.39334
129,0.39338
130,0.39398
131,0.39408
132,0.39421
133,0.3943
134,0.39431
135,0.39484
136,0.39494
137,0.39497
138,0.39504
139,0.39516
140,0.39539
141,0.39546
142,0.39552
143,0.39578
144,0.39588
145,0.39616
146,0.39626
147,0.39632
148,0.39635
149,0.39636
150,0.39643
151,0.39665
152,0.39667
153,0.39671
154,0.39671
155,0.39679
156,0.39681
157,0.39683
158,0.39696
159,0.39696
160,0.39708
161,0.39713
162,0.39714
163,0.39726
164,0.3973
165,0.39733
166,0.39733
167,0.39736
168,0.3974
169,0.39741
170,0.39751
171,0.39761
172,0.39788
173,0.39797
174,0.39809
175,0.39811
176,0.3982
177,0.39821
178,0.39822
179,0.39822
180,0.39824
181,0.39824
182,0.39838
183,0.39855
184,0.39867
185,0.39868
186,0.39872
187,0.39874
188,0.39876
189,0.39881
190,0.39884
191,0.39888
192,0.39897
193,0.39939
194,0.39945
195,0.39948
196,0.39961
197,0.39975
198,0.39977
199,0.39978
200,0.39981
201,0.39987
202,0.39987
203,0.40019
204,0.40028
205,0.40037
206,0.4004
207,0.40043
208,0.40047
209,0.40056
210,0.40062
211,0.40077
212,0.4013
213,0.40132
214,0.40135
215,0.40142
216,0.40146
217,0.40148
218,0.4015
219,0.40151
220,0.4016
221,0.40175
222,0.40175
223,0.40185
224,0.40192
225,0.40202
226,0.40222
227,0.40228
228,0.40234
229,0.40247
230,0.40248
231,0.4026
232,0.40275
233,0.40276
234,0.40289
235,0.40291
236,0.40291
237,0.4032
238,0.40351
239,0.40363
240,0.40369
241,0.40375
242,0.40384
243,0.40389
244,0.40395
245,0.40397
246,0.40423
247,0.40459
248,0.40464
249,0.40464
250,0.40466
251,0.40474
252,0.4049
253,0.40494
254,0.40501
255,0.40506
256,0.40527
257,0.40534
258,0.4057
259,0.40586
260,0.40604
261,0.40606
262,0.40637
263,0.40649
264,0.40671
265,0.40673
266,0.4068
267,0.40707
268,0.40712
269,0.40717
270,0.4072
271,0.40727
272,0.40729
273,0.40752
274,0.40755
275,0.4076
276,0.40766
277,0.40808
278,0.40809
279,0.40815
280,0.40816
281,0.40819
282,0.40826
283,0.40834
284,0.40849
285,0.40858
286,0.40859
287,0.40895
288,0.40898
289,0.40899
290,0.40911
291,0.40921
292,0.40973
293,0.4098
294,0.40983
295,0.41027
296,0.41035
297,0.41053
298,0.4107
299,0.41086
300,0.41097
301,0.41112
302,0.41113
303,0.41116
304,0.41126
305,0.4115
306,0.41154
307,0.4117
308,0.41185
309,0.41187
310,0.41212
311,0.41215
312,0.41221
313,0.41227
314,0.41235
315,0.41241
316,0.41249
317,0.41251
318,0.41256
319,0.4126
320,0.41263
321,0.4127
322,0.41273
323,0.41286
324,0.41289
325,0.41297
326,0.41307
327,0.41313
328,0.41325
329,0.41337
330,0.41354
331,0.41374
332,0.41383
333,0.41399
334,0.41409
335,0.41412
336,0.41419
337,0.41429
338,0.4143
339,0.41439
340,0.41455
341,0.41466
342,0.41467
343,0.41481
344,0.4149
345,0.41503
346,0.41506
347,0.41507
348,0.41515
349,0.41538
350,0.41539
351,0.41539
352,0.41539
353,0.41539
354,0.41539
355,0.41542
356,0.41545
357,0.41545
358,0.4155
359,0.41554
360,0.41573
361,0.41607
362,0.41608
363,0.4161
364,0.41618
365,0.41624
366,0.41629
367,0.41631
368,0.41668
369,0.41669
370,0.41676
371,0.41724
372,0.41736
373,0.41785
374,0.41942
375,0.41946
376,0.41984
377,0.42002
378,0.42023
379,0.42089
380,0.421
381,0.42114
382,0.42156
383,0.42156
384,0.42162
385,0.42199
386,0.42289
387,0.42298
388,0.42303
389,0.42324
390,0.42342
391,0.4241
392,0.42416
393,0.42421
394,0.42466
395,0.42478
396,0.42481
397,0.42551
398,0.42616
399,0.42682
400,0.42706
401,0.4274
402,0.42787
403,0.42812
404,0.42865
405,0.42908
406,0.4297
407,0.42997
408,0.43012
409,0.43018
410,0.4308
411,0.43104
412,0.43116
