rank,score
1,0.39275
2,0.39509
3,0.39557
4,0.3983
5,0.40081
6,0.40468
7,0.40618
8,0.40643
9,0.40707
10,0.40869
11,0.40932
12,0.41109
13,0.41152
14,0.41171
15,0.41193
16,0.41211
17,0.41211
18,0.41237
19,0.41246
20,0.41317
21,0.41362
22,0.41372
23,0.41398
24,0.41402
25,0.41407
26,0.41449
27,0.41456
28,0.41505
29,0.41514
30,0.41597
31,0.41605
32,0.41608
33,0.41614
34,0.41617
35,0.41634
36,0.41643
37,0.41656
38,0.41672
39,0.41688
40,0.4169
41,0.41741
42,0.41753
43,0.41799
44,0.41857
45,0.41875
46,0.41891
47,0.41895
48,0.42005
49,0.42039
50,0.4204
51,0.4206
52,0.42072
53,0.42088
54,0.42094
55,0.42121
56,0.42149
57,0.42158
58,0.42164
59,0.42182
60,0.42187
61,0.42233
62,0.42302
63,0.42319
64,0.42337
65,0.42351
66,0.42363
67,0.42369
68,0.42385
69,0.42392
70,0.42393
71,0.42404
72,0.42447
73,0.42454
74,0.42457
75,0.42457
76,0.42474
77,0.42502
78,0.42531
79,0.42538
80,0.42555
81,0.42573
82,0.42573
83,0.4259
84,0.42592
85,0.42654
86,0.42697
87,0.42711
88,0.42719
89,0.42776
90,0.4281
91,0.42838
92,0.42866
93,0.42871
94,0.42875
95,0.42888
96,0.42889
97,0.42911
98,0.4292
99,0.42945
100,0.43012
101,0.43017
102,0.43023
103,0.43037
104,0.43043
105,0.43063
106,0.43067
107,0.43083
108,0.43083
109,0.43125
110,0.43152
111,0.43164
112,0.43168
113,0.4319
114,0.43231
115,0.43251
116,0.43255
117,0.43283
118,0.43301
119,0.43319
120,0.43325
121,0.43327
122,0.43327
123,0.4333
124,0.4336
125,0.43418
126,0.43421
127,0.4344
128,0.43444
129,0.43456
130,0.43459
131,0.43492
132,0.43506
133,0.43522
134,0.43532
135,0.43577
136,0.43596
137,0.43605
138,0.43647
139,0.43653
140,0.43654
141,0.43686
142,0.43702
143,0.43715
144,0.43717
145,0.43729
146,0.4377
147,0.43815
148,0.43819
149,0.43837
150,0.43861
151,0.43862
152,0.4389
153,0.43904
154,0.43914
155,0.43926
156,0.43933
157,0.43954
158,0.43966
159,0.43975
160,0.43988
161,0.44031
162,0.44053
163,0.44063
164,0.44066
165,0.44076
166,0.44081
167,0.44088
168,0.44097
169,0.44107
170,0.4413
171,0.44174
172,0.44174
173,0.4418
174,0.44203
175,0.44215
176,0.44217
177,0.44232
178,0.44234
179,0.44236
180,0.44309
181,0.44315
182,0.44336
183,0.4434
184,0.44375
185,0.44379
186,0.44388
187,0.44398
188,0.44399
189,0.44402
190,0.44426
191,0.44435
192,0.44468
193,0.44471
194,0.44479
195,0.44479
196,0.44484
197,0.44489
198,0.44492
199,0.44493
200,0.44506
201,0.44509
202,0.44533
203,0.44553
204,0.44565
205,0.44577
206,0.4458
207,0.44592
208,0.44608
209,0.44613
210,0.44629
211,0.44652
212,0.44666
213,0.44672
214,0.44674
215,0.44681
216,0.44685
217,0.44689
218,0.44693
219,0.44693
220,0.44695
221,0.44713
222,0.44719
223,0.44729
224,0.44732
225,0.4475
226,0.44751
227,0.44752
228,0.44752
229,0.44757
230,0.4482
231,0.44823
232,0.44825
233,0.4483
234,0.44833
235,0.44844
236,0.44855
237,0.44865
238,0.44868
239,0.44882
240,0.44892
241,0.44898
242,0.44908
243,0.44917
244,0.44917
245,0.44949
246,0.44959
247,0.44973
248,0.44985
249,0.4501
250,0.4501
251,0.45032
252,0.45036
253,0.45052
254,0.45052
255,0.45073
256,0.45075
257,0.45077
258,0.45091
259,0.45094
260,0.45097
261,0.45106
262,0.45125
263,0.45148
264,0.45149
265,0.45152
266,0.45159
267,0.45164
268,0.4517
269,0.45177
270,0.45185
271,0.45186
272,0.45187
273,0.4519
274,0.45191
275,0.45198
276,0.45206
277,0.45229
278,0.45253
279,0.4528
280,0.45282
281,0.45284
282,0.45287
283,0.45295
284,0.45298
285,0.45302
286,0.45308
287,0.45312
288,0.4532
289,0.45336
290,0.45337
291,0.45345
292,0.45354
293,0.45377
294,0.45385
295,0.4539
296,0.45394
297,0.45399
298,0.4541
299,0.45413
300,0.45414
301,0.45423
302,0.45426
303,0.45434
304,0.45444
305,0.45449
306,0.45469
307,0.45478
308,0.45494
309,0.45499
310,0.45502
311,0.45512
312,0.45513
313,0.45517
314,0.45518
315,0.45525
316,0.45531
317,0.45532
318,0.45544
319,0.45547
320,0.4556
321,0.45565
322,0.45569
323,0.45569
324,0.45577
325,0.45582
326,0.45598
327,0.45604
328,0.45612
329,0.45617
330,0.45619
331,0.45625
332,0.4563
333,0.45635
334,0.45644
335,0.45653
336,0.45679
337,0.4571
338,0.45719
339,0.45726
340,0.45731
341,0.45742
342,0.45748
343,0.45753
344,0.45754
345,0.45773
346,0.45777
347,0.45777
348,0.45788
349,0.45791
350,0.45815
351,0.45839
352,0.45865
353,0.45882
354,0.45915
355,0.45921
356,0.45942
357,0.45943
358,0.45954
359,0.4597
360,0.45994
361,0.46029
362,0.46031
363,0.4604
364,0.46078
365,0.46094
366,0.46101
367,0.46105
368,0.46127
369,0.46144
370,0.46157
371,0.46181
372,0.46181
373,0.46181
374,0.46181
375,0.46181
376,0.46181
377,0.46182
378,0.46199
379,0.46207
380,0.46212
381,0.46215
382,0.4622
383,0.46274
384,0.46283
385,0.46338
386,0.4642
387,0.46451
388,0.46483
389,0.465
390,0.46522
391,0.46556
392,0.46561
393,0.4657
394,0.46571
395,0.4663
396,0.46637
397,0.46639
398,0.46729
399,0.46743
400,0.46756
401,0.46767
402,0.46792
403,0.46798
404,0.46843
405,0.46847
406,0.46853
407,0.46876
408,0.46892
409,0.46897
410,0.46977
411,0.46984
412,0.47016
413,0.47027
414,0.47031
415,0.47042
416,0.47074
417,0.47083
418,0.47095
419,0.47164
420,0.47174
421,0.47181
422,0.47187
423,0.47192
424,0.47237
425,0.4728
426,0.47284
427,0.47323
428,0.47397
429,0.47409
430,0.47414
431,0.47415
432,0.47415
433,0.47415
434,0.47423
435,0.4743
436,0.47489
437,0.4757
438,0.47602
439,0.47612
440,0.47681
441,0.47695
442,0.47697
443,0.47733
444,0.4785
445,0.47876
446,0.47916
447,0.48039
448,0.48099
449,0.48124
450,0.48146
451,0.48168
452,0.48185
453,0.48327
454,0.48355
455,0.48487
456,0.48527
457,0.48588
458,0.48658
459,0.48676
460,0.48808
461,0.48861
462,0.48887
463,0.48922
464,0.48931
465,0.4901
466,0.49013
467,0.4912
468,0.49177
469,0.49218
470,0.49295
471,0.49311
472,0.49335
473,0.49358
474,0.49546
475,0.49649
476,0.49674
477,0.49681
478,0.49717
479,0.49732
480,0.4979
481,0.49817
482,0.49829
483,0.50002
484,0.50029
485,0.5009
486,0.5015
487,0.50407
488,0.5042
489,0.50565
490,0.506
491,0.51031
492,0.51127
493,0.51222
494,0.51224
495,0.51254
496,0.51294
497,0.51346
498,0.51435
499,0.51456
500,0.51495
501,0.51536
502,0.51662
503,0.51686
504,0.51695
505,0.51748
506,0.51804
507,0.51918
508,0.5192
509,0.51962
510,0.52094
511,0.52116
512,0.52251
513,0.52325
514,0.52344
