rank,score
1,0.51
2,0.53
3,0.53
4,0.54
5,0.57
6,0.57
7,0.6
8,0.6
9,0.61
10,0.61
11,0.62
12,0.62
13,0.62
14,0.63
15,0.65
16,0.69
17,0.69
18,0.7
19,0.7
20,0.7
21,0.79
22,0.81
23,0.84
24,0.88
25,0.89
26,0.89
27,0.9
28,0.91
29,0.97
30,0.97
31,1.0
32,1.02
33,1.05
34,1.06
35,1.08
36,1.08
37,1.12
38,1.14
39,1.15
40,1.2
41,1.22
42,1.22
43,1.22
44,1.29
45,1.29
46,1.3
47,1.31
48,1.34
49,1.36
50,1.37
51,1.37
52,1.38
53,1.38
54,1.41
55,1.42
56,1.43
57,1.44
58,1.48
59,1.48
60,1.52
61,1.52
62,1.53
63,1.53
64,1.55
65,1.55
66,1.56
67,1.56
68,1.56
69,1.59
70,1.6
71,1.63
72,1.65
73,1.66
74,1.66
75,1.68
76,1.68
77,1.72
78,1.73
79,1.74
80,1.78
81,1.78
82,1.78
83,1.79
84,1.83
85,1.83
86,1.85
87,1.85
88,1.86
89,1.86
90,1.87
91,1.87
92,1.87
93,1.9
94,1.91
95,1.91
96,1.93
97,1.93
98,1.94
99,1.98
100,1.99
101,2.03
102,2.04
103,2.06
104,2.12
105,2.13
106,2.13
107,2.18
108,2.18
109,2.2
110,2.24
111,2.29
112,2.31
113,2.32
114,2.35
115,2.4
116,2.41
117,2.42
118,2.42
119,2.43
120,2.44
121,2.46
122,2.46
123,2.47
124,2.48
125,2.49
126,2.51
127,2.51
128,2.51
129,2.55
130,2.56
131,2.62
132,2.64
133,2.67
134,2.68
135,2.69
136,2.7
137,2.72
138,2.73
139,2.74
140,2.79
141,2.8
142,2.8
143,2.82
144,2.82
145,2.85
146,2.85
147,2.85
148,2.86
149,2.87
150,2.87
151,2.88
152,2.89
153,2.89
154,2.9
155,2.9
156,2.9
157,2.92
158,2.93
159,2.94
160,2.94
161,2.96
162,2.96
163,2.96
164,2.97
165,2.98
166,2.99
167,3.0
168,3.0
169,3.01
170,3.03
171,3.03
172,3.04
173,3.05
174,3.07
175,3.08
176,3.08
177,3.08
178,3.08
179,3.09
180,3.09
181,3.09
182,3.1
183,3.1
184,3.1
185,3.11
186,3.15
187,3.16
188,3.16
189,3.16
190,3.16
191,3.17
192,3.18
193,3.19
194,3.2
195,3.2
196,3.21
197,3.23
198,3.25
199,3.25
200,3.26
201,3.27
202,3.3
203,3.31
204,3.31
205,3.32
206,3.32
207,3.33
208,3.33
209,3.33
210,3.37
211,3.38
212,3.4
213,3.42
214,3.42
215,3.43
216,3.48
217,3.49
218,3.49
219,3.51
220,3.52
221,3.52
222,3.53
223,3.54
224,3.55
225,3.55
226,3.57
227,3.57
228,3.57
229,3.6
230,3.61
231,3.63
232,3.63
233,3.63
234,3.63
235,3.63
236,3.63
237,3.63
238,3.63
239,3.63
240,3.63
241,3.63
242,3.63
243,3.63
244,3.63
245,3.63
246,3.63
247,3.63
248,3.63
249,3.63
250,3.63
251,3.63
252,3.63
253,3.63
254,3.63
255,3.63
256,3.63
257,3.63
258,3.63
259,3.63
260,3.63
261,3.63
262,3.63
263,3.63
264,3.63
265,3.63
266,3.63
267,3.63
268,3.63
269,3.63
270,3.63
271,3.63
272,3.63
273,3.63
274,3.63
275,3.63
276,3.63
277,3.63
278,3.63
279,3.63
280,3.63
281,3.63
282,3.66
283,3.66
284,3.67
285,3.71
286,3.71
287,3.71
288,3.72
289,3.72
290,3.72
291,3.72
292,3.72
293,3.72
294,3.72
295,3.72
296,3.72
297,3.72
298,3.72
299,3.72
300,3.72
301,3.72
302,3.72
303,3.72
304,3.72
305,3.72
306,3.72
307,3.72
308,3.72
309,3.72
310,3.72
311,3.72
312,3.72
313,3.72
314,3.72
315,3.72
316,3.72
317,3.72
318,3.72
319,3.72
320,3.72
321,3.72
322,3.72
323,3.72
324,3.72
325,3.72
326,3.72
327,3.72
328,3.72
329,3.72
330,3.72
331,3.72
332,3.72
333,3.72
334,3.72
335,3.72
336,3.72
337,3.72
338,3.72
339,3.72
340,3.72
341,3.74
342,3.76
343,3.78
344,3.78
345,3.83
346,3.87
347,3.88
348,3.93
349,3.95
350,4.0
351,4.08
352,4.12
353,4.13
354,4.19
355,4.21
356,4.26
357,4.27
358,4.31
359,4.33
360,4.37
361,4.38
362,4.39
363,4.4
364,4.41
365,4.49
366,4.49
367,4.53
368,4.53
369,4.54
370,4.54
371,4.59
372,4.66
373,4.66
374,4.66
375,4.66
376,4.66
377,4.66
378,4.66
379,4.66
380,4.66
381,4.66
382,4.68
383,4.71
384,4.71
385,4.71
386,4.71
387,4.71
388,4.71
389,4.71
390,4.71
391,4.72
392,4.75
393,4.76
394,4.79
395,4.81
396,4.83
397,4.83
398,4.83
399,4.83
400,4.83
401,4.83
402,4.83
403,4.83
404,4.85
405,4.86
406,4.86
407,4.88
408,4.9
409,4.92
410,4.93
411,4.93
412,4.93
413,4.93
414,4.93
415,4.93
416,4.93
417,4.93
418,4.93
419,4.93
420,4.95
421,4.96
422,4.98
423,4.98
424,4.99
425,5.03
426,5.05
427,5.05
428,5.06
429,5.07
430,5.09
431,5.13
432,5.16
433,5.22
434,5.27
435,5.31
436,5.36
437,5.47
438,5.58
439,5.59
440,5.61
441,5.62
442,5.64
443,5.81
444,5.85
445,6.09
446,6.21
447,6.38
448,6.63
449,6.63
450,6.66
451,6.76
452,6.78
453,6.78
454,6.78
455,6.78
456,6.78
457,6.78
458,6.78
459,6.78
460,6.78
461,6.78
462,6.78
463,6.78
464,6.78
465,6.78
466,6.78
467,6.78
468,6.78
469,6.78
470,6.78
471,6.78
472,6.78
473,6.78
474,6.78
475,6.78
476,6.78
477,6.78
478,6.78
479,6.78
480,6.78
481,6.78
482,6.78
483,6.78
484,6.78
485,6.8
486,6.88
487,6.89
488,6.89
489,6.9
490,6.92
491,7.07
492,7.09
493,7.13
494,7.18
495,7.23
496,7.33
497,7.33
498,7.33
499,7.33
500,7.33
501,7.33
502,7.33
503,7.33
