rank,score
1,0.52
2,0.54
3,0.54
4,0.54
5,0.56
6,0.57
7,0.6
8,0.61
9,0.61
10,0.62
11,0.62
12,0.62
13,0.62
14,0.63
15,0.64
16,0.68
17,0.69
18,0.7
19,0.7
20,0.7
21,0.79
22,0.8
23,0.84
24,0.88
25,0.89
26,0.89
27,0.9
28,0.91
29,0.96
30,0.97
31,1.01
32,1.03
33,1.05
34,1.07
35,1.07
36,1.08
37,1.11
38,1.14
39,1.15
40,1.2
41,1.23
42,1.23
43,1.23
44,1.29
45,1.29
46,1.3
47,1.32
48,1.36
49,1.37
50,1.37
51,1.37
52,1.38
53,1.38
54,1.42
55,1.42
56,1.43
57,1.45
58,1.48
59,1.49
60,1.51
61,1.53
62,1.53
63,1.54
64,1.55
65,1.55
66,1.55
67,1.56
68,1.56
69,1.6
70,1.6
71,1.62
72,1.64
73,1.66
74,1.66
75,1.67
76,1.68
77,1.72
78,1.73
79,1.74
80,1.76
81,1.77
82,1.78
83,1.79
84,1.81
85,1.83
86,1.84
87,1.84
88,1.85
89,1.86
90,1.87
91,1.87
92,1.87
93,1.9
94,1.92
95,1.92
96,1.93
97,1.93
98,1.95
99,1.98
100,1.99
101,2.02
102,2.04
103,2.08
104,2.11
105,2.12
106,2.14
107,2.18
108,2.19
109,2.19
110,2.24
111,2.29
112,2.31
113,2.32
114,2.35
115,2.38
116,2.4
117,2.43
118,2.43
119,2.43
120,2.44
121,2.44
122,2.45
123,2.46
124,2.48
125,2.49
126,2.5
127,2.51
128,2.51
129,2.55
130,2.56
131,2.62
132,2.62
133,2.64
134,2.67
135,2.68
136,2.69
137,2.72
138,2.72
139,2.73
140,2.78
141,2.8
142,2.81
143,2.81
144,2.82
145,2.84
146,2.84
147,2.84
148,2.85
149,2.86
150,2.87
151,2.88
152,2.88
153,2.88
154,2.9
155,2.9
156,2.9
157,2.91
158,2.93
159,2.93
160,2.93
161,2.95
162,2.96
163,2.96
164,2.97
165,2.97
166,2.98
167,2.99
168,3.02
169,3.02
170,3.02
171,3.03
172,3.03
173,3.04
174,3.06
175,3.06
176,3.06
177,3.07
178,3.07
179,3.08
180,3.09
181,3.09
182,3.1
183,3.1
184,3.1
185,3.11
186,3.15
187,3.15
188,3.15
189,3.15
190,3.15
191,3.16
192,3.18
193,3.18
194,3.21
195,3.21
196,3.21
197,3.23
198,3.23
199,3.23
200,3.25
201,3.27
202,3.27
203,3.28
204,3.31
205,3.31
206,3.31
207,3.31
208,3.32
209,3.34
210,3.36
211,3.38
212,3.4
213,3.41
214,3.43
215,3.44
216,3.48
217,3.5
218,3.5
219,3.52
220,3.53
221,3.53
222,3.54
223,3.54
224,3.55
225,3.56
226,3.56
227,3.57
228,3.58
229,3.59
230,3.6
231,3.61
232,3.63
233,3.63
234,3.63
235,3.63
236,3.63
237,3.63
238,3.63
239,3.63
240,3.63
241,3.63
242,3.63
243,3.63
244,3.63
245,3.63
246,3.63
247,3.63
248,3.63
249,3.63
250,3.63
251,3.63
252,3.63
253,3.63
254,3.63
255,3.63
256,3.63
257,3.63
258,3.63
259,3.63
260,3.63
261,3.63
262,3.63
263,3.63
264,3.63
265,3.63
266,3.63
267,3.63
268,3.63
269,3.63
270,3.63
271,3.63
272,3.63
273,3.63
274,3.63
275,3.63
276,3.63
277,3.63
278,3.63
279,3.63
280,3.63
281,3.63
282,3.63
283,3.66
284,3.67
285,3.69
286,3.69
287,3.69
288,3.69
289,3.69
290,3.69
291,3.69
292,3.69
293,3.69
294,3.69
295,3.69
296,3.69
297,3.69
298,3.69
299,3.69
300,3.69
301,3.69
302,3.69
303,3.69
304,3.69
305,3.69
306,3.69
307,3.69
308,3.69
309,3.69
310,3.69
311,3.69
312,3.69
313,3.69
314,3.69
315,3.69
316,3.69
317,3.69
318,3.69
319,3.69
320,3.69
321,3.69
322,3.69
323,3.69
324,3.69
325,3.69
326,3.69
327,3.69
328,3.69
329,3.69
330,3.69
331,3.69
332,3.69
333,3.69
334,3.69
335,3.69
336,3.69
337,3.69
338,3.69
339,3.7
