rank,score
1,0.42037
2,0.42079
3,0.42182
4,0.42259
5,0.4245
6,0.42535
7,0.42557
8,0.42688
9,0.42744
10,0.43
11,0.43006
12,0.43089
13,0.43107
14,0.43146
15,0.43168
16,0.43262
17,0.43313
18,0.43317
19,0.43318
20,0.43323
21,0.43373
22,0.43404
23,0.43432
24,0.43471
25,0.43546
26,0.43546
27,0.43549
28,0.43567
29,0.43578
30,0.43583
31,0.43594
32,0.43601
33,0.43606
34,0.43608
35,0.4363
36,0.43633
37,0.43649
38,0.43682
39,0.43757
40,0.43778
41,0.43923
42,0.4393
43,0.43937
44,0.4397
45,0.43972
46,0.4399
47,0.44011
48,0.44011
49,0.44039
50,0.44045
51,0.44071
52,0.44073
53,0.44073
54,0.44074
55,0.44086
56,0.44087
57,0.44088
58,0.4411
59,0.44136
60,0.44146
61,0.4415
62,0.44152
63,0.44173
64,0.44194
65,0.44206
66,0.44209
67,0.44225
68,0.44227
69,0.44227
70,0.44256
71,0.44259
72,0.44261
73,0.44264
74,0.44265
75,0.44265
76,0.44276
77,0.44282
78,0.44284
79,0.44288
80,0.44289
81,0.44316
82,0.44319
83,0.44334
84,0.44341
85,0.44342
86,0.44345
87,0.44352
88,0.44355
89,0.44369
90,0.44371
91,0.44393
92,0.44399
93,0.44399
94,0.44407
95,0.44414
96,0.44418
97,0.44434
98,0.44435
99,0.44437
100,0.44442
101,0.44445
102,0.44462
103,0.44467
104,0.44467
105,0.44469
106,0.44471
107,0.44475
108,0.44478
109,0.44481
110,0.4449
111,0.44493
112,0.44497
113,0.44498
114,0.445
115,0.44511
116,0.44514
117,0.44515
118,0.44521
119,0.44527
120,0.4453
121,0.44535
122,0.44536
123,0.44537
124,0.44539
125,0.44551
126,0.44553
127,0.44554
128,0.44556
129,0.44571
130,0.44573
131,0.44575
132,0.44575
133,0.44578
134,0.44579
135,0.44589
136,0.44607
137,0.44607
138,0.44609
139,0.44609
140,0.44612
141,0.44613
142,0.44617
143,0.44619
144,0.44621
145,0.44624
146,0.44625
147,0.44626
148,0.44631
149,0.44634
150,0.44637
151,0.44638
152,0.4464
153,0.44641
154,0.44643
155,0.44651
156,0.44652
157,0.44656
158,0.44658
159,0.44662
160,0.44666
161,0.44667
162,0.44668
163,0.44676
164,0.44683
165,0.44684
166,0.44688
167,0.44689
168,0.44691
169,0.44692
170,0.44694
171,0.44701
172,0.44704
173,0.44704
174,0.44704
175,0.44705
176,0.44705
177,0.44707
178,0.44708
179,0.44708
180,0.44709
181,0.4471
182,0.44717
183,0.44718
184,0.4472
185,0.44727
186,0.44728
187,0.44728
188,0.44729
189,0.4473
190,0.44731
191,0.44732
192,0.44734
193,0.44734
194,0.44735
195,0.44735
196,0.44735
197,0.44736
198,0.44736
199,0.44736
200,0.44736
201,0.44736
202,0.44737
203,0.44737
204,0.44738
205,0.44744
206,0.44747
207,0.44747
208,0.44748
209,0.44748
210,0.44749
211,0.44751
212,0.44752
213,0.44754
214,0.44757
215,0.44757
216,0.44758
217,0.44758
218,0.4476
219,0.44761
220,0.44762
221,0.44762
222,0.44762
223,0.44764
224,0.44765
225,0.44766
226,0.44769
227,0.44769
228,0.44769
229,0.44769
230,0.44769
231,0.44771
232,0.44771
233,0.44772
234,0.44775
235,0.44777
236,0.44778
237,0.44779
238,0.4478
239,0.44782
240,0.44784
241,0.44784
242,0.44785
243,0.44789
244,0.44791
245,0.44795
246,0.44795
247,0.44795
248,0.44797
249,0.44798
250,0.44798
251,0.448
252,0.448
253,0.448
254,0.44801
255,0.44803
256,0.44804
257,0.44804
258,0.44806
259,0.44806
260,0.4481
261,0.44816
262,0.44817
263,0.44817
264,0.44817
265,0.4482
266,0.44823
267,0.44824
268,0.44825
269,0.44826
270,0.44826
271,0.44827
272,0.44827
273,0.44828
274,0.44829
275,0.44832
276,0.44836
277,0.44837
278,0.44837
279,0.44838
280,0.44839
281,0.44839
282,0.44839
283,0.44841
284,0.44843
285,0.44843
286,0.44843
287,0.44844
288,0.44844
289,0.44844
290,0.44845
291,0.44846
292,0.44847
293,0.44847
294,0.44849
295,0.44851
296,0.44851
297,0.44851
298,0.44852
299,0.44853
300,0.44853
301,0.44853
302,0.44854
303,0.44856
304,0.44856
305,0.44857
306,0.44857
307,0.44858
308,0.44859
309,0.44859
310,0.44859
311,0.44861
312,0.44863
313,0.44863
314,0.44863
315,0.44866
316,0.44867
317,0.44868
318,0.44869
319,0.44869
320,0.44871
321,0.44872
322,0.44873
323,0.44874
324,0.44876
325,0.44876
326,0.44877
327,0.44877
328,0.44878
329,0.44882
330,0.44883
331,0.44884
332,0.44885
333,0.44886
334,0.44886
335,0.44887
336,0.44888
337,0.44888
338,0.44889
339,0.44892
340,0.44892
341,0.44892
342,0.44892
343,0.44894
344,0.44894
345,0.44894
346,0.44894
347,0.44895
348,0.44895
349,0.44897
350,0.44898
351,0.44898
352,0.44899
353,0.449
354,0.44901
355,0.44904
356,0.44906
357,0.44907
358,0.44908
359,0.44911
360,0.44912
361,0.44912
362,0.44912
363,0.44915
364,0.44916
365,0.44917
366,0.44917
367,0.44917
368,0.44917
369,0.44917
370,0.44918
371,0.44918
372,0.44918
373,0.44919
374,0.44919
375,0.4492
376,0.4492
377,0.4492
378,0.4492
379,0.4492
380,0.4492
381,0.44921
382,0.44921
383,0.44921
384,0.44922
385,0.44922
386,0.44923
387,0.44923
388,0.44923
389,0.44923
390,0.44923
391,0.44924
392,0.44925
393,0.44926
394,0.44926
395,0.44926
396,0.44927
397,0.44927
398,0.44927
399,0.44928
400,0.44929
401,0.4493
402,0.4493
403,0.4493
404,0.4493
405,0.44931
406,0.44931
407,0.44931
408,0.44931
409,0.44932
410,0.44932
411,0.44932
412,0.44933
413,0.44933
414,0.44934
415,0.44934
416,0.44936
417,0.44937
418,0.44937
419,0.44937
420,0.44938
421,0.44938
422,0.4494
423,0.4494
424,0.44941
425,0.44941
426,0.44941
427,0.44942
428,0.44943
429,0.44945
430,0.44945
431,0.44946
