rank,score
1,0.42233
2,0.42325
3,0.42402
4,0.42408
5,0.42627
6,0.42684
7,0.4269
8,0.42811
9,0.42997
10,0.43132
11,0.43151
12,0.43184
13,0.43229
14,0.43343
15,0.43369
16,0.43399
17,0.43417
18,0.43424
19,0.4344
20,0.43453
21,0.4348
22,0.43506
23,0.43607
24,0.43626
25,0.43655
26,0.43667
27,0.43689
28,0.43691
29,0.43707
30,0.43712
31,0.43713
32,0.43722
33,0.43736
34,0.43753
35,0.43796
36,0.43797
37,0.4381
38,0.4387
39,0.43956
40,0.43961
41,0.43995
42,0.44046
43,0.44093
44,0.44094
45,0.44127
46,0.44128
47,0.44129
48,0.44129
49,0.44142
50,0.44155
51,0.44169
52,0.44198
53,0.44215
54,0.44233
55,0.44238
56,0.44253
57,0.44254
58,0.44277
59,0.44281
60,0.44283
61,0.44296
62,0.443
63,0.44303
64,0.44338
65,0.44348
66,0.44362
67,0.44363
68,0.44367
69,0.44368
70,0.44372
71,0.44379
72,0.44381
73,0.44396
74,0.44399
75,0.44406
76,0.4441
77,0.44417
78,0.44422
79,0.4443
80,0.44437
81,0.44438
82,0.44439
83,0.44441
84,0.44441
85,0.44463
86,0.44488
87,0.44492
88,0.445
89,0.44505
90,0.44519
91,0.44522
92,0.44525
93,0.44525
94,0.44528
95,0.44529
96,0.4454
97,0.44541
98,0.44545
99,0.44548
100,0.44555
101,0.44558
102,0.44559
103,0.44562
104,0.44567
105,0.4457
106,0.44587
107,0.44588
108,0.44592
109,0.446
110,0.44614
111,0.44619
112,0.44619
113,0.44623
114,0.44627
115,0.44632
116,0.44637
117,0.44648
118,0.44659
119,0.44662
120,0.44664
121,0.44665
122,0.44665
123,0.44665
124,0.4467
125,0.44674
126,0.44676
127,0.44691
128,0.44694
129,0.44694
130,0.44695
131,0.44709
132,0.44713
133,0.44716
134,0.44718
135,0.44724
136,0.44725
137,0.4473
138,0.44731
139,0.44734
140,0.44738
141,0.4474
142,0.44742
143,0.44745
144,0.44746
145,0.44746
146,0.44748
147,0.44763
148,0.44767
149,0.44769
150,0.44769
151,0.44769
152,0.44769
153,0.44773
154,0.44782
155,0.44789
156,0.44789
157,0.44793
158,0.44794
159,0.44797
160,0.44798
161,0.44803
162,0.44805
163,0.44805
164,0.44806
165,0.44807
166,0.44813
167,0.44814
168,0.44815
169,0.44818
170,0.44819
171,0.44821
172,0.44827
173,0.44827
174,0.44831
175,0.44833
176,0.44833
177,0.44836
178,0.44839
179,0.4484
180,0.4484
181,0.4484
182,0.44842
183,0.44846
184,0.44846
185,0.44848
186,0.4485
187,0.44853
188,0.44855
189,0.44855
190,0.44856
191,0.44856
192,0.44858
193,0.4486
194,0.44861
195,0.44862
196,0.44862
197,0.44864
198,0.44864
199,0.44865
200,0.44868
201,0.44868
202,0.44869
203,0.44869
204,0.44869
205,0.44871
206,0.44872
207,0.44873
208,0.44875
209,0.44875
210,0.44876
211,0.44876
212,0.44878
213,0.44879
214,0.4488
215,0.44882
216,0.44882
217,0.44883
218,0.44883
219,0.44885
220,0.44888
221,0.44889
222,0.4489
223,0.4489
224,0.44891
225,0.44892
226,0.44892
227,0.44893
228,0.44894
229,0.44895
230,0.44895
231,0.44896
232,0.44898
233,0.44898
234,0.44898
235,0.44898
236,0.44898
237,0.44899
238,0.44901
239,0.44902
240,0.44904
241,0.44905
242,0.44905
243,0.44906
244,0.44909
245,0.44909
246,0.44911
247,0.44912
248,0.44914
249,0.44914
250,0.44916
251,0.44917
252,0.44918
253,0.44918
254,0.4492
255,0.44921
256,0.44921
257,0.44921
258,0.44922
259,0.44922
260,0.44923
261,0.44923
262,0.44924
263,0.44927
264,0.44927
265,0.44935
266,0.44936
267,0.44936
268,0.44937
269,0.44938
270,0.4494
271,0.44941
272,0.44942
273,0.44942
274,0.44943
275,0.44943
276,0.44945
277,0.44946
278,0.44947
279,0.44948
280,0.44949
281,0.4495
282,0.44951
283,0.44951
284,0.44952
285,0.44952
286,0.44952
287,0.44953
288,0.44954
289,0.44954
290,0.44954
291,0.44956
292,0.44957
293,0.44958
294,0.44958
295,0.44958
296,0.44958
297,0.44959
298,0.44959
299,0.4496
300,0.44961
301,0.44961
302,0.44963
303,0.44963
304,0.44966
305,0.44966
306,0.44967
307,0.44967
308,0.44969
309,0.44971
310,0.44971
311,0.44972
312,0.44974
313,0.44975
314,0.44978
315,0.44978
316,0.44979
317,0.4498
318,0.44981
319,0.44981
320,0.44982
321,0.44982
322,0.44983
323,0.44984
324,0.44986
325,0.44986
326,0.44987
327,0.44988
328,0.44988
329,0.44989
330,0.44989
331,0.4499
332,0.44991
333,0.44993
334,0.44993
335,0.44993
336,0.44994
337,0.44994
338,0.44995
339,0.44996
340,0.44996
341,0.44996
342,0.44998
343,0.44998
344,0.44998
345,0.45
346,0.45
347,0.45
348,0.45
349,0.45001
350,0.45003
351,0.45004
352,0.45004
353,0.45005
354,0.45005
355,0.45005
356,0.45006
357,0.45007
358,0.45007
359,0.45008
360,0.45009
361,0.4501
362,0.45011
363,0.45012
364,0.45012
365,0.45012
366,0.45013
367,0.45015
368,0.45015
369,0.45015
370,0.45016
371,0.45016
372,0.45016
373,0.45016
374,0.45017
375,0.45017
376,0.45017
377,0.45017
378,0.45018
379,0.45018
380,0.45018
381,0.45018
382,0.45018
383,0.45018
384,0.45019
385,0.45019
386,0.45019
387,0.4502
388,0.4502
389,0.45021
390,0.45021
391,0.45021
392,0.45022
393,0.45022
394,0.45023
395,0.45024
396,0.45026
397,0.45026
398,0.45026
399,0.45026
400,0.45028
401,0.45028
402,0.45029
403,0.45029
404,0.4503
405,0.45031
406,0.45032
407,0.45033
408,0.45034
409,0.45034
410,0.45035
411,0.45035
412,0.45036
413,0.45036
414,0.45036
415,0.45036
416,0.45036
417,0.45036
418,0.45036
419,0.45036
420,0.45036
421,0.45036
422,0.45036
423,0.45036
