rank,score
1,0.9132
2,0.9043
3,0.9028
4,0.902
5,0.9019
6,0.9017
7,0.9017
8,0.9017
9,0.9017
10,0.9017
11,0.9017
12,0.9016
13,0.9016
14,0.9016
15,0.9014
16,0.9014
17,0.9013
18,0.9013
19,0.9011
20,0.9011
21,0.9011
22,0.9011
23,0.9011
24,0.9011
25,0.9011
26,0.901
27,0.901
28,0.901
29,0.901
30,0.901
31,0.901
32,0.901
33,0.9008
34,0.9008
35,0.9008
36,0.9008
37,0.9008
38,0.9007
39,0.9007
40,0.9007
41,0.9007
42,0.9007
43,0.9007
44,0.9007
45,0.9007
46,0.9007
47,0.9007
48,0.9007
49,0.9005
50,0.9005
51,0.9005
52,0.9005
53,0.9005
54,0.9005
55,0.9005
56,0.9005
57,0.9005
58,0.9005
59,0.9005
60,0.9005
61,0.9004
62,0.9004
63,0.9004
64,0.9004
65,0.9004
66,0.9004
67,0.9002
68,0.9002
69,0.9002
70,0.9002
71,0.9002
72,0.9002
73,0.9002
74,0.9002
75,0.9002
76,0.9002
77,0.9002
78,0.9002
79,0.9002
80,0.9002
81,0.9002
82,0.9001
83,0.9001
84,0.9001
85,0.9001
86,0.9001
87,0.9001
88,0.9001
89,0.9001
90,0.9001
91,0.9001
92,0.9001
93,0.9001
94,0.9001
95,0.9001
96,0.8999
97,0.8999
98,0.8999
99,0.8999
100,0.8999
101,0.8999
102,0.8999
103,0.8999
104,0.8999
105,0.8999
106,0.8999
107,0.8999
108,0.8998
109,0.8998
110,0.8998
111,0.8998
112,0.8998
113,0.8998
114,0.8998
115,0.8998
116,0.8998
117,0.8998
118,0.8998
119,0.8998
120,0.8998
121,0.8998
122,0.8998
123,0.8998
124,0.8998
125,0.8998
126,0.8998
127,0.8998
128,0.8996
129,0.8996
130,0.8996
131,0.8996
132,0.8996
133,0.8996
134,0.8996
135,0.8996
136,0.8996
137,0.8996
138,0.8996
139,0.8996
140,0.8996
141,0.8995
142,0.8995
143,0.8995
144,0.8995
145,0.8995
146,0.8995
147,0.8995
148,0.8995
149,0.8995
150,0.8995
151,0.8995
152,0.8995
153,0.8995
154,0.8995
155,0.8995
156,0.8995
157,0.8995
158,0.8995
159,0.8993
160,0.8993
161,0.8993
162,0.8993
163,0.8993
164,0.8993
165,0.8993
166,0.8993
167,0.8993
168,0.8993
169,0.8993
170,0.8993
171,0.8993
172,0.8992
173,0.8992
174,0.8992
175,0.8992
176,0.8992
177,0.8992
178,0.8992
179,0.8992
180,0.8992
181,0.8992
182,0.8992
183,0.8992
184,0.8992
185,0.8992
186,0.8992
187,0.8992
188,0.8992
189,0.8992
190,0.8992
191,0.8992
192,0.8992
193,0.8992
194,0.8992
195,0.8992
196,0.8992
197,0.8992
198,0.8992
199,0.8992
200,0.8992
201,0.8992
202,0.8992
203,0.8992
204,0.8992
205,0.8992
206,0.8992
207,0.8992
208,0.899
209,0.899
210,0.899
211,0.899
212,0.899
213,0.899
214,0.899
215,0.899
216,0.899
217,0.899
218,0.899
219,0.899
220,0.899
221,0.899
222,0.899
223,0.899
224,0.899
225,0.899
226,0.899
227,0.899
228,0.8989
229,0.8989
230,0.8989
231,0.8989
232,0.8989
233,0.8989
234,0.8989
235,0.8989
236,0.8989
237,0.8989
238,0.8989
239,0.8989
240,0.8989
241,0.8989
242,0.8989
243,0.8989
244,0.8989
245,0.8989
246,0.8989
247,0.8987
248,0.8987
249,0.8987
250,0.8987
251,0.8987
252,0.8987
253,0.8987
254,0.8987
255,0.8987
256,0.8987
257,0.8986
258,0.8986
259,0.8986
260,0.8986
261,0.8986
262,0.8986
263,0.8986
264,0.8986
265,0.8986
266,0.8986
267,0.8986
268,0.8986
269,0.8986
270,0.8986
271,0.8986
272,0.8986
273,0.8986
274,0.8986
275,0.8986
276,0.8986
277,0.8986
278,0.8986
279,0.8986
280,0.8986
281,0.8986
282,0.8986
283,0.8984
284,0.8984
285,0.8984
286,0.8984
287,0.8984
288,0.8984
289,0.8984
290,0.8984
291,0.8984
292,0.8984
293,0.8984
294,0.8984
295,0.8984
296,0.8984
297,0.8984
298,0.8984
299,0.8984
300,0.8984
301,0.8984
302,0.8984
303,0.8984
304,0.8984
305,0.8984
306,0.8984
307,0.8984
308,0.8983
309,0.8983
310,0.8983
311,0.8983
312,0.8983
313,0.8983
314,0.8983
315,0.8983
316,0.8983
317,0.8983
318,0.8983
319,0.8983
320,0.8983
321,0.8983
322,0.8981
323,0.8981
324,0.8981
325,0.8981
326,0.8981
327,0.8981
328,0.8981
329,0.8981
330,0.8981
331,0.8981
332,0.8981
333,0.8981
334,0.8981
335,0.8981
336,0.8981
337,0.8981
338,0.8981
339,0.8981
340,0.8981
341,0.8981
342,0.8981
343,0.8981
344,0.8981
345,0.8981
346,0.8981
347,0.8981
348,0.8981
349,0.8981
350,0.8981
351,0.8981
352,0.8981
353,0.898
354,0.898
355,0.898
356,0.898
357,0.898
358,0.898
359,0.898
360,0.898
361,0.898
362,0.898
363,0.898
364,0.898
365,0.898
366,0.898
367,0.898
368,0.898
369,0.898
370,0.898
371,0.898
372,0.898
373,0.898
374,0.898
375,0.898
376,0.898
377,0.898
378,0.898
379,0.898
380,0.898
381,0.8978
382,0.8978
383,0.8978
384,0.8978
385,0.8978
386,0.8978
387,0.8978
388,0.8978
389,0.8978
390,0.8978
391,0.8978
392,0.8978
393,0.8978
394,0.8978
395,0.8978
396,0.8978
397,0.8978
398,0.8978
399,0.8978
400,0.8978
401,0.8978
402,0.8978
403,0.8978
404,0.8978
405,0.8977
406,0.8977
407,0.8977
408,0.8977
409,0.8977
410,0.8977
411,0.8977
412,0.8977
413,0.8977
414,0.8977
415,0.8977
416,0.8977
417,0.8977
418,0.8977
419,0.8977
420,0.8977
421,0.8977
422,0.8977
423,0.8977
424,0.8977
425,0.8977
426,0.8977
427,0.8977
428,0.8977
429,0.8977
430,0.8977
431,0.8975
432,0.8975
433,0.8975
434,0.8975
435,0.8975
436,0.8975
437,0.8975
438,0.8975
439,0.8975
440,0.8975
441,0.8975
442,0.8975
443,0.8975
444,0.8975
445,0.8975
446,0.8975
447,0.8975
448,0.8975
449,0.8975
450,0.8975
451,0.8975
452,0.8975
453,0.8975
454,0.8975
455,0.8975
456,0.8975
457,0.8975
458,0.8975
459,0.8975
460,0.8975
461,0.8975
462,0.8975
463,0.8975
464,0.8975
465,0.8975
466,0.8975
467,0.8975
468,0.8975
469,0.8975
470,0.8975
471,0.8975
472,0.8975
473,0.8975
474,0.8975
475,0.8975
476,0.8975
477,0.8975
478,0.8975
479,0.8975
480,0.8975
481,0.8975
482,0.8975
483,0.8975
484,0.8975
485,0.8975
486,0.8975
487,0.8975
488,0.8975
489,0.8975
490,0.8975
491,0.8975
492,0.8975
493,0.8974
494,0.8974
495,0.8974
496,0.8974
497,0.8974
498,0.8974
499,0.8974
500,0.8974
501,0.8974
502,0.8974
503,0.8974
504,0.8974
505,0.8974
506,0.8974
507,0.8974
508,0.8974
509,0.8974
510,0.8974
511,0.8974
512,0.8974
513,0.8974
514,0.8974
515,0.8974
516,0.8974
517,0.8974
518,0.8974
519,0.8974
520,0.8974
521,0.8974
522,0.8974
523,0.8974
524,0.8974
525,0.8974
526,0.8974
527,0.8974
528,0.8974
529,0.8974
530,0.8974
531,0.8974
532,0.8974
533,0.8972
534,0.8972
535,0.8972
536,0.8972
537,0.8972
538,0.8972
539,0.8972
540,0.8972
541,0.8972
542,0.8972
543,0.8972
544,0.8972
545,0.8972
546,0.8972
547,0.8972
548,0.8972
549,0.8972
550,0.8972
551,0.8972
552,0.8972
553,0.8972
554,0.8972
555,0.8972
556,0.8972
557,0.8972
558,0.897
559,0.897
560,0.897
561,0.897
562,0.897
563,0.897
564,0.897
565,0.897
566,0.897
567,0.897
568,0.897
569,0.897
570,0.897
571,0.897
572,0.897
573,0.897
574,0.897
575,0.897
576,0.897
577,0.897
578,0.897
579,0.897
580,0.897
581,0.897
582,0.897
583,0.897
