rank,score
1,0.9152
2,0.91
3,0.91
4,0.9091
5,0.9091
6,0.9088
7,0.9086
8,0.9086
9,0.9086
10,0.9086
11,0.9084
12,0.9084
13,0.9084
14,0.9082
15,0.9082
16,0.9082
17,0.9079
18,0.9079
19,0.9079
20,0.9079
21,0.9079
22,0.9079
23,0.9077
24,0.9077
25,0.9077
26,0.9077
27,0.9077
28,0.9075
29,0.9075
30,0.9075
31,0.9075
32,0.9075
33,0.9073
34,0.9073
35,0.9073
36,0.9073
37,0.9073
38,0.907
39,0.907
40,0.907
41,0.907
42,0.907
43,0.907
44,0.907
45,0.9068
46,0.9068
47,0.9068
48,0.9068
49,0.9068
50,0.9068
51,0.9068
52,0.9066
53,0.9066
54,0.9066
55,0.9066
56,0.9066
57,0.9066
58,0.9066
59,0.9066
60,0.9066
61,0.9063
62,0.9063
63,0.9063
64,0.9063
65,0.9063
66,0.9063
67,0.9063
68,0.9061
69,0.9061
70,0.9061
71,0.9061
72,0.9061
73,0.9061
74,0.9061
75,0.9059
76,0.9059
77,0.9059
78,0.9059
79,0.9059
80,0.9059
81,0.9057
82,0.9057
83,0.9057
84,0.9057
85,0.9057
86,0.9057
87,0.9057
88,0.9057
89,0.9057
90,0.9057
91,0.9057
92,0.9057
93,0.9057
94,0.9057
95,0.9057
96,0.9057
97,0.9057
98,0.9057
99,0.9057
100,0.9054
101,0.9054
102,0.9054
103,0.9054
104,0.9054
105,0.9054
106,0.9054
107,0.9054
108,0.9054
109,0.9054
110,0.9054
111,0.9054
112,0.9054
113,0.9054
114,0.9054
115,0.9054
116,0.9054
117,0.9052
118,0.9052
119,0.9052
120,0.9052
121,0.9052
122,0.9052
123,0.9052
124,0.9052
125,0.9052
126,0.9052
127,0.9052
128,0.9052
129,0.905
130,0.905
131,0.905
132,0.905
133,0.905
134,0.905
135,0.905
136,0.905
137,0.905
138,0.905
139,0.905
140,0.905
141,0.905
142,0.905
143,0.905
144,0.905
145,0.9048
146,0.9048
147,0.9048
148,0.9048
149,0.9048
150,0.9048
151,0.9048
152,0.9048
153,0.9048
154,0.9048
155,0.9048
156,0.9048
157,0.9048
158,0.9048
159,0.9048
160,0.9048
161,0.9048
162,0.9048
163,0.9045
164,0.9045
165,0.9045
166,0.9045
167,0.9045
168,0.9045
169,0.9045
170,0.9045
171,0.9045
172,0.9045
173,0.9045
174,0.9045
175,0.9045
176,0.9045
177,0.9045
178,0.9045
179,0.9045
180,0.9045
181,0.9045
182,0.9045
183,0.9045
184,0.9045
185,0.9045
186,0.9045
187,0.9045
188,0.9045
189,0.9045
190,0.9045
191,0.9043
192,0.9043
193,0.9043
194,0.9043
195,0.9043
196,0.9043
197,0.9043
198,0.9043
199,0.9043
200,0.9043
201,0.9043
