rank,score
1,0.7882
2,0.78818
3,0.78818
4,0.78814
5,0.78812
6,0.78811
7,0.78811
8,0.7881
9,0.78808
10,0.78807
11,0.78807
12,0.78807
13,0.78807
14,0.78807
15,0.78807
16,0.78807
17,0.78807
18,0.78807
19,0.78807
20,0.78807
21,0.78807
22,0.78807
23,0.78807
24,0.78807
25,0.78807
26,0.78807
27,0.78807
28,0.78807
29,0.78807
30,0.78807
31,0.78807
32,0.78807
33,0.78807
34,0.78807
35,0.78807
36,0.78807
37,0.78806
38,0.78806
39,0.78806
40,0.78806
41,0.78806
42,0.78806
43,0.78806
44,0.78806
45,0.78806
46,0.78806
47,0.78806
48,0.78806
49,0.78806
50,0.78806
51,0.78806
52,0.78806
53,0.78805
54,0.78805
55,0.78804
56,0.78804
57,0.78804
58,0.78804
59,0.78804
60,0.78804
61,0.78804
62,0.78803
63,0.78803
64,0.78803
65,0.78802
66,0.78802
67,0.78802
68,0.78801
69,0.78801
70,0.78801
71,0.788
72,0.788
73,0.78799
74,0.78798
75,0.78798
76,0.78798
77,0.78798
78,0.78798
79,0.78797
80,0.78797
81,0.78797
82,0.78797
83,0.78796
84,0.78796
85,0.78796
86,0.78796
87,0.78796
88,0.78796
89,0.78796
90,0.78796
91,0.78796
92,0.78796
93,0.78796
94,0.78796
95,0.78796
96,0.78796
97,0.78796
98,0.78796
99,0.78796
100,0.78796
101,0.78796
102,0.78796
103,0.78796
104,0.78796
105,0.78796
106,0.78796
107,0.78795
108,0.78795
109,0.78795
110,0.78795
111,0.78795
112,0.78795
113,0.78795
114,0.78795
115,0.78794
116,0.78794
117,0.78793
118,0.78793
119,0.78793
120,0.78793
121,0.78793
122,0.78793
123,0.78793
124,0.78793
125,0.78793
126,0.78793
127,0.78793
128,0.78793
129,0.78793
130,0.78793
131,0.78793
132,0.78793
133,0.78793
134,0.78793
135,0.78793
136,0.78793
137,0.78793
138,0.78793
139,0.78793
140,0.78793
141,0.78793
142,0.78792
143,0.78792
144,0.78792
145,0.78792
