rank,score
1,0.78678
2,0.78677
3,0.78676
4,0.78676
5,0.78675
6,0.78675
7,0.78672
8,0.78672
9,0.78672
10,0.78672
11,0.78671
12,0.7867
13,0.7867
14,0.7867
15,0.7867
16,0.7867
17,0.7867
18,0.78669
19,0.78669
20,0.78669
21,0.78669
22,0.78669
23,0.78669
24,0.78669
25,0.78669
26,0.78669
27,0.78669
28,0.78669
29,0.78669
30,0.78669
31,0.78669
32,0.78669
33,0.78669
34,0.78669
35,0.78669
36,0.78669
37,0.78668
38,0.78668
39,0.78668
40,0.78668
41,0.78668
42,0.78668
43,0.78668
44,0.78668
45,0.78668
46,0.78668
47,0.78668
48,0.78668
49,0.78668
50,0.78668
51,0.78668
52,0.78668
53,0.78668
54,0.78668
55,0.78668
56,0.78668
57,0.78668
58,0.78668
59,0.78667
60,0.78667
61,0.78667
62,0.78666
63,0.78666
64,0.78665
65,0.78665
66,0.78664
67,0.78664
68,0.78664
69,0.78664
70,0.78664
71,0.78663
72,0.78663
73,0.78662
74,0.78662
75,0.78662
76,0.78661
77,0.78661
78,0.7866
79,0.7866
80,0.78659
81,0.78659
82,0.78659
83,0.78658
84,0.78658
85,0.78658
86,0.78658
87,0.78658
88,0.78657
89,0.78657
90,0.78657
91,0.78657
92,0.78657
93,0.78657
94,0.78657
95,0.78657
96,0.78657
97,0.78657
98,0.78657
99,0.78657
100,0.78657
101,0.78657
102,0.78657
103,0.78657
104,0.78657
105,0.78657
106,0.78657
107,0.78657
108,0.78657
109,0.78657
110,0.78657
111,0.78657
112,0.78657
113,0.78657
114,0.78657
115,0.78657
116,0.78657
117,0.78657
118,0.78657
119,0.78657
120,0.78657
121,0.78657
122,0.78657
123,0.78657
124,0.78657
125,0.78657
126,0.78656
127,0.78656
128,0.78656
129,0.78656
130,0.78656
131,0.78656
132,0.78656
133,0.78656
134,0.78656
135,0.78656
136,0.78656
137,0.78656
138,0.78656
139,0.78655
140,0.78655
141,0.78654
142,0.78654
143,0.78654
144,0.78654
145,0.78654
146,0.78654
147,0.78654
148,0.78654
149,0.78654
150,0.78654
151,0.78654
152,0.78654
153,0.78654
154,0.78654
155,0.78653
156,0.78652
157,0.78652
158,0.78652
159,0.78651
160,0.78651
161,0.78651
162,0.7865
163,0.7865
164,0.7865
165,0.7865
166,0.78649
167,0.78649
168,0.78648
169,0.78647
170,0.78647
171,0.78647
172,0.78647
173,0.78647
174,0.78646
175,0.78645
176,0.78645
177,0.78645
178,0.78644
179,0.78643
180,0.78643
181,0.78642
182,0.78642
183,0.78641
184,0.78641
185,0.78641
186,0.78641
187,0.7864
188,0.7864
189,0.7864
190,0.7864
191,0.7864
192,0.7864
193,0.78639
194,0.78639
195,0.78638
196,0.78638
197,0.78637
198,0.78636
199,0.78636
200,0.78636
201,0.78636
202,0.78636
203,0.78635
204,0.78635
205,0.78634
206,0.78634
207,0.78634
208,0.78634
209,0.78634
210,0.78634
211,0.78634
212,0.78633
213,0.78633
214,0.78633
215,0.78633
216,0.78633
217,0.78633
218,0.78633
219,0.78633
220,0.78632
221,0.78632
222,0.78632
223,0.78632
224,0.78632
225,0.78632
226,0.78632
227,0.78631
228,0.78631
229,0.78631
230,0.7863
231,0.7863
232,0.7863
233,0.7863
234,0.7863
235,0.7863
236,0.7863
237,0.7863
238,0.7863
239,0.78629
240,0.78629
241,0.78629
242,0.78629
243,0.78628
244,0.78628
245,0.78628
246,0.78628
247,0.78627
248,0.78627
249,0.78627
250,0.78627
251,0.78627
252,0.78627
253,0.78626
254,0.78626
255,0.78626
256,0.78626
257,0.78626
258,0.78626
259,0.78626
260,0.78626
261,0.78625
262,0.78624
263,0.78624
264,0.78624
265,0.78624
266,0.78623
267,0.78623
268,0.78623
269,0.78623
270,0.78623
271,0.78623
272,0.78623
273,0.78623
274,0.78623
275,0.78623
276,0.78623
277,0.78623
278,0.78623
279,0.78623
280,0.78623
281,0.78623
282,0.78623
283,0.78623
284,0.78623
285,0.78623
286,0.78623
287,0.78623
288,0.78622
289,0.78622
290,0.78622
291,0.78622
292,0.78621
293,0.78621
294,0.78621
295,0.7862
296,0.7862
297,0.7862
298,0.7862
299,0.7862
300,0.7862
301,0.7862
302,0.7862
303,0.7862
304,0.7862
305,0.78619
306,0.78618
307,0.78618
308,0.78618
309,0.78618
310,0.78618
311,0.78618
312,0.78614
313,0.78614
314,0.78614
315,0.78613
316,0.78608
317,0.78608
318,0.78608
319,0.78608
320,0.78606
321,0.78606
322,0.78606
323,0.78605
324,0.78604
325,0.78602
326,0.78602
327,0.786
328,0.786
329,0.786
330,0.78599
331,0.78599
332,0.78598
333,0.78596
334,0.78596
335,0.78595
336,0.78594
337,0.78593
338,0.78593
339,0.78593
340,0.78593
341,0.78593
342,0.78592
343,0.78591
344,0.78591
345,0.78591
346,0.7859
347,0.7859
348,0.7859
349,0.7859
350,0.7859
351,0.7859
352,0.78589
353,0.78589
354,0.78589
355,0.78589
356,0.78589
357,0.78589
358,0.78589
359,0.78587
360,0.78586
361,0.78586
362,0.78584
363,0.78584
364,0.78582
365,0.78582
366,0.78582
367,0.78582
368,0.78581
369,0.78581
370,0.7858
371,0.7858
372,0.78579
373,0.78578
374,0.78578
375,0.78577
376,0.78577
377,0.78577
378,0.78576
379,0.78576
380,0.78574
381,0.78574
382,0.78573
383,0.78572
384,0.78571
385,0.78571
386,0.78571
387,0.78571
388,0.7857
389,0.7857
390,0.78569
391,0.78569
392,0.78569
393,0.78568
394,0.78568
395,0.78568
396,0.78567
397,0.78567
398,0.78567
399,0.78567
400,0.78566
401,0.78565
402,0.78564
403,0.78564
404,0.78564
405,0.78564
406,0.78563
407,0.78563
408,0.78563
409,0.78563
410,0.78563
411,0.78563
412,0.78562
413,0.78562
414,0.78562
415,0.78561
416,0.78561
417,0.78561
418,0.78561
419,0.78561
420,0.7856
421,0.7856
422,0.7856
423,0.78559
424,0.78559
425,0.78559
426,0.78559
427,0.78559
428,0.78558
429,0.78558
430,0.78557
431,0.78557
432,0.78557
433,0.78556
434,0.78556
435,0.78555
436,0.78554
437,0.78553
438,0.78552
439,0.78552
440,0.78552
441,0.78552
442,0.78551
443,0.7855
444,0.7855
445,0.7855
446,0.7855
447,0.7855
448,0.7855
449,0.78549
450,0.78548
451,0.78548
452,0.78547
453,0.78547
454,0.78547
455,0.78546
456,0.78546
457,0.78545
458,0.78544
459,0.78544
460,0.78544
461,0.78544
462,0.78543
463,0.78543
464,0.78543
465,0.78543
466,0.78542
467,0.78542
468,0.78542
469,0.78542
470,0.78542
471,0.78542
472,0.78542
473,0.78538
474,0.78536
475,0.78536
476,0.78532
477,0.78531
478,0.78531
479,0.78531
480,0.78531
481,0.78531
482,0.78531
483,0.7853
484,0.78529
485,0.78528
486,0.78527
487,0.78525
488,0.78522
489,0.78522
490,0.78522
491,0.78521
492,0.78521
493,0.7852
494,0.7852
495,0.7852
496,0.78518
497,0.78517
498,0.78516
499,0.78516
500,0.78514
501,0.78507
502,0.78507
503,0.78506
504,0.78505
505,0.78505
506,0.78504
507,0.78504
508,0.78503
509,0.78503
510,0.78503
511,0.78503
512,0.78503
513,0.78503
514,0.78503
515,0.78503
516,0.78503
517,0.78502
518,0.78502
519,0.78502
520,0.78502
521,0.78502
522,0.78501
523,0.78501
524,0.785
525,0.785
526,0.785
527,0.785
528,0.785
529,0.785
530,0.785
531,0.785
532,0.785
533,0.785
534,0.785
535,0.785
536,0.785
537,0.785
538,0.785
539,0.785
540,0.785
541,0.785
542,0.785
543,0.785
544,0.785
545,0.785
546,0.785
547,0.785
548,0.785
549,0.785
550,0.78499
551,0.78499
552,0.78499
553,0.78499
554,0.78498
555,0.78497
556,0.78497
557,0.78496
558,0.78491
559,0.78486
560,0.7848
561,0.78479
562,0.78475
563,0.78474
564,0.78473
565,0.78471
566,0.78467
567,0.78467
568,0.78464
569,0.78463
570,0.78456
571,0.78456
572,0.78455
573,0.78455
574,0.78453
575,0.78452
576,0.78451
577,0.78451
578,0.78448
579,0.78447
580,0.7844
581,0.78438
582,0.78438
583,0.78438
584,0.78438
585,0.78438
586,0.78438
587,0.78438
588,0.78438
589,0.78437
590,0.78437
591,0.78437
592,0.78437
593,0.78435
594,0.78431
595,0.78431
596,0.7843
597,0.78429
598,0.78423
599,0.78421
600,0.78419
601,0.78419
602,0.78414
603,0.78412
604,0.78406
605,0.78406
606,0.78405
607,0.78405
608,0.78405
609,0.78405
610,0.78405
611,0.78404
612,0.78404
613,0.78396
