rank,score
1,0.80283
2,0.80282
3,0.80281
4,0.80281
5,0.80281
6,0.80281
7,0.8028
8,0.8028
9,0.8028
10,0.80279
11,0.80279
12,0.80278
13,0.80278
14,0.80276
15,0.80275
16,0.80275
17,0.80274
18,0.80274
19,0.80266
20,0.80266
21,0.80266
22,0.80265
23,0.80265
24,0.80264
25,0.80264
26,0.80263
27,0.80263
28,0.80263
29,0.80263
30,0.80263
31,0.80263
32,0.80263
33,0.80262
34,0.80262
35,0.80262
36,0.80262
37,0.80262
38,0.80262
39,0.80261
40,0.80261
41,0.80261
42,0.80261
43,0.80261
44,0.80261
45,0.80261
46,0.80261
47,0.80261
48,0.80261
49,0.80261
50,0.80261
51,0.80261
52,0.80261
53,0.80261
54,0.80261
55,0.80261
56,0.80261
57,0.80261
58,0.80261
59,0.80261
60,0.80261
61,0.8026
62,0.8026
63,0.8026
64,0.8026
65,0.8026
66,0.8026
67,0.8026
68,0.8026
69,0.8026
70,0.8026
71,0.8026
72,0.8026
73,0.8026
74,0.8026
75,0.8026
76,0.8026
77,0.8026
78,0.8026
79,0.8026
80,0.8026
81,0.8026
82,0.8026
83,0.8026
84,0.8026
85,0.8026
86,0.8026
87,0.8026
88,0.8026
89,0.8026
90,0.8026
91,0.8026
92,0.8026
93,0.8026
94,0.8026
95,0.8026
96,0.8026
97,0.8026
98,0.8026
99,0.8026
100,0.8026
101,0.8026
102,0.8026
103,0.8026
104,0.8026
105,0.8026
106,0.8026
107,0.8026
108,0.8026
109,0.8026
110,0.8026
111,0.8026
112,0.8026
113,0.8026
114,0.8026
115,0.8026
116,0.8026
117,0.8026
118,0.8026
119,0.8026
120,0.8026
121,0.8026
122,0.8026
123,0.8026
124,0.8026
125,0.8026
126,0.8026
127,0.8026
128,0.8026
129,0.8026
130,0.8026
131,0.8026
132,0.8026
133,0.8026
134,0.8026
135,0.8026
136,0.8026
137,0.8026
138,0.8026
139,0.8026
140,0.8026
141,0.8026
142,0.8026
143,0.8026
144,0.8026
145,0.8026
146,0.8026
147,0.8026
148,0.8026
149,0.8026
150,0.8026
151,0.8026
152,0.8026
153,0.8026
154,0.8026
155,0.8026
156,0.8026
157,0.8026
158,0.8026
159,0.8026
160,0.8026
161,0.8026
162,0.8026
163,0.8026
164,0.8026
165,0.8026
166,0.8026
167,0.8026
168,0.8026
169,0.8026
170,0.8026
171,0.8026
172,0.8026
173,0.8026
174,0.8026
175,0.8026
176,0.8026
177,0.8026
178,0.8026
179,0.8026
180,0.8026
181,0.8026
182,0.8026
183,0.8026
184,0.8026
185,0.8026
186,0.8026
187,0.8026
188,0.8026
189,0.8026
190,0.8026
191,0.8026
192,0.8026
193,0.8026
194,0.8026
195,0.8026
196,0.8026
197,0.8026
198,0.8026
199,0.8026
200,0.8026
201,0.8026
202,0.8026
203,0.8026
204,0.8026
205,0.8026
