rank,score
1,0.80858
2,0.80855
3,0.80854
4,0.80852
5,0.80851
6,0.8085
7,0.80849
8,0.80848
9,0.80848
10,0.80847
11,0.80847
12,0.80846
13,0.80846
14,0.80845
15,0.80845
16,0.80842
17,0.80841
18,0.80838
19,0.80836
20,0.80833
21,0.80832
22,0.80829
23,0.80828
24,0.80826
25,0.80824
26,0.80824
27,0.80824
28,0.80823
29,0.80823
30,0.80822
31,0.80822
32,0.80822
33,0.80822
34,0.80822
35,0.80822
36,0.80822
37,0.80821
38,0.80821
39,0.80821
40,0.80821
41,0.80821
42,0.80821
43,0.80821
44,0.80821
45,0.80821
46,0.80821
47,0.80821
48,0.80821
49,0.8082
50,0.8082
51,0.8082
52,0.8082
53,0.8082
54,0.8082
55,0.8082
56,0.8082
57,0.8082
58,0.8082
59,0.8082
60,0.80819
61,0.80819
62,0.80819
63,0.80819
64,0.80819
65,0.80819
66,0.80819
67,0.80819
68,0.80819
69,0.80819
70,0.80819
71,0.80819
72,0.80819
73,0.80819
74,0.80819
75,0.80819
76,0.80819
77,0.80819
78,0.80819
79,0.80819
80,0.80819
81,0.80819
82,0.80819
83,0.80819
84,0.80819
85,0.80819
86,0.80819
87,0.80819
88,0.80819
89,0.80819
90,0.80819
91,0.80819
92,0.80819
93,0.80819
94,0.80819
95,0.80819
96,0.80819
97,0.80819
98,0.80819
99,0.80819
100,0.80819
101,0.80819
102,0.80819
103,0.80819
104,0.80819
105,0.80819
106,0.80819
107,0.80819
108,0.80819
109,0.80819
110,0.80819
111,0.80819
112,0.80819
113,0.80819
114,0.80819
115,0.80819
116,0.80819
117,0.80819
118,0.80819
119,0.80819
120,0.80819
121,0.80819
122,0.80819
123,0.80819
124,0.80819
125,0.80819
126,0.80819
127,0.80819
128,0.80819
129,0.80819
130,0.80819
131,0.80819
132,0.80819
133,0.80819
134,0.80819
135,0.80819
136,0.80819
137,0.80819
138,0.80819
139,0.80819
140,0.80819
141,0.80819
142,0.80819
143,0.80819
144,0.80819
145,0.80819
146,0.80819
147,0.80819
148,0.80819
149,0.80819
150,0.80819
151,0.80819
152,0.80819
153,0.80819
154,0.80819
155,0.80819
156,0.80819
157,0.80818
158,0.80818
159,0.80818
160,0.80818
161,0.80818
162,0.80818
163,0.80818
164,0.80818
165,0.80818
166,0.80818
167,0.80818
168,0.80818
169,0.80818
170,0.80818
171,0.80818
172,0.80818
173,0.80818
174,0.80818
175,0.80818
176,0.80818
177,0.80818
178,0.80818
179,0.80818
180,0.80818
181,0.80818
182,0.80818
183,0.80818
184,0.80818
185,0.80818
186,0.80818
187,0.80818
188,0.80818
189,0.80818
190,0.80818
191,0.80818
192,0.80818
193,0.80818
194,0.80818
195,0.80818
196,0.80818
197,0.80818
198,0.80818
199,0.80818
200,0.80818
201,0.80818
202,0.80818
203,0.80818
204,0.80818
205,0.80818
206,0.80818
207,0.80818
208,0.80818
209,0.80818
210,0.80818
211,0.80818
212,0.80818
213,0.80818
214,0.80818
215,0.80818
216,0.80818
217,0.80818
218,0.80818
219,0.80818
220,0.80818
221,0.80818
222,0.80818
223,0.80818
224,0.80818
225,0.80818
226,0.80818
227,0.80818
228,0.80818
229,0.80818
230,0.80818
231,0.80818
232,0.80818
233,0.80818
234,0.80818
235,0.80818
236,0.80818
237,0.80818
238,0.80818
239,0.80818
240,0.80818
241,0.80818
242,0.80818
243,0.80818
244,0.80818
245,0.80818
246,0.80818
247,0.80818
248,0.80818
249,0.80818
250,0.80818
251,0.80818
252,0.80818
253,0.80818
254,0.80818
255,0.80818
256,0.80817
257,0.80817
258,0.80817
259,0.80817
260,0.80817
261,0.80817
262,0.80817
263,0.80816
264,0.80816
265,0.80816
266,0.80815
267,0.80815
268,0.80815
269,0.80815
270,0.80815
271,0.80815
272,0.80815
273,0.80815
274,0.80815
275,0.80815
276,0.80815
277,0.80815
278,0.80815
279,0.80815
280,0.80815
281,0.80815
282,0.80815
283,0.80815
284,0.80815
285,0.80815
286,0.80815
287,0.80815
288,0.80815
289,0.80815
290,0.80815
291,0.80815
292,0.80815
293,0.80815
294,0.80814
295,0.80814
296,0.80814
297,0.80814
298,0.80814
299,0.80814
300,0.80814
301,0.80813
302,0.80813
303,0.80812
304,0.80812
305,0.80811
306,0.8081
307,0.8081
308,0.80808
309,0.80808
310,0.80808
311,0.80808
312,0.80808
313,0.80807
314,0.80807
315,0.80807
316,0.80807
317,0.80807
318,0.80807
319,0.80807
320,0.80807
321,0.80807
322,0.80807
323,0.80807
324,0.80807
325,0.80807
326,0.80807
327,0.80807
328,0.80807
329,0.80807
330,0.80807
331,0.80807
332,0.80807
333,0.80807
334,0.80807
335,0.80807
336,0.80807
337,0.80807
338,0.80807
339,0.80807
340,0.80807
341,0.80806
342,0.80805
343,0.80805
344,0.80805
345,0.80805
346,0.80805
347,0.80805
348,0.80805
349,0.80805
350,0.80804
351,0.80804
352,0.80804
353,0.80804
354,0.80804
355,0.80804
356,0.80804
357,0.80804
358,0.80804
359,0.80803
360,0.80803
361,0.80802
362,0.80801
363,0.80801
364,0.80801
365,0.80801
366,0.80801
367,0.80801
368,0.80801
369,0.808
370,0.808
371,0.808
372,0.808
373,0.80798
374,0.80798
375,0.80798
376,0.80798
377,0.80798
378,0.80797
379,0.80797
380,0.80795
381,0.80794
382,0.80794
383,0.80794
384,0.80793
385,0.80793
386,0.80793
387,0.80792
388,0.80792
389,0.80792
390,0.80792
391,0.80792
392,0.80792
393,0.80792
394,0.80791
395,0.80791
396,0.80791
397,0.80791
398,0.80791
399,0.80789
400,0.80789
401,0.80789
402,0.80789
403,0.80788
404,0.80788
405,0.80788
406,0.80788
407,0.80787
408,0.80787
409,0.80786
410,0.80786
411,0.80785
412,0.80785
413,0.80785
414,0.80783
415,0.80782
416,0.80782
417,0.8078
418,0.80779
419,0.80778
420,0.80777
421,0.80777
422,0.80777
423,0.80777
424,0.80777
425,0.80776
426,0.80774
427,0.80772
428,0.80771
429,0.80769
430,0.80768
431,0.80768
432,0.80768
433,0.80767
434,0.80767
435,0.80767
436,0.80767
437,0.80766
438,0.80766
439,0.80766
440,0.80763
441,0.80763
442,0.80762
443,0.80762
444,0.80762
445,0.80762
446,0.80762
447,0.80762
448,0.80762
449,0.80762
450,0.80762
451,0.80762
452,0.80762
453,0.80762
454,0.80762
455,0.80762
456,0.80761
457,0.8076
458,0.8076
459,0.8076
460,0.80758
461,0.80758
462,0.80758
463,0.80758
464,0.80758
465,0.80756
466,0.80755
467,0.80754
468,0.80754
469,0.80753
470,0.80753
471,0.80753
472,0.80753
473,0.80753
474,0.80753
475,0.80753
476,0.80753
477,0.80753
478,0.80752
479,0.80752
480,0.80749
481,0.80749
482,0.80749
483,0.80747
484,0.80746
485,0.80743
486,0.80743
487,0.80739
488,0.80739
489,0.80739
490,0.80739
491,0.80739
492,0.80739
493,0.80739
494,0.80739
495,0.80739
496,0.80739
497,0.80739
498,0.80739
499,0.80739
500,0.80739
501,0.80739
502,0.80739
503,0.80739
504,0.80739
505,0.80739
506,0.80739
507,0.80739
508,0.80739
509,0.80739
510,0.80739
511,0.80739
512,0.80739
513,0.80739
514,0.80739
515,0.80739
516,0.80738
517,0.80738
518,0.80737
519,0.80736
520,0.80736
521,0.80736
522,0.80736
523,0.80736
524,0.80734
525,0.80733
526,0.80732
527,0.8073
528,0.8073
529,0.80729
530,0.80728
531,0.80728
532,0.80727
533,0.80724
534,0.80724
535,0.8072
536,0.80719
537,0.80719
538,0.80719
539,0.80719
540,0.80717
541,0.80711
542,0.80711
543,0.8071
544,0.8071
545,0.80709
546,0.80703
547,0.80702
548,0.80694
549,0.80691
550,0.8069
551,0.80678
552,0.80674
553,0.80668
554,0.80664
555,0.80664
556,0.8066
557,0.80658
558,0.80653
559,0.80649
560,0.80645
561,0.80644
562,0.80635
563,0.80633
564,0.80629
565,0.80626
566,0.80623
567,0.80614
568,0.8061
569,0.80609
570,0.80609
571,0.80604
572,0.80603
573,0.806
574,0.80598
575,0.80595
576,0.80592
577,0.80592
578,0.80586
579,0.80585
580,0.80583
581,0.80583
582,0.80566
583,0.80554
584,0.80545
585,0.80544
586,0.80544
587,0.8054
588,0.80539
589,0.80538
590,0.80533
591,0.80533
592,0.80531
593,0.80531
594,0.80529
595,0.80528
596,0.80526
597,0.80518
598,0.80514
599,0.8051
600,0.8051
601,0.80508
602,0.80507
603,0.80506
604,0.80506
605,0.80504
606,0.80503
607,0.805
608,0.80494
609,0.80491
610,0.80488
611,0.80486
612,0.80483
613,0.80481
614,0.80481
615,0.80479
616,0.80474
617,0.80469
618,0.80465
619,0.80463
620,0.80459
621,0.80458
622,0.80454
623,0.80454
624,0.8045
625,0.80448
626,0.80448
627,0.80448
628,0.80445
629,0.80443
630,0.80443
631,0.80442
632,0.80439
633,0.80439
634,0.80435
635,0.80434
636,0.80431
637,0.80427
638,0.80426
639,0.80425
640,0.80423
641,0.80423
642,0.80421
643,0.80419
644,0.80417
645,0.80412
