rank,score
1,0.79567
2,0.79352
3,0.79046
4,0.78868
5,0.78693
6,0.78315
7,0.78178
8,0.77883
9,0.77735
10,0.77611
11,0.77604
12,0.77409
13,0.77214
14,0.77089
15,0.77081
16,0.76903
17,0.76713
18,0.76639
19,0.76628
20,0.76599
21,0.76577
22,0.76329
23,0.75646
24,0.75505
25,0.75399
26,0.75328
27,0.7526
28,0.75246
29,0.75188
30,0.75142
31,0.75133
32,0.75046
33,0.74797
34,0.7478
35,0.7468
36,0.74582
37,0.74548
38,0.74296
39,0.74269
40,0.74159
41,0.74142
42,0.7408
43,0.73938
44,0.73822
45,0.73812
46,0.73721
47,0.73681
48,0.73642
49,0.73626
50,0.73526
51,0.73299
52,0.73125
53,0.73083
54,0.73059
55,0.72983
56,0.72966
57,0.72965
58,0.72923
59,0.72871
60,0.72831
61,0.72775
62,0.72705
63,0.72635
64,0.72582
65,0.72541
66,0.72276
67,0.72156
68,0.72135
69,0.72127
70,0.72105
71,0.7207
72,0.72036
73,0.71934
74,0.71885
75,0.71845
76,0.71799
77,0.71722
78,0.71712
79,0.71694
80,0.71689
81,0.71678
82,0.71639
83,0.71608
84,0.71604
85,0.71545
86,0.71539
87,0.71525
88,0.71285
89,0.71224
90,0.71222
91,0.71146
92,0.71052
93,0.71009
94,0.71003
95,0.70979
96,0.70976
97,0.70931
98,0.70929
99,0.70921
100,0.70898
101,0.70894
102,0.70888
103,0.70741
104,0.70693
105,0.70692
106,0.70662
107,0.70599
108,0.70581
109,0.70548
110,0.70545
111,0.70526
112,0.70514
113,0.70501
114,0.70485
115,0.70475
116,0.7043
117,0.70385
118,0.70356
119,0.70345
120,0.70236
121,0.70215
122,0.70121
123,0.70071
124,0.70056
125,0.70011
126,0.69946
127,0.69903
128,0.69902
129,0.69865
130,0.69811
131,0.69809
132,0.69806
133,0.69743
134,0.69716
135,0.69651
136,0.69645
137,0.69642
138,0.69624
139,0.69535
140,0.69531
141,0.69444
142,0.69307
143,0.69288
144,0.69123
145,0.69115
146,0.69071
147,0.69059
148,0.69059
149,0.69045
150,0.69039
151,0.68998
152,0.68935
153,0.68902
154,0.68888
155,0.68767
156,0.68719
157,0.68718
158,0.687
159,0.68643
160,0.68638
161,0.68638
162,0.68638
163,0.68637
164,0.68514
165,0.68386
166,0.68303
167,0.68294
168,0.68291
169,0.67969
170,0.6778
171,0.67735
172,0.67697
173,0.67682
174,0.67644
175,0.67616
176,0.67571
177,0.67555
178,0.67458
179,0.67315
180,0.67296
181,0.67296
182,0.67217
183,0.67216
184,0.67137
185,0.67082
186,0.67031
187,0.66922
188,0.66911
189,0.66897
190,0.66735
191,0.66603
192,0.66507
193,0.6647
194,0.66455
195,0.66261
196,0.66243
197,0.66164
198,0.66137
199,0.66108
200,0.66103
201,0.66074
202,0.66007
203,0.65954
204,0.65919
205,0.65917
206,0.65913
207,0.65821
208,0.65689
209,0.65611
210,0.65504
211,0.65374
212,0.65365
213,0.65229
214,0.65177
215,0.64871
216,0.64861
217,0.64811
218,0.64748
219,0.64565
220,0.64271
221,0.64262
222,0.64251
223,0.64053
224,0.6392
225,0.63747
226,0.63714
227,0.63456
228,0.63444
229,0.6344
230,0.63418
231,0.63269
232,0.63079
233,0.6288
234,0.62773
235,0.62727
236,0.6257
237,0.62418
238,0.62343
239,0.62306
240,0.62246
241,0.62192
242,0.61996
243,0.6193
244,0.61786
245,0.61781
246,0.61711
247,0.61457
248,0.61284
249,0.61192
250,0.60962
251,0.60933
252,0.60857
253,0.60596
254,0.60437
255,0.60272
256,0.60131
257,0.5995
258,0.59638
259,0.59402
260,0.59382
261,0.59178
262,0.59178
263,0.5917
264,0.58868
265,0.58794
266,0.58775
267,0.58454
268,0.58427
269,0.58339
270,0.57875
271,0.57695
272,0.57191
273,0.56754
274,0.56653
275,0.5644
276,0.56264
277,0.56064
278,0.557
279,0.55408
280,0.54478
281,0.54375
282,0.53965
283,0.53924
284,0.53692
285,0.5355
286,0.53468
287,0.5311
288,0.52842
289,0.52379
290,0.51734
291,0.51702
292,0.51617
293,0.5144
294,0.51313
295,0.51237
296,0.50636
297,0.50584
298,0.49915
299,0.49539
300,0.49041
301,0.48698
302,0.48482
303,0.47787
304,0.47473
305,0.46616
306,0.4629
307,0.46234
308,0.45989
309,0.45711
310,0.45708
311,0.45232
312,0.45212
313,0.44055
314,0.43794
315,0.42996
316,0.42967
317,0.42441
318,0.4209
319,0.41458
320,0.41302
321,0.4122
322,0.40033
323,0.39563
324,0.39542
325,0.3837
326,0.38268
327,0.38268
328,0.37899
329,0.37748
330,0.37219
331,0.36526
332,0.36087
333,0.35862
334,0.3567
335,0.35342
336,0.35314
337,0.35241
338,0.34771
339,0.34675
340,0.34391
341,0.33955
342,0.3381
343,0.33643
344,0.33337
345,0.32928
346,0.32393
347,0.323
348,0.32179
349,0.3169
350,0.31615
351,0.31526
352,0.31468
353,0.31251
354,0.31072
355,0.30989
356,0.30364
357,0.29407
358,0.2928
359,0.29003
360,0.28314
361,0.27813
362,0.2765
363,0.27115
364,0.26549
365,0.26142
366,0.2555
367,0.25462
368,0.24812
369,0.24271
370,0.24188
371,0.23273
372,0.22664
373,0.22326
374,0.22272
375,0.22227
376,0.21726
377,0.21096
378,0.21051
379,0.20636
380,0.17274
381,0.17063
382,0.16766
383,0.16766
384,0.16766
385,0.16766
386,0.16766
387,0.16766
388,0.16766
389,0.16766
390,0.16766
391,0.16766
392,0.16766
393,0.16766
394,0.16766
395,0.16766
396,0.16766
397,0.16766
398,0.16766
399,0.16766
400,0.16766
401,0.16766
402,0.16766
403,0.16766
404,0.16766
405,0.16766
406,0.16766
407,0.16766
408,0.16766
409,0.16766
410,0.16766
411,0.16766
412,0.16766
413,0.16766
414,0.16766
415,0.16766
416,0.16766
417,0.16766
418,0.16766
419,0.16766
420,0.16766
421,0.16766
422,0.16766
423,0.16766
424,0.16766
425,0.16766
426,0.16766
427,0.16766
428,0.16766
429,0.16766
430,0.16766
431,0.16766
432,0.16766
433,0.16766
434,0.16766
435,0.16766
436,0.16766
437,0.16766
438,0.16766
439,0.16766
440,0.16766
441,0.16766
442,0.16755
443,0.16755
444,0.16755
445,0.16755
446,0.143
447,0.14182
448,0.1303
449,0.12783
450,0.11639
451,0.11175
452,0.10637
453,0.09593
454,0.09584
455,0.09372
456,0.09316
457,0.09308
458,0.09271
459,0.08937
460,0.08935
461,0.08935
462,0.08935
463,0.08935
464,0.08935
465,0.08935
466,0.08935
467,0.08935
468,0.08935
469,0.08935
470,0.08935
471,0.08935
472,0.08935
473,0.08935
474,0.08935
475,0.0696
476,0.06544
477,0.05962
478,0.05778
479,0.04563
