rank,score
1,0.79417
2,0.79184
3,0.78861
4,0.78746
5,0.78517
6,0.78128
7,0.78008
8,0.77734
9,0.77549
10,0.77444
11,0.77434
12,0.77229
13,0.77032
14,0.76911
15,0.76897
16,0.76765
17,0.76602
18,0.7645
19,0.76433
20,0.76414
21,0.76385
22,0.76166
23,0.75446
24,0.75377
25,0.75258
26,0.75159
27,0.75078
28,0.75017
29,0.74976
30,0.74946
31,0.7493
32,0.74889
33,0.74615
34,0.74571
35,0.74552
36,0.74406
37,0.74302
38,0.74104
39,0.74041
40,0.74001
41,0.7398
42,0.73895
43,0.73791
44,0.73616
45,0.73579
46,0.73567
47,0.73483
48,0.73462
49,0.73404
50,0.73349
51,0.73141
52,0.73015
53,0.72911
54,0.72911
55,0.7278
56,0.72748
57,0.72748
58,0.7273
59,0.7271
60,0.72684
61,0.72593
62,0.72517
63,0.72484
64,0.72432
65,0.72377
66,0.72193
67,0.71983
68,0.71939
69,0.7191
70,0.719
71,0.71799
72,0.7179
73,0.71789
74,0.71731
75,0.71645
76,0.71641
77,0.71575
78,0.71535
79,0.71534
80,0.71531
81,0.71483
82,0.71448
83,0.71422
84,0.71404
85,0.71359
86,0.71357
87,0.71352
88,0.71087
89,0.71087
90,0.71004
91,0.70902
92,0.70867
93,0.7085
94,0.70835
95,0.70765
96,0.70764
97,0.70761
98,0.70757
99,0.70749
100,0.70712
101,0.70711
102,0.70692
103,0.70601
104,0.70519
105,0.70495
106,0.70453
107,0.70429
108,0.70407
109,0.70382
110,0.70376
111,0.70375
112,0.70307
113,0.70289
114,0.70276
115,0.70272
116,0.70261
117,0.70244
118,0.70151
119,0.70146
120,0.70114
121,0.70027
122,0.69973
123,0.69934
124,0.69878
125,0.69854
126,0.69726
127,0.69713
128,0.69681
129,0.69674
130,0.69661
131,0.69645
132,0.69588
133,0.69553
134,0.69514
135,0.69473
136,0.69437
137,0.69434
138,0.69422
139,0.69421
140,0.693
141,0.69297
142,0.69077
143,0.69048
144,0.6904
145,0.68922
146,0.68882
147,0.68877
148,0.68866
149,0.68866
150,0.68843
151,0.68842
152,0.68776
153,0.68758
154,0.68735
155,0.68606
156,0.68546
157,0.68529
158,0.68498
159,0.68498
160,0.68497
161,0.68497
162,0.68442
163,0.68432
164,0.68315
165,0.68231
166,0.68159
167,0.681
168,0.68073
169,0.67884
170,0.67735
171,0.67671
172,0.67539
173,0.67531
174,0.67516
175,0.67498
176,0.67478
177,0.67378
178,0.67373
179,0.67293
180,0.67144
181,0.67144
182,0.67114
183,0.67032
184,0.66971
185,0.66949
186,0.66912
187,0.66877
188,0.66759
189,0.66745
190,0.66732
191,0.66542
192,0.66504
193,0.66361
194,0.66347
195,0.66313
196,0.66089
197,0.66036
198,0.66004
199,0.65964
200,0.65957
201,0.65954
202,0.65886
203,0.65834
204,0.65782
205,0.65724
206,0.65681
207,0.65669
208,0.65663
209,0.65556
210,0.65438
211,0.65401
212,0.65267
213,0.65182
214,0.65061
215,0.65027
216,0.64722
217,0.64613
218,0.64607
219,0.64461
220,0.64368
221,0.64118
222,0.64072
223,0.64038
224,0.63836
225,0.63719
226,0.63575
227,0.63574
228,0.63313
229,0.63243
230,0.63241
231,0.63226
232,0.63128
233,0.62901
234,0.62637
235,0.62596
236,0.6253
237,0.62441
238,0.6221
239,0.62156
240,0.62121
241,0.62085
242,0.61995
243,0.6177
244,0.61762
245,0.61601
246,0.61534
247,0.61505
248,0.61263
249,0.61106
250,0.61013
251,0.60837
252,0.60735
253,0.60711
254,0.60401
255,0.60287
256,0.60052
257,0.59941
258,0.5978
259,0.59425
260,0.59281
261,0.59199
262,0.58965
263,0.58965
264,0.58946
265,0.58801
266,0.58612
267,0.58511
268,0.58329
269,0.58281
270,0.58236
271,0.57677
272,0.5753
273,0.5693
274,0.56566
275,0.56462
276,0.56217
277,0.5604
278,0.55885
279,0.55638
280,0.55167
281,0.54312
282,0.54236
283,0.53806
284,0.53648
285,0.53345
286,0.53263
287,0.52976
288,0.52722
289,0.5226
290,0.51513
291,0.51494
292,0.51479
293,0.51249
294,0.51174
295,0.51011
296,0.50616
297,0.50479
298,0.49781
299,0.49379
300,0.48831
301,0.48601
302,0.48308
303,0.47592
304,0.47367
305,0.46438
306,0.46103
307,0.46039
308,0.45787
309,0.45538
310,0.4551
311,0.45134
312,0.45
313,0.43937
314,0.43639
315,0.42852
316,0.42804
317,0.42337
318,0.41932
319,0.41358
320,0.41125
321,0.41084
322,0.39909
323,0.39478
324,0.39419
325,0.38246
326,0.38169
327,0.38169
328,0.37817
329,0.37802
330,0.37139
331,0.3651
332,0.36011
333,0.35727
334,0.35547
335,0.3528
336,0.35227
337,0.35106
338,0.34707
339,0.34649
340,0.34334
341,0.3386
342,0.3366
343,0.33551
344,0.33268
345,0.32803
346,0.32297
347,0.32256
348,0.32164
349,0.31558
350,0.31539
351,0.31452
352,0.31343
353,0.31164
354,0.30961
355,0.3088
356,0.30214
357,0.29256
358,0.2914
359,0.28978
360,0.2826
361,0.27738
362,0.27587
363,0.26909
364,0.26419
365,0.26119
366,0.25511
367,0.25398
368,0.24753
369,0.24182
370,0.24141
371,0.23171
372,0.22707
373,0.22276
374,0.22149
375,0.22144
376,0.21654
377,0.21185
378,0.21101
379,0.20616
380,0.17202
381,0.17028
382,0.16718
383,0.16718
384,0.16718
385,0.16718
386,0.16718
387,0.16718
388,0.16718
389,0.16718
390,0.16718
391,0.16718
392,0.16718
393,0.16718
394,0.16718
395,0.16718
396,0.16718
397,0.16718
398,0.16718
399,0.16718
400,0.16718
401,0.16718
402,0.16718
403,0.16718
404,0.16718
405,0.16718
406,0.16718
407,0.16718
408,0.16718
409,0.16718
410,0.16718
411,0.16718
412,0.16718
413,0.16718
414,0.16718
415,0.16718
416,0.16718
417,0.16718
418,0.16718
419,0.16718
420,0.16718
421,0.16718
422,0.16718
423,0.16718
424,0.16718
425,0.16718
426,0.16718
427,0.16718
428,0.16718
429,0.16718
430,0.16718
431,0.16718
432,0.16718
433,0.16718
434,0.16718
435,0.16718
436,0.16718
437,0.16718
438,0.16718
439,0.16718
440,0.16718
441,0.16718
442,0.16713
443,0.16713
444,0.16713
445,0.16713
446,0.14279
447,0.14143
448,0.12977
449,0.12718
450,0.11571
451,0.11158
452,0.10543
453,0.09552
454,0.09491
455,0.09394
456,0.09289
457,0.09225
458,0.09194
459,0.08886
460,0.0888
461,0.0888
462,0.0888
463,0.0888
464,0.0888
465,0.0888
466,0.0888
467,0.0888
468,0.0888
469,0.0888
470,0.0888
471,0.0888
472,0.0888
473,0.0888
474,0.0888
475,0.06872
476,0.06498
477,0.05986
478,0.05754
479,0.0454
480,0.04472
481,0.04464
482,0.04464
483,0.0424
484,0.03732
485,0.03414
486,0.02926
487,0.02502
