rank,score
1,0.7879
2,0.77953
3,0.77788
4,0.77725
5,0.77608
6,0.77165
7,0.77075
8,0.77002
9,0.76588
10,0.76394
11,0.76305
12,0.76061
13,0.75898
14,0.75866
15,0.75768
16,0.75741
17,0.75695
18,0.75663
19,0.75597
20,0.75574
21,0.75537
22,0.75419
23,0.752
24,0.75176
25,0.75007
26,0.74999
27,0.74928
28,0.74888
29,0.74868
30,0.74843
31,0.74678
32,0.74643
33,0.74635
34,0.74487
35,0.74412
36,0.74384
37,0.7431
38,0.74255
39,0.7421
40,0.74174
41,0.74127
42,0.74122
43,0.74078
44,0.74073
45,0.74071
46,0.7404
47,0.73988
48,0.73986
49,0.73986
50,0.73984
51,0.73983
52,0.73964
53,0.73961
54,0.73955
55,0.73952
56,0.73942
57,0.73906
58,0.73899
59,0.73892
60,0.73891
61,0.73838
62,0.73835
63,0.73815
64,0.73785
65,0.73784
66,0.7377
67,0.73758
68,0.73749
69,0.73748
70,0.73736
71,0.73726
72,0.73726
73,0.73726
74,0.73726
75,0.73725
76,0.73725
77,0.73725
78,0.73725
79,0.73725
80,0.73725
81,0.73725
82,0.73725
83,0.73725
84,0.73725
85,0.73725
86,0.73725
87,0.73725
88,0.73725
89,0.73725
90,0.73725
91,0.73725
92,0.73725
93,0.73725
94,0.73725
95,0.73725
96,0.73725
97,0.73725
98,0.73725
99,0.73725
100,0.73725
101,0.73725
102,0.73725
103,0.73725
104,0.73725
105,0.73725
106,0.73725
107,0.73725
108,0.73725
109,0.73725
110,0.73725
111,0.73725
112,0.73725
113,0.73725
114,0.73725
115,0.73725
116,0.73725
117,0.73725
118,0.73725
119,0.73725
120,0.73725
121,0.73725
122,0.73725
123,0.73725
124,0.73725
125,0.73725
126,0.73725
127,0.73725
128,0.73725
129,0.73725
130,0.73725
131,0.73725
132,0.73725
133,0.73718
134,0.73718
135,0.73718
136,0.73718
137,0.73718
138,0.73718
139,0.73718
140,0.73696
141,0.73694
142,0.73691
143,0.73688
144,0.73676
145,0.73667
146,0.73654
147,0.73644
148,0.73643
149,0.73643
150,0.73609
151,0.73593
152,0.73593
153,0.73593
154,0.73593
155,0.73593
156,0.73593
157,0.73593
158,0.73593
159,0.73593
160,0.73593
161,0.73593
162,0.73593
163,0.73593
164,0.73593
165,0.73593
166,0.73593
167,0.73593
168,0.73593
169,0.73593
170,0.73593
171,0.73593
