rank,score
1,0.83136
2,0.83033
3,0.83006
4,0.82155
5,0.82131
6,0.81772
7,0.81558
8,0.8134
9,0.81148
10,0.81143
11,0.81078
12,0.80977
13,0.80878
14,0.80819
15,0.8078
16,0.80747
17,0.80646
18,0.80519
19,0.80386
20,0.80379
21,0.80277
22,0.80225
23,0.80129
24,0.80117
25,0.80101
26,0.80056
27,0.80055
28,0.79978
29,0.79903
30,0.79888
31,0.79863
32,0.79859
33,0.79847
34,0.79844
35,0.79834
36,0.79787
37,0.79751
38,0.79747
39,0.79747
40,0.79747
41,0.79747
42,0.79744
43,0.79736
44,0.79732
45,0.79712
46,0.79705
47,0.79686
48,0.79665
49,0.7966
50,0.7966
51,0.7966
52,0.79654
53,0.79631
54,0.79621
55,0.79618
56,0.79613
57,0.79599
58,0.79597
59,0.79595
60,0.79592
61,0.79591
62,0.79589
63,0.79586
64,0.79567
65,0.79557
66,0.79556
67,0.79556
68,0.79553
69,0.79551
70,0.79543
71,0.79543
72,0.79542
73,0.79542
74,0.79542
75,0.79541
76,0.79535
77,0.7953
78,0.79523
79,0.79513
80,0.79497
81,0.79481
82,0.79478
83,0.79471
84,0.79471
85,0.79466
86,0.79457
87,0.79447
88,0.79443
89,0.79435
90,0.79434
91,0.79434
92,0.79433
93,0.79426
94,0.79422
95,0.79409
96,0.79395
97,0.79394
98,0.7939
99,0.7939
100,0.7939
101,0.79384
102,0.79381
103,0.7938
104,0.79371
105,0.79371
106,0.79371
107,0.79371
108,0.79371
109,0.79366
110,0.79366
111,0.79366
112,0.79366
113,0.79348
114,0.7934
115,0.79312
116,0.79301
117,0.79292
118,0.79292
119,0.79292
120,0.7929
121,0.79283
122,0.79282
123,0.79278
124,0.79274
125,0.7927
126,0.7927
127,0.7927
128,0.7927
129,0.7927
130,0.7927
131,0.7927
132,0.7927
133,0.7927
134,0.7927
135,0.7927
136,0.7927
137,0.7927
138,0.7927
139,0.7927
140,0.7927
141,0.7927
142,0.7927
143,0.7927
144,0.7927
145,0.7927
146,0.7927
147,0.7927
148,0.7927
149,0.7927
150,0.7927
151,0.7927
152,0.7927
153,0.7927
154,0.7927
155,0.7927
156,0.7927
157,0.7927
158,0.7927
159,0.7927
160,0.7927
161,0.7927
162,0.7927
163,0.7927
164,0.7927
165,0.7927
166,0.7927
167,0.7927
168,0.7927
169,0.7927
170,0.7927
171,0.7927
172,0.7927
173,0.7927
174,0.7927
175,0.7927
176,0.7927
177,0.7927
178,0.7927
179,0.7927
180,0.7927
181,0.7927
182,0.7927
183,0.7927
184,0.7927
185,0.7927
186,0.7927
187,0.7927
188,0.7927
189,0.7927
190,0.7927
191,0.7927
192,0.7927
193,0.7927
194,0.7927
195,0.7927
196,0.7927
197,0.7927
198,0.7927
199,0.7927
200,0.7927
201,0.7927
202,0.7927
203,0.7927
204,0.7927
205,0.7927
206,0.7927
207,0.7927
208,0.7927
209,0.7927
210,0.7927
211,0.7927
212,0.7927
213,0.7927
214,0.7927
215,0.7927
216,0.7927
217,0.7927
218,0.7927
219,0.7927
220,0.7927
221,0.7927
222,0.7927
223,0.7927
224,0.7927
225,0.7927
226,0.7927
227,0.7927
228,0.7927
229,0.7927
230,0.7927
231,0.7927
232,0.7927
233,0.7927
234,0.7927
235,0.7927
236,0.7927
237,0.7927
238,0.7927
