rank,score
1,-3.23968
2,-3.22349
3,-3.19498
4,-3.18085
5,-3.14969
6,-3.04456
7,-3.0328
8,-3.00189
9,-2.97389
10,-2.95233
11,-2.93612
12,-2.93335
13,-2.92387
14,-2.90753
15,-2.87509
16,-2.83985
17,-2.82768
18,-2.80943
19,-2.80799
20,-2.72796
21,-2.69159
22,-2.69031
23,-2.65035
24,-2.63267
25,-2.62886
26,-2.61108
27,-2.56751
28,-2.55696
29,-2.52766
30,-2.51427
31,-2.51254
32,-2.49837
33,-2.49283
34,-2.47922
35,-2.45881
36,-2.44817
37,-2.42699
38,-2.42329
39,-2.42042
40,-2.41094
41,-2.37433
42,-2.36477
43,-2.34422
44,-2.30518
45,-2.30015
46,-2.29948
47,-2.29788
48,-2.28263
49,-2.27857
50,-2.27644
51,-2.26777
52,-2.24723
53,-2.24222
54,-2.23759
55,-2.2331
56,-2.2219
57,-2.21819
58,-2.2171
59,-2.20809
60,-2.20246
61,-2.19603
62,-2.19248
63,-2.18971
64,-2.18864
65,-2.17881
66,-2.17859
67,-2.17839
68,-2.17502
69,-2.17466
70,-2.1739
71,-2.17301
72,-2.16973
73,-2.16735
74,-2.16429
75,-2.16153
76,-2.16047
77,-2.1604
78,-2.15752
79,-2.15564
80,-2.14886
81,-2.1453
82,-2.14511
83,-2.14361
84,-2.14346
85,-2.14291
86,-2.1423
87,-2.14194
88,-2.14041
89,-2.13957
90,-2.13852
91,-2.13746
92,-2.13562
93,-2.12997
94,-2.12289
95,-2.1187
96,-2.11658
97,-2.11111
98,-2.11017
99,-2.10837
100,-2.09857
101,-2.09322
102,-2.09273
103,-2.09037
104,-2.08858
105,-2.08833
106,-2.08756
107,-2.08175
108,-2.07731
109,-2.07495
110,-2.07201
111,-2.07132
112,-2.06837
113,-2.06819
114,-2.06606
115,-2.06537
116,-2.06278
117,-2.06263
118,-2.06225
119,-2.06081
120,-2.0604
121,-2.05342
122,-2.05292
123,-2.05274
124,-2.05224
125,-2.05114
126,-2.05024
127,-2.04712
128,-2.04514
129,-2.04066
130,-2.04028
131,-2.0377
132,-2.03604
133,-2.03384
134,-2.03329
135,-2.03308
136,-2.03119
137,-2.03093
138,-2.02897
139,-2.02802
140,-2.02588
141,-2.02515
142,-2.02454
143,-2.02435
144,-2.02392
145,-2.02275
146,-2.01885
147,-2.01756
148,-2.01743
149,-2.01733
150,-2.01497
151,-2.01354
152,-2.01245
153,-2.00991
154,-2.00812
155,-2.00754
156,-2.00679
157,-2.00573
158,-2.00566
159,-1.99687
160,-1.99522
161,-1.99036
162,-1.98876
163,-1.98735
164,-1.98634
165,-1.98468
166,-1.98379
167,-1.98324
168,-1.98159
169,-1.9778
170,-1.97369
171,-1.97328
172,-1.97323
173,-1.97216
174,-1.97209
175,-1.97038
176,-1.96983
177,-1.96916
178,-1.9688
179,-1.96801
180,-1.96656
181,-1.96632
182,-1.96587
183,-1.9652
184,-1.96512
185,-1.96406
186,-1.96309
187,-1.95858
188,-1.95713
189,-1.95695
190,-1.9557
191,-1.95521
192,-1.9551
193,-1.95421
194,-1.95388
195,-1.95181
196,-1.9513
197,-1.9511
198,-1.95101
199,-1.95027
200,-1.95011
201,-1.9494
202,-1.94939
203,-1.94637
204,-1.94483
205,-1.94412
206,-1.94298
207,-1.94168
208,-1.94097
209,-1.94092
210,-1.94056
211,-1.94008
212,-1.93835
213,-1.93803
214,-1.93785
215,-1.93714
216,-1.93714
217,-1.93676
218,-1.93353
219,-1.9298
220,-1.92949
221,-1.92931
222,-1.92927
223,-1.92879
224,-1.92868
225,-1.92699
226,-1.92565
227,-1.9253
228,-1.92458
229,-1.9245
230,-1.92343
231,-1.9234
232,-1.92305
233,-1.92289
234,-1.92261
235,-1.92224
236,-1.92011
237,-1.91993
238,-1.91981
239,-1.91741
240,-1.91736
241,-1.91661
242,-1.91567
243,-1.91505
244,-1.91461
245,-1.91418
246,-1.91376
247,-1.91316
248,-1.9119
249,-1.91165
250,-1.91101
251,-1.91098
252,-1.91029
253,-1.9102
254,-1.90994
255,-1.90988
256,-1.90986
257,-1.90941
258,-1.90891
259,-1.90858
260,-1.90829
261,-1.9076
262,-1.90683
263,-1.90667
264,-1.90544
265,-1.90468
266,-1.90444
267,-1.90397
268,-1.90364
269,-1.90322
270,-1.90265
271,-1.90251
272,-1.90218
273,-1.90122
274,-1.90086
275,-1.90076
276,-1.90001
277,-1.89974
278,-1.89945
279,-1.89941
280,-1.89937
281,-1.8992
282,-1.89881
283,-1.89875
284,-1.8987
285,-1.89852
286,-1.89843
287,-1.89678
288,-1.89612
289,-1.8947
290,-1.89442
291,-1.89422
292,-1.89418
293,-1.89354
294,-1.89324
295,-1.89311
296,-1.89298
297,-1.89268
298,-1.89236
299,-1.89235
300,-1.89217
301,-1.89201
302,-1.89189
303,-1.89188
304,-1.89113
305,-1.89109
306,-1.89108
307,-1.89098
308,-1.89067
309,-1.89042
310,-1.89015
311,-1.89004
312,-1.88997
313,-1.88993
314,-1.88993
315,-1.88993
316,-1.88993
317,-1.88993
318,-1.88993
319,-1.88993
320,-1.88993
321,-1.88993
322,-1.88993
323,-1.88993
324,-1.88993
325,-1.88993
326,-1.88993
327,-1.88993
328,-1.88983
329,-1.88974
330,-1.88961
331,-1.8893
332,-1.88819
333,-1.88639
334,-1.88619
335,-1.88537
336,-1.88477
337,-1.88477
338,-1.88477
339,-1.88477
340,-1.88447
341,-1.88425
342,-1.88367
343,-1.88321
344,-1.88304
345,-1.8825
346,-1.88082
347,-1.8807
348,-1.88036
349,-1.87976
350,-1.87877
351,-1.87789
352,-1.87693
353,-1.87688
354,-1.87664
355,-1.87635
356,-1.87373
357,-1.87368
358,-1.87327
359,-1.87321
360,-1.87188
361,-1.87185
362,-1.87171
363,-1.87169
364,-1.87149
365,-1.87149
366,-1.87122
367,-1.87059
368,-1.87011
369,-1.87001
370,-1.86982
371,-1.86966
372,-1.86906
373,-1.86905
374,-1.86823
375,-1.86794
376,-1.86788
377,-1.86764
378,-1.86747
379,-1.86731
380,-1.86664
381,-1.86608
382,-1.86531
383,-1.86498
384,-1.86481
385,-1.86424
386,-1.8635
387,-1.86276
388,-1.86267
389,-1.86255
390,-1.86226
391,-1.86121
392,-1.86089
393,-1.86085
394,-1.86059
395,-1.8599
396,-1.85989
397,-1.85888
398,-1.85576
399,-1.85525
400,-1.8528
401,-1.85213
402,-1.85134
403,-1.85131
404,-1.85127
405,-1.85117
406,-1.85063
407,-1.85056
408,-1.85041
409,-1.85038
410,-1.84946
411,-1.84891
412,-1.84806
413,-1.84798
414,-1.84776
415,-1.84635
416,-1.84619
417,-1.8461
418,-1.8458
419,-1.84548
420,-1.84173
421,-1.84171
422,-1.84136
423,-1.84027
424,-1.83967
425,-1.83949
426,-1.83946
427,-1.83908
428,-1.83754
429,-1.83689
430,-1.83665
431,-1.8366
432,-1.83653
433,-1.83632
434,-1.83566
435,-1.83561
436,-1.83551
437,-1.83516
438,-1.83514
439,-1.83508
440,-1.83503
441,-1.83503
442,-1.83498
443,-1.83488
444,-1.83474
445,-1.83464
446,-1.83461
447,-1.83455
448,-1.83447
449,-1.83415
450,-1.83339
451,-1.83296
452,-1.83296
453,-1.83291
454,-1.83291
455,-1.83291
456,-1.83291
457,-1.83286
458,-1.83285
459,-1.83285
460,-1.83283
461,-1.8328
462,-1.83259
463,-1.83253
464,-1.83248
465,-1.83233
466,-1.83232
467,-1.83232
468,-1.83232
469,-1.83232
470,-1.83232
471,-1.83231
472,-1.83231
473,-1.83231
474,-1.83231
475,-1.83231
476,-1.83231
477,-1.83231
478,-1.83231
479,-1.83231
480,-1.83231
481,-1.83231
482,-1.83231
483,-1.83231
484,-1.83231
485,-1.83231
486,-1.83231
487,-1.83231
488,-1.83231
489,-1.83231
490,-1.83231
491,-1.83231
492,-1.83231
493,-1.83231
494,-1.83231
495,-1.83231
496,-1.83231
497,-1.83231
498,-1.83231
499,-1.83231
500,-1.83231
501,-1.83231
502,-1.83231
503,-1.83231
504,-1.83231
505,-1.83231
506,-1.83231
507,-1.83231
508,-1.83231
509,-1.83231
510,-1.83231
511,-1.83231
512,-1.83231
513,-1.83231
514,-1.83231
515,-1.83231
516,-1.83231
517,-1.83231
518,-1.83231
519,-1.83231
520,-1.83231
521,-1.83231
522,-1.83231
523,-1.83231
524,-1.83231
525,-1.83231
526,-1.83231
527,-1.83231
528,-1.83231
529,-1.83231
530,-1.83231
531,-1.83231
532,-1.83231
533,-1.83231
534,-1.83231
535,-1.83231
536,-1.83231
537,-1.83231
538,-1.83231
539,-1.83231
540,-1.83231
541,-1.83231
542,-1.83231
543,-1.83231
544,-1.83231
545,-1.83231
546,-1.83231
547,-1.83231
548,-1.83231
549,-1.83231
550,-1.83231
551,-1.83231
552,-1.83231
553,-1.83231
554,-1.83231
555,-1.83231
556,-1.83231
557,-1.83231
558,-1.83231
559,-1.83231
560,-1.83231
561,-1.83231
562,-1.83231
563,-1.83231
564,-1.83231
565,-1.83231
566,-1.83231
567,-1.83231
568,-1.83231
569,-1.83231
570,-1.83231
571,-1.83231
572,-1.83231
573,-1.83231
574,-1.83231
575,-1.83231
576,-1.83231
577,-1.83231
578,-1.83231
579,-1.83231
580,-1.83231
581,-1.83231
582,-1.83231
583,-1.83231
584,-1.83231
585,-1.83231
586,-1.83231
587,-1.83231
588,-1.83231
589,-1.83231
590,-1.83231
591,-1.83231
592,-1.83231
593,-1.83231
594,-1.83231
595,-1.83231
596,-1.83231
597,-1.83231
598,-1.83231
599,-1.83231
600,-1.83231
601,-1.83231
602,-1.83231
603,-1.83231
604,-1.83231
605,-1.83231
606,-1.83231
607,-1.83231
608,-1.83231
609,-1.83231
610,-1.83231
611,-1.83231
612,-1.83231
613,-1.83231
614,-1.83231
615,-1.83231
616,-1.83231
617,-1.83231
618,-1.83231
619,-1.83231
620,-1.83231
621,-1.83231
622,-1.83231
623,-1.83231
624,-1.83231
625,-1.83231
