rank,score
1,-3.2453
2,-3.23008
3,-3.19825
4,-3.18667
5,-3.15217
6,-3.04759
7,-3.03716
8,-3.01019
9,-2.98097
10,-2.96176
11,-2.94284
12,-2.93917
13,-2.92447
14,-2.91429
15,-2.88139
16,-2.84947
17,-2.83958
18,-2.81581
19,-2.81579
20,-2.73607
21,-2.69977
22,-2.69381
23,-2.64559
24,-2.63803
25,-2.63643
26,-2.61906
27,-2.57829
28,-2.57143
29,-2.54273
30,-2.52712
31,-2.52053
32,-2.50872
33,-2.5048
34,-2.48715
35,-2.46487
36,-2.45852
37,-2.43393
38,-2.43154
39,-2.43023
40,-2.41689
41,-2.41288
42,-2.38075
43,-2.3719
44,-2.35311
45,-2.30824
46,-2.30779
47,-2.30608
48,-2.30094
49,-2.29492
50,-2.28956
51,-2.28815
52,-2.27866
53,-2.25413
54,-2.25207
55,-2.24778
56,-2.23993
57,-2.23289
58,-2.22542
59,-2.22525
60,-2.21934
61,-2.21028
62,-2.20567
63,-2.20111
64,-2.20088
65,-2.19708
66,-2.18936
67,-2.18923
68,-2.18557
69,-2.18294
70,-2.1806
71,-2.1805
72,-2.17997
73,-2.17833
74,-2.17464
75,-2.17428
76,-2.16892
77,-2.1689
78,-2.16838
79,-2.16316
80,-2.16305
81,-2.15807
82,-2.15626
83,-2.1534
84,-2.15293
85,-2.15217
86,-2.14884
87,-2.1486
88,-2.14775
89,-2.14747
90,-2.14702
91,-2.1453
92,-2.14293
93,-2.13689
94,-2.13665
95,-2.13547
96,-2.13408
97,-2.13245
98,-2.12523
99,-2.12252
100,-2.11931
101,-2.10955
102,-2.10265
103,-2.10125
104,-2.09794
105,-2.0975
106,-2.09577
107,-2.09279
108,-2.09108
109,-2.0831
110,-2.08303
111,-2.08119
112,-2.07979
113,-2.07896
114,-2.07679
115,-2.07416
116,-2.07397
117,-2.07348
118,-2.07328
119,-2.07214
120,-2.0706
121,-2.06769
122,-2.06258
123,-2.06246
124,-2.06159
125,-2.06103
126,-2.06005
127,-2.05958
128,-2.05755
129,-2.05595
130,-2.04873
131,-2.04744
132,-2.04572
133,-2.04292
134,-2.04276
135,-2.0427
136,-2.04097
137,-2.03952
138,-2.03781
139,-2.03727
140,-2.03611
141,-2.03301
142,-2.03248
143,-2.03243
144,-2.03012
145,-2.02935
146,-2.02925
147,-2.02849
148,-2.02468
149,-2.02375
150,-2.02266
151,-2.02024
152,-2.01977
153,-2.01795
154,-2.01706
155,-2.01635
156,-2.01627
157,-2.01506
158,-2.01251
159,-2.00774
160,-2.00273
161,-1.99801
