rank,score
1,0.446
2,0.446
3,0.447
4,0.447
5,0.448
6,0.448
7,0.448
8,0.448
9,0.448
10,0.449
11,0.449
12,0.449
13,0.449
14,0.45
15,0.45
16,0.45
17,0.451
18,0.451
19,0.451
20,0.452
21,0.452
22,0.452
23,0.452
24,0.452
25,0.452
26,0.452
27,0.452
28,0.452
29,0.453
30,0.453
31,0.453
32,0.453
33,0.453
34,0.453
35,0.453
36,0.453
37,0.454
38,0.454
39,0.454
40,0.454
41,0.454
42,0.454
43,0.454
44,0.454
45,0.455
46,0.455
47,0.455
48,0.455
49,0.455
50,0.455
51,0.455
52,0.455
53,0.455
54,0.455
55,0.455
56,0.456
57,0.456
58,0.456
59,0.456
60,0.456
61,0.456
62,0.456
63,0.456
64,0.456
65,0.456
66,0.456
67,0.456
68,0.456
69,0.456
70,0.456
71,0.456
72,0.456
73,0.456
74,0.456
75,0.456
76,0.456
77,0.456
78,0.457
79,0.457
80,0.457
81,0.457
82,0.457
83,0.457
84,0.457
85,0.457
86,0.457
87,0.457
88,0.457
89,0.457
90,0.457
91,0.457
92,0.457
93,0.457
94,0.457
95,0.457
96,0.457
97,0.457
98,0.457
99,0.457
100,0.457
101,0.457
102,0.457
103,0.457
104,0.457
105,0.458
106,0.458
107,0.458
108,0.458
109,0.458
110,0.458
111,0.458
112,0.458
113,0.458
114,0.458
115,0.458
116,0.458
117,0.458
118,0.458
119,0.458
120,0.458
121,0.458
122,0.458
123,0.458
124,0.458
125,0.458
126,0.458
127,0.458
128,0.458
129,0.458
130,0.458
131,0.458
132,0.458
133,0.458
134,0.458
135,0.458
136,0.458
137,0.458
138,0.458
139,0.458
140,0.458
141,0.458
142,0.458
143,0.458
144,0.458
145,0.458
146,0.458
147,0.458
148,0.458
149,0.458
150,0.458
151,0.458
152,0.458
153,0.458
154,0.458
155,0.458
156,0.458
157,0.458
158,0.458
159,0.458
160,0.458
161,0.458
162,0.458
163,0.458
164,0.458
165,0.458
166,0.458
167,0.458
168,0.458
169,0.458
170,0.458
171,0.458
172,0.458
173,0.458
174,0.458
175,0.458
176,0.458
177,0.458
178,0.458
179,0.459
180,0.459
181,0.459
182,0.459
183,0.459
184,0.459
185,0.459
186,0.459
187,0.459
188,0.459
189,0.459
190,0.459
191,0.459
192,0.459
193,0.459
194,0.459
195,0.459
196,0.459
197,0.459
198,0.459
199,0.459
200,0.459
201,0.459
202,0.459
203,0.459
204,0.459
205,0.459
206,0.459
207,0.459
208,0.459
209,0.459
210,0.459
211,0.459
212,0.459
213,0.459
214,0.459
215,0.459
216,0.459
217,0.459
218,0.459
219,0.459
220,0.459
221,0.459
222,0.459
223,0.459
224,0.459
225,0.459
226,0.459
227,0.459
228,0.459
229,0.459
230,0.459
231,0.459
232,0.459
233,0.459
234,0.459
235,0.459
236,0.459
237,0.459
238,0.459
239,0.459
240,0.459
241,0.459
242,0.459
243,0.459
244,0.459
245,0.459
246,0.459
247,0.459
248,0.459
249,0.459
250,0.459
251,0.459
252,0.459
253,0.459
254,0.459
255,0.46
256,0.46
257,0.46
258,0.46
259,0.46
260,0.46
261,0.46
262,0.46
263,0.46
264,0.46
265,0.46
266,0.46
267,0.46
268,0.46
269,0.46
270,0.46
271,0.46
272,0.46
273,0.46
274,0.46
275,0.46
276,0.46
277,0.46
278,0.46
279,0.46
280,0.46
281,0.46
282,0.46
283,0.46
284,0.46
285,0.46
286,0.46
287,0.46
288,0.46
289,0.46
290,0.46
291,0.46
292,0.46
293,0.46
294,0.46
295,0.46
296,0.46
297,0.46
298,0.46
299,0.46
300,0.46
301,0.46
302,0.46
303,0.46
304,0.46
305,0.46
306,0.46
307,0.46
308,0.46
309,0.46
310,0.46
311,0.46
312,0.46
313,0.46
314,0.46
315,0.46
316,0.46
317,0.46
318,0.46
319,0.46
320,0.46
321,0.46
322,0.46
323,0.46
324,0.46
325,0.46
326,0.46
327,0.461
328,0.461
329,0.461
330,0.461
331,0.461
332,0.461
333,0.461
334,0.461
335,0.461
336,0.461
337,0.461
338,0.461
339,0.461
340,0.461
341,0.461
342,0.461
343,0.461
344,0.461
345,0.461
346,0.461
347,0.461
348,0.461
349,0.461
350,0.461
351,0.461
352,0.461
353,0.461
354,0.461
355,0.461
356,0.461
357,0.461
358,0.461
359,0.461
360,0.461
361,0.461
362,0.461
363,0.461
364,0.461
365,0.461
366,0.461
367,0.461
368,0.461
369,0.461
370,0.461
371,0.461
372,0.461
373,0.461
374,0.461
375,0.461
376,0.461
377,0.461
378,0.461
379,0.461
380,0.461
381,0.461
382,0.461
383,0.461
384,0.461
385,0.461
386,0.461
387,0.461
388,0.461
389,0.461
390,0.461
391,0.461
392,0.461
393,0.461
394,0.461
395,0.461
396,0.461
397,0.461
398,0.461
399,0.461
400,0.461
401,0.461
402,0.461
403,0.461
404,0.461
405,0.461
406,0.461
407,0.461
408,0.461
409,0.461
410,0.461
411,0.461
412,0.461
413,0.461
414,0.461
415,0.461
416,0.461
417,0.461
418,0.461
419,0.461
420,0.461
421,0.461
422,0.461
423,0.461
424,0.461
425,0.461
426,0.461
427,0.461
428,0.461
429,0.461
430,0.461
431,0.461
432,0.461
433,0.461
434,0.461
435,0.461
436,0.461
437,0.461
438,0.461
439,0.461
440,0.461
441,0.461
442,0.461
443,0.461
444,0.461
445,0.461
446,0.461
447,0.461
448,0.461
449,0.461
450,0.461
451,0.461
452,0.461
453,0.461
454,0.461
455,0.461
456,0.461
457,0.461
458,0.461
459,0.461
460,0.461
461,0.461
462,0.461
463,0.461
464,0.461
465,0.461
466,0.461
467,0.461
468,0.461
469,0.461
470,0.461
471,0.461
472,0.461
473,0.461
474,0.461
475,0.461
476,0.461
477,0.461
478,0.461
479,0.461
480,0.461
481,0.461
482,0.461
483,0.461
484,0.461
485,0.461
486,0.461
487,0.461
488,0.461
489,0.461
490,0.461
491,0.461
492,0.461
493,0.461
494,0.461
495,0.461
496,0.461
497,0.461
498,0.461
499,0.461
500,0.461
501,0.461
502,0.461
503,0.461
504,0.461
505,0.461
506,0.461
507,0.461
508,0.461
509,0.461
510,0.461
511,0.461
512,0.461
513,0.461
514,0.461
515,0.461
516,0.461
517,0.461
518,0.461
519,0.461
520,0.461
521,0.461
522,0.461
523,0.461
524,0.461
525,0.461
526,0.461
527,0.461
528,0.461
529,0.461
530,0.461
531,0.461
532,0.461
533,0.461
534,0.461
535,0.461
536,0.461
537,0.461
538,0.461
539,0.461
540,0.461
541,0.461
542,0.461
543,0.461
544,0.461
545,0.461
546,0.461
547,0.461
548,0.461
549,0.461
550,0.461
551,0.461
552,0.461
553,0.461
554,0.461
555,0.461
556,0.461
557,0.461
558,0.461
559,0.461
560,0.461
561,0.461
562,0.461
563,0.461
564,0.461
565,0.461
566,0.461
567,0.461
568,0.461
569,0.461
570,0.461
571,0.461
572,0.461
573,0.461
574,0.461
575,0.461
576,0.461
577,0.461
578,0.461
579,0.461
580,0.461
581,0.461
582,0.461
583,0.461
584,0.461
585,0.461
586,0.461
587,0.461
588,0.461
589,0.461
590,0.461
591,0.461
592,0.461
593,0.461
594,0.461
595,0.461
596,0.461
597,0.461
598,0.461
599,0.461
600,0.461
601,0.461
602,0.461
603,0.461
604,0.461
605,0.461
606,0.461
607,0.461
608,0.461
609,0.461
610,0.461
611,0.462
612,0.462
613,0.462
614,0.462
615,0.462
616,0.462
617,0.462
618,0.462
619,0.462
620,0.462
621,0.462
622,0.462
623,0.462
624,0.462
625,0.462
626,0.462
627,0.462
628,0.462
629,0.462
630,0.462
631,0.462
632,0.462
633,0.462
634,0.462
635,0.462
636,0.462
637,0.462
638,0.462
639,0.462
640,0.462
641,0.462
642,0.462
643,0.462
644,0.462
645,0.462
646,0.462
647,0.462
648,0.462
649,0.462
650,0.462
651,0.462
652,0.462
653,0.462
654,0.462
655,0.462
656,0.462
657,0.463
658,0.463
659,0.463
660,0.463
661,0.463
662,0.463
663,0.463
664,0.463
665,0.463
666,0.463
667,0.463
668,0.463
669,0.463
670,0.463
671,0.463
672,0.463
673,0.463
674,0.463
675,0.463
676,0.463
677,0.463
678,0.463
679,0.463
680,0.463
681,0.463
682,0.463
683,0.463
684,0.463
685,0.463
686,0.463
687,0.463
688,0.463
689,0.463
690,0.463
691,0.463
692,0.463
693,0.463
694,0.463
695,0.463
696,0.463
697,0.463
698,0.463
699,0.463
700,0.463
701,0.463
702,0.463
703,0.463
704,0.463
705,0.463
706,0.463
707,0.463
708,0.463
709,0.463
710,0.463
711,0.463
712,0.463
713,0.463
714,0.463
715,0.463
716,0.463
717,0.463
718,0.463
719,0.463
720,0.463
721,0.463
722,0.463
723,0.463
724,0.463
725,0.463
726,0.463
727,0.463
728,0.463
729,0.463
730,0.463
731,0.463
732,0.463
733,0.463
734,0.463
735,0.463
736,0.463
737,0.463
738,0.463
739,0.463
740,0.463
741,0.463
742,0.463
743,0.463
744,0.463
745,0.463
746,0.463
747,0.463
748,0.463
749,0.463
750,0.463
751,0.463
752,0.463
753,0.463
754,0.463
755,0.463
756,0.463
757,0.463
758,0.463
759,0.463
760,0.463
761,0.463
762,0.463
763,0.463
764,0.463
765,0.463
766,0.463
767,0.463
768,0.463
769,0.463
770,0.463
771,0.463
772,0.463
773,0.463
774,0.463
775,0.463
776,0.463
777,0.463
778,0.463
779,0.463
780,0.463
781,0.463
782,0.463
783,0.463
784,0.463
785,0.463
786,0.463
787,0.463
788,0.463
789,0.463
790,0.463
791,0.463
792,0.463
793,0.463
794,0.463
795,0.463
796,0.463
797,0.463
798,0.463
799,0.463
800,0.463
801,0.463
802,0.463
803,0.463
804,0.463
805,0.463
806,0.463
807,0.463
808,0.463
809,0.463
810,0.463
811,0.463
812,0.463
813,0.463
814,0.463
815,0.463
816,0.463
817,0.463
818,0.463
819,0.463
820,0.463
821,0.463
822,0.463
823,0.463
824,0.463
825,0.463
826,0.463
827,0.463
828,0.463
829,0.463
830,0.463
831,0.463
832,0.463
833,0.463
834,0.463
835,0.463
836,0.463
837,0.463
838,0.463
839,0.463
840,0.463
841,0.463
842,0.463
843,0.463
844,0.463
845,0.463
846,0.463
847,0.463
848,0.463
849,0.463
850,0.463
851,0.463
852,0.463
853,0.463
854,0.463
855,0.463
856,0.463
857,0.463
858,0.463
859,0.463
860,0.463
861,0.463
862,0.463
863,0.463
864,0.463
865,0.463
866,0.463
867,0.463
868,0.463
869,0.463
870,0.463
871,0.463
872,0.463
873,0.463
874,0.463
875,0.463
876,0.463
877,0.463
878,0.463
879,0.463
880,0.463
881,0.463
882,0.463
883,0.463
884,0.463
