rank,score
1,0.43
2,0.438
3,0.442
4,0.444
5,0.444
6,0.444
7,0.446
8,0.446
9,0.446
10,0.447
11,0.447
12,0.447
13,0.448
14,0.448
15,0.448
16,0.448
17,0.449
18,0.449
19,0.449
20,0.45
21,0.45
22,0.45
23,0.45
24,0.45
25,0.45
26,0.451
27,0.451
28,0.451
29,0.451
30,0.451
31,0.451
32,0.451
33,0.451
34,0.451
35,0.451
36,0.451
37,0.451
38,0.452
39,0.452
40,0.452
41,0.452
42,0.453
43,0.453
44,0.453
45,0.453
46,0.453
47,0.453
48,0.453
49,0.453
50,0.453
51,0.453
52,0.453
53,0.454
54,0.454
55,0.454
56,0.454
57,0.454
58,0.454
59,0.454
60,0.454
61,0.454
62,0.454
63,0.454
64,0.454
65,0.454
66,0.454
67,0.454
68,0.454
69,0.454
70,0.455
71,0.455
72,0.455
73,0.455
74,0.455
75,0.455
76,0.455
77,0.455
78,0.455
79,0.455
80,0.455
81,0.455
82,0.455
83,0.455
84,0.455
85,0.455
86,0.455
87,0.455
88,0.455
89,0.455
90,0.455
91,0.455
92,0.455
93,0.455
94,0.456
95,0.456
96,0.456
97,0.456
98,0.456
99,0.456
100,0.456
101,0.456
102,0.456
103,0.456
104,0.456
105,0.456
106,0.456
107,0.456
108,0.456
109,0.456
110,0.456
111,0.456
112,0.456
113,0.456
114,0.456
115,0.456
116,0.456
117,0.456
118,0.456
119,0.456
120,0.456
121,0.456
122,0.456
123,0.456
124,0.456
125,0.457
126,0.457
127,0.457
128,0.457
129,0.457
130,0.457
131,0.457
132,0.457
133,0.457
134,0.457
135,0.457
136,0.457
137,0.457
138,0.457
139,0.457
140,0.457
141,0.457
142,0.457
143,0.457
144,0.457
145,0.457
146,0.457
147,0.457
148,0.457
149,0.457
150,0.457
151,0.457
152,0.457
153,0.457
154,0.457
155,0.457
156,0.457
157,0.457
158,0.457
159,0.457
160,0.457
161,0.457
162,0.457
163,0.457
164,0.457
165,0.457
166,0.457
167,0.457
168,0.457
169,0.457
170,0.457
171,0.457
172,0.457
173,0.457
174,0.457
175,0.457
176,0.457
177,0.457
178,0.457
179,0.457
180,0.457
181,0.457
182,0.457
183,0.457
184,0.457
185,0.457
186,0.457
187,0.458
188,0.458
189,0.458
190,0.458
191,0.458
192,0.458
193,0.458
194,0.458
195,0.458
196,0.458
197,0.458
198,0.458
199,0.458
200,0.458
201,0.458
202,0.458
203,0.458
204,0.458
205,0.458
206,0.458
207,0.458
208,0.458
209,0.458
210,0.458
211,0.458
212,0.458
213,0.458
214,0.458
215,0.458
216,0.458
217,0.458
218,0.458
219,0.458
220,0.458
221,0.458
222,0.458
223,0.458
224,0.458
225,0.458
226,0.458
227,0.459
228,0.459
229,0.459
230,0.459
231,0.459
232,0.459
233,0.459
234,0.459
235,0.459
236,0.459
237,0.459
238,0.459
239,0.459
240,0.459
241,0.459
242,0.459
243,0.459
244,0.459
245,0.459
246,0.459
247,0.459
248,0.459
249,0.459
250,0.459
251,0.459
252,0.459
253,0.459
254,0.459
255,0.459
256,0.459
257,0.459
258,0.459
259,0.459
260,0.459
