rank,score
1,0.00625
2,0.00639
3,0.01234
4,0.03069
5,0.03154
6,0.03556
7,0.04238
8,0.04403
9,0.04585
10,0.04866
11,0.05102
12,0.05416
13,0.05475
14,0.06189
15,0.06189
16,0.06189
17,0.06189
18,0.06189
19,0.06189
20,0.06248
21,0.0818
22,0.0841
23,0.0841
24,0.08431
25,0.08431
26,0.08431
27,0.08494
28,0.08549
29,0.08549
30,0.08549
31,0.08549
32,0.08549
33,0.08549
34,0.08549
35,0.08569
36,0.08595
37,0.08629
38,0.08631
39,0.08818
40,0.09224
41,0.09256
42,0.0972
43,0.09901
44,0.102
45,0.11104
46,0.11115
47,0.11115
48,0.11116
49,0.11116
50,0.11117
51,0.11117
52,0.11117
53,0.11117
54,0.11117
55,0.11117
56,0.11117
57,0.11117
58,0.11117
59,0.11117
60,0.11117
61,0.11117
62,0.11117
63,0.11987
64,0.12264
65,0.12347
66,0.12452
67,0.12512
68,0.1252
69,0.12574
70,0.12578
71,0.12742
72,0.12747
73,0.12754
74,0.12781
75,0.12789
76,0.12795
77,0.128
78,0.128
79,0.12803
80,0.12813
81,0.12821
82,0.12824
83,0.12871
84,0.12872
85,0.12908
86,0.1293
87,0.13007
88,0.13087
89,0.13096
90,0.13123
91,0.13136
92,0.13137
93,0.13197
94,0.13204
95,0.13209
96,0.13237
97,0.13242
98,0.13271
99,0.133
100,0.13315
101,0.13316
102,0.13318
103,0.13329
104,0.13329
105,0.13335
106,0.13369
107,0.13382
108,0.13435
109,0.13502
110,0.13503
111,0.13723
112,0.13916
113,0.14002
114,0.14019
115,0.14047
116,0.14184
117,0.1419
118,0.14282
119,0.14287
120,0.14334
121,0.14502
122,0.14502
123,0.14502
124,0.14502
125,0.14502
126,0.14557
127,0.14574
128,0.14575
129,0.14579
130,0.14592
131,0.14596
132,0.14648
133,0.14689
134,0.14689
135,0.14689
136,0.14689
137,0.14689
138,0.14689
139,0.14689
140,0.14689
141,0.14689
142,0.14689
143,0.14689
144,0.14689
145,0.14689
146,0.14689
147,0.14689
148,0.14689
149,0.14689
150,0.14689
151,0.14689
152,0.14689
153,0.14689
154,0.14689
155,0.15165
156,0.15171
157,0.15185
158,0.15331
159,0.15821
160,0.16028
161,0.16253
162,0.16535
163,0.17146
164,0.17146
165,0.17146
166,0.17146
167,0.17146
168,0.17146
169,0.17146
170,0.17146
171,0.17146
172,0.17146
173,0.17146
174,0.17146
175,0.17146
176,0.17146
177,0.17146
178,0.17146
179,0.17146
180,0.17146
181,0.17146
182,0.17146
183,0.17146
184,0.17146
185,0.1816
186,0.23001
187,0.2339
188,0.25529
