rank,score
1,0.61679
2,0.61679
3,0.61679
4,0.62705
5,0.64585
6,0.67885
7,0.70437
8,0.71645
9,0.71726
10,0.71984
11,0.7234
12,0.72645
13,0.72764
14,0.74623
15,0.76361
16,0.76361
17,0.76846
18,0.78524
19,0.79062
20,0.79204
21,0.79908
22,0.80004
23,0.80592
24,0.80822
25,0.81532
26,0.81701
27,0.81719
28,0.81759
29,0.81922
30,0.82035
31,0.84432
32,0.84459
33,0.85025
34,0.85101
35,0.86756
36,0.87413
37,0.87729
38,0.8773
39,0.87795
40,0.87945
41,0.881
42,0.88126
43,0.88992
44,0.89071
45,0.90373
46,0.91297
47,0.92939
48,0.95068
49,0.96579
50,0.98752
51,0.99762
52,1.00421
53,1.01089
54,1.0295
55,1.0303
56,1.0513
57,1.05902
58,1.08607
59,1.08849
60,1.09394
61,1.10886
62,1.14073
63,1.14435
64,1.14587
65,1.1598
66,1.16295
67,1.16987
68,1.17304
69,1.17842
70,1.18839
71,1.2023
72,1.20882
73,1.22252
74,1.22689
75,1.22689
76,1.24546
77,1.25753
78,1.25803
79,1.25805
80,1.25805
81,1.25805
82,1.25809
83,1.25809
84,1.25809
85,1.25809
86,1.25833
87,1.26137
88,1.26546
89,1.26546
90,1.26754
91,1.29047
92,1.30598
93,1.31596
94,1.32324
95,1.32402
96,1.32436
97,1.33508
98,1.33626
99,1.33926
100,1.34043
101,1.34785
102,1.3719
103,1.38243
104,1.38278
105,1.39109
106,1.40684
107,1.44894
108,1.46566
109,1.47014
110,1.47811
111,1.48201
112,1.48936
113,1.50558
114,1.54382
115,1.54383
116,1.54849
117,1.5547
118,1.55621
119,1.62157
120,1.62884
121,1.66608
122,1.66608
123,1.68033
124,1.6917
125,1.72598
126,1.72604
127,1.72604
128,1.72604
129,1.75143
130,1.76975
131,1.77356
132,1.77377
133,1.78333
134,1.80546
135,1.82196
136,1.85964
137,1.85964
138,1.86415
139,1.87626
140,1.88309
141,1.8916
142,1.89942
143,1.90566
144,1.90621
145,1.98371
146,1.99847
147,2.08184
148,2.08677
149,2.11303
150,2.20706
151,2.23111
152,2.26257
153,2.27
154,2.34674
155,2.34957
156,2.38244
157,2.40399
158,2.43704
159,2.44942
160,2.45661
161,2.49666
162,2.54334
163,2.56895
164,2.57814
165,2.62009
166,2.63282
167,2.64478
168,2.69202
169,2.70305
170,2.82685
171,2.83703
172,2.83838
173,2.84855
174,2.85781
175,2.91439
176,2.9802
177,2.98866
178,3.00936
179,3.0111
180,3.01279
181,3.06614
182,3.10004
183,3.10319
184,3.15774
185,3.1615
186,3.18972
187,3.21579
188,3.26152
189,3.26593
190,3.28646
191,3.34409
192,3.34741
193,3.35006
194,3.36521
195,3.37921
196,3.3923
197,3.42518
198,3.55564
199,3.571
200,3.75832
201,3.81523
202,3.84704
203,3.85233
204,3.90784
205,3.96103
206,3.96816
207,4.05503
208,4.29047
209,4.59321
210,4.79285
211,4.80394
212,4.98636
213,5.06148
214,5.2091
215,6.1018
