rank,score
1,0.02981
2,0.03005
3,0.03012
4,0.03033
5,0.0308
6,0.03092
7,0.03092
8,0.03092
9,0.03092
10,0.03092
11,0.03092
12,0.03138
13,0.03142
14,0.03142
15,0.03148
16,0.03234
17,0.03239
18,0.03286
19,0.03293
20,0.03317
21,0.03447
22,0.03483
23,0.03515
24,0.03515
25,0.03515
26,0.03515
27,0.03515
28,0.03515
29,0.03515
30,0.03516
31,0.03516
32,0.03516
33,0.03516
34,0.03516
35,0.03516
36,0.03516
37,0.03516
38,0.03516
39,0.03516
40,0.03587
41,0.0359
42,0.03633
43,0.03721
44,0.03834
45,0.03887
46,0.04022
47,0.0405
48,0.04112
49,0.04179
50,0.04257
51,0.04298
52,0.04422
53,0.04567
54,0.04989
55,0.0513
56,0.05184
57,0.05245
58,0.05335
59,0.05377
60,0.05522
61,0.05529
62,0.05534
63,0.05574
64,0.05574
65,0.05612
66,0.05698
67,0.05706
68,0.05716
69,0.05716
70,0.05716
71,0.05716
72,0.05912
73,0.05992
74,0.0626
75,0.06285
76,0.06952
77,0.07247
78,0.0737
79,0.07541
80,0.07581
81,0.07701
82,0.07752
83,0.08019
84,0.08207
85,0.08207
86,0.08207
87,0.08207
88,0.08208
89,0.08217
90,0.08356
91,0.08584
92,0.08954
93,0.09072
94,0.10152
95,0.10413
96,0.10675
97,0.11228
98,0.11228
99,0.11325
100,0.11926
101,0.126
102,0.12839
103,0.12944
104,0.13171
105,0.13423
106,0.13818
107,0.14097
108,0.14334
109,0.14593
110,0.14807
111,0.14915
112,0.15018
113,0.15183
114,0.15185
115,0.15185
116,0.15196
117,0.15923
118,0.16102
119,0.16263
120,0.16603
121,0.16665
122,0.16911
123,0.17158
124,0.17263
125,0.17272
126,0.17349
127,0.17449
128,0.18539
129,0.18753
130,0.18812
131,0.19026
132,0.19081
133,0.19261
134,0.19505
135,0.20109
136,0.20109
137,0.2011
138,0.20914
139,0.2098
140,0.22218
141,0.22619
142,0.22751
143,0.24669
144,0.25439
145,0.25443
146,0.25519
147,0.25519
148,0.25521
149,0.25521
150,0.25521
151,0.26303
152,0.26498
153,0.2782
154,0.28141
155,0.28379
156,0.29201
157,0.29449
158,0.29567
159,0.29798
160,0.30814
161,0.34817
162,0.37353
163,0.40409
164,0.4275
165,0.42775
166,0.43066
167,0.44549
168,0.44798
169,0.45939
170,0.45998
171,0.46318
172,0.46359
173,0.46923
174,0.47659
175,0.48498
176,0.48848
177,0.49474
178,0.50113
179,0.51974
180,0.52202
181,0.52209
182,0.52319
183,0.53139
184,0.53427
185,0.54389
186,0.56387
187,0.59018
188,0.66627
189,0.68508
190,0.69317
191,0.71998
192,0.73041
193,0.74659
194,0.75359
195,0.79382
196,0.80686
197,0.83856
198,0.84555
199,0.85033
200,0.88954
201,0.9258
202,0.94536
203,0.95691
204,1.0102
205,1.01272
206,1.02077
207,1.03419
208,1.07295
209,1.0736
210,1.07399
211,1.07675
212,1.08603
213,1.18237
214,1.18622
215,1.1964
216,1.20714
217,1.21849
218,1.27866
219,1.40798
220,1.53587
221,1.56249
222,1.7305
223,1.8493
224,1.96867
225,1.98583
226,2.04706
227,2.1621
228,2.18839
229,2.2164
230,2.23101
231,2.40407
232,2.62365
233,2.85309
234,2.90954
235,3.20533
236,3.23481
237,3.5606
238,3.56422
239,3.58908
240,3.65188
241,3.81747
242,3.81747
243,3.8954
244,4.9916
