rank,score
1,0.14313
2,0.14341
3,0.14454
4,0.14483
5,0.14606
6,0.1472
7,0.148
8,0.14802
9,0.14803
10,0.14807
11,0.14812
12,0.14817
13,0.14824
14,0.14908
15,0.14954
16,0.1499
17,0.15039
18,0.15055
19,0.15065
20,0.15105
21,0.15111
22,0.15115
23,0.15139
24,0.15159
25,0.15164
26,0.15164
27,0.15169
28,0.15174
29,0.15175
30,0.15179
31,0.15207
32,0.15219
33,0.15226
34,0.1524
35,0.15296
36,0.15315
37,0.15322
38,0.15343
39,0.15345
40,0.15347
41,0.15351
42,0.15358
43,0.15361
44,0.15364
45,0.15376
46,0.15388
47,0.15391
48,0.15399
49,0.15414
50,0.15432
51,0.15469
52,0.15483
53,0.155
54,0.15505
55,0.15507
56,0.15508
57,0.15549
58,0.15572
59,0.15603
60,0.1564
61,0.1564
62,0.15673
63,0.1571
64,0.15737
65,0.1576
66,0.15761
67,0.15763
68,0.15785
69,0.15868
70,0.1587
71,0.15879
72,0.15907
73,0.1594
74,0.15957
75,0.15964
76,0.15989
77,0.15992
78,0.16014
79,0.16029
80,0.16064
81,0.16084
82,0.16093
83,0.16106
84,0.16109
85,0.1614
86,0.16145
87,0.16167
88,0.16171
89,0.16181
90,0.16182
91,0.1623
92,0.16238
93,0.1629
94,0.16297
95,0.16298
96,0.16314
97,0.16328
98,0.16332
99,0.16332
100,0.16357
101,0.16372
102,0.16416
103,0.16418
104,0.16419
105,0.16429
106,0.16451
107,0.16463
108,0.16467
109,0.16474
110,0.16539
111,0.16539
112,0.1654
113,0.16542
114,0.16564
115,0.16625
116,0.16661
117,0.16677
118,0.16685
119,0.16694
120,0.16727
121,0.16737
122,0.16778
123,0.16794
124,0.16901
125,0.16909
126,0.16928
127,0.1697
128,0.16983
129,0.16986
130,0.16995
131,0.17036
132,0.1704
133,0.17049
134,0.17054
135,0.17056
136,0.17075
137,0.17128
138,0.17148
139,0.17199
140,0.17205
141,0.17209
142,0.17221
143,0.17234
144,0.17313
145,0.17353
146,0.17377
147,0.17405
148,0.17445
149,0.17448
150,0.1745
151,0.1746
152,0.175
153,0.175
154,0.17567
155,0.17572
156,0.17692
157,0.1771
158,0.17718
159,0.17724
160,0.17742
161,0.17829
162,0.17891
163,0.179
164,0.17962
165,0.18039
166,0.18086
167,0.18091
168,0.18236
169,0.18255
170,0.18285
171,0.18438
172,0.18443
173,0.18454
174,0.18476
175,0.18517
176,0.18623
177,0.18859
178,0.18883
179,0.18899
180,0.19053
181,0.1915
182,0.19212
183,0.19431
184,0.19616
185,0.19752
186,0.19891
187,0.20205
188,0.20492
189,0.20515
190,0.20766
191,0.20778
192,0.21327
193,0.21355
194,0.21375
195,0.21461
196,0.21677
197,0.21793
198,0.22195
199,0.22219
200,0.22225
201,0.22281
202,0.22344
203,0.22791
204,0.22841
205,0.23036
206,0.23179
207,0.23179
208,0.23272
209,0.23319
210,0.23504
211,0.23623
212,0.23655
213,0.23763
214,0.23828
215,0.24315
216,0.24456
217,0.24666
218,0.24741
219,0.24995
220,0.25211
221,0.25345
222,0.25485
223,0.25485
224,0.25485
225,0.25582
226,0.25636
227,0.26429
228,0.26429
229,0.26632
230,0.26858
231,0.26966
232,0.27236
233,0.28117
234,0.28194
235,0.28534
236,0.28886
237,0.29233
238,0.29664
239,0.30494
240,0.31064
241,0.31308
242,0.31333
243,0.31731
244,0.31863
245,0.31955
246,0.31957
247,0.31957
248,0.31957
249,0.31957
250,0.31957
251,0.31957
252,0.31957
253,0.31957
254,0.31957
255,0.31958
256,0.32385
257,0.32731
258,0.3427
