rank,score
1,0.1424
2,0.14309
3,0.14413
4,0.1444
5,0.14581
6,0.14677
7,0.14726
8,0.14746
9,0.1476
10,0.14764
11,0.14767
12,0.14789
13,0.14803
14,0.14855
15,0.1491
16,0.1496
17,0.14989
18,0.15016
19,0.15039
20,0.15045
21,0.15066
22,0.15081
23,0.1511
24,0.15119
25,0.15125
26,0.1513
27,0.15133
28,0.15135
29,0.15143
30,0.15156
31,0.15161
32,0.15165
33,0.15203
34,0.1521
35,0.15251
36,0.15256
37,0.15284
38,0.15288
39,0.15292
40,0.153
41,0.15302
42,0.15317
43,0.15319
44,0.15321
45,0.15322
46,0.1533
47,0.15349
48,0.15355
49,0.15356
50,0.15367
51,0.15411
52,0.15431
53,0.15442
54,0.15442
55,0.15446
56,0.15471
57,0.15524
58,0.1553
59,0.15553
60,0.15591
61,0.15607
62,0.15632
63,0.15651
64,0.15702
65,0.15706
66,0.15706
67,0.15714
68,0.15722
69,0.15777
70,0.15807
71,0.15819
72,0.15848
73,0.15887
74,0.15913
75,0.15916
76,0.15937
77,0.15948
78,0.15956
79,0.16006
80,0.16015
81,0.16017
82,0.16046
83,0.16067
84,0.16096
85,0.16108
86,0.16119
87,0.16124
88,0.16129
89,0.16131
90,0.16169
91,0.16188
92,0.16204
93,0.16207
94,0.16227
95,0.16237
96,0.16237
97,0.16258
98,0.16259
99,0.16273
100,0.16278
101,0.16303
102,0.16336
103,0.16348
104,0.16365
105,0.16369
106,0.1637
107,0.16386
108,0.16391
109,0.164
110,0.16406
111,0.16473
112,0.16474
113,0.16489
114,0.16531
115,0.16542
116,0.16555
117,0.16578
118,0.16578
119,0.16646
120,0.16663
121,0.16671
122,0.16687
123,0.16721
124,0.16828
125,0.16871
126,0.16892
127,0.16905
128,0.16906
129,0.1693
130,0.1694
131,0.1694
132,0.16944
133,0.16957
134,0.1696
135,0.16968
136,0.1697
137,0.17048
138,0.17087
139,0.17113
140,0.17133
141,0.17163
142,0.17187
143,0.17196
144,0.17253
145,0.17307
146,0.17333
147,0.1735
148,0.17358
149,0.174
150,0.17452
151,0.17469
152,0.17479
153,0.1748
154,0.175
155,0.17549
156,0.17574
157,0.17591
158,0.17602
159,0.17687
160,0.17705
161,0.17741
162,0.17824
163,0.17857
164,0.17919
165,0.18021
166,0.18041
167,0.18046
168,0.18172
169,0.1821
170,0.18211
171,0.18323
172,0.18443
173,0.18446
174,0.18451
175,0.18461
176,0.1856
177,0.18755
178,0.18841
179,0.18847
180,0.1905
181,0.19103
182,0.1917
183,0.19387
184,0.19516
185,0.19717
186,0.19739
187,0.20186
188,0.20387
189,0.20492
190,0.20639
191,0.20705
192,0.21251
193,0.21298
194,0.21369
195,0.21385
196,0.21571
197,0.21656
198,0.22069
199,0.22104
200,0.22145
201,0.22227
202,0.22318
203,0.22726
204,0.22749
205,0.23044
206,0.23072
207,0.23072
208,0.23171
209,0.23275
210,0.23459
211,0.23534
212,0.23566
213,0.23667
214,0.23702
215,0.2425
216,0.24369
217,0.24517
218,0.2459
219,0.25021
220,0.25124
221,0.25248
222,0.25373
223,0.2538
224,0.2538
225,0.2538
226,0.25471
227,0.26356
228,0.26356
229,0.26531
230,0.26753
231,0.26816
232,0.27147
233,0.28052
234,0.28099
235,0.28467
236,0.28753
237,0.29146
238,0.29562
239,0.30438
240,0.30974
241,0.31213
242,0.31255
243,0.31715
244,0.31821
245,0.31864
246,0.31866
247,0.31867
248,0.31867
249,0.31867
250,0.31867
251,0.31867
252,0.31867
253,0.31867
254,0.31867
255,0.31867
256,0.32318
257,0.32682
258,0.34139
