rank,score
1,12.58015
2,12.58351
3,12.58447
4,12.58734
5,12.58752
6,12.58776
7,12.58776
8,12.58776
9,12.58776
10,12.58776
11,12.58776
12,12.58776
13,12.58776
14,12.58776
15,12.58981
16,12.59207
17,12.59216
18,12.59771
19,12.59962
20,12.60004
21,12.60042
22,12.60065
23,12.60251
24,12.60264
25,12.60314
26,12.60515
27,12.60532
28,12.60564
29,12.60634
30,12.60677
31,12.60766
32,12.60852
33,12.60883
34,12.60883
35,12.60936
36,12.60957
37,12.61004
38,12.61007
39,12.61023
40,12.61028
41,12.61028
42,12.61028
43,12.61028
44,12.61028
45,12.61028
46,12.61028
47,12.61028
48,12.61031
49,12.61149
50,12.61235
51,12.61385
52,12.61474
53,12.61474
54,12.61474
55,12.61474
56,12.61474
57,12.61474
58,12.61474
59,12.61474
60,12.61474
61,12.61474
62,12.61474
63,12.61474
64,12.61477
65,12.61477
66,12.61477
67,12.61477
68,12.61477
69,12.61477
70,12.61564
71,12.6169
72,12.61751
73,12.61835
74,12.62071
75,12.62071
76,12.62071
77,12.62071
78,12.62071
79,12.62071
80,12.62071
81,12.621
82,12.62269
83,12.62515
84,12.62572
85,12.62779
86,12.63484
87,12.64249
88,12.65406
89,12.65694
90,12.6594
91,12.67129
92,12.67741
93,12.67808
94,12.67844
95,12.68008
96,12.7118
97,12.72736
98,12.73405
99,12.73641
100,12.74392
101,12.74603
102,12.75137
103,12.75601
104,12.76263
105,12.77109
106,12.78259
107,12.78418
108,12.7853
109,12.7855
110,12.78776
111,12.79093
112,12.79118
113,12.79451
114,12.79898
115,12.79915
116,12.79949
117,12.80375
118,12.8043
119,12.8083
120,12.81188
121,12.8125
122,12.81494
123,12.81601
124,12.81832
125,12.82041
126,12.82067
127,12.82991
128,12.83536
129,12.84463
130,12.84713
131,12.85055
132,12.85074
133,12.85399
134,12.86249
135,12.87356
136,12.87771
137,12.88332
138,12.88384
139,12.88649
140,12.89048
141,12.89417
142,12.89721
143,12.89761
144,12.89761
145,12.89761
146,12.90014
147,12.90116
148,12.90334
149,12.90391
150,12.90458
151,12.9123
152,12.91369
153,12.91702
154,12.92076
155,12.92199
156,12.92342
157,12.92993
158,12.93109
159,12.93408
160,12.94378
161,12.94486
162,12.94486
163,12.94486
164,12.94486
165,12.94486
166,12.94486
167,12.9452
168,12.94677
169,12.95187
170,12.95755
171,12.96078
172,12.96534
173,12.96985
174,12.97003
175,12.97673
176,12.97782
177,12.98126
178,12.98335
179,12.98391
180,12.98614
181,12.99355
182,13.00083
183,13.0016
184,13.00659
185,13.00697
186,13.00868
187,13.00958
188,13.01231
189,13.01496
190,13.01964
191,13.02011
192,13.02429
193,13.02458
194,13.03516
195,13.04122
196,13.0565
197,13.05855
198,13.06091
199,13.0643
200,13.07765
201,13.09206
202,13.09206
203,13.09547
204,13.10641
205,13.10941
206,13.10941
207,13.10941
208,13.11639
209,13.12024
210,13.12201
211,13.12305
212,13.12373
213,13.12853
214,13.13056
215,13.13255
216,13.13891
217,13.14379
218,13.14993
219,13.15052
220,13.1552
221,13.15923
222,13.15951
223,13.16097
224,13.16347
225,13.16404
226,13.16404
227,13.16404
228,13.16404
229,13.16404
230,13.16404
231,13.16404
232,13.17455
233,13.17455
234,13.17455
235,13.18249
236,13.20032
237,13.20915
238,13.22209
239,13.23555
240,13.2359
241,13.24633
242,13.25382
243,13.25902
244,13.25912
245,13.26118
246,13.26535
247,13.26806
248,13.26976
249,13.27057
250,13.27824
251,13.28569
252,13.28725
253,13.2921
254,13.31312
255,13.32321
256,13.34692
257,13.35297
258,13.35518
259,13.37982
260,13.37983
261,13.38888
262,13.4049
263,13.43719
264,13.44191
265,13.49313
266,13.50498
267,13.51153
268,13.51523
269,13.51853
270,13.5573
271,13.56727
272,13.60385
273,13.62325
274,13.62769
275,13.63429
276,13.68387
277,13.70462
278,13.72836
279,13.76783
280,13.77891
281,13.77891
282,13.80366
283,13.83776
284,13.87211
285,13.89136
286,13.89407
287,13.91239
288,13.91811
289,14.0033
290,14.00639
291,14.04421
292,14.06014
293,14.06678
294,14.08127
295,14.09495
296,14.09495
297,14.09495
298,14.09495
299,14.09593
300,14.09633
301,14.09633
302,14.09698
303,14.10599
304,14.1635
305,14.17364
306,14.18195
307,14.19161
308,14.25664
309,14.29381
310,14.43679
311,14.49491
312,14.70664
313,14.72808
314,14.76181
315,14.84928
316,14.96681
317,14.99668
318,15.08043
319,15.13114
320,15.20247
321,15.24501
322,15.28214
323,15.28838
324,15.29607
325,15.32485
326,15.32586
327,15.34688
328,15.68726
329,15.68915
330,15.69556
331,15.7967
332,15.91141
333,15.94021
334,16.063
335,16.22832
336,16.23905
337,16.26183
338,16.26344
339,16.38295
340,16.39227
341,16.44192
342,16.75525
343,16.84263
344,16.9705
345,17.23469
346,17.30646
347,17.31601
348,17.319
349,17.53286
350,17.5426
351,17.54526
352,17.60446
353,17.63866
354,17.68345
355,17.8536
356,17.92827
357,17.93264
358,17.95556
359,17.98214
360,18.00622
361,18.07466
362,18.11521
363,18.11695
364,18.13961
365,18.14366
366,18.16908
367,18.16908
368,18.16908
369,18.16927
370,18.17099
371,18.22543
372,18.36228
373,18.46471
374,18.47591
375,18.56725
376,18.89917
377,18.91824
378,18.95389
379,19.08171
380,19.09742
381,19.21195
382,19.28227
383,19.39953
384,19.44448
385,19.51163
386,19.68953
387,19.68953
388,19.82309
389,19.85473
390,19.856
391,19.88219
392,19.88849
393,20.15912
394,20.18359
395,20.28009
396,20.71022
397,20.98173
398,20.99651
399,21.1635
400,21.38493
401,21.48785
402,21.53204
403,21.67991
404,21.67991
405,21.78063
406,22.06086
407,22.1773
408,22.27569
409,22.59464
410,22.64878
411,22.87213
412,22.94756
413,23.19658
414,23.45114
415,24.11434
416,24.35263
417,24.43471
418,24.82055
419,27.03843
420,27.11108
421,27.26898
422,28.12614
423,28.67777
424,31.09193
425,35.01731
426,35.53026
427,37.08352
428,38.42857
429,39.6983
430,40.40532
431,41.34388
432,41.9804
433,43.81296
434,43.9195
435,43.9195
436,45.01621
437,46.28335
438,47.5989
439,48.50865
440,49.36265
441,53.03461
442,53.16154
443,53.18422
444,54.24423
445,55.75128
446,58.24322
447,59.00215
448,60.39292
449,61.45481
450,62.43761
451,64.86794
452,89.88987
453,93.61908
454,109.58184
455,140.08001
456,141.71456
457,150.77992
458,150.9561
459,150.9561
