rank,score
1,13.83614
2,13.83729
3,13.8374
4,13.83791
5,13.83791
6,13.8385
7,13.8385
8,13.8385
9,13.8385
10,13.8385
11,13.8385
12,13.8385
13,13.8385
14,13.8385
15,13.83864
16,13.83957
17,13.84105
18,13.84806
19,13.84901
20,13.84901
21,13.85022
22,13.85071
23,13.85146
24,13.85169
25,13.85181
26,13.85181
27,13.85181
28,13.85181
29,13.85181
30,13.85181
31,13.85181
32,13.85225
33,13.85496
34,13.85602
35,13.85742
36,13.85914
37,13.86057
38,13.86154
39,13.86202
40,13.86612
41,13.86613
42,13.8672
43,13.86797
44,13.86818
45,13.86818
46,13.86818
47,13.86818
48,13.86818
49,13.86818
50,13.86818
51,13.86818
52,13.86818
53,13.86818
54,13.86818
55,13.86818
56,13.87195
57,13.87573
58,13.87573
59,13.87573
60,13.87573
61,13.87573
62,13.87573
63,13.87573
64,13.87573
65,13.87573
66,13.87573
67,13.87573
68,13.87733
69,13.87768
70,13.87823
71,13.87922
72,13.88079
73,13.88088
74,13.88108
75,13.88569
76,13.88569
77,13.88569
78,13.88569
79,13.88569
80,13.88569
81,13.88569
82,13.88646
83,13.88816
84,13.89019
85,13.89228
86,13.89304
87,13.89504
88,13.89776
89,13.89823
90,13.90017
91,13.90102
92,13.90183
93,13.90304
94,13.90317
95,13.9049
96,13.90588
97,13.90605
98,13.90605
99,13.90605
100,13.90605
101,13.90605
102,13.90605
103,13.90605
104,13.9093
105,13.91187
106,13.91384
107,13.91414
108,13.91502
109,13.91502
110,13.9171
111,13.91834
112,13.921
113,13.93089
114,13.93089
115,13.93089
116,13.93089
117,13.93089
118,13.93875
119,13.9414
120,13.94211
121,13.94421
122,13.94839
123,13.95482
124,13.95482
125,13.96007
126,13.96055
127,13.96134
128,13.96209
129,13.96324
130,13.96465
131,13.96953
132,13.98183
133,13.98347
134,13.98578
135,13.99303
136,13.99346
137,13.99955
138,14.00303
139,14.00303
140,14.00379
141,14.00485
142,14.00687
143,14.0119
144,14.01203
145,14.03023
146,14.03076
147,14.03464
148,14.03663
149,14.03881
150,14.03952
151,14.04686
152,14.04793
153,14.04974
154,14.05024
155,14.05253
156,14.05527
157,14.05654
158,14.06326
159,14.06371
160,14.06419
161,14.07294
162,14.07467
163,14.07504
164,14.08814
165,14.08937
166,14.09261
167,14.0935
168,14.09439
169,14.0971
170,14.09711
171,14.10525
172,14.10976
173,14.11103
174,14.11469
175,14.11866
176,14.1276
177,14.13071
178,14.13426
179,14.13571
180,14.13823
181,14.14011
182,14.14034
183,14.14306
184,14.14306
185,14.14306
186,14.14306
187,14.15881
188,14.16844
189,14.17426
190,14.17602
191,14.17674
192,14.17907
193,14.18386
194,14.18392
195,14.18465
196,14.18772
197,14.1997
198,14.20359
199,14.2068
200,14.21235
201,14.22377
202,14.22573
203,14.23087
204,14.23625
205,14.23829
206,14.24233
207,14.24233
208,14.24587
209,14.25414
210,14.2576
211,14.26755
212,14.26876
213,14.27416
214,14.29131
215,14.29547
216,14.2962
217,14.30032
218,14.30065
219,14.30465
220,14.30732
221,14.30889
222,14.31304
223,14.32259
224,14.326
225,14.33086
226,14.33411
227,14.33478
228,14.33611
229,14.33638
230,14.34182
231,14.34728
232,14.35428
233,14.35573
234,14.35573
235,14.3561
236,14.35918
237,14.36596
238,14.37262
239,14.38203
240,14.38235
241,14.39284
242,14.39324
243,14.39792
244,14.39846
245,14.42496
246,14.45458
247,14.47595
248,14.48207
249,14.48406
250,14.48406
251,14.48406
252,14.49857
253,14.52499
254,14.53115
255,14.54227
256,14.54658
257,14.54807
258,14.57852
259,14.59324
260,14.61806
261,14.62019
262,14.621
263,14.62145
264,14.63818
265,14.64077
266,14.65993
267,14.69566
268,14.70075
269,14.7145
270,14.74953
271,14.75216
272,14.76146
273,14.76616
274,14.77757
275,14.79147
276,14.79328
277,14.79344
278,14.79616
279,14.8371
280,14.86324
281,14.8949
282,14.96059
283,15.02876
284,15.06312
285,15.12706
286,15.15411
287,15.15547
288,15.19636
289,15.22076
290,15.23701
291,15.26291
292,15.40729
293,15.47836
294,15.49837
295,15.51701
296,15.53055
297,15.55678
298,15.57109
299,15.59214
300,15.60503
301,15.63122
302,15.67531
303,15.68133
304,15.71135
305,15.77914
306,15.77934
307,15.7795
308,15.82024
309,15.87469
310,15.92929
311,15.94652
312,15.95417
313,16.05902
314,16.09909
315,16.1062
316,16.11648
317,16.15137
318,16.16783
319,16.33085
320,16.33085
321,16.48878
322,16.51698
323,16.546
324,16.5496
325,16.60205
326,16.64227
327,16.67495
328,16.68319
329,16.90834
330,16.92564
331,16.92564
332,16.92564
333,16.92564
334,16.92631
335,16.92701
336,16.92701
337,16.92755
338,16.92812
339,16.93721
340,17.13291
341,17.14988
342,17.15571
343,17.29469
344,17.36957
345,17.42657
346,17.44239
347,17.57791
348,17.58474
349,17.67867
350,17.69721
351,17.75408
352,17.79781
353,17.83686
354,18.23694
355,18.23972
356,18.24958
357,18.3857
358,18.41081
359,18.45694
360,18.74952
361,18.76113
362,18.87505
363,18.92329
364,18.96345
365,18.96463
366,18.99206
367,19.00629
368,19.0214
369,19.03143
370,19.128
371,19.16921
372,19.26471
373,19.48707
374,19.59658
375,19.92704
376,20.10043
377,20.21234
378,20.28616
379,20.28616
380,20.30312
381,20.37652
382,20.41023
383,20.51497
384,20.577
385,20.66677
386,20.6734
387,20.71576
388,20.85694
389,21.09147
390,21.13661
391,21.27561
392,21.33633
393,21.45208
394,21.81102
395,21.90866
396,22.26253
397,22.57127
398,22.71648
399,22.86576
400,23.0257
401,23.13397
402,23.15159
403,23.29403
404,23.43335
405,24.00377
406,24.65157
407,24.84484
408,24.84671
409,24.86833
410,25.15302
411,25.62942
412,26.7039
413,27.06383
414,27.10672
415,27.11964
416,27.22226
417,27.36423
418,28.10656
419,28.35111
420,28.35111
421,28.35201
422,28.35479
423,28.83915
424,30.39099
425,31.8939
426,31.9778
427,37.47399
428,39.04783
429,40.62872
430,40.63623
431,40.68208
432,41.27332
433,43.95547
434,44.32734
435,45.50353
436,45.82281
437,48.7544
438,48.7544
439,48.7843
440,49.03955
441,49.39972
442,53.01365
443,53.54631
444,53.60083
445,54.23061
446,54.89229
447,55.18208
448,56.69589
449,57.24054
450,58.50531
451,59.96403
452,61.78211
453,67.25556
454,82.17845
455,95.31297
456,148.578
457,148.96572
458,148.96572
459,151.88043
