rank,score
1,0.00416
2,0.00512
3,0.01122
4,0.01318
5,0.01347
6,0.01521
7,0.01624
8,0.01685
9,0.01738
10,0.01794
11,0.01921
12,0.01976
13,0.02037
14,0.02107
15,0.02112
16,0.02112
17,0.02258
18,0.02324
19,0.02332
20,0.02429
21,0.02454
22,0.02456
23,0.02518
24,0.02572
25,0.02602
26,0.02602
27,0.02602
28,0.02602
29,0.02602
30,0.02602
31,0.02602
32,0.02609
33,0.02609
34,0.02609
35,0.02609
36,0.02609
37,0.02609
38,0.02609
39,0.02628
40,0.02682
41,0.02711
42,0.02729
43,0.02729
44,0.02729
45,0.02731
46,0.0274
47,0.02811
48,0.02811
49,0.02811
50,0.02879
51,0.02962
52,0.02998
53,0.03057
54,0.0311
55,0.03119
56,0.03128
57,0.0313
58,0.03198
59,0.03369
60,0.03475
61,0.03864
62,0.04064
63,0.04133
64,0.04517
65,0.05087
66,0.05184
67,0.05243
68,0.05351
69,0.05558
70,0.05603
71,0.06002
72,0.06057
73,0.06113
74,0.06119
75,0.06248
76,0.06363
77,0.06561
78,0.06629
79,0.06846
80,0.07042
81,0.073
82,0.0735
83,0.08453
84,0.08536
85,0.0902
86,0.09089
87,0.09109
88,0.09241
89,0.09277
90,0.09523
91,0.09523
92,0.09523
93,0.09523
94,0.09523
95,0.09568
96,0.09568
97,0.09568
98,0.09568
99,0.09568
100,0.09568
101,0.09568
102,0.09568
103,0.09863
104,0.09904
105,0.10783
106,0.10806
107,0.11867
108,0.12013
109,0.12013
110,0.12013
111,0.12168
112,0.12275
113,0.12399
114,0.12448
115,0.12477
116,0.12524
117,0.12608
118,0.13206
119,0.13335
120,0.13359
121,0.13364
122,0.13437
123,0.1345
124,0.1345
125,0.1345
126,0.1345
127,0.13542
128,0.13715
129,0.13757
130,0.13921
131,0.14347
132,0.14635
133,0.14843
134,0.15078
135,0.1541
136,0.2003
137,0.2003
138,0.2003
139,0.2003
140,0.2003
141,0.2003
142,0.20329
143,0.20426
144,0.20846
145,0.23511
146,0.24961
147,0.28311
148,0.28311
149,0.28311
150,0.28311
151,0.28311
152,0.28311
153,0.28311
154,0.28311
155,0.28311
156,0.28311
157,0.28311
158,0.28311
159,0.28311
160,0.29407
161,0.76395
