rank,score
1,0.84248
2,0.83977
3,0.83867
4,0.83632
5,0.83321
6,0.82987
7,0.82984
8,0.82879
9,0.82481
10,0.82307
11,0.8193
12,0.8098
13,0.80094
14,0.80076
15,0.79831
16,0.79675
17,0.79539
18,0.79264
19,0.79135
20,0.79111
21,0.78428
22,0.78405
23,0.77938
24,0.77913
25,0.77897
26,0.77787
27,0.77646
28,0.77566
29,0.76633
30,0.75788
31,0.75515
32,0.75141
33,0.74066
34,0.73863
35,0.73606
36,0.73539
37,0.73277
38,0.73101
39,0.72749
40,0.72701
41,0.72002
42,0.71919
43,0.70626
44,0.68427
45,0.68291
46,0.67619
47,0.66676
48,0.64447
49,0.5386
50,0.32249
