rank,score
1,0.03302
2,0.03305
3,0.03483
4,0.03507
5,0.03518
6,0.0358
7,0.03778
8,0.03804
9,0.03805
10,0.03807
11,0.03838
12,0.03882
13,0.03889
14,0.03928
15,0.03994
16,0.04008
17,0.04077
18,0.04127
19,0.04134
20,0.04183
21,0.04214
22,0.0428
23,0.0429
24,0.04337
25,0.04354
26,0.04357
27,0.04395
28,0.04516
29,0.04533
30,0.04533
31,0.04533
32,0.04555
33,0.04556
34,0.04576
35,0.04591
36,0.04662
37,0.04711
38,0.04715
39,0.04718
40,0.04726
41,0.04737
42,0.04745
43,0.04751
44,0.04758
45,0.04766
46,0.04776
47,0.04785
48,0.04793
49,0.04827
50,0.04842
51,0.04851
52,0.04873
53,0.04904
54,0.04906
55,0.04925
56,0.04939
57,0.0495
58,0.04961
59,0.0497
60,0.04973
61,0.04991
62,0.04993
63,0.04994
64,0.05
65,0.05038
66,0.0504
67,0.05051
68,0.05074
69,0.05111
70,0.05132
71,0.05136
72,0.05138
73,0.05142
74,0.05151
75,0.05157
76,0.05194
77,0.05199
78,0.052
79,0.052
80,0.05215
81,0.05232
82,0.05241
83,0.05242
84,0.05243
85,0.05253
86,0.05267
87,0.05286
88,0.05317
89,0.05333
90,0.05394
91,0.05465
92,0.05476
93,0.05481
94,0.05506
95,0.05526
96,0.05561
97,0.05606
98,0.05617
99,0.05624
100,0.05629
101,0.05702
102,0.05719
103,0.05744
104,0.05791
105,0.05798
106,0.058
107,0.05814
108,0.05817
109,0.05822
110,0.05823
111,0.05832
112,0.0585
113,0.05879
114,0.05886
115,0.05892
116,0.05902
117,0.05929
118,0.05969
119,0.05994
120,0.05999
121,0.06006
122,0.06009
123,0.06024
124,0.06026
125,0.06037
126,0.06054
127,0.06068
128,0.06082
129,0.06086
130,0.06114
131,0.06127
132,0.06149
133,0.0624
134,0.0632
135,0.06325
136,0.06359
137,0.06363
138,0.06411
139,0.06423
140,0.06429
141,0.06434
142,0.06475
143,0.06489
144,0.06496
145,0.06502
146,0.06507
147,0.0651
148,0.06513
149,0.06517
150,0.06574
151,0.06574
152,0.06623
153,0.0664
154,0.06658
155,0.06711
156,0.06727
157,0.06738
158,0.06749
159,0.06799
160,0.06813
161,0.06856
162,0.0693
163,0.06933
164,0.0694
165,0.06946
166,0.0696
167,0.06963
168,0.06983
169,0.07018
170,0.07019
171,0.07034
172,0.07073
173,0.07074
174,0.07113
175,0.07115
176,0.07142
177,0.07151
178,0.0716
179,0.07161
180,0.07167
181,0.07168
182,0.07168
183,0.0718
184,0.07193
185,0.07193
186,0.07195
187,0.07214
188,0.07234
189,0.07259
190,0.07259
191,0.0727
192,0.07286
193,0.07301
194,0.07306
195,0.07319
196,0.07362
197,0.07369
198,0.07375
199,0.0738
200,0.07383
201,0.07384
202,0.07398
203,0.07402
204,0.07403
205,0.07416
206,0.07421
207,0.07443
208,0.07443
209,0.07447
210,0.07453
211,0.07459
212,0.07462
213,0.07473
214,0.07474
215,0.07479
216,0.07488
217,0.07509
218,0.07512
219,0.07517
220,0.07525
221,0.07541
222,0.07542
223,0.07545
224,0.07548
225,0.07576
226,0.07619
227,0.07629
228,0.07637
229,0.07652
230,0.07662
231,0.07701
232,0.07713
233,0.07715
234,0.07736
235,0.07741
236,0.07771
237,0.07784
238,0.07784
239,0.07836
240,0.07836
241,0.07865
242,0.07868
243,0.07871
244,0.07897
245,0.07914
246,0.07947
247,0.07949
248,0.07953
249,0.07956
250,0.07963
251,0.07969
252,0.07974
253,0.07978
254,0.07981
255,0.07983
256,0.08039
257,0.08049
258,0.0805
259,0.08058
260,0.08084
261,0.08092
262,0.08101
263,0.08107
264,0.08109
265,0.08138
266,0.08151
267,0.08157
268,0.08167
269,0.08184
270,0.08185
271,0.082
272,0.08206
273,0.0822
274,0.08223
275,0.08246
276,0.08247
277,0.0829
278,0.08322
279,0.08338
280,0.08343
281,0.08371
282,0.08376
283,0.08385
284,0.084
285,0.08418
286,0.08443
287,0.08499
288,0.0851
289,0.08521
290,0.08533
291,0.08561
292,0.08566
293,0.08569
294,0.08596
295,0.08623
296,0.08623
297,0.08632
298,0.08634
299,0.08705
300,0.08708
301,0.08715
302,0.08723
303,0.08745
304,0.08748
305,0.08756
306,0.08759
307,0.0876
308,0.08768
309,0.08771
310,0.08789
311,0.08814
312,0.08815
313,0.08827
314,0.0884
315,0.08904
316,0.08917
317,0.08918
318,0.08921
319,0.08929
320,0.08977
321,0.08983
322,0.08999
323,0.08999
324,0.09006
325,0.09017
326,0.09018
327,0.09025
328,0.09025
329,0.09099
330,0.09107
331,0.09122
332,0.09123
333,0.09126
334,0.09141
335,0.09186
336,0.09208
337,0.09227
338,0.09254
339,0.09254
340,0.09254
341,0.09271
342,0.09272
343,0.09298
344,0.09326
345,0.09327
346,0.09329
347,0.09333
348,0.0935
349,0.09354
350,0.09358
351,0.09374
352,0.09396
353,0.09397
354,0.09398
355,0.09399
356,0.09404
357,0.09412
358,0.09418
359,0.09425
360,0.09441
361,0.09444
362,0.0946
363,0.09468
364,0.0947
365,0.0947
366,0.09477
367,0.09481
368,0.09482
369,0.09483
370,0.09489
371,0.09493
372,0.09521
373,0.09538
374,0.09541
375,0.09547
376,0.09552
377,0.09563
378,0.09579
379,0.09582
380,0.09585
381,0.09591
382,0.09593
383,0.09622
384,0.09622
385,0.09624
386,0.09663
387,0.09664
388,0.09668
389,0.09679
390,0.09685
391,0.09686
392,0.09689
393,0.09689
394,0.09698
395,0.09703
396,0.09711
397,0.09711
398,0.09719
399,0.09722
400,0.09738
401,0.09744
402,0.09745
403,0.09747
404,0.09748
405,0.09763
406,0.09766
407,0.09782
408,0.09799
409,0.09804
410,0.09812
411,0.09813
412,0.09815
413,0.09817
414,0.09818
415,0.09822
416,0.0983
417,0.09836
418,0.09841
419,0.09845
420,0.0985
421,0.09859
422,0.09884
423,0.09885
424,0.09892
425,0.09898
426,0.09905
427,0.09907
428,0.09913
429,0.09913
430,0.09931
431,0.09934
432,0.09936
433,0.0995
434,0.09952
435,0.09977
436,0.0998
437,0.09981
438,0.09998
439,0.09999
440,0.10008
441,0.10064
442,0.10076
443,0.10096
444,0.10109
445,0.10119
446,0.10133
447,0.10152
448,0.10169
449,0.1017
450,0.10173
451,0.10178
452,0.10179
453,0.10181
454,0.10206
455,0.1021
456,0.10216
457,0.10226
458,0.10237
459,0.1024
460,0.10254
461,0.10264
462,0.10291
463,0.1031
464,0.10311
465,0.10318
