rank,score
1,0.99896
2,0.99844
3,0.99577
4,0.9918
5,0.99179
6,0.99176
7,0.99174
8,0.9917
9,0.99169
10,0.99167
11,0.99166
12,0.99161
13,0.99152
14,0.99147
15,0.99147
16,0.99147
17,0.99147
18,0.99141
19,0.99139
20,0.99138
21,0.99136
22,0.99133
23,0.9913
24,0.99129
25,0.99128
26,0.99126
27,0.99122
28,0.99121
29,0.9912
30,0.99118
31,0.99117
32,0.99117
33,0.99116
34,0.99115
35,0.99115
36,0.99114
37,0.99111
38,0.99111
39,0.99111
40,0.99111
41,0.99111
42,0.99109
43,0.99108
44,0.991
45,0.99096
46,0.99096
47,0.99096
48,0.99094
49,0.99094
50,0.99092
51,0.99091
52,0.99091
53,0.9909
54,0.99089
55,0.99088
56,0.99086
57,0.99086
58,0.99085
59,0.99085
60,0.99084
61,0.99083
62,0.99082
63,0.99082
64,0.99078
65,0.99077
66,0.99077
67,0.99075
68,0.99074
69,0.99072
70,0.99071
71,0.99071
72,0.99071
73,0.99068
74,0.99068
75,0.99068
76,0.99067
77,0.99066
78,0.99066
79,0.99065
80,0.99064
81,0.99064
82,0.99061
83,0.9906
84,0.99059
85,0.99058
86,0.99058
87,0.99057
88,0.99056
89,0.99056
90,0.99053
91,0.99053
92,0.9905
93,0.9905
94,0.9905
95,0.9905
96,0.9905
97,0.9905
98,0.99047
99,0.99047
100,0.99046
101,0.99043
102,0.99043
103,0.99036
104,0.99035
105,0.99035
106,0.99033
107,0.99032
108,0.99031
109,0.99031
110,0.9903
111,0.99028
112,0.99028
113,0.99027
114,0.99024
115,0.99024
116,0.99023
117,0.99022
118,0.9902
119,0.99018
120,0.99016
121,0.99008
122,0.99007
123,0.99005
124,0.99004
125,0.99002
126,0.99
127,0.98998
128,0.98998
129,0.98996
130,0.98995
131,0.9899
132,0.9899
133,0.98987
134,0.98982
135,0.98979
136,0.98964
137,0.98964
138,0.98964
139,0.98962
140,0.98961
141,0.98955
142,0.98954
143,0.98951
144,0.98946
145,0.98946
146,0.98945
147,0.98942
148,0.98941
149,0.9894
150,0.98938
151,0.98916
152,0.9891
153,0.98904
154,0.98902
155,0.98898
156,0.98897
157,0.98886
158,0.98883
159,0.98883
160,0.98882
161,0.98877
162,0.98874
163,0.98872
164,0.98859
165,0.98859
166,0.98848
167,0.98839
168,0.98818
169,0.98811
170,0.98808
171,0.98805
172,0.98802
173,0.98798
174,0.98795
175,0.98794
176,0.98783
177,0.98767
178,0.98718
179,0.98699
180,0.98696
181,0.9867
182,0.98619
183,0.98598
184,0.98576
185,0.98542
186,0.98489
187,0.98464
188,0.98428
189,0.98416
190,0.98395
191,0.98353
192,0.98203
193,0.98129
194,0.97873
195,0.97872
196,0.97555
197,0.97465
198,0.96998
199,0.95454
200,0.9524
201,0.95189
202,0.95182
203,0.95168
204,0.9501
205,0.9501
206,0.94968
207,0.9481
208,0.94766
209,0.94766
210,0.94752
211,0.94723
212,0.94723
213,0.94651
214,0.94623
215,0.94567
216,0.94566
217,0.94551
218,0.94508
219,0.94452
220,0.94409
221,0.94379
222,0.94279
223,0.94265
224,0.94265
225,0.94265
226,0.94236
227,0.94235
228,0.94008
229,0.93891
230,0.93849
231,0.93823
232,0.93806
233,0.93749
234,0.93634
235,0.93619
236,0.93618
237,0.93563
238,0.93518
239,0.93433
240,0.93419
241,0.93116
242,0.93106
243,0.9296
244,0.92903
245,0.92788
246,0.92112
247,0.921
248,0.91783
249,0.91512
250,0.91511
251,0.91468
252,0.91382
253,0.91196
254,0.90792
255,0.90706
256,0.88999
257,0.88757
258,0.86244
259,0.73928
260,0.59735
261,0.51225
262,0.5
263,0.5
264,0.5
265,0.5
266,0.5
