rank,score
1,0.886
2,0.869
3,0.867
4,0.866
5,0.865
6,0.864
7,0.864
8,0.864
9,0.864
10,0.864
11,0.864
12,0.864
13,0.864
14,0.864
15,0.864
16,0.864
17,0.864
18,0.863
19,0.863
20,0.863
21,0.863
22,0.863
23,0.863
24,0.863
25,0.863
26,0.862
27,0.862
28,0.862
29,0.862
30,0.861
31,0.861
32,0.861
33,0.861
34,0.861
35,0.861
36,0.861
37,0.861
38,0.86
39,0.86
40,0.86
41,0.86
42,0.86
43,0.859
44,0.859
45,0.859
46,0.859
47,0.859
48,0.858
49,0.858
50,0.857
51,0.857
52,0.857
53,0.857
54,0.857
55,0.857
56,0.856
57,0.856
58,0.856
59,0.856
60,0.856
61,0.855
62,0.855
63,0.855
64,0.855
65,0.855
66,0.855
67,0.855
68,0.855
69,0.854
70,0.854
71,0.854
72,0.854
73,0.854
74,0.854
75,0.854
76,0.854
77,0.854
78,0.854
79,0.854
80,0.854
81,0.854
82,0.854
83,0.854
84,0.854
85,0.854
86,0.854
87,0.854
88,0.854
89,0.854
90,0.854
91,0.854
92,0.854
93,0.854
94,0.854
95,0.854
96,0.854
97,0.854
98,0.854
99,0.854
100,0.854
101,0.853
102,0.853
103,0.853
104,0.853
105,0.853
106,0.853
107,0.853
108,0.853
109,0.852
110,0.852
111,0.852
112,0.852
113,0.852
114,0.852
115,0.852
116,0.852
117,0.852
118,0.851
119,0.851
120,0.851
121,0.851
122,0.851
123,0.851
124,0.851
125,0.851
126,0.851
127,0.851
128,0.851
129,0.851
130,0.851
131,0.851
132,0.851
133,0.851
134,0.851
135,0.851
136,0.851
137,0.851
138,0.851
139,0.851
140,0.851
141,0.851
142,0.851
143,0.851
144,0.851
145,0.851
146,0.851
147,0.851
148,0.851
149,0.851
150,0.851
151,0.851
152,0.851
153,0.851
154,0.851
155,0.851
156,0.851
157,0.851
158,0.851
159,0.851
160,0.851
161,0.851
162,0.851
163,0.851
164,0.851
165,0.851
166,0.851
167,0.851
168,0.851
169,0.851
170,0.851
171,0.851
172,0.851
173,0.851
174,0.851
175,0.851
176,0.851
177,0.851
178,0.851
179,0.851
180,0.851
181,0.851
182,0.851
183,0.851
184,0.851
185,0.851
186,0.851
187,0.851
188,0.851
189,0.851
190,0.851
191,0.851
192,0.851
193,0.851
194,0.851
195,0.851
196,0.851
197,0.851
198,0.851
199,0.851
200,0.851
201,0.851
202,0.851
203,0.851
204,0.851
205,0.851
206,0.851
207,0.851
208,0.851
209,0.851
210,0.851
211,0.851
212,0.851
213,0.851
214,0.851
215,0.851
216,0.851
217,0.851
218,0.851
219,0.851
220,0.851
221,0.851
222,0.851
223,0.851
224,0.851
225,0.851
226,0.851
227,0.851
228,0.851
229,0.851
230,0.851
231,0.851
232,0.851
233,0.851
234,0.851
235,0.851
236,0.851
237,0.851
238,0.851
239,0.851
240,0.851
241,0.851
242,0.851
243,0.851
244,0.851
245,0.851
246,0.851
247,0.851
248,0.851
249,0.851
250,0.851
251,0.851
252,0.851
253,0.851
254,0.851
255,0.851
256,0.851
257,0.851
258,0.851
259,0.851
260,0.851
261,0.851
262,0.851
263,0.851
264,0.851
265,0.851
266,0.851
267,0.851
268,0.851
269,0.851
270,0.851
271,0.851
272,0.851
273,0.851
274,0.851
275,0.851
276,0.851
277,0.851
278,0.851
279,0.851
280,0.851
281,0.851
282,0.851
283,0.851
284,0.851
285,0.851
286,0.851
287,0.851
288,0.851
289,0.851
290,0.85
291,0.85
292,0.85
293,0.85
294,0.85
295,0.85
296,0.85
297,0.849
298,0.849
299,0.849
300,0.849
301,0.849
302,0.849
303,0.849
304,0.849
305,0.849
306,0.849
307,0.849
308,0.849
309,0.849
310,0.848
311,0.848
312,0.848
313,0.848
314,0.848
315,0.848
316,0.848
317,0.847
318,0.847
319,0.847
320,0.847
321,0.847
322,0.847
323,0.847
324,0.847
325,0.847
326,0.847
327,0.847
328,0.846
329,0.846
330,0.846
331,0.846
332,0.846
