rank,score
1,0.93
2,0.892
3,0.891
4,0.886
5,0.883
6,0.883
7,0.883
8,0.881
9,0.88
10,0.88
11,0.88
12,0.88
13,0.879
14,0.878
15,0.878
16,0.878
17,0.878
18,0.878
19,0.878
20,0.878
21,0.877
22,0.877
23,0.877
24,0.877
25,0.877
26,0.877
27,0.877
28,0.877
29,0.877
30,0.877
31,0.876
32,0.876
33,0.876
34,0.876
35,0.876
36,0.876
37,0.876
38,0.876
39,0.875
40,0.875
41,0.874
42,0.874
43,0.874
44,0.874
45,0.874
46,0.874
47,0.873
48,0.873
49,0.873
50,0.873
51,0.873
52,0.873
53,0.873
54,0.872
55,0.872
56,0.872
57,0.872
58,0.871
59,0.871
60,0.871
61,0.871
62,0.871
63,0.871
64,0.871
65,0.871
66,0.871
67,0.871
68,0.871
69,0.871
70,0.87
71,0.87
72,0.87
73,0.87
74,0.87
75,0.87
76,0.87
77,0.87
78,0.87
79,0.87
80,0.87
81,0.869
82,0.869
83,0.869
84,0.869
85,0.869
86,0.869
87,0.869
88,0.869
89,0.869
90,0.869
91,0.869
92,0.869
93,0.869
94,0.869
95,0.869
96,0.869
97,0.869
98,0.869
99,0.869
100,0.869
101,0.869
102,0.869
103,0.869
104,0.869
105,0.869
106,0.869
107,0.869
108,0.869
109,0.869
110,0.869
111,0.869
112,0.869
113,0.869
114,0.869
115,0.869
116,0.869
117,0.869
118,0.868
119,0.868
120,0.868
121,0.868
122,0.868
123,0.868
124,0.868
125,0.868
126,0.868
127,0.868
128,0.868
129,0.868
130,0.868
131,0.868
132,0.868
133,0.868
134,0.868
135,0.868
136,0.868
137,0.868
138,0.868
139,0.868
140,0.868
141,0.868
142,0.868
143,0.868
144,0.868
145,0.868
146,0.868
147,0.868
148,0.868
149,0.868
150,0.868
151,0.868
152,0.868
153,0.868
154,0.868
155,0.868
156,0.868
157,0.868
158,0.868
159,0.868
160,0.868
161,0.868
162,0.868
163,0.868
164,0.868
165,0.868
166,0.868
167,0.868
168,0.868
169,0.868
170,0.868
171,0.868
172,0.868
173,0.868
174,0.868
175,0.868
176,0.868
177,0.868
178,0.868
179,0.868
180,0.868
181,0.868
182,0.868
183,0.868
184,0.868
185,0.868
186,0.868
187,0.868
188,0.868
189,0.868
190,0.868
191,0.868
192,0.868
193,0.868
194,0.868
195,0.868
196,0.868
197,0.868
198,0.868
199,0.868
200,0.868
201,0.868
202,0.868
203,0.868
204,0.868
205,0.868
206,0.868
207,0.868
208,0.868
209,0.868
210,0.868
211,0.868
212,0.868
213,0.868
214,0.868
215,0.868
216,0.868
217,0.868
218,0.868
219,0.868
220,0.868
221,0.868
222,0.868
223,0.868
224,0.868
225,0.868
226,0.868
227,0.868
228,0.868
229,0.868
230,0.868
231,0.868
232,0.868
233,0.868
234,0.868
235,0.868
236,0.868
237,0.868
238,0.868
239,0.868
240,0.868
241,0.868
242,0.868
243,0.868
244,0.868
245,0.868
246,0.868
247,0.868
248,0.868
249,0.868
250,0.868
251,0.868
252,0.868
253,0.868
254,0.868
255,0.868
256,0.868
257,0.868
258,0.868
259,0.868
260,0.868
261,0.868
262,0.868
263,0.868
264,0.868
265,0.868
266,0.868
267,0.868
268,0.868
269,0.868
270,0.868
271,0.868
272,0.868
273,0.868
274,0.868
275,0.868
276,0.868
277,0.868
278,0.868
279,0.868
280,0.868
281,0.868
282,0.868
283,0.868
284,0.868
285,0.868
286,0.868
287,0.868
288,0.868
289,0.868
290,0.868
291,0.868
292,0.868
293,0.868
294,0.868
295,0.868
296,0.868
297,0.867
298,0.867
299,0.867
300,0.866
301,0.866
302,0.866
303,0.866
304,0.866
305,0.866
306,0.865
307,0.865
308,0.864
309,0.864
310,0.864
311,0.864
312,0.864
313,0.864
314,0.863
315,0.863
316,0.863
317,0.863
318,0.863
319,0.863
320,0.863
321,0.862
322,0.862
323,0.862
324,0.862
325,0.861
326,0.861
327,0.861
328,0.861
329,0.861
330,0.861
331,0.861
332,0.861
333,0.861
334,0.861
335,0.861
336,0.861
337,0.861
338,0.861
339,0.861
340,0.861
341,0.861
342,0.861
343,0.861
344,0.861
345,0.861
346,0.861
347,0.861
348,0.86
349,0.86
350,0.86
351,0.86
352,0.86
353,0.86
354,0.86
355,0.86
356,0.86
357,0.86
358,0.86
359,0.86
360,0.86
361,0.86
362,0.86
363,0.86
364,0.86
365,0.859
366,0.859
367,0.859
368,0.859
369,0.859
370,0.859
371,0.859
372,0.859
373,0.859
374,0.859
375,0.859
376,0.859
377,0.859
378,0.859
379,0.859
380,0.859
381,0.859
382,0.859
383,0.859
384,0.859
385,0.859
386,0.859
387,0.859
388,0.859
389,0.859
390,0.859
391,0.859
392,0.859
393,0.859
394,0.859
395,0.859
396,0.859
397,0.859
398,0.859
399,0.859
400,0.859
401,0.859
402,0.859
403,0.859
404,0.859
405,0.859
406,0.859
407,0.859
408,0.859
409,0.859
410,0.859
411,0.859
412,0.859
413,0.859
414,0.859
415,0.859
416,0.859
417,0.859
418,0.858
419,0.858
420,0.858
421,0.858
422,0.858
423,0.858
424,0.858
425,0.858
426,0.858
427,0.857
428,0.857
429,0.857
430,0.857
431,0.857
432,0.857
433,0.856
434,0.856
435,0.856
436,0.856
437,0.856
438,0.856
439,0.856
440,0.856
441,0.856
442,0.856
443,0.856
444,0.856
445,0.856
446,0.855
447,0.855
448,0.855
449,0.855
450,0.855
451,0.855
452,0.855
453,0.855
454,0.855
455,0.855
456,0.855
457,0.855
458,0.855
459,0.855
460,0.855
461,0.854
462,0.854
463,0.854
464,0.854
465,0.854
466,0.854
467,0.854
468,0.854
469,0.854
470,0.854
471,0.854
472,0.854
473,0.854
474,0.853
475,0.853
476,0.853
477,0.853
478,0.853
479,0.853
480,0.853
481,0.853
482,0.853
483,0.853
484,0.852
485,0.852
486,0.852
487,0.852
488,0.852
489,0.852
490,0.852
491,0.852
492,0.852
493,0.852
494,0.852
495,0.852
496,0.852
497,0.852
498,0.852
499,0.852
500,0.852
501,0.852
502,0.852
503,0.852
504,0.851
505,0.851
506,0.851
507,0.851
508,0.851
509,0.851
510,0.851
511,0.851
512,0.851
513,0.851
514,0.851
515,0.851
516,0.851
517,0.851
518,0.851
519,0.851
520,0.851
521,0.851
522,0.851
523,0.851
524,0.851
525,0.851
526,0.851
527,0.851
528,0.851
529,0.851
530,0.851
531,0.851
532,0.851
533,0.851
534,0.851
535,0.851
536,0.851
537,0.851
538,0.851
539,0.851
540,0.851
541,0.851
542,0.851
543,0.851
544,0.851
545,0.851
546,0.851
547,0.851
548,0.851
549,0.851
550,0.85
551,0.85
552,0.85
553,0.85
554,0.85
555,0.85
556,0.85
557,0.85
558,0.85
559,0.85
560,0.85
561,0.85
562,0.85
563,0.85
564,0.85
565,0.85
566,0.85
567,0.85
568,0.85
569,0.85
570,0.85
571,0.85
572,0.85
573,0.85
574,0.85
575,0.85
576,0.85
577,0.85
578,0.85
579,0.85
580,0.85
581,0.85
582,0.85
583,0.85
584,0.85
585,0.85
586,0.85
587,0.85
588,0.85
589,0.85
590,0.85
591,0.85
592,0.85
593,0.85
594,0.85
595,0.85
596,0.85
597,0.85
598,0.85
599,0.85
600,0.85
601,0.85
602,0.85
603,0.85
604,0.85
605,0.85
606,0.85
607,0.85
608,0.85
609,0.85
610,0.85
611,0.85
612,0.85
613,0.85
614,0.85
615,0.85
616,0.85
617,0.85
618,0.85
619,0.849
620,0.849
621,0.849
622,0.849
623,0.849
624,0.849
625,0.849
626,0.849
627,0.849
628,0.849
629,0.849
630,0.849
631,0.849
632,0.849
633,0.849
634,0.849
635,0.849
636,0.849
637,0.849
638,0.849
639,0.849
640,0.849
641,0.849
642,0.849
643,0.849
644,0.849
645,0.849
646,0.849
647,0.849
648,0.849
649,0.849
650,0.849
651,0.849
652,0.849
653,0.849
654,0.849
655,0.849
656,0.849
657,0.849
658,0.849
659,0.849
660,0.849
661,0.849
662,0.849
663,0.849
664,0.849
665,0.849
666,0.849
667,0.849
668,0.849
669,0.849
670,0.849
671,0.849
672,0.849
673,0.848
674,0.848
675,0.848
676,0.848
677,0.848
678,0.848
679,0.848
680,0.848
681,0.848
682,0.848
683,0.848
684,0.848
685,0.848
686,0.848
687,0.848
688,0.848
689,0.848
690,0.848
691,0.848
692,0.848
693,0.848
694,0.848
695,0.848
696,0.848
697,0.848
698,0.848
699,0.848
700,0.848
701,0.848
702,0.848
703,0.848
704,0.848
705,0.848
706,0.848
707,0.848
708,0.848
709,0.848
710,0.848
711,0.848
712,0.848
713,0.848
714,0.848
715,0.848
716,0.848
717,0.848
718,0.848
719,0.848
720,0.848
721,0.848
722,0.848
723,0.848
724,0.848
725,0.848
726,0.848
727,0.848
728,0.848
729,0.848
730,0.848
731,0.848
732,0.848
733,0.848
734,0.848
735,0.848
736,0.848
737,0.848
738,0.848
739,0.848
740,0.848
741,0.848
742,0.848
743,0.848
744,0.848
745,0.848
746,0.848
747,0.848
748,0.848
749,0.848
750,0.847
751,0.847
752,0.847
753,0.847
754,0.847
755,0.847
756,0.847
757,0.847
758,0.847
759,0.847
760,0.847
761,0.847
762,0.847
763,0.847
764,0.847
765,0.847
766,0.847
767,0.847
768,0.847
769,0.847
770,0.847
771,0.847
772,0.847
773,0.847
774,0.847
775,0.847
776,0.847
777,0.847
778,0.847
779,0.847
780,0.847
781,0.847
782,0.847
783,0.847
784,0.847
785,0.847
786,0.847
787,0.847
788,0.847
789,0.847
790,0.847
791,0.847
792,0.847
793,0.847
794,0.847
795,0.847
796,0.847
797,0.847
798,0.847
799,0.846
800,0.846
801,0.846
802,0.846
803,0.846
804,0.846
805,0.846
806,0.846
807,0.846
808,0.846
809,0.846
810,0.846
811,0.846
812,0.846
813,0.846
814,0.846
815,0.846
816,0.846
817,0.846
818,0.846
819,0.846
