rank,score
1,1.0
2,1.0
3,0.99928
4,0.99424
5,0.9892
6,0.98848
7,0.98776
8,0.96762
9,0.96187
10,0.95467
11,0.95323
12,0.91007
13,0.86402
14,0.85827
15,0.85251
16,0.8446
17,0.82661
18,0.77553
19,0.77338
20,0.74532
21,0.70719
22,0.69208
23,0.58561
24,0.46762
25,0.45179
26,0.37625
27,0.32359
28,0.30071
29,0.28561
30,0.27697
31,0.26589
32,0.26474
33,0.26474
34,0.26474
35,0.25611
36,0.2223
37,0.22158
38,0.19496
39,0.19208
40,0.18705
41,0.18417
42,0.16402
43,0.15971
44,0.14964
45,0.13884
46,0.12733
47,0.12374
48,0.12374
49,0.11654
50,0.1151
51,0.11438
52,0.10431
53,0.1
54,0.1
55,0.09424
56,0.09208
57,0.09208
58,0.09064
59,0.09064
60,0.09064
61,0.09064
62,0.09064
63,0.09064
64,0.08957
65,0.08848
66,0.08817
67,0.08633
68,0.08633
69,0.08345
70,0.08345
71,0.08345
72,0.08273
73,0.08201
74,0.08201
75,0.08129
76,0.07985
77,0.07913
78,0.07913
79,0.07886
80,0.07841
81,0.07769
82,0.07514
83,0.07482
84,0.0741
85,0.07266
86,0.07266
87,0.07194
88,0.07122
89,0.0705
90,0.0705
91,0.06906
92,0.06834
93,0.06834
94,0.06834
95,0.06834
96,0.06834
97,0.06834
98,0.06834
99,0.06834
100,0.06834
101,0.06834
102,0.06834
103,0.06834
104,0.06834
105,0.06834
106,0.06834
107,0.06834
108,0.06834
109,0.06834
110,0.06834
111,0.06834
112,0.06834
113,0.06834
114,0.06834
115,0.06834
116,0.06834
117,0.06834
118,0.06834
119,0.06834
120,0.06834
121,0.06834
122,0.06834
123,0.06834
124,0.06834
125,0.06834
126,0.06834
127,0.06834
128,0.06834
129,0.06834
130,0.06834
131,0.06834
132,0.06834
133,0.06834
134,0.06834
135,0.06834
136,0.06834
137,0.06834
138,0.06834
139,0.06834
140,0.06834
141,0.06834
142,0.06834
143,0.06834
144,0.06834
145,0.06834
146,0.06834
147,0.06834
148,0.06834
149,0.06834
150,0.06834
151,0.06834
152,0.06834
153,0.06834
154,0.06834
155,0.06834
156,0.06834
157,0.06834
158,0.06834
159,0.06834
160,0.06834
161,0.06834
162,0.06834
163,0.06834
164,0.06834
165,0.06834
166,0.06834
167,0.06834
168,0.06834
169,0.06834
170,0.06834
171,0.06834
172,0.06834
173,0.06834
174,0.06834
